month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,2275,wrangell, ak,398500,-0.1261,0.6269,9,0.125,0.5,233,0.1295,0.1055,0,,,0,,,0,,,,,,318,0.1062,0.6877,1450,-0.1212,0.0545,412288,-0.0431,0.4778,9,0.0588,0.5,,,,1
202302,2185,north slope, ak,110999,0,-0.4436,1,0,0,33,3.0625,-0.8807,0,,,0,,,0,,,,,,52,0,-0.4436,2132,0,0,110999,0,-0.4436,1,0,0,,,,1
202302,2110,juneau, ak,426950,-0.0099,-0.0145,37,-0.131,0.825,136,0.204,3.344,22,1.2,-0.2667,0,,,8,0,0.3333,41,0.0946,0.0946,299,0.0061,0.0589,1346,-0.0218,-0.1786,462942,0.0258,0.0397,78,-0.0127,0.3684,1.1096,0.2286,-0.7404,1
202302,2170,matanuska-susitna, ak,422500,0.0328,0.0352,261,-0.0562,0.4928,79,-0.1413,0.0533,150,0.3636,-0.0625,14,6,0.1667,56,0.2174,1.5455,,,,247,0.0093,0.0795,1854,0.0352,0.0245,447518,0.0385,-0.0014,261,-0.0562,0.4928,,,,0
202302,2122,kenai peninsula, ak,399000,0,0.1411,134,-0.101,0.2304,133,0.1134,0.1623,34,-0.15,-0.3929,0,,,22,0.2222,1.75,,,,238,0.0148,0.1228,1800,-0.0048,0.1658,586155,0.0102,0.081,134,-0.101,0.2304,,,,0
202302,2130,ketchikan gateway, ak,388000,-0.019,-0.0776,24,-0.1607,0,129,0.1644,0.0508,8,-0.3333,-0.2,0,,,0,,-1,18,0.3462,0.5217,255,0.0991,0.0383,1494,-0.1233,-0.1378,391920,0.0304,-0.0791,40,-0.0244,0.1765,0.7447,0.2804,0.2553,0
202302,2070,dillingham, ak,675000,0.125,,4,0,,196,0.1742,,0,-1,,0,,,0,,,,,,252,0.4945,,2358,0.2918,,661250,0.1581,,4,0,,,,,0
202302,2230,skagway, ak,1224500,0,1.7211,2,0,1,335,0.0912,40.875,0,,,0,,,0,,,1,0,,213,0,-0.0578,5996,0,2.0113,1224500,0,1.7211,3,-0.1667,1.5,0.5,0,,1
202302,2105,hoonah-angoon, ak,220000,0.0002,-0.2542,7,0.1667,-0.2222,206,0.0224,-0.0722,0,-1,,0,,,0,,,2,-0.25,,182,0,0.3622,1156,0,-0.4495,240700,0.1068,-0.2091,9,0.125,0,0.2143,-0.119,,1
202302,2195,petersburg, ak,424000,-0.007,0.4956,3,0,-0.25,129,0.1629,-0.8046,2,,,0,,,0,,,,,,271,-0.0651,0.5467,1622,0.0774,0.2238,455625,-0.0131,0.7549,3,0,-0.25,,,,1
202302,2020,anchorage, ak,454250,-0.0112,0.1573,194,-0.1185,-0.0128,36,-0.4893,0.7875,234,0.2581,-0.2688,4,0,-0.8824,40,-0.2308,0.4286,1,0,,249,0.0495,0.1452,1855,-0.0224,0.0369,539940,0.0254,0.2145,195,-0.1179,-0.0077,0.0052,0.0006,,0
202302,2150,kodiak island, ak,311725,0.0394,-0.2955,22,0.1316,1.0476,989,0.0292,3.5292,4,,1,0,,,0,-1,,0,-1,,253,0.3388,-0.0103,1657,0.003,-0.0732,639821,-0.0185,-0.3196,22,0.0488,1.0476,0,-0.0526,,1
202302,2164,lake and peninsula, ak,2107500,5.4846,6.025,2,1,-0.3333,119,-0.3907,-0.3009,0,,,0,,,0,,,,,,230,0.4281,0.8183,7508,2.7242,3.0453,2107500,5.4846,6.3517,2,1,-0.3333,,,,1
202302,2068,denali, ak,117500,-0.1048,-0.4766,2,0,0.3333,150,0.4585,-0.4103,0,,,0,,,0,,,,,,132,-0.1486,0.0453,933,-0.059,-0.4928,117500,-0.2055,-0.4766,2,0,0.3333,,,,1
202302,2100,haines, ak,305000,0,-0.1029,16,0.0333,0.2917,170,0.018,0.157,0,,,0,,,0,,,,,,175,0.0088,-0.0255,2304,-0.0048,1.3017,513825,0.0305,-0.0222,16,-0.0313,0.1481,,,,1
202302,2050,bethel, ak,318750,0.0669,-0.5058,4,0,1,166,0.2491,0.298,0,,,0,,,0,,,,,,171,0.0289,-0.4532,1161,-0.0077,-0.4235,342250,0.0118,-0.4694,4,0,1,,,,1
202302,2180,nome, ak,575000,0,,1,0,,197,0.1662,,0,,,0,,,0,,,,,,285,0,,2016,0,,575000,0,,1,0,,,,,0
202302,2198,prince of wales-hyder, ak,292000,-0.1474,-0.1015,23,0.0465,-0.2241,209,0.0774,0.163,6,,2,0,,,2,,,2,0,-0.4286,263,0.0314,0.1684,1500,0,-0.1314,442609,-0.0362,0.0118,25,0.0426,-0.2576,0.0889,-0.0041,-0.0318,1
202302,2016,aleutians west, ak,642500,0,,1,0,,192,0.1713,,0,,,0,,,0,,,,,,318,0,,2020,0,,642500,0,,1,0,,,,,0
202302,2290,yukon-koyukuk, ak,182500,0.4038,0.3036,3,0,-0.4,94,-0.3357,2.0569,2,,0,0,,,0,,-1,1,,,187,0.1987,0.2126,1100,0.1,-0.0833,231042,0.6503,0.6774,4,0.3333,-0.2,0.3333,,,1
202302,2240,southeast fairbanks, ak,352125,-0.1068,-0.1175,33,-0.0845,-0.0714,152,0.0574,0.3541,8,,,0,,,0,-1,,2,0,1,176,0.0311,-0.0045,1959,-0.0458,-0.0106,424660,-0.0416,0.1386,35,-0.0548,-0.0417,0.0615,0.0052,0.033,1
202302,2220,sitka, ak,742000,-0.0742,0.4394,11,0.75,0.1667,54,-0.219,-0.4831,4,1,0,0,,,2,,0,1,-0.6,-0.8824,305,-0.2891,-0.2475,2933,-0.133,0.0786,1136409,-0.2373,-0.1561,12,0.3529,-0.303,0.0952,-0.3214,-0.8492,0
202302,2090,fairbanks north star, ak,324975,0.0244,0.2792,127,-0.1119,0.7162,64,-0.2388,0.6887,58,-0.0645,-0.2927,2,,,32,0,1.2857,7,0.4444,0.4444,167,-0.0054,-0.0599,1823,0.0136,0.1459,340456,0.0214,0.0304,135,-0.0912,0.7025,0.0512,0.0197,-0.0096,0
202301,2150,kodiak island, ak,299900,-0.0449,-0.0912,19,-0.2083,0.5833,961,0.0339,4.206,0,-1,-1,0,,,2,-0.5,,1,-0.5,,189,-0.0954,-0.0548,1652,0.0549,-0.1636,651853,0.0651,-0.2456,21,-0.2679,0.7083,0.0526,-0.0307,,1
202301,2195,petersburg, ak,427000,0,0.22,3,0,-0.4,111,0.3987,-0.7525,0,,,0,,,0,,,,,,290,0,0.45,1505,0,-0.2079,461666,0,0.1561,3,0,-0.4,,,,1
202301,2130,ketchikan gateway, ak,395500,0.0167,-0.0088,28,-0.0345,0.4,111,0.2065,-0.2043,12,0.5,0,0,,,0,-1,,13,0.625,0.625,232,-0.0713,0.0121,1705,0.0761,-0.0277,380359,-0.0182,-0.0671,41,0.1714,0.4643,0.4643,0.1884,0.0643,0
202301,2100,haines, ak,305000,-0.0379,-0.0615,15,0.0714,0.25,167,0.1603,0.0472,0,-1,,0,,,0,,,1,0,0,173,0.0089,-0.0132,2315,-0.0047,0.365,498600,-0.0952,0.2585,16,0.0667,0.2308,0.0667,-0.0048,-0.0167,0
202301,2164,lake and peninsula, ak,325000,-0.8458,0.04,1,0,-0.6667,195,0.186,0.0927,0,,,0,,,0,,,,,,161,-0.2998,0.3181,2016,-0.7315,-0.2025,325000,-0.8458,-0.1034,1,0,-0.6667,,,,0
202301,2016,aleutians west, ak,642500,0,,1,0,,164,0.2386,,0,,,0,,,0,,,,,,318,0,,2020,0,,642500,0,,1,0,,,,,0
202301,2170,matanuska-susitna, ak,409100,-0.0374,0.023,276,-0.1662,0.4154,92,0.0575,0.0575,110,0.375,0.1,2,-0.5,-0.8333,46,0.0455,1.3,,,,245,0.0126,0.07,1791,-0.0539,-0.0343,430916,-0.0486,-0.0133,276,-0.1662,0.4154,,,,0
202301,2290,yukon-koyukuk, ak,130000,0.0078,-0.2655,3,-0.25,0,142,-0.2706,1.0809,0,,,0,,,0,,,,,,156,0.2074,0.9197,1000,0,-0.3969,140000,0.145,-0.3533,3,-0.25,0,,,,1
202301,2105,hoonah-angoon, ak,219950,0.2569,-0.0519,6,0,-0.25,201,-0.0383,0.0469,4,,,0,,,0,,,2,0,,182,0.0011,0.3624,1156,-0.0462,-0.3578,217483,0.1918,-0.0813,8,0,0,0.3333,0,,0
202301,2230,skagway, ak,1224500,1.6912,,2,-0.3333,,307,0.2686,,0,,,0,,,0,,,1,,,213,0.0484,,5996,1.6766,,1224500,0.265,,3,0,,0.5,,,0
202301,2122,kenai peninsula, ak,399000,-0.0009,0.2277,149,-0.1054,0.1602,119,0.202,0.0085,40,1,-0.2308,0,,,18,0.5,0.125,,,,235,-0.024,0.1328,1809,0.0049,0.1654,580258,-0.0048,0.2343,149,-0.1054,0.1602,,,,0
202301,2068,denali, ak,131250,0.117,-0.4154,2,0,-0.3333,103,0.3487,-0.5084,0,,,0,,,0,,,,,,155,0.1746,0.1386,992,0.0627,-0.4892,147900,0.2587,-0.2785,2,0,-0.3333,,,,1
202301,2070,dillingham, ak,600000,0,2.4286,4,-0.2,3,167,0.0742,0.0215,2,,,0,,,0,,,,,,168,0.0271,1.3085,1825,0.0139,-0.2396,571000,0.1002,2.2629,4,-0.2,3,,,,1
202301,2090,fairbanks north star, ak,317225,-0.0299,0.2694,143,-0.1921,0.7654,84,-0.0205,0.1167,62,0.2917,-0.1389,0,,,32,0,1.6667,5,-0.25,-0.25,168,-0.018,0.0538,1798,-0.0143,0.0851,333311,-0.0278,0.0779,148,-0.1913,0.6818,0.0315,-0.0024,-0.0426,0
202301,2220,sitka, ak,801500,-0.5899,0.4573,6,0.5,-0.4545,69,-0.772,-0.3773,2,,,0,,,0,,,3,-0.1667,1.5,430,-0.232,0.2758,3383,0.1404,0.4329,1489917,-0.2224,0.2833,9,0.2143,-0.3462,0.4167,-0.3333,0.3258,0
202301,2110,juneau, ak,431225,0.0783,-0.0197,42,-0.0455,0.9091,113,0.375,0.4643,10,-0.375,-0.5,0,,,8,1,,37,0.2333,0.0278,297,0.0009,0.1239,1376,0.0189,-0.1403,451300,-0.0076,-0.0745,79,0.0676,0.4364,0.881,0.1991,-0.7554,0
