month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,1099,monroe, al,150125,0.0178,-0.1463,38,-0.026,0.4423,84,0.0121,0.0637,12,0.2,0,0,,,2,-0.75,-0.5,6,0.5,0.7143,91,0.0402,0.2006,1733,-0.1293,-0.1531,207227,0.0194,0.0441,43,0.0118,0.4576,0.16,0.0561,0.0254,1
202302,1051,elmore, al,364600,-0.0115,0.0887,109,-0.0958,0.4564,71,-0.1744,0.449,76,0.3103,-0.2692,0,-1,-1,24,0,0.7143,75,0.4423,-0.2754,155,0.0465,0.1064,2160,0.0127,0.072,499688,-0.0071,0.0649,185,0.0725,0.0249,0.6912,0.2579,-0.698,0
202302,1071,jackson, al,289900,0.0605,0.0176,80,-0.0698,0.3793,83,0.0472,0.2425,40,0.3333,-0.0909,0,,,16,-0.4286,0.1429,22,0.2941,3.4,138,0.048,0.1103,2093,0.0202,-0.0596,392845,0.0531,-0.276,102,-0.0146,0.6371,0.275,0.0773,0.1888,0
202302,1103,morgan, al,319900,0,0.1716,162,-0.0182,0.9226,67,-0.0884,2.1163,108,0.3171,-0.2394,0,,,66,-0.1316,2,51,0.186,2.6429,143,0.0162,0.0906,2250,0,0.0684,370226,0.0002,-0.0663,217,0.0358,1.2143,0.3158,0.0544,0.1491,1
202302,1115,st. clair, al,289948,0.0043,-0.1264,267,-0.098,0.6584,88,0.0233,-0.0276,82,-0.3167,-0.4675,42,-0.0455,-0.0455,98,0.0652,1.7222,167,0.1893,-0.4663,167,0.0163,0.0173,1805,0.0028,-0.1371,353281,0.0433,-0.0976,436,0,-0.0782,0.6236,0.1506,-1.3143,1
202302,1037,coosa, al,438650,0.0318,-0.0685,23,-0.0426,0.3235,99,0.0615,0.5038,8,1,1,0,,,0,-1,-1,6,0.2,-0.4,176,0.0489,-0.1681,2288,0.0426,-0.0119,415084,-0.0142,-0.2433,28,0.0182,0.037,0.2667,0.0539,-0.3216,1
202302,1113,russell, al,280169,0.0829,0.6759,80,-0.0185,0.5143,33,-0.586,0.5854,76,0.6522,-0.1163,0,,-1,16,-0.2727,-0.2,44,0.1918,0.1154,115,0.0515,0.1306,2068,0.024,0.2156,263480,0.0204,0.366,123,0.0696,0.3743,0.5472,0.0966,-0.1957,1
202302,1097,mobile, al,239688,-0.0002,0.1978,656,-0.0857,0.2591,60,-0.1377,0.5867,428,0,-0.2246,10,-0.1667,-0.7222,190,-0.2083,0.4615,99,0.0313,-0.2355,132,0.0048,0.128,1807,0.0028,0.0345,314766,0.0048,0.1349,753,-0.0716,0.1685,0.1509,0.0171,-0.0976,0
202302,1069,houston, al,267447,0.1158,0.1364,159,-0.1783,0.1778,67,-0.0111,0.4889,112,0.0566,0.037,0,,,52,0.04,1.1667,33,0.1,0.1579,124,0.0576,0.0769,2141,0.0121,0.0775,292156,0.0386,-0.0952,192,-0.1409,0.1852,0.2075,0.0525,-0.0036,0
202302,1111,randolph, al,321225,0.0532,-0.1434,56,-0.0667,0.2874,99,0.1314,-0.2734,18,0,-0.1,0,,,6,-0.5714,-0.5,19,0.1935,-0.3019,156,-0.0194,-0.0949,1960,0.03,-0.0768,452427,0.0486,0.069,74,-0.0327,0.0647,0.3304,0.072,-0.2788,1
