month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,5025,cleveland, ar,232400,-0.1844,0.5504,7,0.4,-0.4615,30,-0.7094,-0.7287,2,-0.6667,,0,,,0,-1,-1,2,-0.2,1,91,-0.0674,0.0487,2320,-0.0203,0.4796,197813,-0.0857,0.3878,9,0.2,-0.3077,0.2857,-0.2143,0.2088,1
202302,5133,sevier, ar,232500,-0.0506,0.069,17,0.0645,-0.0833,87,0.0266,0.5845,8,3,0.3333,0,,,4,1,,9,0.0625,0.2143,129,0.0928,0.3353,1831,0.0917,0.0695,282253,0.1954,0.3165,25,0.0638,-0.0196,0.5152,-0.001,0.1263,0
202302,5053,grant, ar,244900,0.3375,0.2257,30,-0.2338,0.439,46,-0.1528,-0.3146,12,-0.4,-0.4545,0,,,14,-0.125,1.3333,25,0.6667,-0.1228,123,0.0555,0.2498,1997,0.1766,-0.0059,258206,0.0931,0.3587,56,0.0183,0.1809,0.8475,0.4578,-0.5428,0
202302,5055,greene, ar,199575,0.0942,-0.026,89,0.0595,0.4472,72,-0.0588,0.1163,40,-0.2,-0.0476,0,,,24,0.3333,0.5,54,0.0909,-0.0092,115,0.0273,0.0086,1774,0.0605,0.0081,231234,0.0223,-0.081,143,0.0752,0.2328,0.6067,0.0175,-0.2794,0
202302,5041,desha, ar,140000,0.0409,0.1915,13,0,0.2381,105,0,0.1117,2,-0.5,-0.5,0,,,2,,0,3,-0.5455,0.25,63,0.026,-0.1327,1988,0.0317,0.0887,152872,0.0106,0.0362,16,-0.1622,0.2917,0.1923,-0.2308,0.0018,0
202302,5011,bradley, ar,145000,-0.0757,1.1245,17,-0.0556,0.4167,127,-0.056,0.0929,4,0,,0,,,0,,,2,-0.5,-0.7143,87,-0.0455,0.7981,1724,0.0231,0.4051,144429,-0.071,0.3334,19,-0.1591,-0.0513,0.1176,-0.1046,-0.4657,1
202302,5145,white, ar,238712,0.011,0.4481,86,-0.0444,0.2836,63,-0.0455,0.1613,52,-0.037,-0.1875,0,-1,-1,10,-0.5,-0.375,87,0.2985,-0.0794,121,-0.0233,0.2547,1999,0.0531,0.106,319919,0.111,0.1571,171,0.0656,0.0557,1.0116,0.2672,-0.3988,0
202302,5119,pulaski, ar,262200,-0.0739,0.2496,621,-0.0606,0.6013,46,-0.0936,0.1646,414,-0.1154,-0.1375,24,0.7143,1,150,-0.1758,0.9737,551,0.2424,-0.2358,130,-0.0282,0.1054,1888,-0.0424,0.0565,339923,-0.0189,0.0081,1167,0.0576,0.0528,0.888,0.2165,-0.9727,0
202302,5015,carroll, ar,329750,0.005,-0.1242,105,-0.0188,0.6328,133,0.2014,0.232,26,0.0833,0.4444,0,,,14,0,0.1667,32,0,-0.4961,165,-0.0117,-0.0231,2035,0.0119,-0.0186,568497,0.0358,0.0337,134,-0.0326,0.0854,0.3062,0.0058,-0.686,1
202302,5035,crittenden, ar,223950,-0.0242,0.7578,75,0,0.6304,77,-0.064,0.4147,46,0.4375,0.4375,0,,,6,-0.5714,2,51,0.1209,11.75,112,-0.0247,0.1342,1925,0.0145,0.3771,250053,0.0257,0.3748,126,0.0633,1.5714,0.68,0.0733,0.593,1
