month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,6087,santa cruz, ca,1316250,0.0237,0.043,176,0.0323,0.6526,65,-0.1844,2.625,128,1.1333,-0.2099,0,,-1,38,0.3571,1.7143,93,0.1212,-0.3097,734,0.0129,0.0254,1691,-0.0108,0.0625,1658278,0.0091,0.0272,269,0.0762,0.1305,0.5256,0.0417,-0.7326,1
202302,6015,del norte, ca,423250,0.0163,0.0077,67,-0.0147,-0.0219,86,0.0486,0.5682,16,0.1429,-0.3333,0,,,14,0,0.1667,8,0.2308,-0.4839,261,-0.0063,0.065,1822,0.0097,0.055,541974,-0.0017,0.0129,76,0.0134,-0.1012,0.1194,0.0238,-0.1069,0
202302,6017,el dorado, ca,694250,0.0011,-0.0743,320,-0.1198,0.1555,80,-0.0305,1.3212,192,0.5238,-0.4483,2,0,-0.8,78,-0.1522,0.0541,194,0.5058,-0.4154,355,0.0178,0.0126,2058,-0.0135,-0.0824,1011883,0.0281,-0.1466,512,0.0418,-0.1552,0.6056,0.2516,-0.5915,1
202302,6051,mono, ca,695000,-0.1462,-0.1819,61,-0.0547,0.0804,88,0.1424,2.0696,22,0,-0.6207,0,,,2,-0.6667,0,23,0.4516,-0.4643,701,0.0272,0.0564,1226,-0.0965,-0.208,1249799,-0.0079,-0.1445,84,0.05,-0.1295,0.3719,0.1297,-0.3781,1
202302,6085,santa clara, ca,1489500,0.0647,0.0687,751,0.0115,0.2624,29,-0.445,1.6364,838,0.2216,-0.4237,30,1.1429,-0.2857,182,0.1974,2.7917,719,0.6986,-0.4259,894,0.0364,0.0218,1694,0.0276,0.0817,2136295,0.0397,0.0831,1469,0.2609,-0.1995,0.9574,0.3873,-1.1478,1
202302,6059,orange, ca,1132500,0.0302,0.0572,2290,-0.0922,0.6997,50,-0.2444,1.01,1806,0.1066,-0.3508,68,0.5455,-0.6495,542,-0.1662,2.1512,1747,0.4215,-0.2633,613,0.0071,0.0241,1803,0.009,0.0033,2239386,0.0677,-0.0629,4026,0.0733,0.0823,0.763,0.2757,-0.9975,1
202302,6097,sonoma, ca,949475,0.0349,-0.0053,398,-0.0269,0.352,74,-0.2011,1.0276,316,0.3739,-0.3471,10,4,-0.1667,108,-0.069,2.6,223,0.1097,-0.3417,517,0.0088,-0.0019,1883,0.0277,-0.0024,1803107,0.0094,-0.0082,626,0.0322,-0.0095,0.5597,0.0689,-0.5899,1
202302,6073,san diego, ca,932450,0.0276,0.097,2287,-0.1194,0.5413,38,-0.3056,0.4151,1894,0.0522,-0.3269,136,0.5111,-0.6284,648,-0.1123,2.1154,2210,0.3051,-0.2398,573,0.0396,0.0333,1682,-0.005,0.0295,1642029,0.0467,-0.0784,4465,0.0423,0.0177,0.9663,0.3143,-0.9929,0
202302,6067,sacramento, ca,530250,0.0158,-0.019,1145,-0.1751,0.4661,44,-0.275,0.8511,978,0.2506,-0.3566,36,0.2,-0.55,406,-0.168,0.9333,1065,0.3777,-0.3089,319,-0.001,-0.0544,1639,0.0109,0.0365,634433,0.0273,-0.0345,2206,0.0213,-0.0551,0.9301,0.3732,-1.043,1
202302,6043,mariposa, ca,487000,0.0285,-0.0105,80,-0.0305,0.4455,122,0.1883,0.4211,14,0,-0.5,0,-1,,20,0.25,4,19,0.1176,-0.5824,271,-0.0034,-0.0039,1792,0.0747,0.0334,840765,0.0361,-0.0382,98,-0.0102,-0.0201,0.239,0.0317,-0.5883,0
202302,6013,contra costa, ca,798588,0.0109,0.002,818,-0.0789,0.4783,31,-0.4469,1.2321,780,0.2581,-0.3868,22,-0.0833,-0.4762,224,-0.125,1.8,737,0.5532,-0.3641,480,0.0358,-0.013,1797,-0.0118,0.0635,1145009,0.0443,0.0829,1555,0.1413,-0.0888,0.9015,0.3669,-1.1943,1
202302,6001,alameda, ca,882500,0.028,0.0117,815,-0.0163,0.1578,30,-0.4175,1,780,0.1337,-0.4222,28,-0.125,-0.5333,178,-0.022,0.9778,729,0.4266,-0.3825,630,0.0121,-0.0202,1439,0.0184,0.0616,1111294,0.0194,0.0438,1543,0.1632,-0.1803,0.895,0.2779,-0.783,0
202302,6029,kern, ca,374878,-0.0002,0.0728,1174,-0.1103,0.5737,50,-0.25,0.8333,766,0.1713,-0.2263,32,-0.0588,-0.3043,298,-0.2587,1.0135,415,0.2833,-0.3478,214,0.0048,0.0144,1716,-0.0146,0.0438,424612,0.0011,0.016,1572,-0.032,0.1446,0.3531,0.1083,-0.4988,0
202302,6077,san joaquin, ca,542175,0.0057,-0.0404,671,-0.1582,0.6996,54,-0.1832,0.9455,468,0.1038,-0.3015,30,0.3636,-0.3478,208,-0.2518,2.1515,599,0.4592,-0.299,295,-0.014,-0.081,1867,0.0082,0.0753,631619,0.015,-0.0992,1270,0.0513,0.0152,0.8934,0.378,-1.2727,1
202302,6035,lassen, ca,299999,0.0169,-0.0682,89,-0.0582,0.3383,124,-0.0159,0.2831,24,0.2,-0.0769,0,,,12,-0.1429,-0.1429,27,0.963,-0.5182,181,0.0117,0.0149,1521,-0.0005,-0.1048,386992,0.0212,-0.128,116,0.0642,-0.0492,0.2978,0.1549,-0.5293,0
202302,6113,yolo, ca,663918,0.0595,-0.0146,132,-0.0504,0.4348,41,-0.4582,0.5728,116,0.2889,-0.1471,2,,,38,-0.3448,1.1111,112,0.3681,-0.3718,353,0.0296,-0.079,1877,0.0489,0.0308,814248,0.034,-0.0263,246,0.1131,-0.0872,0.8447,0.2584,-1.0847,1
202302,6011,colusa, ca,484900,0.106,0.3424,18,-0.1667,0.4,81,0.1459,3.0759,8,1,-0.6,0,,,4,1,,9,0.125,-0.4,245,0.0286,0.1122,2039,0.0239,0.3243,484759,0.0415,-0.1805,27,-0.0702,-0.0364,0.5143,0.1333,-0.6857,1
202302,6055,napa, ca,1409250,0.1388,-0.06,182,0.0522,0.2648,103,-0.012,0.2773,96,0.2,-0.3425,4,,1,46,0.5333,1.0909,61,0.4186,-0.2989,720,-0.0043,-0.0615,2119,0.018,0.0044,3028674,0.0124,-0.0307,245,0.1452,0.0494,0.3361,0.0868,-0.2702,0
202302,6081,san mateo, ca,1624500,0.0167,0.0751,424,0.0901,0.2756,30,-0.5588,0.4458,360,0.1392,-0.3617,4,1,-0.6667,94,0.119,0.88,269,0.4672,-0.4317,968,-0.0024,0.0146,1738,0.0502,0.0829,3294819,0.0567,-0.0271,687,0.2138,-0.1337,0.634,0.163,-0.7892,0
202302,6091,sierra, ca,799900,0.1083,0.6489,15,-0.0938,-0.0938,164,0.2077,0.169,0,,-1,0,,,2,,,5,-0.3333,0,290,0.0003,0.175,2978,0.192,0.2387,886388,0.0799,0.4448,19,-0.2083,-0.0952,0.3448,-0.1239,0.0323,1
202302,6099,stanislaus, ca,489499,0.0013,0,417,-0.0856,0.4955,52,-0.1523,0.807,324,0.35,-0.3106,8,-0.3333,-0.6364,134,-0.029,1.0303,358,0.1937,-0.3506,284,0.0092,-0.014,1737,0.0145,-0.0014,598172,0.0043,-0.0239,773,0.0239,-0.0732,0.8583,0.2008,-1.1183,1
202302,6109,tuolumne, ca,447000,0.0205,-0.0908,175,-0.0862,0.5695,106,0,0.7016,60,0.6667,-0.4643,0,,-1,42,-0.125,0.6154,72,0.2101,-0.4263,262,-0.0086,-0.0233,1720,0.0338,-0.0503,561529,0.0222,-0.129,247,-0.014,0.0466,0.4114,0.1007,-0.7141,0
202302,6025,imperial, ca,349000,0.0132,0.2076,127,-0.2063,0.8955,71,0.0846,1.6857,56,-0.0667,-0.3171,4,0,1,26,-0.35,1.6,98,0.1073,-0.1799,208,0.0063,0.1071,1669,0.0152,0.0699,361727,0.0077,0.1596,229,-0.0692,0.2452,0.7717,0.2185,-1.0119,1
202302,6021,glenn, ca,411498,0.0737,0.01,31,0.3478,0.069,51,-0.4171,-0.1429,24,1,-0.0769,0,,,8,-0.2,0.3333,13,0,-0.5283,263,-0.0115,0.0833,1604,0.0337,0.0204,542501,0.131,0.084,44,0.2254,-0.2232,0.4032,-0.1403,-0.5106,0
202302,6095,solano, ca,599000,0,0.011,397,-0.1705,0.8926,59,-0.1862,1.7442,352,0.2308,-0.2348,28,0.2727,-0.2222,120,-0.2941,2.3333,342,0.2532,-0.1671,331,-0.001,-0.0613,1778,-0.0017,0.037,675007,-0.0063,-0.0091,738,-0.0153,0.1913,0.8613,0.2912,-1.0958,1
202302,6083,santa barbara, ca,1343750,0.075,-0.0888,283,-0.0035,0.3738,46,-0.3872,0.4677,202,0.2169,-0.2348,8,,0.3333,64,-0.0303,2.2,147,0.1057,-0.3122,751,0.1251,0.0668,2030,-0.0088,-0.013,3922010,0.0485,-0.2586,423,0.0292,0.0305,0.5177,0.0511,-0.5163,0
202302,6089,shasta, ca,425000,0.0374,-0.1182,366,-0.0688,0.1964,71,-0.1416,0.7925,192,0.3151,-0.3469,8,1,-0.5,96,-0.1429,0.4118,17,0.0625,-0.4925,251,0.0101,-0.0074,1737,0.0006,-0.0551,607181,0.0221,-0.0577,385,-0.0575,0.1374,0.0465,0.0057,-0.0631,1
202302,6079,san luis obispo, ca,949000,-0.0032,-0.0267,341,-0.0326,0.6161,74,-0.0545,0.6857,196,0.1136,-0.2899,0,-1,-1,100,0.1111,1.9412,215,0.4052,-0.2809,541,0.0035,0.0576,1806,0.0033,-0.0596,1329969,0.0366,-0.2771,557,0.0976,0.1064,0.6305,0.1965,-0.7866,0
202302,6063,plumas, ca,397000,0.0051,-0.1416,101,-0.1829,0.4056,152,0.0594,0.8938,16,1,-0.5789,0,,,14,0.4,0.75,11,-0.551,-0.56,235,-0.0046,-0.0673,1610,-0.0065,-0.1641,497252,0.0312,-0.4366,109,-0.2594,0.1361,0.1095,-0.0897,-0.2402,1
202302,6053,monterey, ca,1241250,0.2653,0.2199,301,-0.0681,0.5357,63,-0.2188,1.381,190,0.4615,-0.246,4,,0,78,0.1818,1.1667,183,0.6441,-0.3388,648,0.0806,0.0331,1914,0.0239,0.0632,2725104,0.1105,-0.0539,484,0.1077,0.0276,0.6063,0.2627,-0.8019,1
202302,6039,madera, ca,471750,0.0059,0.0102,314,-0.0369,0.6544,70,-0.2213,0.8411,124,0.1698,-0.3034,4,,-0.5,92,0.2105,1.3,179,0.4494,-0.3774,241,-0.0098,0.0177,1975,0.0373,-0.0467,604366,0.0305,-0.0781,489,0.0892,0.0405,0.571,0.1916,-0.9462,0
202302,6061,placer, ca,749500,0.0381,0.0014,666,-0.1197,0.7444,61,-0.1469,1.2593,416,0.0722,-0.35,24,0.0909,-0.1429,204,-0.1053,1.4286,491,0.3682,-0.227,352,0.0292,-0.0424,2218,0.0153,0.0286,1321329,0.043,-0.0663,1148,0.0282,0.1249,0.737,0.2628,-0.9261,1
202302,6103,tehama, ca,399125,-0.0008,0.0651,183,-0.0368,0.5913,99,0.018,1.0412,50,-0.2188,-0.3421,0,,-1,46,-0.0417,0.5333,57,0.2955,-0.2645,237,-0.0417,-0.0295,1708,0.0066,0.0587,507049,-0.0177,-0.2104,235,0.0108,0.2507,0.3115,0.0799,-0.3624,1
202302,6075,san francisco, ca,1299000,0.0097,0.0293,812,0.1924,0.0776,36,-0.5298,0.5106,502,0.0546,-0.3709,16,1,0.6,124,0.3191,0.1481,316,0.5879,-0.3305,1036,0.023,-0.0293,1330,0.0124,0.0837,2128160,0.0252,0.0148,1120,0.2942,-0.0839,0.3892,0.0969,-0.2372,0
202302,6031,kings, ca,375250,0.0197,0.1682,163,-0.0894,0.8953,52,-0.1303,0.1436,96,0.2308,-0.0769,6,0.5,-0.25,50,-0.0741,1.5,154,0.2899,-0.1635,215,-0.0093,0.0581,1697,0.0125,0.0811,435739,0.0594,0.1132,311,0.0688,0.1673,0.9417,0.2769,-1.192,1
202302,6023,humboldt, ca,472450,-0.0116,-0.1185,261,-0.0298,0.6384,101,-0.0099,0.5344,92,0.15,-0.1481,0,,-1,50,-0.2424,0.6667,5,0,1.5,311,-0.0046,-0.0085,1518,0.0071,-0.0511,618384,-0.0187,-0.2624,266,-0.0274,0.6522,0.0192,0.0006,0.0066,1
202302,6047,merced, ca,439500,0.0421,-0.0222,300,-0.095,0.5424,80,0.0191,1.0779,146,0.2586,-0.3967,4,1,-0.6,70,0,0.9444,166,0.4888,-0.4829,253,-0.0007,-0.0487,1788,0.0461,0.1416,549894,0.0803,-0.2745,455,0.026,-0.12,0.5533,0.217,-1.0971,1
202302,6009,calaveras, ca,577500,0.0567,0.0628,175,-0.0888,0.2376,106,0.0842,1.125,76,0.7273,-0.4412,2,,-0.5,20,-0.2308,-0.3333,85,0.1972,-0.4864,289,0.0134,-0.0236,1959,0.0315,0.0173,724663,0.0518,0.0147,257,-0.0153,-0.1601,0.4871,0.1163,-0.6867,1
202302,6005,amador, ca,549000,0.057,-0.03,119,-0.0595,0.7299,80,-0.1163,0.5411,52,0.3,-0.1875,0,,,20,-0.1667,0.25,44,0.2754,-0.4286,267,0.0017,-0.0457,1995,0.0063,0.0306,681384,0.0594,-0.0664,163,0.0125,0.113,0.3713,0.0975,-0.7528,0
202302,6007,butte, ca,427113,0.011,-0.0508,342,-0.1035,0.6247,82,-0.0468,1.2639,134,0.0806,-0.3431,2,,,90,0,0.125,149,0.2574,-0.3493,266,0.0013,-0.06,1709,0.0019,0.0326,519039,0.0244,-0.0313,493,-0.0199,0.1244,0.4357,0.1251,-0.6522,1
202302,6019,fresno, ca,426500,-0.008,0.0846,845,-0.1404,0.7623,48,-0.1933,0.6134,620,0.1969,-0.225,32,0.3333,-0.5,262,-0.1656,1.9773,799,0.2879,-0.263,242,0.0087,0.0254,1763,-0.0098,0.0384,567938,0.0372,0.0649,1633,0.0222,0.0549,0.945,0.3142,-1.3147,1
202302,6069,san benito, ca,823650,-0.0183,-0.0338,80,-0.0062,0.8824,40,-0.4631,1.0513,46,-0.1786,-0.2333,2,,,30,-0.1176,1.5,49,0.4058,-0.3533,422,0.0265,-0.021,1910,-0.0394,-0.05,975710,0.0189,-0.1096,129,0.1272,0.0844,0.6063,0.1777,-1.1585,1
202302,6101,sutter, ca,451500,0.0033,-0.0629,94,-0.0457,0.7736,55,-0.0756,1.0755,52,-0.1613,-0.4468,0,,-1,30,0.0714,0.25,56,0.0091,-0.3621,260,0.0097,0.0155,1678,0.0133,-0.0811,497239,0.0066,-0.0658,148,-0.0482,0.0571,0.5904,0.032,-1.0511,1
202302,6093,siskiyou, ca,329500,0.0046,-0.2328,133,-0.0569,0.1623,102,0.0278,-0.0996,40,0.1765,-0.2593,0,,,26,0.3,0.4444,42,0.9302,-0.4029,227,0.0234,-0.0938,1509,-0.0603,-0.1168,506558,-0.1912,-0.3989,175,0.0802,-0.0463,0.3132,0.1602,-0.2964,1
202302,6049,modoc, ca,256250,0.0281,-0.0724,32,-0.0156,-0.0308,128,0.2642,0.2768,4,-0.3333,-0.6,0,,,2,0,,3,0.5,-0.6,164,0.0415,0.0978,1796,0.0028,0.1533,337599,0.1129,0.0896,34,-0.0145,-0.1392,0.0952,0.0327,-0.1355,0
202302,6003,alpine, ca,36950,-0.218,-0.7714,31,-0.1014,0.1481,92,0.0166,-0.4596,6,0,-0.4,0,,,8,,1,9,1,0.5,45,-0.1518,-0.5739,776,0,-0.349,332019,-0.2124,-0.4377,40,0.0127,0.2308,0.2903,0.1599,0.0681,1
202302,6033,lake, ca,399000,0,0.0284,259,-0.0227,0.3641,97,-0.1339,0.2317,92,0.4839,-0.08,2,,-0.6667,56,-0.0345,0.1667,95,0.2025,-0.331,247,-0.0084,-0.0234,1553,0.0071,-0.0031,505150,-0.009,-0.1969,350,0.0219,0.0655,0.3675,0.0688,-0.3818,0
202302,6115,yuba, ca,467500,-0.0037,0.0161,190,0.0412,0.9436,55,-0.3413,0.5385,100,0.1364,-0.2647,8,1,-0.3333,34,-0.2917,0.8889,101,0.4429,-0.397,258,-0.0065,-0.0385,1848,-0.0055,0.0766,516031,-0.0126,-0.0234,293,0.1673,0.1205,0.533,0.1484,-1.185,1
202302,6057,nevada, ca,700000,0.0622,0.1164,266,-0.1059,0.1037,82,-0.1257,0.635,126,0.4651,-0.4474,2,-0.5,-0.75,46,-0.2069,0.15,132,0.2166,-0.4081,332,0.0121,0.0415,2222,0.0407,0.1838,951257,0.0438,0.2466,397,-0.0329,-0.1444,0.4962,0.1315,-0.4291,0
