month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,8041,el paso, co,492500,0.0051,0.0282,1262,-0.1338,1.3834,47,-0.2713,2.6154,920,0.0673,-0.145,22,-0.3529,-0.8382,550,-0.2075,6.8571,640,0.2688,0.0407,222,0.0166,-0.008,2355,0.0141,0.0261,617104,0.0149,-0.0681,1889,-0.0375,0.6617,0.5067,0.1608,-0.6538,1
202302,8053,hinsdale, co,603750,0.1129,-0.2453,8,0.2308,1,68,-0.3015,-0.7092,2,,,0,,,0,,,4,0.3333,1,425,0.0092,-0.2004,1394,0.1734,-0.326,658563,0.1817,-0.333,12,0.2778,0.9167,0.5,0.0385,0,1
202302,8125,yuma, co,247450,-0.0002,-0.1612,21,-0.125,3.6667,96,-0.0103,-0.5591,4,0,0,0,,,2,-0.6667,,8,0.5,0.0714,158,0.0238,0.4696,1680,-0.0734,-0.3878,279036,0.0052,-0.1719,29,0.0175,1.4167,0.3571,0.1488,-1.1984,1
202302,8101,pueblo, co,347450,-0.0058,-0.0481,548,-0.0352,1.3701,61,-0.1383,1.2925,266,0.064,-0.0567,4,-0.5,-0.5,212,-0.045,2.4194,134,0.1609,-0.1359,175,0.009,-0.0014,1855,-0.0261,0.058,417370,-0.0048,-0.0572,676,-0.0073,0.7847,0.2438,0.0412,-0.425,1
202302,8013,boulder, co,875000,0.0343,-0.0014,482,0.0993,1.8746,49,-0.3918,1.4872,368,0.5593,0.1429,10,0.6667,-0.4444,136,0.1333,5.8,303,0.3618,-0.18,406,0.0268,-0.0564,2516,0.0117,0.0182,1519179,0.0191,-0.0696,781,0.1962,0.4616,0.6293,0.1213,-1.5767,1
202302,8014,broomfield, co,680000,0.0462,0.0584,59,-0.2237,1.4583,34,-0.5194,6.1579,72,0.5,-0.0526,6,0.5,2,22,-0.3889,10,111,0.5971,0.2333,265,-0.0061,0.018,2624,0.0931,0.046,1017134,0.0797,0.0044,172,0.1588,0.5044,1.8814,0.9669,-1.8686,1
202302,8077,mesa, co,485750,-0.0086,0.079,465,-0.0481,1.2963,67,-0.0853,1.127,226,0.378,-0.1439,2,-0.5,-0.8,142,-0.1647,1.3667,248,0.4131,-0.343,265,0.0062,0.0557,1913,0.0087,0.031,607884,0.0093,0.0158,709,0.0791,0.2288,0.5333,0.1741,-1.3309,1
202302,8109,saguache, co,425000,-0.0275,-0.0341,48,0.0213,1.2857,164,0.0846,0.3568,10,1.5,0.25,0,,,4,0,,8,-0.2,-0.0588,266,-0.0245,-0.1024,1525,0,0.0843,635197,-0.0296,-0.1441,57,-0.0088,0.9483,0.1667,-0.0461,-0.2381,0
202302,8107,routt, co,1000000,-0.0074,-0.3043,116,-0.1212,1,107,0.1595,0.5,36,-0.1818,-0.4194,0,,,14,0,1.3333,84,0.1748,-0.3115,646,0.0362,-0.0008,2248,0.0888,-0.2061,1923152,0.0665,-0.4551,199,-0.0124,0.1307,0.7241,0.1825,-1.3793,1
202302,8031,denver, co,638450,0.0739,-0.0215,806,-0.0846,1.0025,39,-0.384,3.2778,746,0.2032,-0.218,14,-0.3636,-0.4615,318,-0.1632,2.6977,784,0.3552,-0.2618,425,0.0744,-0.0288,1673,0.0147,0.1078,965856,0.1228,0.0847,1572,0.0676,0.0705,0.9727,0.3157,-1.6658,1
