month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,9009,new haven, ct,387000,0.0391,0.1235,712,-0.1094,0.1392,44,-0.3308,0.2254,626,0.1593,-0.1563,20,-0.1667,0.1111,144,-0.28,0.3585,1076,0.1076,-0.2495,218,0.0193,0.0128,1758,-0.0014,0.1072,515822,0.0454,0.0135,1786,0.0085,-0.1324,1.5105,0.296,-0.7823,0
202302,9013,tolland, ct,384500,0.0255,0.0463,98,-0.0625,-0.1372,39,-0.4708,0.0267,92,0.2432,-0.2459,0,-1,-1,22,-0.0833,0.2222,151,0.0342,-0.3198,198,0.0489,-0.0253,2035,0.0227,0.1955,422091,0.0525,0.0016,246,-0.0316,-0.265,1.5487,0.1449,-0.4159,0
202302,9015,windham, ct,364475,-0.0135,0.1665,99,-0.1041,0.1124,39,-0.3659,-0.0824,82,0.0789,0.0789,4,,1,22,-0.3125,1.75,139,0.112,-0.2997,210,0.0536,0.0823,1862,-0.0181,0.2457,988270,0.0644,-0.0602,237,0,-0.1802,1.404,0.2728,-0.8263,0
202302,9007,middlesex, ct,582450,0.0205,0.1547,190,-0.0572,-0.0232,88,0.0263,0.0263,130,0.1207,-0.2442,2,,-0.8,26,-0.4583,0.0833,242,0.1691,-0.2219,260,0.088,0.1634,2354,0.0071,0.1175,814620,0.081,0.2538,425,0.0442,-0.165,1.277,0.2472,-0.326,0
202302,9003,hartford, ct,361200,0.0471,0.0704,506,-0.0775,-0.1004,31,-0.3873,0.0776,544,0.0421,-0.2273,30,2,0.5,110,0.0377,0.1957,976,0.0285,-0.2884,204,0.0384,0.0189,1867,0.0351,0.088,490140,0.0432,0.1432,1482,-0.0097,-0.2323,1.9289,0.1987,-0.5094,0
202302,9001,fairfield, ct,963450,0.1894,0.0914,1181,-0.0457,0.0146,72,-0.1118,0.2544,770,0.129,-0.251,26,0.625,-0.5806,152,-0.2963,0.1014,1211,0.1862,-0.3184,383,0.1184,0.007,2529,0.0566,0.0881,2267314,0.1588,-0.0039,2371,0.0538,-0.19,1.0254,0.2004,-0.501,0
202302,9011,new london, ct,481725,0.0955,0.3023,261,-0.0939,-0.0493,71,-0.0596,0.5435,184,-0.0213,-0.2459,8,3,-0.5,36,-0.3793,0,349,0.0706,-0.2551,233,0.0483,0.061,1960,0.059,0.221,858192,0.0944,0.3196,608,-0.0154,-0.1833,1.3397,0.2058,-0.3701,0
202302,9005,litchfield, ct,598500,0.0574,0.0697,293,-0.1,-0.1096,111,0.0968,0.0425,170,0.4407,-0.0659,6,2,-0.4,42,-0.3636,0.05,266,0.0057,-0.3571,253,0.0212,0.0246,2466,0.0636,0.0834,1255107,0.0138,-0.0202,558,-0.0535,-0.2425,0.9077,0.0954,-0.3495,0
202301,9015,windham, ct,369450,-0.0012,0.3242,111,-0.2163,-0.0792,62,0.2813,0.0696,76,0.2667,-0.1739,0,,,32,0.1429,0,125,-0.1497,-0.349,199,0.0286,0.0566,1896,0.0327,0.3031,928456,0.1447,0.5282,237,-0.1788,-0.2321,1.1312,0.0887,-0.4688,0
202301,9013,tolland, ct,374950,-0.0386,0.0868,104,-0.218,-0.1034,73,0.0104,0.1926,74,0.5417,-0.3148,8,1,1,24,0.5,0.2,146,-0.1705,-0.3453,189,-0.0178,-0.0154,1990,-0.0429,0.177,401048,-0.0366,-0.0166,254,-0.1769,-0.2433,1.4038,0.0805,-0.5186,0
