month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,11001,district of columbia, dc,622450,-0.0158,0.1318,1490,-0.0372,0.0968,49,-0.2576,0.3243,726,0.0083,-0.3019,26,-0.1333,0.0833,418,0.1297,0.4414,812,0.3026,-0.2696,527,0.008,-0.0664,1316,0.0108,0.2596,919798,0.0028,-0.0157,2301,0.0591,-0.066,0.5448,0.1421,-0.2733,0
202301,11001,district of columbia, dc,632450,-0.0255,0.1499,1547,-0.1391,0.1284,66,0.056,0.0313,720,0.9355,-0.2241,30,1.5,0.5,370,0.3806,0.3214,623,-0.0415,-0.2645,523,-0.0019,-0.0658,1302,-0.0136,0.2543,917193,0.0046,0.011,2173,-0.1118,-0.0084,0.4027,0.041,-0.2151,0
202212,11001,district of columbia, dc,649000,-0.0014,0.1151,1797,-0.1496,0.079,63,0.3021,0.1261,372,-0.4513,-0.3381,12,-0.3333,-0.25,268,-0.5813,-0.1299,650,-0.1379,-0.3631,524,-0.0125,-0.0594,1320,-0.0015,0.2138,912969,-0.0258,0.0089,2446,-0.1425,-0.089,0.3617,0.0049,-0.251,0
202211,11001,district of columbia, dc,649900,0.0051,0.1072,2113,-0.0374,0.0287,48,0.3333,0.0667,678,-0.2189,-0.3234,18,-0.25,-0.1,640,-0.1444,0.1034,754,-0.0383,-0.3745,531,-0.0175,-0.0454,1322,0.0328,0.1948,937156,0.0182,0.0421,2853,-0.0366,-0.1235,0.3568,-0.0003,-0.2301,0
202210,11001,district of columbia, dc,646587,0.0408,0.0778,2195,0.1041,0.0055,36,-0.1429,0.0588,868,-0.292,-0.2767,24,0,-0.1429,748,0.1472,0.0108,784,0.0616,-0.3328,540,0.0001,-0.0353,1280,0.03,0.1429,920431,0.0296,0.0135,2961,0.0896,-0.1206,0.3572,-0.0143,-0.1811,0
202209,11001,district of columbia, dc,621250,0.0369,0.0371,1988,0.0902,-0.0146,42,-0.082,0.1351,1226,0.6174,-0.2191,24,1,-0.0769,652,0.4489,0.0619,739,-0.0977,-0.2379,540,0.0087,-0.0395,1243,0.0281,0.1201,893955,0.0053,-0.0327,2718,0.0286,-0.0887,0.3715,-0.0774,-0.1088,0
202208,11001,district of columbia, dc,599125,-0.0328,0.0243,1824,-0.0321,0.0679,46,0.064,0.0765,758,-0.2071,-0.1521,12,-0.5,0.2,450,-0.2969,-0.0175,819,-0.1035,-0.2606,535,-0.0108,-0.0463,1209,0.0073,0.1244,889277,-0.0171,-0.0325,2642,-0.0541,-0.0608,0.4489,-0.0357,-0.1995,0
202207,11001,district of columbia, dc,619450,-0.0008,0.0682,1884,-0.0326,0.042,43,0.1944,0.1026,956,-0.2303,-0.1843,24,0,-0.3333,640,-0.1086,0.1429,913,-0.1325,-0.236,541,-0.0223,-0.0634,1200,0.0325,0.1429,904794,-0.0093,-0.0216,2793,-0.0698,-0.0674,0.4846,-0.0558,-0.1763,0
202206,11001,district of columbia, dc,619950,0.0334,0.0472,1948,0.0901,0.0558,36,0,0.0141,1242,-0.022,-0.1026,24,-0.3333,-0.4,718,0.2509,0.315,1053,-0.1062,-0.2264,554,-0.0104,-0.0477,1162,0.0206,0.0967,913268,-0.0429,-0.05,3003,0.0164,-0.058,0.5404,-0.1187,-0.1972,0
202205,11001,district of columbia, dc,599900,0.0344,0.0525,1787,0.1526,0.0834,36,0,0.0286,1270,-0.014,-0.0231,36,0.5,0,574,0.1958,0.2699,1178,-0.0603,-0.0837,559,-0.0012,-0.0469,1139,0.0698,0.1387,954167,0.0209,0.0163,2954,0.0535,-0.0057,0.6591,-0.1493,-0.1202,0
202204,11001,district of columbia, dc,579950,0.0366,0.0132,1550,0.0491,-0.0196,36,0.0435,0,1288,0.0787,-0.0108,24,-0.1429,-0.4783,480,0.194,0.1881,1253,0.0637,-0.0321,560,-0.0099,-0.0566,1065,0.0228,0.0688,934600,-0.0144,-0.0076,2804,0.0569,-0.0244,0.8084,0.0111,-0.0104,0
202203,11001,district of columbia, dc,559500,0.0174,0.0089,1478,0.088,-0.014,35,-0.0676,-0.1039,1194,0.1481,-0.0149,28,0.1667,0,402,0.3862,0.1754,1178,0.0603,-0.0368,566,0.0017,-0.0506,1041,-0.0038,0.0542,948256,0.0148,0.0102,2653,0.0769,-0.025,0.7973,-0.0208,-0.0189,0
202202,11001,district of columbia, dc,549950,-0.0001,-0.0253,1358,-0.0095,-0.0602,37,-0.4219,-0.0976,1040,0.1207,0.1207,24,0.2,-0.1429,290,0.0357,-0.0645,1111,0.3117,-0.0624,565,0.0087,-0.0496,1045,0.0065,0.0303,934433,0.03,-0.0296,2464,0.1244,-0.0619,0.8181,0.2003,-0.002,0
202201,11001,district of columbia, dc,549990,-0.055,-0.0654,1371,-0.1768,-0.0711,64,0.1532,0.0847,928,0.6512,-0.0252,20,0.25,-0.1667,280,-0.0909,-0.1667,847,-0.17,-0.1018,560,0.005,-0.0511,1038,-0.0455,-0.0254,907212,0.0026,-0.0639,2191,-0.184,-0.0935,0.6178,0.0051,-0.0211,0
202112,11001,district of columbia, dc,582000,-0.0085,-0.0396,1666,-0.1891,-0.03,56,0.2333,0.0472,562,-0.4391,-0.2017,16,-0.2,-0.3846,308,-0.469,-0.0888,1021,-0.1535,-0.0309,557,0.0021,-0.052,1088,-0.0172,-0.0071,904903,0.0062,-0.0462,2685,-0.175,-0.0337,0.6127,0.0258,-0.0006,0
202111,11001,district of columbia, dc,587000,-0.0215,-0.0215,2054,-0.0591,0.0596,45,0.3235,0.0778,1002,-0.165,0.0245,20,-0.2857,-0.1667,580,-0.2162,0.16,1206,0.026,0.0365,556,-0.0071,-0.0529,1107,-0.0121,0.0245,899308,-0.0097,-0.0296,3255,-0.0334,0.0532,0.5869,0.0487,-0.013,0
202110,11001,district of columbia, dc,599900,0.0015,-0.0476,2183,0.082,0.1109,34,-0.0811,-0.0286,1200,-0.2357,-0.0196,28,0.0769,-0.2222,740,0.2052,0.1859,1175,0.2126,0.006,560,-0.0043,-0.0398,1120,0.0095,-0.0088,908129,-0.0174,-0.0279,3367,0.1291,0.0679,0.5383,0.058,-0.0562,0
202109,11001,district of columbia, dc,599000,0.0241,-0.0774,2018,0.1816,0.1483,37,-0.1294,0.1212,1570,0.7562,0.141,26,1.6,0.1818,614,0.3406,0.1673,969,-0.1247,1.5071,562,0.0017,-0.0374,1110,0.0321,-0.0464,924207,0.0055,-0.0526,2982,0.0601,0.3915,0.4803,-0.168,0.2603,0
202108,11001,district of columbia, dc,584925,0.0087,-0.1398,1708,-0.0556,0.1522,43,0.0897,0.371,894,-0.2372,-0.2046,10,-0.7222,-0.5833,458,-0.1821,-0.0458,1107,-0.0736,1.8753,561,-0.0286,-0.0496,1075,0.0238,-0.126,919180,-0.006,-0.1066,2813,-0.0608,0.5075,0.6483,-0.0126,0.3885,1
202107,11001,district of columbia, dc,579900,-0.0204,-0.1693,1808,-0.0198,0.2626,39,0.0986,0.2381,1172,-0.1532,0.0103,36,-0.1,0.6364,560,0.0256,0.3861,1195,-0.1216,2.0177,578,-0.0059,0.0181,1050,-0.0092,-0.2193,924762,-0.0381,-0.1134,2995,-0.0604,0.6452,0.661,-0.0766,0.3844,1
202106,11001,district of columbia, dc,592000,0.0386,-0.1542,1845,0.1186,0.3222,36,0.0143,-0.0139,1384,0.0646,0.2446,40,0.1111,1,546,0.208,0.5424,1361,0.0588,2.682,581,-0.0095,0.0388,1060,0.0597,-0.234,961352,0.024,-0.0813,3188,0.0729,0.808,0.7376,-0.0417,0.4727,1
202105,11001,district of columbia, dc,570000,-0.0042,-0.184,1649,0.043,0.2436,35,-0.0278,-0.2391,1300,-0.0015,0.4444,36,-0.2174,1.25,452,0.1188,0.4304,1285,-0.0073,3.1857,587,-0.0114,0.0828,1000,0.004,-0.2795,938824,-0.0031,-0.1042,2971,0.0338,0.8194,0.7793,-0.0395,0.5477,1
202104,11001,district of columbia, dc,572400,0.0321,-0.1644,1581,0.0551,0.2538,36,-0.0649,-0.04,1302,0.0743,0.8184,46,0.6429,3.6,404,0.1813,0.7119,1295,0.0585,4.2093,594,-0.0036,0.1228,996,0.0089,-0.2823,941767,0.0033,-0.0776,2874,0.0562,0.916,0.8188,0.0026,0.6217,1
202103,11001,district of columbia, dc,554575,-0.0171,-0.2071,1499,0.037,0.2764,39,-0.061,0.2727,1212,0.306,0.1744,28,0,1.8,342,0.1032,0.3053,1223,0.0321,3.2318,596,0.0028,0.117,987,-0.0264,-0.3111,938693,-0.0252,-0.1431,2721,0.0362,0.8535,0.8161,-0.0039,0.57,1
202102,11001,district of columbia, dc,564250,-0.0411,-0.1641,1445,-0.021,0.2743,41,-0.3051,0.1714,928,-0.0252,0.11,28,0.1667,0.4,310,-0.0774,-0.019,1185,0.2566,3.2626,594,0.007,0.1461,1014,-0.0479,-0.2757,962937,-0.0064,-0.0694,2626,0.0865,0.8506,0.8201,0.1812,0.5749,1
202101,11001,district of columbia, dc,588450,-0.029,-0.1282,1476,-0.1404,0.2403,59,0.1132,-0.0042,952,0.3523,0.193,24,-0.0769,2,336,-0.0059,0.2444,943,-0.1045,3.0299,590,0.0041,0.1484,1065,-0.0276,-0.2412,969163,0.0215,-0.0445,2417,-0.1301,0.6985,0.6389,0.0256,0.4423,1
202012,11001,district of columbia, dc,606000,0.0102,-0.115,1717,-0.1143,0.2866,53,0.2695,-0.014,704,-0.2802,0.6762,26,0.0833,2.25,338,-0.324,0.8571,1053,-0.0946,3.5882,588,0.0011,0.1544,1095,0.0141,-0.2366,948778,0.0238,-0.059,2779,-0.1008,0.7782,0.6133,0.0133,0.4413,1
202011,11001,district of columbia, dc,599900,-0.0476,-0.1293,1939,-0.0135,0.1727,42,0.1929,-0.006,978,-0.201,0.3145,24,-0.3333,2,500,-0.1987,-0.0809,1163,-0.0043,3.0242,587,0.0067,0.1458,1080,-0.0442,-0.2463,926756,-0.008,-0.0628,3090,-0.02,0.5903,0.5999,0.0055,0.4251,1
202010,11001,district of columbia, dc,629900,-0.0298,-0.0735,1965,0.1184,0.1381,35,0.0606,0.035,1224,-0.1105,0.283,36,0.6364,0.3846,624,0.1863,0.0065,1168,2.022,3.3745,583,-0.0019,0.145,1130,-0.0288,-0.2098,934210,-0.0424,-0.0367,3153,0.4713,0.5789,0.5944,0.3744,0.4398,0
202009,11001,district of columbia, dc,649225,-0.0453,-0.0315,1757,0.1856,0.0549,33,0.0645,-0.0068,1376,0.2242,0.4515,22,-0.0833,-0.0833,526,0.0958,-0.0804,387,0.0039,0.4503,584,-0.011,0.1626,1164,-0.0541,-0.1912,975555,-0.0518,0.0112,2143,0.1484,0.1101,0.22,-0.0398,0.06,0
