month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,10003,new castle, de,429990,0.0851,0.2488,433,-0.1409,-0.0181,62,-0.1214,0.0336,418,0.0885,-0.2987,50,0.3889,-0.5536,112,-0.2329,0.098,603,0.1745,-0.287,199,0.0239,0.1033,2145,0.034,0.1213,492626,0.0824,0.2309,1033,0.0182,-0.1971,1.3915,0.3736,-0.5246,0
202302,10001,kent, de,398200,-0.0043,0.0018,328,-0.0194,0.3443,71,-0.0784,-0.1607,202,0.1609,-0.2463,24,0.3333,-0.7818,108,-0.0182,1.7,260,0.1113,-0.2958,186,0.0039,0.0578,1994,-0.0333,-0.0931,406985,-0.0076,-0.0708,598,0.0473,-0.0253,0.7912,0.0931,-0.7191,0
202302,10005,sussex, de,552448,0.0223,-0.0128,937,-0.0069,0.5895,111,0.0349,0.4217,418,0.0663,-0.1181,52,0,-0.2571,202,-0.0098,1.4048,906,0.1468,-0.1457,253,0.0076,0.0557,2192,0.0161,-0.0588,696620,0.0159,0.0292,1854,0.0736,0.1172,0.9669,0.1296,-0.8321,0
202301,10003,new castle, de,396250,0.0543,0.1834,504,-0.1235,0.1053,70,0.0938,0.1667,384,0.2152,-0.2258,36,0.2857,-0.625,146,0.1406,0.9211,513,-0.117,-0.3603,194,0.0278,0.1067,2074,0.037,0.0916,455107,0.0558,0.1793,1014,-0.1228,-0.1855,1.0179,0.0074,-0.7409,0
202301,10001,kent, de,399900,0.0387,0.0764,335,-0.076,0.3118,77,0.1591,-0.0613,174,0.2083,-0.1122,18,0.125,-0.7353,110,0.25,2.0556,234,-0.0391,-0.268,186,0.0038,0.0824,2063,0.0208,-0.0422,410088,0.0127,-0.0202,571,-0.0739,-0.0248,0.6981,0.0268,-0.5529,0
202301,10005,sussex, de,540375,-0.0119,0.0026,944,-0.084,0.667,108,0.25,0.1944,392,0.6333,-0.125,52,0.625,0,204,0.3784,2.1875,790,-0.0717,-0.2596,251,0.0034,0.0867,2157,-0.0082,-0.0623,685687,-0.0053,0.0456,1727,-0.0831,0.0592,0.8373,0.0111,-1.0479,1
202212,10003,new castle, de,375832,-0.0289,0.1764,575,-0.1418,0.055,64,0.3474,0.2075,316,-0.373,-0.3992,28,-0.0667,-0.6667,128,-0.5524,-0.1351,581,-0.1567,-0.425,189,-0.0018,0.1287,2000,-0.0087,0.0667,431043,-0.0162,0.1165,1156,-0.1487,-0.2568,1.0104,-0.0179,-0.8437,0
202212,10001,kent, de,385000,0.004,0.0465,362,-0.087,0.314,66,0.1892,-0.0469,144,-0.2088,-0.2,16,-0.3846,-0.6923,88,-0.3016,0.4667,243,-0.0545,-0.3801,185,-0.0065,0.0872,2021,0.0139,-0.0321,404944,0.0073,-0.0041,616,-0.0559,-0.0874,0.6713,0.0231,-0.7516,0
202212,10005,sussex, de,546900,-0.0101,0.0768,1030,-0.0725,0.6272,86,0.2286,0.1944,240,-0.3103,-0.3143,32,0.4545,-0.2,148,-0.4714,0.6444,851,-0.1231,-0.2733,250,-0.0139,0.0921,2175,-0.0116,0.0065,689343,-0.0243,0.0895,1883,-0.0951,0.0444,0.8262,-0.0477,-1.0237,1
202211,10003,new castle, de,387000,0.0052,0.2647,670,0.0075,0.112,48,0.092,0.0556,504,-0.087,-0.2364,30,-0.3182,-0.6667,286,0.1,0.625,689,-0.097,-0.4357,189,-0.005,0.1051,2018,-0.0037,0.0837,438148,-0.0209,0.1415,1358,-0.0537,-0.2608,1.0284,-0.119,-0.9982,0
202211,10001,kent, de,383450,-0.0279,0.0846,397,0.1296,0.3261,56,-0.2183,-0.0513,182,-0.0714,-0.2891,26,0.3,-0.4091,126,0.05,0.4,257,-0.2188,-0.4595,186,-0.0009,0.0994,1993,-0.0113,-0.0354,402020,-0.0314,0.0179,653,-0.0333,-0.1575,0.6482,-0.2892,-0.9421,0
202211,10005,sussex, de,552470,-0.0134,0.1062,1111,-0.0199,0.5499,70,0.0448,0.2069,348,-0.281,-0.3333,22,-0.0833,-0.6667,280,-0.2929,1.4561,971,-0.0343,-0.258,254,-0.0002,0.1213,2200,-0.0137,0.0304,706507,-0.0111,0.1379,2081,-0.0276,0.0256,0.8739,-0.0131,-0.9516,0
202210,10001,kent, de,394450,0.0115,0.0722,351,-0.0057,0.1471,71,0.2137,0.4343,196,-0.125,-0.3099,20,-0.2308,-0.7059,120,-0.0909,0.5789,329,-0.1035,-0.3673,186,0.0226,0.1167,2016,-0.04,-0.0477,415042,0.0015,0.0589,675,-0.0625,-0.1828,0.9373,-0.1023,-0.762,0
202210,10005,sussex, de,559990,-0.0138,0.1429,1133,0.0842,0.4714,67,0.0308,0.1356,484,-0.062,-0.2622,24,0,-0.1429,396,0.2611,1.1522,1005,-0.028,-0.2759,254,-0.003,0.1207,2231,-0.0038,0.0303,714429,-0.0301,0.1512,2140,0.0303,-0.0093,0.887,-0.1024,-0.9156,0
202210,10003,new castle, de,385000,-0.0272,0.2052,665,0.0717,-0.0699,44,-0.0492,0.061,552,-0.1321,-0.3268,44,-0.2414,-0.6071,260,0.1017,0.1017,763,-0.1029,-0.3812,190,0.0011,0.1422,2025,-0.0241,0.0519,447486,-0.0061,0.1531,1435,-0.0251,-0.2652,1.1474,-0.2233,-0.5771,0
202209,10005,sussex, de,567850,0.0011,0.2084,1045,0.0393,0.3696,65,0.0317,0.1111,516,0.0705,-0.2873,24,-0.6571,-0.3333,314,0.0903,0.7841,1034,-0.0574,-0.2685,254,0.0054,0.1428,2239,0.0165,0.0522,736602,0.0127,0.2175,2077,-0.0124,-0.0422,0.9895,-0.1015,-0.8631,0
