month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,12079,madison, fl,299700,-0.2048,0.1256,28,-0.0833,-0.1667,88,-0.0591,0.129,10,1.5,0.6667,2,,0,8,0,1,4,-0.3636,-0.3,145,-0.0232,0.2284,1921,0.0466,-0.0223,427898,-0.04,-0.0778,31,-0.1268,-0.1842,0.1273,-0.0561,-0.0242,0
202302,12087,monroe, fl,1472500,0.0397,0.1232,839,0.0263,0.8419,82,0,0.4685,236,-0.0781,-0.2237,10,-0.1667,-0.4444,234,0.1818,1.7857,272,0.3204,-0.4472,966,0.023,0.1992,1552,0.0112,-0.059,2509966,0.0228,0.178,1107,0.0853,0.1898,0.3242,0.0722,-0.7559,0
202302,12047,hamilton, fl,237450,-0.0452,0.1123,27,-0.0364,0.06,87,0.2083,-0.1343,8,-0.5,0,0,,,0,-1,-1,11,0.5,-0.2222,139,-0.0661,0.1094,1561,0.0319,0.0626,284245,-0.0639,0.0621,37,0.0882,-0.0513,0.3962,0.1417,-0.1438,0
202302,12035,flagler, fl,427000,-0.0011,0.0488,910,0.0448,2.5067,68,-0.1,0.8243,380,0.1243,0.1176,40,0.5385,-0.0909,342,-0.0856,4.3438,607,0.2554,-0.161,223,0,0.0051,1915,-0.0223,-0.0164,546528,0.0013,0.0373,1512,0.1225,0.5408,0.667,0.1119,-2.121,1
202302,12067,lafayette, fl,348000,-0.0197,0.1318,20,0.0526,0.4286,197,0.1385,0.5717,2,-0.5,-0.5,0,,,6,2,2,5,0.1111,-0.4118,168,-0.1364,-0.2141,1989,0.0105,0.2897,454061,-0.032,0.2017,23,-0.0217,-0.0426,0.25,0.0132,-0.3571,0
202302,12123,taylor, fl,272500,0.0018,-0.1315,83,0,0.7113,89,-0.0507,0.1558,32,0.7778,0.1429,0,,,20,0.1111,9,12,0.1429,-0.4,181,0.0826,-0.2536,1341,0.0071,-0.0356,349205,-0.0583,-0.2581,95,0.0053,0.3571,0.1446,0.0181,-0.2678,1
202302,12093,okeechobee, fl,324475,0.0149,-0.1547,112,0.0045,1.299,73,-0.0764,0.1741,34,0,0.7,0,,-1,14,-0.5333,0.1667,46,0.2639,-0.2155,216,0.0333,0.0568,1563,0.0176,-0.1519,564747,0.1552,-0.3211,157,0.0539,0.4695,0.4081,0.0837,-0.7878,1
202302,12057,hillsborough, fl,425000,-0.0023,0.0103,3430,-0.0895,2.2807,63,-0.1092,1.024,1942,-0.048,-0.0752,158,0.881,0.4107,1688,-0.156,5.2985,2944,0.1968,-0.1488,235,-0.0031,0.0132,1839,0.0059,0.01,652958,0.0175,-0.0905,6371,0.0215,0.4142,0.8582,0.2053,-2.4493,1
202302,12051,hendry, fl,339900,-0.0166,0.1483,177,0.1461,1.4514,53,-0.418,-0.1306,54,-0.5846,0.4211,2,-0.6667,-0.8889,30,-0.3478,2,66,0.0645,-0.3433,213,-0.0125,0.0145,1536,-0.001,0.0349,398723,-0.0496,-0.254,243,0.1462,0.4128,0.3739,-0.0287,-1.0219,1
202302,12053,hernando, fl,351825,-0.0145,0.0214,994,-0.0326,2.0538,69,0.0573,1.2339,362,-0.0372,-0.1127,12,-0.5,-0.7778,410,-0.1048,5.0294,479,0.2429,-0.2958,198,-0.0051,0.0419,1827,0.0018,-0.0052,431692,0.0025,-0.0218,1398,0.039,0.4724,0.4814,0.1067,-1.6062,1
