month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,13237,putnam, ga,518400,-0.0478,0.1597,106,-0.1417,0.4722,74,-0.0839,0.3657,36,0,0.2,0,,-1,24,0.2,1.4,58,0.3855,-0.1901,262,0.0149,0.1645,2374,0.0308,0.1808,856099,0.0815,0.2223,161,-0.0031,0.1547,0.5425,0.2064,-0.4437,0
202302,13067,cobb, ga,436000,0.0081,0.0726,1275,-0.0929,0.7235,45,-0.293,0.3212,822,0.0249,-0.1663,68,1.125,-0.3818,428,-0.2357,1.2292,1141,0.3816,-0.3058,209,0.0182,0.0608,2205,-0.0135,-0.0084,570343,0.0092,0.0519,2378,0.068,0.018,0.8949,0.3073,-1.3269,1
202302,13251,screven, ga,275000,0.2489,0.4381,13,-0.1613,0.7333,60,-0.2124,0.0478,2,-0.5,-0.8,0,,,8,1,,7,-0.125,-0.44,121,0.2176,0.3683,2293,0.0762,0.1079,306130,0.161,0.3184,20,-0.1702,-0.025,0.5385,0.0223,-1.1282,1
202302,13315,wilcox, ga,126950,0.0414,-0.4064,7,0.0833,0.0833,95,-0.133,-0.0803,2,-0.5,,0,,,0,,,2,0.5,0,79,-0.032,-0.0922,1674,-0.1065,-0.3377,191819,0.164,-0.2739,8,0.2308,0.1429,0.2308,0.0641,-0.0192,1
202302,13255,spalding, ga,296900,-0.0232,0.1888,194,-0.0827,0.6441,51,-0.1356,0.5455,84,-0.125,-0.1429,8,-0.7143,0.3333,90,-0.2742,4,110,-0.0223,-0.4579,152,-0.0222,0.0652,1795,-0.0395,-0.041,319732,-0.0152,0.0482,303,-0.059,-0.0411,0.5644,0.0349,-1.1474,1
202302,13305,wayne, ga,264250,0.0197,0.1317,45,-0.1275,-0.0632,73,-0.1629,-0.1816,22,0.5714,-0.3125,0,,,14,0,-0.4167,34,0.1525,0.5455,130,0.0127,0.057,1812,-0.0014,-0.1314,388087,0.0595,0.3197,77,-0.0253,0.1241,0.764,0.1856,0.3009,0
202302,13319,wilkinson, ga,262250,0.5657,1.4171,15,0.2609,2.625,30,-0.404,-0.2484,2,-0.6667,0,0,,,0,,,3,2,-0.25,114,0.1178,0.649,1912,0.1717,0.1126,259834,0.1915,0.6389,18,0.3462,1.0588,0.2069,0.1199,-0.7931,1
202302,13201,miller, ga,157400,-0.0871,-0.1823,7,0.1667,1.8,101,-0.029,3.963,0,-1,-1,0,,,0,-1,,2,-0.2,0.3333,106,0.0393,0.3133,1534,-0.1016,-0.3737,187679,-0.069,0.0018,9,0.125,1.25,0.2857,-0.131,-0.3143,1
202302,13297,walton, ga,449588,0.0186,0.0554,424,-0.0961,0.9744,58,-0.2767,0.5972,172,0.0886,-0.2773,58,0.16,0.45,108,-0.25,1.0769,213,0.1612,-0.4572,181,-0.0026,0.0211,2479,0,-0.007,545374,0.028,-0.042,626,-0.0362,0.0477,0.5018,0.1112,-1.3234,1
202302,13189,mcduffie, ga,279900,0.0691,0.1543,36,-0.0886,0.6744,65,-0.3138,0.4828,14,-0.125,0.1667,0,,,14,0.1667,0.75,27,1.25,0.1489,134,0.0036,-0.0447,1959,-0.0008,-0.0297,342141,-0.0012,0.1652,63,0.2376,0.3889,0.75,0.4462,-0.343,0
