month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,16051,jefferson, id,516200,-0.0396,-0.0097,67,-0.0759,2.1163,46,-0.2885,1.0787,26,-0.2778,0.0833,0,,,18,-0.25,8,1,0,,189,0.0074,-0.0529,2979,-0.034,0.0503,553063,-0.0564,0.0048,68,-0.0753,2.1395,0.0149,0.0011,0.0149,1
202302,16021,boundary, id,566675,0.0211,-0.049,50,-0.0748,0.8333,78,-0.1057,-0.1586,16,0.3333,0.1429,0,,-1,10,0,4,17,0.1724,-0.3929,281,-0.0054,-0.1476,2102,0.0937,0.1069,625610,0.0421,-0.1982,67,-0.0221,0.2315,0.3434,0.0724,-0.6936,0
202302,16063,lincoln, id,367175,-0.1509,0.1127,11,-0.125,1.1,93,-0.1244,-0.1386,2,-0.5,-0.5,0,,,2,,,2,-0.3333,-0.6364,214,0.0667,-0.0323,1745,-0.1354,0.2357,386270,-0.1536,0.197,13,-0.1667,0.1905,0.1905,-0.0595,-0.9095,0
202302,16087,washington, id,399000,0.029,0.0389,22,-0.1887,0.6538,136,0.1699,0.7215,4,1,-0.7143,0,,,4,,1,11,1.2,-0.4762,240,0.0558,-0.0524,1907,0.0046,0.2571,522973,0.061,0.1639,32,-0.0156,-0.1127,0.5116,0.3229,-1.1038,1
202302,16043,fremont, id,649900,-0.0223,-0.0824,53,-0.1017,1.3043,111,0.0068,-0.1823,18,0.5,0.2857,0,,,10,0.25,4,1,-0.5,-0.75,332,0.0365,-0.1669,2108,-0.0562,0.1124,1073922,0.1943,0.0644,53,-0.1167,1.12,0.0094,-0.0075,-0.0775,0
202302,16069,nez perce, id,435000,0.0119,0.0649,89,0.0409,3.2381,48,-0.3379,0.2152,46,0.2105,0.15,0,,,40,0.5385,5.6667,42,0.6275,-0.2845,202,-0.0277,-0.0909,2089,0.006,0.0949,479737,-0.035,-0.001,129,0.1629,0.6688,0.4663,0.168,-2.2956,1
202302,16011,bingham, id,418675,0.0089,-0.102,82,-0.018,1.7333,51,-0.42,1.3882,40,0.0526,0.1111,0,,-1,24,0.5,1,13,0.04,0.04,173,0.0281,-0.0411,2639,0.0408,0.1443,480239,0.0113,-0.0586,93,-0.0159,1.0899,0.1585,0.0088,-0.2581,1
202302,16013,blaine, id,2147500,-0.0632,-0.0228,134,-0.036,0.7632,102,-0.1031,0.0381,38,0.7273,-0.1739,0,,-1,8,0.3333,0.3333,40,-0.0244,-0.2982,912,-0.0079,-0.0141,2765,-0.0483,0.0196,3553703,-0.0428,0.0312,173,-0.0281,0.3057,0.2985,0.0035,-0.4515,0
202302,16005,bannock, id,410225,0.0573,-0.0677,192,-0.0634,3,86,0.1467,1.8197,62,-0.1842,-0.2051,4,1,0,48,-0.2,2,81,0.209,-0.325,173,0.0072,-0.0024,2499,0.1039,-0.0677,461576,0.0521,-0.2082,271,-0.0018,0.6149,0.4219,0.095,-2.0781,1
202302,16007,bear lake, id,393750,0.0109,-0.45,34,-0.0429,1.1613,127,0.233,0.6933,4,-0.6,-0.5,0,,,2,-0.5,0,10,0.0556,-0.4242,175,-0.0553,-0.215,2392,0.0144,-0.2638,484285,-0.0273,-0.4316,44,-0.0114,0.4262,0.2836,0.0264,-0.7809,1
