month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,17101,lawrence, il,132450,0.022,0.1919,22,-0.2143,-0.45,106,0.131,-0.1624,4,0,-0.5,0,,,4,0,0,3,-0.375,0,86,0.0479,0.0627,1274,-0.0101,-0.1673,133528,-0.017,-0.0512,25,-0.2188,-0.4318,0.1136,-0.0292,0.0511,0
202302,17189,washington, il,148725,-0.0985,0.1621,20,0.1765,0.7391,83,-0.2697,-0.2201,14,1.3333,2.5,0,,,2,-0.5,-0.5,14,0.0769,1,96,-0.0279,0.2516,1649,-0.0682,-0.0603,214791,-0.1006,0.2724,34,0.1167,0.8611,0.7,-0.0647,0.0913,1
202302,17009,brown, il,130500,-0.1054,0.6587,17,0.1724,0.619,63,-0.1968,-0.2143,2,-0.6667,0,0,,,0,,,,,,92,0.0624,0.5646,1433,-0.0355,-0.0161,117808,-0.183,0.1323,17,0.1724,0.619,,,,1
202302,17199,williamson, il,131850,-0.0049,0.0997,105,-0.2193,-0.0948,80,0.0493,0.3403,50,-0.0741,-0.0741,4,,,12,-0.625,-0.5385,89,0.1132,-0.3746,90,-0.0062,0.0683,1464,0.0062,-0.0689,243026,0.0777,-0.0014,194,-0.0958,-0.2397,0.8429,0.2518,-0.377,0
202302,17125,mason, il,74250,-0.0654,0.2654,27,-0.0536,0.1042,90,0.2345,-0.2649,2,-0.8333,-0.8333,0,,,6,2,2,12,-0.1154,-0.439,54,-0.0735,0.1754,1389,0.0383,0.1537,98141,-0.0031,0.0603,38,-0.0854,-0.1573,0.434,-0.0303,-0.4202,1
202302,17147,piatt, il,125000,-0.0654,0.2967,29,-0.24,0.14,110,0.3404,-0.0945,6,-0.4,-0.5714,0,,,6,-0.25,0.5,23,0.7037,0.2105,93,0.0026,0.2044,1615,0.0336,-0.0957,169657,0.002,0.1985,51,0,0.186,0.807,0.447,0.047,0
202302,17045,edgar, il,75000,-0.2386,0.1552,30,-0.2133,-0.1324,116,0.3191,0.2825,4,-0.75,-0.6667,0,,,6,0,0,27,0.4211,6.7143,51,-0.0503,0.0656,1735,-0.0384,0.2811,132524,-0.0943,0.6253,56,0.0275,0.4933,0.9153,0.4086,0.8123,0
202302,17091,kankakee, il,180925,0.0057,0.3527,135,-0.0493,0.0425,63,-0.0839,0.9457,98,0.96,-0.0755,0,,-1,42,0,0.9091,118,0.3642,-0.0992,122,0.0738,0.2797,1484,-0.0024,-0.0017,215343,0.0035,0.1462,249,0.0971,-0.0533,0.8741,0.2649,-0.1375,0
202302,17093,kendall, il,410964,0.0405,0.1947,172,-0.0652,0.3871,40,-0.3861,-0.0185,164,0.0933,-0.1881,22,10,-0.3125,32,0.0667,1,263,0.2736,-0.3723,172,0.0183,0.0153,2395,0.0112,0.1904,448886,0.0318,0.1089,430,0.1041,-0.209,1.5291,0.4068,-1.85,1
202302,17023,clark, il,120625,-0.0072,0.2707,22,-0.0444,-0.1887,58,0.0455,-0.455,4,-0.5,-0.5,0,,,0,-1,-1,12,0.2632,2,76,0.1812,0.1553,1637,-0.0262,0.0531,207998,0.1828,0.5434,34,0.0469,0.1356,0.5581,0.1359,0.4072,0
202302,17019,champaign, il,249900,0.1359,0.5032,165,-0.1316,0,61,-0.2179,-0.0279,128,0.1852,-0.0857,4,,,42,-0.087,0.5,203,0.2229,-0.2024,138,0.0475,0.1459,1818,0.0387,0.2295,320540,0.1015,0.1335,371,0.0436,-0.1156,1.2303,0.3566,-0.3121,1
202302,17025,clay, il,141000,0.2439,0.737,13,-0.1333,0.1818,84,-0.1472,0.4802,6,0,-0.4,0,,,4,1,0,8,0.6,-0.2,83,0.0518,0.282,1569,0.0027,0.1213,142833,0.1625,0.0632,22,0.0488,0.0238,0.6154,0.2821,-0.2937,1
202302,17153,pulaski, il,135000,-0.1145,0.759,9,0.0625,0.5455,135,0.1588,0.1947,2,,,0,,,0,,,3,0,0.5,62,-0.2151,0.0914,1755,0.0385,0.2145,144164,-0.0215,0.0703,11,0,0.375,0.3529,-0.0221,-0.0107,1
202302,17037,dekalb, il,299900,0.0618,-0.0323,107,-0.1608,0.1955,55,-0.2526,-0.289,62,0.069,-0.2051,2,,0,26,0,0.625,98,0.4737,-0.2794,164,-0.004,0.0209,1793,0.0066,-0.0094,312854,0.0511,-0.0214,204,0.0517,-0.0874,0.9159,0.3943,-0.6037,0
202302,17127,massac, il,111900,0.1363,0.4457,24,-0.0588,-0.1273,121,0,3.1552,10,4,-0.5455,0,,,2,-0.5,0,7,-0.4091,-0.6061,88,-0.0576,0.5046,1449,0.0609,0.2387,133767,0.0567,0.3229,32,-0.1351,-0.2727,0.2708,-0.1605,-0.3292,1
202302,17051,fayette, il,118000,-0.0167,0.1874,35,0.0615,0.3019,78,0.1028,-0.1729,14,-0.125,1.3333,2,,,10,0,4,14,0.6471,-0.2222,77,-0.0208,0.1773,1446,0.0347,-0.1326,155389,0.0462,0.1502,49,0.1829,0.0899,0.4058,0.1443,-0.2734,1
202302,17171,scott, il,89200,0.033,0.732,3,0.5,0,17,-0.7395,-0.2273,4,1,1,0,,,0,,,3,0,-0.25,59,-0.0506,0.2949,1209,-0.0512,0.2013,115217,0.1717,1.196,6,0.2,-0.1429,1,-0.5,-0.3333,1
202302,17175,stark, il,103917,0,0.4867,5,-0.2308,-0.0909,113,1.1951,1.9605,0,-1,-1,0,,,2,0,,4,0.75,-0.125,53,-0.0667,-0.0491,2448,0.4909,0.5462,336893,0.2082,2.5631,9,-0.0556,-0.15,0.7,0.3923,-0.0273,1
202302,17103,lee, il,139425,0.0463,0.2032,35,-0.1667,-0.3069,70,0.2078,0.1625,10,-0.5,-0.6875,0,,,4,-0.6,-0.7143,23,0.1842,-0.3284,88,0.0345,0.0248,1382,0.0237,-0.05,169927,0.0829,0.0673,59,-0.0407,-0.2976,0.6429,0.1905,-0.0205,0
202302,17201,winnebago, il,132925,-0.0603,0.1289,201,-0.2597,-0.036,59,-0.0288,0.5733,190,0.0215,-0.2963,0,-1,-1,52,-0.2973,-0.3158,321,0.0995,-0.2414,100,0.0042,0.1314,1567,-0.0347,0.0443,203292,0.0265,0.1813,517,-0.0718,-0.1761,1.5945,0.5209,-0.4319,0
202302,17001,adams, il,134850,0.0383,0.0381,91,-0.0216,-0.2331,79,-0.0032,0.6373,42,-0.16,-0.087,0,,,24,-0.1429,0.5,66,0.1681,2,92,0.0709,0.0054,1614,-0.0351,0.0479,200907,0.0772,-0.0365,146,0.0466,0.0246,0.7293,0.1185,0.5428,0
202302,17013,calhoun, il,178000,0,0.0788,5,-0.0909,-0.5652,84,-0.2578,0.0915,0,,-1,0,,,0,,,3,1.5,-0.375,128,0.0587,0.5294,2219,-0.0393,0.1145,284798,-0.0625,0.0534,8,0.2308,-0.4839,0.5,0.3182,0.1522,1
202302,17177,stephenson, il,77225,-0.3239,-0.273,95,0.1887,0.0862,39,-0.3819,-0.5722,32,-0.0588,-0.3043,0,,,12,-0.25,-0.1429,45,0.0854,-0.2823,64,-0.0916,-0.0925,1516,-0.0486,-0.0811,129505,-0.0936,-0.1169,139,0.1681,-0.0544,0.4709,-0.0448,-0.2417,1
202302,17021,christian, il,96200,0.0852,0.4676,36,-0.2871,-0.1818,105,0.3397,0.1676,16,-0.3333,-0.2727,0,,,4,-0.5,0,45,0.3433,1,72,0.0485,0.1106,1584,0.0779,0.4387,131254,0.0727,0.5554,82,-0.0465,0.2519,1.25,0.5866,0.7386,0
202302,17139,moultrie, il,74175,-0.0954,-0.2082,21,-0.18,0.2059,93,0.1246,0.0109,6,-0.5,2,0,,,6,0.5,0,19,0.3103,2.8,58,-0.0652,-0.17,1134,-0.0946,-0.1904,79520,-0.2155,-0.2135,38,-0.013,0.7674,0.9268,0.3468,0.6327,1
202302,17031,cook, il,304945,0.0186,0.0084,7991,-0.0732,0.0371,48,-0.2381,0.1852,4444,0.1273,-0.3026,82,-0.1087,-0.2545,1822,0.0305,0.1862,5782,0.3645,-0.318,207,0.0253,-0.0653,1478,0.0041,0.0554,531205,0.0525,0.0312,13758,0.0673,-0.1479,0.7236,0.2321,-0.3768,0
202302,17089,kane, il,394945,0.0387,0.0636,468,-0.1847,0.2267,40,-0.2255,-0.1459,438,0.1838,-0.1859,58,0.7059,0.0357,92,-0.3947,0.4375,694,0.3295,-0.1963,187,0.009,0.0408,2090,0.0329,0.0538,483744,0.0264,0.0103,1161,0.0646,-0.0538,1.4829,0.5735,-0.7805,0
202302,17167,sangamon, il,166400,0.0242,0.6093,131,-0.2362,-0.026,57,-0.0088,0.0813,160,0.0959,0.039,0,,-1,52,-0.0714,0.3,237,0.1825,-0.1059,110,0.0612,0.4561,1733,0.0489,0.1154,263394,0.0739,0.4657,368,-0.0027,-0.0777,1.8053,0.6392,-0.1612,1
202302,17029,coles, il,110550,-0.078,0.4755,54,-0.2059,-0.2552,76,-0.0873,0.4853,34,0.0625,-0.2273,0,,,16,-0.2,0.6,68,0.3366,2.0682,79,0.0158,0.2823,1656,0,0.3269,214552,-0.0032,0.7074,119,0.0439,0.2593,1.25,0.5074,0.9466,0
202302,17041,douglas, il,162325,0.1355,0.3538,37,-0.1798,0.7381,86,0.0789,0.3004,14,-0.125,0.1667,0,-1,,6,-0.25,0.5,27,0.8621,0.2,97,0.0045,0.1129,1583,0.0765,0.0936,171291,0.0643,0.2033,64,0.0763,0.4598,0.7397,0.4139,-0.3317,0
202302,17003,alexander, il,63750,-0.0192,-0.0464,6,0,-0.4783,66,-0.3968,2.2073,0,,-1,0,,,0,,,1,-0.5,-0.75,57,0.0021,0.0446,1100,-0.12,-0.0833,72706,-0.2254,0.0088,7,-0.125,-0.5172,0.1667,-0.1667,-0.1812,1
202302,17191,wayne, il,115000,-0.4148,-0.0099,15,0.25,-0.1429,169,0.0258,0.6265,2,,-0.8333,0,,,0,-1,-1,2,-0.7,-0.8636,71,-0.0445,-0.0517,2000,-0.0584,0.2535,170093,-0.1598,-0.0142,16,-0.0588,-0.4386,0.1,-0.3167,-0.5286,1
