month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,18021,clay, in,138700,-0.0716,0.3631,34,-0.2093,1.3448,100,0.2121,0.9802,12,-0.25,0,0,,,10,-0.2857,0.6667,23,0.6429,-0.2581,99,-0.0722,0.0855,1731,0.0963,0.4109,239925,0.0608,1.3644,57,0.0364,0.2527,0.6765,0.3509,-1.4615,1
202302,18055,greene, in,216700,0.0222,0.4999,53,-0.2164,0.4,92,-0.1172,0.2637,12,-0.6842,-0.25,0,,,20,0,1,26,0.4857,0.5758,120,0.0953,0.3749,1707,-0.0274,0.001,257614,0.0252,0.251,79,-0.0765,0.4537,0.4952,0.234,0.0552,0
202302,18157,tippecanoe, in,366225,0.0069,0.1898,97,-0.195,0.5156,45,-0.1982,0.4833,112,-0.0508,-0.1884,0,,,42,-0.0455,0.9091,37,0.0137,0.3704,163,-0.024,0.0906,2111,0.0126,0.0682,398198,0.0235,0.0507,134,-0.1383,0.4889,0.3814,0.0785,-0.0404,0
202302,18109,morgan, in,305725,0.1123,0.1028,102,-0.1207,0.5573,82,-0.0179,0.0822,88,0.6296,0.1579,4,,0,48,0.0909,2,97,0.4058,-0.0628,148,-0.0013,0.0399,2031,0.0307,-0.0308,452421,0.0334,0.2903,198,0.0676,0.1652,0.951,0.3562,-0.6292,0
202302,18163,vanderburgh, in,248725,0.0599,0.4635,201,-0.1677,0.6891,62,-0.1333,0.2732,186,0.1341,-0.0106,0,-1,,70,-0.2708,0.9444,1,0,-0.7778,125,0.0164,0.1819,2007,0.0313,0.1709,332838,0.144,0.4046,202,-0.1687,0.5906,0.005,0.0008,-0.0328,0
202302,18125,pike, in,168000,0.0685,-0.069,12,-0.2727,0.5,44,-0.1852,0,6,-0.4,-0.25,0,,,4,,,0,,,105,-0.0158,-0.1094,1516,0.2216,0.0522,183474,0.0546,-0.5155,12,-0.2727,0.5,0,0,0,0
202302,18107,montgomery, in,187475,-0.0261,0.128,54,-0.2117,1.16,73,-0.049,0.0778,38,0.1176,0,2,,,18,-0.25,2,52,0.3867,-0.2464,123,-0.0301,0.2506,1763,-0.0173,-0.0466,238439,-0.0371,0.1123,104,0.0146,0.1243,0.963,0.4155,-1.797,1
202302,18027,daviess, in,239900,0.0052,0.4327,31,-0.0462,-0.0606,101,-0.0759,0.1453,10,-0.2857,-0.5455,0,,,8,1,3,0,,-1,125,0.0743,0.1946,1846,-0.0461,0.0762,271056,0.0046,0.2974,31,-0.0462,-0.1143,0,0,-0.0455,0
202302,18087,lagrange, in,314225,0.0011,0.2777,27,-0.0364,2.1176,35,-0.4699,-0.522,18,0.5,1.25,0,,,10,0.25,1.5,8,0.6,1,194,0.2582,0.8583,1637,-0.0291,-0.1748,331208,0.0427,0.2704,36,0.1094,2.087,0.3019,0.1201,-0.1687,1
202302,18123,perry, in,235000,0.1325,0.7407,48,0.1566,0.5484,61,-0.3495,0.3596,32,0.6,0.7778,0,,,8,0,-0.2,13,0.8571,-0.0714,109,-0.0034,0.0983,1780,0.04,0.1125,232226,0.0766,0.2418,62,0.2947,0.3516,0.2708,0.1022,-0.1808,1
202302,18119,owen, in,254950,-0.0377,0.2958,43,0.075,1,49,-0.3401,0.0659,20,0.1111,1,0,,,14,0.75,1.3333,20,0.2121,-0.0909,143,0.001,0.0134,1779,-0.0147,-0.0025,302772,-0.1844,0.0083,62,0.1182,0.4302,0.4651,0.0526,-0.5581,1
202302,18041,fayette, in,129950,-0.1185,-0.3066,44,-0.0543,1.0714,58,-0.2901,0.2778,30,1.5,0.25,2,,,8,-0.2,3,21,0.3226,-0.2264,92,-0.0293,-0.0168,1451,-0.0718,-0.1231,157297,-0.033,-0.1544,63,0.0163,0.3021,0.4713,0.1343,-0.7906,1
202302,18093,lawrence, in,239900,-0.0103,0.0105,77,-0.1774,0.3661,73,-0.1382,0.1445,36,-0.1429,0.125,0,,-1,24,0,0.5,45,-0.0816,-0.1176,146,-0.0072,0.1446,1692,-0.0318,0.0193,298863,-0.0437,0.1829,122,-0.1348,0.1402,0.5882,0.0614,-0.3225,0
202302,18075,jay, in,95250,-0.0256,-0.1703,11,-0.3529,-0.12,69,-0.2389,1.0448,10,0.6667,0.25,0,,,0,-1,-1,7,0.75,2.5,76,-0.0372,0.2133,1355,-0.0936,-0.2322,180998,-0.1153,0.5127,18,-0.1463,0.25,0.6364,0.4011,0.4764,1
202302,18111,newton, in,299250,-0.0225,0.5988,31,-0.1143,0.5122,85,0.1,0.6394,18,0.5,-0.1,0,,,6,-0.25,0,7,0.1818,-0.35,155,0.0683,0.3066,1891,-0.0289,0.1073,290875,-0.0101,0.379,37,-0.0759,0.2373,0.2097,0.0525,-0.2781,1
202302,18149,starke, in,258475,0.3252,0.1208,43,-0.2411,0.2687,102,0.0968,0.4891,18,0.2857,-0.1,0,,,2,-0.6667,-0.5,16,1.2857,0.8824,134,0.1193,-0.0142,1851,-0.0448,-0.0139,300106,0.1004,0.0106,60,-0.0556,0.3678,0.3765,0.2515,0.1227,0
202302,18085,kosciusko, in,337250,0.0106,0.0873,90,0.0468,0.5169,44,-0.4068,-0.2424,68,0.36,0.36,0,,,22,0,1.2,34,0.0152,-0.0694,156,-0.0083,-0.1648,1857,-0.0173,0.132,482969,0.018,-0.1178,125,0.0506,0.2969,0.3743,-0.0117,-0.2359,0
