month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,20125,montgomery, ks,119950,0.2252,0.6432,69,0.0074,0.0873,63,-0.2143,-0.1246,34,0.4167,0.0625,0,,,30,1.5,0.6667,40,0.0676,-0.2883,73,0.0332,0.3137,1570,-0.0291,0.1215,172338,0.0445,0.731,108,0.0189,-0.0886,0.5766,0.0325,-0.3043,1
202302,20191,sumner, ks,127000,-0.0355,0.277,36,0.0923,1.1515,55,-0.3013,-0.1805,20,0.6667,0.1111,2,,,10,0.6667,0.25,20,-0.0698,-0.2982,84,0.0549,0.3919,1595,0.0987,0.0488,432635,0.0695,-0.0684,56,0.0467,0.2444,0.5634,-0.0982,-1.1639,1
202302,20157,republic, ks,76000,-0.1309,-0.351,10,-0.0476,3,133,0.2771,0.4722,2,0,0,0,,,0,,,2,-0.5714,-0.25,52,-0.0325,-0.4198,1245,-0.1278,-0.0709,100340,-0.1321,-0.1431,11,-0.2143,1.2,0.15,-0.1833,-0.65,1
202302,20205,wilson, ks,86500,0.1019,-0.3216,23,-0.2581,0.0952,66,0.0076,-0.3832,0,-1,-1,0,,,4,0,1,12,0.3529,2.2857,46,-0.0272,-0.4014,1823,-0.0137,0.146,136286,-0.0523,-0.0529,35,-0.1266,0.38,0.5,0.2258,0.3333,1
202302,20131,nemaha, ks,181125,-0.0915,0.9325,7,0.2727,6,126,0.1507,0.697,4,,,0,,,0,,,2,0.3333,1,104,0.0408,0.0069,1451,-0.2551,0.406,189281,-0.0943,1.0195,8,0.1429,2.2,0.2857,0.013,-0.7143,1
202302,20151,pratt, ks,119750,0.0911,0.0105,21,0.025,-0.0465,102,0.3214,-0.1485,6,-0.25,-0.25,0,,,4,-0.3333,1,10,0,0.1765,72,0.0769,0.3514,2055,0.0805,-0.0643,189761,0.0317,0.2536,31,0,-0.0161,0.4878,-0.0122,0.0925,0
202302,20095,kingman, ks,109500,0.187,-0.3828,10,-0.4571,0.4615,87,0.0644,-0.028,4,1,0,0,,,0,-1,,11,0.375,0.1,59,-0.0039,0.0599,1510,0.0773,-0.2986,192277,0.2722,-0.5294,21,-0.18,0.3226,1.1579,0.7008,-0.3806,1
202302,20073,greenwood, ks,103125,0.0756,0.3993,10,-0.1667,-0.3333,64,-0.0376,-0.4483,6,0.5,0,0,,,4,,1,5,-0.375,-0.375,64,0.0115,0.2538,1503,-0.1047,0.1181,122123,-0.2235,-0.4168,15,-0.2564,-0.3556,0.5,-0.1667,-0.0333,0
202302,20083,hodgeman, ks,259500,0.5539,,1,-0.5,,65,0.1944,,0,,,0,,,0,,,1,,1,166,0.3537,,1560,0.249,,259500,0.5539,,2,0,3,1,1,,0
202302,20041,dickinson, ks,134750,0.0911,0.2018,39,-0.1429,0.0541,67,-0.0764,-0.0327,26,0.1818,0,0,,,14,0.75,0.1667,36,0.6,0.2857,80,0.0407,0.1983,1634,-0.0627,0.0713,148905,0.0018,-0.0686,72,0.0667,0.1077,0.9231,0.4286,0.1663,0
202302,20153,rawlins, ks,75375,0.0654,-0.1319,2,-0.25,-0.625,94,0.502,-0.1432,0,,,0,,,0,,,1,1,0,83,0.0199,0.3929,903,0.0476,-0.4171,75375,0.0654,-0.1473,2,0,-0.5556,0.6667,0.4167,0.4167,1
202302,20123,mitchell, ks,195555,0.1056,2.562,12,-0.1111,0.6,147,0.1078,0.915,0,,-1,0,,,0,-1,,6,-0.2143,4.5,83,0,1.0229,1836,0.0718,0.5659,328480,0.0357,2.8001,18,-0.125,1.0588,0.4583,-0.0602,0.325,1
202302,20099,labette, ks,104175,-0.0002,0.0966,37,0.0282,0.1587,71,-0.1768,-0.1125,18,0.125,-0.1,0,,,4,-0.6,0,25,0.225,-0.1552,73,0.1873,0.3128,1680,0.1089,0.0247,156556,-0.0196,0.0174,61,0.0893,0.0083,0.6712,0.1079,-0.2494,0
202302,20113,mcpherson, ks,198450,-0.0074,-0.0734,32,-0.1486,0.2115,58,-0.2492,0.45,28,0.5556,-0.0667,0,,,8,-0.3333,1,35,0.3019,-0.2069,110,0.0646,0.0004,1845,-0.0984,0.2138,246502,-0.0214,0.1249,66,0.0397,-0.0576,1.0952,0.379,-0.5778,0
202302,20195,trego, ks,64500,-0.0058,-0.6206,5,0,0,141,0.1041,3.9298,2,,-0.5,0,,,0,,,1,0,-0.75,72,0,-0.1319,1162,-0.3069,-0.3973,231200,-0.003,0.3946,6,0,-0.3333,0.2,0,-0.6,1
202302,20037,crawford, ks,155000,0,0.2405,63,-0.0455,0.4157,96,0.0822,0.1975,28,0.0769,-0.125,0,,,12,-0.4,0.2,46,0.2297,0,109,0.0103,0.1138,1442,0.0031,0.0077,231151,-0.0408,0.1194,108,0.019,0.1944,0.7222,0.1616,-0.3002,0
202302,20177,shawnee, ks,236250,0.0275,0.3063,142,-0.1153,0.8323,60,0.0963,2.6212,178,0.3088,0.3485,0,,,52,-0.2353,1.1667,155,0.2118,12.4348,116,0.0448,0.1573,1620,-0.0226,-0.0499,324391,-0.1269,0.2339,297,0.0404,2.2944,1.088,0.2936,0.9396,1
202302,20147,phillips, ks,109150,-0.0904,-0.1604,10,0,0.5385,132,0.2166,1.8085,4,0,0,0,,,0,,,5,2,0,62,-0.3444,-0.4126,1488,0.04,0.075,131530,-0.081,-0.2295,15,0.2083,0.3182,0.45,0.3,-0.2423,1
202302,20055,finney, ks,269900,0.0018,0.0648,46,0.1646,0.8039,34,-0.5228,-0.2444,22,-0.2667,0,0,,,12,2,2,28,0.375,-0.0833,207,0.0565,0.1746,1349,-0.0175,-0.1159,274098,-0.0369,-0.0716,73,0.2269,0.3645,0.5978,0.0915,-0.5786,0
202302,20059,franklin, ks,222300,-0.025,-0.1611,38,-0.026,0.875,64,-0.2418,0.3368,32,0.4545,0.2308,0,,,20,0.6667,9,33,-0.0149,0,151,0.0763,-0.0706,1441,-0.057,0.0837,258669,-0.0172,-0.0564,72,-0.0137,0.3585,0.88,0.0099,-0.77,1
