month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,21197,powell, ky,183425,0.0056,0.165,26,-0.0189,1.08,89,0.2624,0.1906,8,1,-0.2,0,,,6,-0.5,2,12,0.2,0.0909,141,0.1498,0.1736,1418,0.0127,0.0732,206023,0.0181,0.1915,38,0.0135,0.5625,0.4615,0.0842,-0.4185,0
202302,21155,marion, ky,229950,-0.0204,-0.0798,42,0.1528,1.2432,111,0.0598,0.4108,14,0.75,1.3333,0,,,8,0.3333,3,8,0.6,-0.1579,128,-0.0252,-0.0157,2009,0.0167,0.0699,245302,-0.0075,-0.3476,49,0.1687,0.7636,0.1928,0.0539,-0.3207,1
202302,21221,trigg, ky,329900,0.0076,0.1943,35,0.1129,1.1563,78,-0.2296,0.1774,24,1.4,0.2,0,,,6,-0.4,,17,0.3077,-0.2609,156,0.0727,0.1688,2200,-0.0283,-0.1376,472723,0.0211,-0.0956,51,0.1461,0.2911,0.4928,0.0734,-0.9447,0
202302,21191,pendleton, ky,236200,-0.1395,0.2774,5,-0.55,-0.5909,69,0.38,0.0824,2,-0.6667,0,0,,,2,0,,11,0.0476,-0.12,147,-0.1879,0.521,1886,-0.0105,0.0421,237165,-0.119,-0.0591,16,-0.2051,-0.3542,2.4444,1.3944,1.3081,0
202302,21163,meade, ky,311250,0.0249,0.0057,57,-0.088,1.1509,48,-0.2276,0.7593,30,0.6667,-0.0625,0,,,22,0.2222,10,36,0.8205,-0.2111,152,-0.0011,0.168,1844,-0.063,-0.1885,318788,-0.0094,-0.0567,90,0.0848,0.2177,0.6228,0.3108,-1.0753,1
202302,21175,morgan, ky,223000,-0.0511,0.3156,17,0.1379,0.5,84,-0.2085,-0.3071,4,-0.3333,1,0,,,4,-0.3333,,7,0.1667,0.1667,109,-0.2285,0.0134,1614,-0.0469,0.0189,364146,-0.0618,0.8953,24,0.1707,0.4118,0.4242,0.0104,-0.1212,1
202302,21015,boone, ky,384925,0.0242,-0.0078,103,-0.1557,0.2118,49,-0.1019,0.1902,110,-0.0678,-0.1538,4,,-0.3333,30,-0.2857,0.6667,177,0.1136,-0.3238,172,0.0484,-0.0161,2305,0.0196,0.0375,459058,0.0419,-0.0547,280,0.0018,-0.1863,1.7136,0.4144,-1.357,1
202302,21227,warren, ky,349800,0.0306,0.1187,308,0.0336,0.8279,71,-0.1341,0.8442,134,0.1356,-0.1184,0,,-1,90,0.2857,2.75,197,0.1691,-0.2467,180,0.0142,0.1089,1978,-0.0004,0.0345,418529,0.0124,0.061,505,0.0849,0.1857,0.6396,0.0742,-0.9123,0
202302,21051,clay, ky,153425,-0.0515,-0.0958,14,-0.0667,0.0769,125,0.0549,0.1601,4,1,-0.3333,0,,,8,0,1,6,-0.2,-0.2,101,0.0228,-0.0825,1424,-0.0588,-0.1142,173742,-0.0094,-0.1133,20,-0.1333,-0.025,0.4286,-0.0714,-0.1484,0
202302,21205,rowan, ky,227325,-0.1021,0.1143,18,-0.1818,-0.1628,81,-0.2034,-0.1263,8,0.3333,-0.3333,0,,,4,-0.6667,1,14,1.7,0.2273,129,0.0764,0.2106,1704,-0.1171,0.008,262485,0.0202,0.236,32,0.1455,-0.0308,0.75,0.5227,0.2384,0
202302,21237,wolfe, ky,290000,-0.2109,-0.069,12,0.6429,3.6,64,-0.0481,-0.6601,4,1,,0,,,0,,,2,-0.2,-0.4286,171,-0.319,-0.4027,1638,-0.0224,0.0852,347392,-0.1191,0.0999,14,0.5556,1.3333,0.1739,-0.1832,-1.2261,1
202302,21209,scott, ky,381310,-0.0167,0.1097,232,-0.0313,0.7846,129,0.0321,0.0888,68,-0.0811,-0.15,4,0,-0.8462,28,-0.2632,6,117,0.17,-0.3198,181,0.0068,-0.0426,2158,-0.0028,0.1543,398195,-0.0023,0.1109,339,-0.016,0.1227,0.5043,0.0868,-0.8188,0
202302,21133,letcher, ky,132875,0.0673,-0.0401,12,0,-0.2069,91,0.1869,-0.3221,2,0,0,0,,,0,-1,,5,0.1111,-0.2857,94,0.1551,0.4235,1351,0.0164,-0.2727,144513,0.0723,-0.0561,17,0.0303,-0.2093,0.4348,0.0435,-0.048,0
202302,21003,allen, ky,267400,0.0112,0.2266,50,0,0.4776,54,-0.2526,-0.3533,22,0.1,0.1,0,,,8,1,0,25,0.2564,-0.4674,166,0.0028,0.19,1734,0.0801,0.1448,344511,0.0662,0.07,75,0.1037,-0.051,0.4949,0.101,-0.8782,0
202302,21079,garrard, ky,318650,-0.1232,-0.087,33,-0.0435,0.65,102,0.1397,0.1724,12,-0.25,-0.1429,0,,,10,0.25,0.6667,22,0.3438,-0.1569,135,-0.0824,-0.1116,2196,-0.0453,0.2485,351974,-0.0899,-0.048,56,0.1089,0.2308,0.6515,0.1877,-0.6235,0
202302,21219,todd, ky,259900,0,-0.2212,17,-0.1538,0.5714,68,-0.1234,0.8243,6,-0.25,0.5,0,,,2,0,,11,0.6923,-0.2667,164,-0.0011,0.1103,1668,0.0072,-0.2418,303240,-0.0463,-0.2414,28,0.0377,0.0784,0.6667,0.3333,-0.7619,1
202302,21041,carroll, ky,390950,0.4469,0.9214,13,-0.1333,0.3684,104,0.2,2.0219,6,2,0,0,,,6,,2,12,0.6,0.0909,165,-0.0442,0.3858,2122,0.5891,0.6665,485405,0.159,-0.3008,24,0.0435,0.1707,0.9231,0.4231,-0.2348,1
202302,21203,rockcastle, ky,220950,-0.116,0.6996,16,0.0667,0.3913,78,-0.2308,-0.1755,10,0.6667,0.6667,0,,,4,-0.3333,,12,0.5,-0.3143,134,0.0041,0.2524,1615,-0.0497,0.0671,310635,0.0244,0.7411,27,0.1739,-0.0526,0.75,0.2167,-0.7717,1
202302,21181,nicholas, ky,278000,-0.1299,0.7849,10,0.1765,1.2222,108,0.2314,5.2464,4,1,0,0,,,0,-1,-1,3,-0.4444,-0.6875,110,0.0133,-0.0218,2316,-0.0236,0.5287,327437,-0.0312,0.2871,13,0,0.0833,0.25,-0.2794,-1.5278,1
202302,21135,lewis, ky,152400,0.1656,-0.0982,12,-0.1786,0.2778,152,0.0236,0.6648,4,,,0,,,2,-0.5,,5,0.25,-0.0909,97,0.0623,0.0358,1550,-0.1986,-0.0983,187763,0.2471,-0.4754,17,-0.0833,0.2222,0.4348,0.1491,-0.1763,0
202302,21085,grayson, ky,248425,-0.0059,0.3082,58,-0.0574,0.6912,69,-0.0836,0.0379,18,-0.1818,-0.1,0,,,18,0.125,1.25,20,0.25,-0.5402,142,-0.0203,0.2836,1721,0.001,-0.0356,316872,0.0658,0.1146,78,0.0331,0.0263,0.3478,0.0855,-0.9316,0
202302,21151,madison, ky,322425,0.0751,0.1219,196,-0.1269,1.3614,77,0.1087,0.3021,86,-0.1042,-0.1887,4,1,,38,-0.4063,0.3571,137,0.3838,-0.2883,155,-0.0042,0.0332,1864,0.0504,0.0082,371388,0.0844,0.1188,331,0.0076,0.2058,0.699,0.258,-1.6203,1
202302,21099,hart, ky,258000,0.0324,0.1797,33,-0.3229,0.6667,100,0.1499,0.05,4,-0.6,-0.3333,0,,,10,-0.1667,1.5,23,0.5517,0.0976,132,-0.0217,0.1648,1969,-0.0003,-0.0071,369843,0.0558,0.4192,54,-0.1301,0.4079,0.6923,0.3902,-0.359,0
202302,21103,henry, ky,277225,-0.0357,0.3623,17,-0.1316,-0.0833,52,-0.144,0.8909,12,0.2,-0.5,0,,,8,0.3333,1,17,-0.15,-0.1905,154,-0.0145,0.1457,1708,-0.0863,0.0586,311984,-0.0451,0.2568,34,-0.1519,-0.0946,1.0303,-0.0223,-0.1364,0
202302,21229,washington, ky,232500,-0.0696,0.1278,26,0,0.4167,88,0.2096,1.2278,8,-0.3333,0,0,,,0,-1,-1,6,-0.0769,-0.5385,127,0.0845,-0.0755,1629,-0.1382,-0.0986,337209,-0.0178,-0.0424,31,-0.0462,0.0508,0.2353,-0.0196,-0.4869,1
202302,21231,wayne, ky,228500,-0.0151,0.1649,46,0.0222,0.9574,98,0.0182,0.1297,16,0.6,0.3333,0,,,12,-0.25,,13,-0.037,-0.2778,133,0.0073,0.2868,1796,-0.0007,-0.0721,276122,0.0363,0.0537,59,0.0172,0.4217,0.2826,-0.0174,-0.4833,0
202302,21137,lincoln, ky,218200,0.0568,0.1847,41,-0.0471,0.2462,55,-0.2843,-0.1512,16,-0.3333,-0.2,0,-1,,22,0.8333,1.75,19,-0.1591,-0.5256,125,-0.0307,0.0263,1607,0.0152,0.0775,254910,-0.0455,0.196,60,-0.04,-0.1608,0.4568,-0.0609,-0.7432,0
202302,21057,cumberland, ky,214900,-0.033,-0.2799,37,-0.0135,-0.2396,105,-0.1836,0.0556,4,-0.3333,-0.8333,0,,,0,-1,-1,7,0.5556,-0.3636,139,-0.0129,-0.1691,1472,-0.0187,-0.1664,344358,-0.0065,-0.2092,43,0.0366,-0.2975,0.1918,0.0702,-0.0374,1
202302,21225,union, ky,145950,-0.1844,-0.1195,8,0.2308,4.3333,36,-0.5914,3.7667,4,0,0,0,,,0,-1,,1,-0.5,-0.75,104,-0.0091,-0.0547,1373,-0.0262,0.0794,165443,-0.1322,0.0228,9,0.2,0.8,0.125,-0.1827,-2.5417,1
202302,21097,harrison, ky,202500,0.134,-0.2742,33,-0.0149,2.3,86,0.0721,0.6765,10,-0.1667,0,0,,,10,0.25,,20,0.56,-0.0714,132,-0.0129,-0.1095,1725,0.0323,-0.2062,292299,0.1439,-0.3442,53,0.129,0.7213,0.5909,0.2178,-1.5091,1
202302,21073,franklin, ky,304925,-0.0499,0.1846,74,-0.0633,0.5417,86,0.1862,1.0235,38,-0.2083,-0.05,2,,,20,-0.2857,0.25,77,0.1159,-0.0494,160,0.0064,0.0884,1946,-0.0387,0.1901,333895,-0.0528,0.284,151,0.0169,0.1897,1.0405,0.1671,-0.647,1
202302,21075,fulton, ky,195400,1.2023,0.2734,6,0.2,-0.4286,33,-0.0296,-0.5881,2,-0.75,,0,,,0,,,5,0.1111,4,61,0.0198,0.177,2408,0.2401,-0.0149,180217,0.2872,0.3185,11,0.2222,-0.0833,0.8333,-0.0667,0.7381,0
202302,21027,breckinridge, ky,246250,0.1456,0.2198,52,-0.055,0.3205,94,0.0414,0.0245,18,0.8,0.125,0,,,14,0.1667,0.75,18,0.4,-0.0278,154,0.0504,-0.0248,1472,0.0056,0.0809,279020,0.0553,0.1976,68,0.0382,0.2143,0.3398,0.1104,-0.1217,0
202302,21199,pulaski, ky,265625,0.0119,0.0734,160,-0.0938,0.2811,83,0.0246,0.125,60,-0.0323,-0.1667,0,,-1,48,0.2,-0.1111,86,0.303,-0.14,139,0.0591,0.1122,1796,-0.0318,-0.034,332074,0.0068,0.1246,250,0.0395,0.1136,0.5392,0.1642,-0.264,0
202302,21131,leslie, ky,127500,0.0968,-0.1084,6,0,0.5,133,0.1565,1.1626,0,,,0,,,0,,,1,0,-0.6667,77,0.0094,-0.2114,1518,0.0675,-0.0554,143417,0.0539,-0.3232,6,0,-0.1429,0.1667,0,-0.5833,1
202302,21189,owsley, ky,220000,,-0.56,1,,-0.5,1,,-0.9942,0,,,0,,,0,,,1,0,0,120,,-0.467,1840,,-0.12,220000,,-0.56,1,0,-0.6667,1,,0.5,1
