month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,22077,pointe coupee, la,375000,0.0526,0.2523,43,0.0118,0.2286,94,-0.1194,-0.2389,12,-0.1429,-0.25,0,,,10,-0.1667,1.5,15,0.9333,-0.2162,195,0.1662,0.253,1866,0.0198,0.1347,471782,0.0971,0.4491,58,0.1373,0.0841,0.3372,0.1607,-0.1914,0
202302,22033,east baton rouge, la,330500,0.0169,-0.0556,1126,0.0135,0.9117,95,-0.0281,0.4179,462,0.0948,-0.2596,14,0,-0.6818,344,0.0683,1.6061,551,0.1916,-0.4295,170,0.0081,0.0175,2002,0.0043,-0.0568,445703,-0.0052,-0.1593,1667,0.0621,0.0727,0.4889,0.0731,-1.1495,1
202302,22055,lafayette, la,342500,-0.0145,0.1271,595,-0.0206,0.4589,98,0.0208,0.4412,286,0.2017,-0.1734,4,-0.3333,-0.9286,170,0.1184,1.0732,352,0.229,-0.5178,176,0.0005,0.0432,1999,-0.012,-0.028,428100,0.0002,-0.103,947,0.0552,-0.1716,0.5913,0.1201,-1.1977,1
202302,22125,west feliciana, la,80000,0,0.0667,24,0.0217,-0.1296,267,0.0564,9.8878,8,3,0,0,,,2,-0.75,0,7,-0.4583,-0.5938,162,0,0.0667,495,0,0,340833,0.393,0.535,32,-0.1,-0.25,0.2766,-0.2451,-0.316,1
202302,22103,st. tammany, la,337475,-0.0358,-0.0773,732,0.0048,1.0362,62,-0.1815,0.069,382,0.3357,-0.1473,12,0.2,0.5,226,-0.0259,1.4565,401,0.2873,-0.364,168,0.0035,0.0111,2126,-0.0205,-0.033,450568,-0.0063,-0.1237,1137,0.0944,0.148,0.5478,0.1202,-1.206,1
202302,22101,st. mary, la,170000,0.0625,-0.1276,91,0.0056,0.0343,56,0.6818,-0.5,22,0.2222,-0.2667,2,,,16,-0.4286,0,19,0.2667,-0.1364,100,0.0792,0.0283,1676,-0.0034,-0.1586,257398,0.054,-0.0939,110,0.0282,0,0.2099,0.0433,-0.0415,1
202302,22095,st. john the baptist, la,229450,-0.04,0.4661,114,0.0224,2.2113,74,-0.0516,0.5638,28,-0.4167,-0.3913,0,-1,,26,0,0.8571,60,0.1881,-0.1367,126,-0.0113,0.213,1747,-0.0072,0.1001,231274,-0.0256,0.3477,174,0.0807,0.6186,0.5263,0.0734,-1.4314,1
202302,22121,west baton rouge, la,269300,-0.007,0.1006,40,0.1111,0.7778,65,-0.081,-0.13,20,0.25,-0.2857,2,,-0.5,14,0.75,2.5,20,-0.093,-0.7665,149,-0.0256,-0.0486,1894,0.0476,0.0711,299612,0.0241,-0.223,59,0.0442,-0.4354,0.4875,-0.1097,-3.2236,1
202302,22039,evangeline, la,128250,0.0811,-0.2772,24,-0.0204,0.4545,88,-0.1977,0.135,12,0.5,2,0,,,10,0.25,0,12,0.4375,0.2778,74,0.235,-0.07,1788,-0.0131,-0.0463,193675,0.2029,-0.0181,36,0.1094,0.42,0.4792,0.1526,-0.0663,1
202302,22053,jefferson davis, la,162500,-0.0152,-0.1299,61,-0.0472,0.5316,118,0.2228,0.8583,14,-0.4167,-0.125,0,,,12,0.2,0.2,28,0.1458,-0.1538,95,0.003,-0.063,1807,0.0046,-0.0543,188982,0.0207,-0.1102,88,-0.0223,0.2153,0.4545,0.0766,-0.3682,1
202302,22049,jackson, la,165500,0.3792,-0.2749,15,-0.0323,1.5,130,-0.0095,4.1485,4,0,-0.5,0,,,2,0,,5,1,-0.3333,75,-0.1114,-0.3885,2073,0.0655,-0.0444,179633,0.0985,-0.2869,21,0.1081,0.5185,0.3333,0.172,-0.9167,1
202302,22009,avoyelles, la,133250,0.0201,0.066,73,0.0429,0.3273,104,-0.1834,0.3019,22,0.1,-0.2143,0,,,14,-0.3,-0.2222,24,0.1163,-0.25,82,0.0226,-0.0059,1696,0.0134,0.0094,149431,0.0279,-0.1416,99,0.0765,0.1322,0.3288,0.0216,-0.2531,0
