month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,25023,plymouth, ma,649000,0.0233,0.0927,466,-0.0986,0.6014,55,-0.1698,0.7188,380,0.195,-0.0404,18,0.2857,0.125,108,0.0189,1.3478,139,0.4427,-0.0315,344,0.0166,0.0396,1826,-0.0022,0.0223,788395,0.0539,0.0052,603,-0.0203,0.3882,0.2972,0.1115,-0.1942,0
202302,25007,dukes, ma,2481000,-0.0061,-0.2238,105,-0.0667,0.2727,156,0.0081,0.0196,30,0.6667,0.25,0,,,2,-0.875,-0.5,40,0.1286,-0.0366,1128,0.0197,-0.019,2400,-0.0141,-0.1082,3796455,-0.0569,-0.1612,146,0.0034,0.1918,0.3762,0.0651,-0.1208,1
202302,25025,suffolk, ma,952500,0.0613,0.0892,800,0.0139,0.0224,40,-0.4702,0.2121,490,0.201,-0.3251,8,0.3333,0.3333,142,0.2679,0.3148,114,0.4522,-0.3314,887,0.0645,-0.0088,1325,0.0405,0.0935,2011245,0.0673,0.2173,912,0.0562,-0.0405,0.1425,0.043,-0.0754,0
202302,25017,middlesex, ma,939500,0.0497,0.1535,907,-0.0532,0.4306,31,-0.419,0.7941,886,0.1244,-0.2375,16,0.3333,-0.4667,176,-0.2348,1.0465,216,0.1771,-0.0649,452,0.0451,0.0245,2146,0.0127,0.1657,1404250,0.0822,0.1082,1117,-0.018,0.29,0.2381,0.0466,-0.1262,0
202302,25019,nantucket, ma,4272500,-0.0026,-0.0476,68,0.0149,0.4624,130,-0.0387,0.0176,18,0.125,0.125,0,,,4,-0.5,,4,0.75,-0.5882,1242,-0.0496,-0.1978,3498,0.0105,0.2374,6666120,0.0324,0.0364,72,0.0511,0.3091,0.0515,0.0216,-0.1313,0
202302,25027,worcester, ma,506150,0.0491,0.1248,512,-0.1696,0.274,45,-0.1524,0.6792,458,-0.0876,-0.266,20,2.3333,-0.2857,102,-0.32,0.7586,142,0.0927,0.0443,275,0.0292,0.0667,1898,0.0152,0.0473,576748,0.0418,0.0939,658,-0.1174,0.2255,0.2766,0.0664,-0.0608,0
202302,25011,franklin, ma,308500,-0.0455,-0.1689,50,-0.1803,0.1364,97,0.1788,0.9257,30,0.6667,-0.2105,0,,,20,0.4286,9,11,0.1667,-0.0455,204,0.0194,-0.1221,1746,-0.0304,0.1267,877104,0.4349,0.9726,61,-0.1597,0.1415,0.21,0.0625,-0.04,1
202302,25015,hampshire, ma,519500,0.0631,0.2082,104,-0.2464,0.2919,93,0.2333,1.8682,58,-0.0333,-0.383,0,,,14,-0.6667,0,26,0.1818,-0.2239,266,0.0852,0.1257,1822,0.0121,0.0374,541497,0.0155,-0.025,129,-0.181,0.1416,0.25,0.0906,-0.1661,1
202302,25009,essex, ma,697000,0.0522,0.0642,361,-0.1577,0.2921,31,-0.2994,0.4762,380,-0.1284,-0.2369,4,1,-0.6667,82,-0.1961,1.05,117,0.0734,0.0734,362,0.0102,0.0113,1974,0.0029,0.0305,1053378,0.0499,0.0428,479,-0.1113,0.2173,0.3245,0.0699,-0.0661,0
202302,25013,hampden, ma,297450,0.0086,0.0529,307,-0.074,0.3155,30,-0.3182,0.4634,266,-0.0952,-0.24,0,-1,-1,114,0.0179,1.1923,89,0.2192,-0.1564,203,0.0109,0.0368,1534,-0.0189,-0.0282,343503,-0.017,-0.0267,395,-0.0223,0.1586,0.2904,0.0698,-0.1624,0
