month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,24025,harford, md,407495,-0.0204,0.0383,166,-0.078,0.2259,49,-0.178,0.1975,178,-0.0111,-0.3456,32,0.6,-0.2381,46,-0.1786,0.3529,229,0.1714,-0.3639,213,0.008,0.1133,1917,-0.0098,-0.0063,481215,0.0187,0.0716,396,0.0617,-0.201,1.3837,0.2945,-1.283,1
202302,24035,queen anne's, md,547373,0.0305,0.0937,102,-0.0558,0.1215,90,-0.011,0.4094,64,0.28,-0.1795,6,0.5,-0.5714,36,-0.1429,1,99,0.1939,-0.2757,252,0.0301,0.0221,2095,-0.0118,0.083,643156,0.0165,-0.123,204,0.0681,-0.0953,0.9704,0.203,-0.5323,0
202302,24021,frederick, md,519925,0.0297,0.0409,257,-0.1094,0.441,37,-0.2745,0.1385,324,0.2656,-0.1606,36,-0.1429,-0.5263,64,-0.2,1.2857,453,0.1077,-0.0793,220,0.0004,0.0144,2334,0.0053,0.0644,567230,0.0148,0.0315,717,0.028,0.071,1.7641,0.3457,-0.9971,0
202302,24003,anne arundel, md,539173,0.0319,0.1455,516,-0.0669,0.1609,43,-0.2412,0.2721,526,0.1955,-0.3554,54,0.2857,-0.4375,164,-0.1368,0.3898,643,0.1443,-0.3813,253,0.005,0.0533,2009,0.0258,0.0899,711808,0.0295,0.0974,1155,0.0322,-0.221,1.2452,0.2298,-1.0912,1
202302,24045,wicomico, md,289445,-0.0062,0.1248,133,-0.0149,0.1472,74,0.0647,-0.039,96,0.5484,-0.0204,2,0,-0.8571,48,0.4118,1.1818,108,0.0746,-0.3757,158,-0.0067,0.0314,1910,-0.0171,0.1098,348555,-0.016,0.0722,238,0.0171,-0.181,0.8151,0.0679,-0.6827,0
202302,24017,charles, md,499625,0.0044,0.1109,265,-0.0956,0.6667,46,-0.2094,0.128,186,-0.0106,-0.177,20,0.4286,-0.5652,68,-0.2273,1,316,0.2224,-0.092,206,0.0025,0.0336,2386,0.0044,0.0792,527116,0.0243,0.0505,574,0.0408,0.1355,1.1925,0.3102,-0.9962,0
202302,24029,kent, md,431250,0.143,0.5279,43,-0.0753,0.2113,92,0.2185,0.0667,24,0.2,0.2,0,,,10,0.6667,1.5,34,0.5952,-0.0946,214,0.0461,0.1151,1820,0.0151,-0.0166,645220,0.0192,0.4004,73,0.0657,0.021,0.7791,0.3275,-0.2632,1
202302,24027,howard, md,650750,0.0208,0.1229,177,-0.1324,0.292,37,-0.103,0.1212,258,0.2772,-0.1224,34,0.2143,-0.4333,36,-0.4706,0.6364,294,0.3016,-0.1226,245,-0.0024,0.0164,2577,0.0221,0.0769,783988,-0.0033,-0.001,463,0.0793,-0.0253,1.6582,0.5528,-0.7834,0
202302,24037,st. mary's, md,451500,0.122,0.1678,150,-0.0854,0.5385,51,-0.2708,0.2785,134,0.1754,-0.1067,8,0,-0.6667,44,0.0476,1.2,170,0.3386,-0.3359,186,0.0157,0.0057,2238,0.0181,0.0607,532326,0.0919,-0.042,322,0.1222,-0.0853,1.1333,0.3589,-1.4923,1
202302,24001,allegany, md,119675,-0.0748,0.0593,118,-0.0208,-0.1165,93,-0.0558,0.2117,54,0.125,-0.1,2,0,,20,0,-0.1667,52,-0.2016,-0.4718,85,-0.0235,0.0328,1560,-0.0639,0.0219,170213,-0.1863,0.0361,169,-0.0714,-0.2652,0.4383,-0.0992,-0.2948,0
202302,24031,montgomery, md,607500,0.0318,0.1517,606,-0.141,0.0783,41,-0.2895,0.4464,678,0.13,-0.326,66,0.32,-0.2143,154,-0.1979,0.3276,857,0.3086,-0.157,295,0.006,0.0158,1937,0.011,0.1352,1002759,0.1076,0.1794,1461,0.0755,-0.0768,1.4134,0.4857,-0.3945,0
202302,24011,caroline, md,305888,-0.0289,0.0468,56,-0.0089,0.1684,80,0.0596,0.2214,32,1.6667,0.0667,0,,,16,0.1429,0.6,40,0.3793,-0.3333,179,0.0111,0.1642,1687,-0.0018,-0.1188,409746,0.0495,0.2754,95,0.1047,-0.1038,0.7207,0.2029,-0.5424,0
202302,24015,cecil, md,444968,0.0177,0.0659,106,-0.0578,0.0547,59,-0.0209,-0.4,74,-0.0976,-0.1591,6,-0.4,-0.625,18,-0.25,0.5,100,0.087,-0.2754,203,0.0249,0.075,2064,0.0034,0.0196,481424,0.0369,0.1704,210,0.0294,-0.1102,0.9434,0.1256,-0.4297,0
202302,24047,worcester, md,517210,0.0748,0.1484,231,-0.1047,0.1877,89,0.0723,0.5546,170,0.4912,-0.2202,2,-0.75,-0.6667,60,-0.0625,0.875,211,0.3569,-0.2171,387,0.0332,0.2107,1502,0.0402,-0.003,760981,0.0699,0.1177,442,0.0651,-0.0556,0.9134,0.3107,-0.4722,0
202302,24033,prince george's, md,444450,0.0402,0.1114,843,-0.1394,0.4156,42,-0.2759,0.4237,692,-0.0416,-0.3149,88,-0.0833,-0.3623,320,-0.1444,1.0513,1175,0.1893,-0.0726,239,0.0099,0.0093,1764,0.0438,0.1308,478393,0.0262,0.0803,2014,0.0283,0.0762,1.3938,0.3852,-0.7338,0
202302,24009,calvert, md,413700,-0.0378,0.0903,124,-0.1453,0.6467,45,-0.3206,0.1195,86,-0.0444,-0.3582,6,0,0,36,-0.4194,0.8,140,0.2183,-0.1086,211,0.0313,0.0123,2060,-0.0422,0.0959,495836,-0.0178,0.1113,265,0.0134,0.1425,1.1296,0.3372,-0.9571,0
