month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,23011,kennebec, me,339725,0.0616,0.0785,126,-0.2253,0.4181,90,0.0559,0.5408,66,-0.1081,-0.0833,0,,,20,-0.5833,1,47,-0.1696,-0.1842,190,-0.0049,0.0352,1735,0.0185,0.055,417754,0.0097,0.0238,172,-0.2182,0.1821,0.3705,0.0248,-0.2735,0
202302,23003,aroostook, me,172500,-0.0254,0.0522,214,-0.0655,0.2194,121,0.0477,0.0277,38,-0.1364,-0.1364,2,,,24,0,0.7143,23,-0.098,-0.5701,113,0.0233,0.0633,1511,-0.008,-0.0214,243761,0.034,0.1051,237,-0.0688,0.0327,0.1075,-0.0039,-0.1974,0
202302,23009,hancock, me,529000,0.0655,0.1243,131,-0.0742,0.2417,121,0.019,-0.0082,36,0.2,-0.1429,2,,,10,0,0.25,28,0.0185,-0.2466,300,0.0364,0.2065,2003,0.0439,0.1139,1161831,0.0512,0.3071,157,-0.0655,0.1056,0.2099,0.0191,-0.136,0
202302,23023,sagadahoc, me,592500,0.197,0.146,29,-0.1618,0.0556,45,-0.2937,-0.442,20,-0.2308,-0.1667,0,,-1,4,-0.5,,10,0.1176,0.5833,290,0.1615,0.056,2023,0.0195,0.227,619799,0.0526,-0.0322,38,-0.1071,0.1538,0.3333,0.0833,0.1111,0
202302,23013,knox, me,527475,0.071,0.1197,71,-0.1125,0.0143,130,0.0658,-0.0354,18,0,-0.5,0,,,6,-0.4,-0.25,25,-0.3421,-0.3151,272,0.0421,0.1301,2167,0.0365,0.203,996847,-0.06,0.18,96,-0.1803,-0.1075,0.3521,-0.1229,-0.1693,0
202302,23001,androscoggin, me,313725,0.0459,0.0738,58,-0.2069,0.15,52,-0.189,0.7167,42,-0.2222,-0.3636,0,,,20,0.25,4,23,-0.0816,-0.1818,181,0.0051,0.0389,1731,-0.0165,-0.0346,359633,-0.0045,-0.0494,81,-0.1786,0.0321,0.3913,0.0534,-0.1587,0
202302,23021,piscataquis, me,213250,-0.0522,0.123,74,-0.1302,0.1855,115,0.0699,-0.1323,14,-0.5333,-0.3636,0,,,6,-0.4,0.5,9,0.2143,-0.1053,171,0.0108,0.1842,1296,-0.0256,0,346126,-0.0229,0.4128,82,-0.1038,0.1631,0.1156,0.0328,-0.0376,0
202302,23019,penobscot, me,244675,0.0642,0.2237,194,-0.1103,0.1153,119,0.1197,0.0915,74,0.1212,-0.3273,0,,-1,34,-0.1053,0.5455,45,0.0465,-0.1589,159,0.0108,0.11,1618,0.0344,0.0645,320172,0.048,0.131,239,-0.0809,0.0507,0.2326,0.0349,-0.0758,0
202302,23015,lincoln, me,426000,0.0101,-0.0734,49,-0.1849,0.2125,128,0.2249,0.4262,16,0,-0.4667,0,,,8,0,3,18,0.4,-0.3137,265,0.029,0.0952,1590,-0.0555,-0.1673,622938,0.0863,-0.0379,66,-0.0709,0.0155,0.3608,0.1507,-0.2767,0
202302,23017,oxford, me,399434,0,0.1933,120,-0.0627,0.5127,86,-0.0997,0.4412,50,0.1364,-0.3243,0,,,20,0.1111,0.6667,24,0.119,-0.2656,220,-0.0062,0.2155,1743,-0.0568,-0.0058,612432,0.0078,0.1256,141,-0.0539,0.2658,0.1967,0.0319,-0.2084,0
202302,23007,franklin, me,399500,0.0541,-0.0431,83,-0.0674,0.1141,92,-0.0027,0.0486,34,0.2143,0,0,,-1,14,-0.125,0.75,17,0.0303,-0.2609,242,0.0035,0.0664,1702,0.0787,-0.0474,604007,0.1289,0.1572,100,-0.0566,0.0204,0.2048,0.0194,-0.1039,0
202302,23029,washington, me,247950,0.0143,0.1671,123,-0.0682,0.0424,134,0.1456,0.0075,28,0.1667,-0.2632,0,,,10,-0.375,0.25,20,0.0833,-0.4429,166,-0.0104,0.1035,1500,0.0072,0.0283,350084,-0.0083,0.1987,143,-0.0498,-0.0561,0.1585,0.0222,-0.1381,0
202302,23005,cumberland, me,599350,-0.0009,0.0736,280,-0.1013,0.3278,60,-0.0766,1.7386,194,0.0778,-0.2422,8,3,-0.5,38,-0.3871,2.8,73,0.0504,0.1318,378,0.0465,0.1602,1570,-0.0154,-0.0175,762252,0.0764,0.0803,355,-0.067,0.2862,0.2612,0.0377,-0.0452,1
202302,23025,somerset, me,232500,-0.0309,0.2568,108,-0.0851,0.3871,122,0.1114,0.4257,36,0.3846,-0.0526,0,,,6,-0.7,2,24,0.093,-0.0408,159,-0.0258,0.2618,1440,0.0026,-0.0699,297326,-0.0193,0.0661,130,-0.0582,0.2822,0.2186,0.0356,-0.0975,0
202302,23027,waldo, me,450000,0.0514,0.3091,65,-0.14,0.217,134,0.0988,0.1558,30,0.875,-0.0625,0,,-1,10,0.25,0.6667,15,-0.3182,-0.5161,237,0.0286,0.1639,1803,0.0399,0.1515,661596,0.0553,0.1697,78,-0.1917,-0.0659,0.2326,-0.0608,-0.3523,0
202302,23031,york, me,578925,-0.0013,0.16,280,-0.0939,0.3896,82,0.0314,1.1299,152,-0.05,-0.1556,6,0,-0.25,36,-0.25,1.25,57,0.1287,-0.3448,350,0.0237,0.1408,1769,-0.0025,0.0777,800634,0.0324,0.0496,335,-0.0682,0.1574,0.2036,0.0401,-0.2282,1
202301,23021,piscataquis, me,225000,0.0369,0.1848,85,-0.0059,0.1419,107,-0.0674,-0.1316,30,0.5,0.25,0,,,10,-0.1667,1.5,7,-0.2222,0,169,0.0386,0.1026,1330,0.0091,0.0045,354226,0.0273,0.3826,92,-0.0469,0.1438,0.0828,-0.023,-0.0118,0
202301,23001,androscoggin, me,299950,-0.0166,0,73,-0.1854,0.2083,64,0.114,0.2451,54,0.35,-0.0357,0,,,16,0,0,25,0.0652,-0.4432,180,-0.0067,0.058,1760,0.0156,0.0615,361274,-0.0126,0.029,98,-0.125,-0.0577,0.3379,0.0795,-0.3954,0
202301,23017,oxford, me,399434,0.0797,0.4015,128,-0.1267,0.6139,95,0.1272,0.3138,44,0.2222,-0.1538,0,,,18,-0.5,1.25,21,-0.1923,-0.4615,221,0.0394,0.2535,1848,0.1282,0.1079,607712,0.0715,0.1936,149,-0.1366,0.3142,0.1647,-0.0134,-0.329,0
202301,23015,lincoln, me,421750,-0.018,-0.0979,60,-0.2468,0.19,105,0.1875,0.1359,16,0.3333,-0.2,0,,,8,-0.3333,0,13,-0.2188,-0.569,258,-0.0244,0.0561,1684,-0.0341,-0.0985,573475,-0.152,-0.0788,71,-0.2579,-0.0473,0.2101,0.0076,-0.3699,0
