month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,26045,eaton, mi,217450,0.0114,-0.0073,87,-0.2532,0.4032,61,0.0702,0.4699,58,-0.2162,-0.1471,0,,-1,24,-0.4545,0.7143,110,0.0896,-0.1205,127,-0.0139,0.1163,1740,0.0174,0.0202,266260,0.0087,0.033,197,-0.0922,0.062,1.2586,0.396,-0.7494,0
202302,26049,genesee, mi,189338,0.0406,0.0761,746,-0.0903,0.3844,76,0.0201,0.52,350,-0.0885,-0.0979,12,-0.1429,-0.4,252,-0.0667,0.8261,229,0.1537,-0.1777,121,0.0033,0.012,1428,0.0193,-0.0045,257690,0.0418,-0.0041,970,-0.0486,0.1887,0.3072,0.065,-0.21,0
202302,26033,chippewa, mi,242400,-0.0302,0.3716,62,0.025,0.1182,113,-0.0088,-0.2812,28,1,0.2727,0,,,2,0,,17,-0.1905,-0.5526,146,-0.0496,0.2229,1600,-0.0009,0.1214,408927,-0.0427,0.5331,79,-0.0248,-0.1559,0.2764,-0.0736,-0.4145,0
202302,26139,ottawa, mi,461200,0.072,0.139,302,-0.1027,0.8903,63,-0.0524,0.1448,194,-0.03,0.0659,4,1,-0.6667,66,-0.3774,1.5385,281,0.2573,0.0144,212,0.0153,0.0392,2081,0.0222,0.0423,577489,0.065,0.0118,579,0.049,0.3178,0.932,0.2668,-0.8047,0
202302,26059,hillsdale, mi,222400,0.0723,0.3418,53,-0.16,0.3125,74,-0.2016,0.188,24,-0.0769,-0.2,0,,,12,-0.3333,0.5,42,0.2029,-0.2783,124,0.0044,0.0804,1705,0.0284,0.0914,299873,0.0529,0.2721,94,-0.0359,-0.0457,0.7905,0.2385,-0.647,0
202302,26047,emmet, mi,536500,-0.0002,-0.0458,126,0.0372,0.0415,95,-0.0357,0.0831,42,0.9091,0.1053,2,,,8,-0.3333,,2,0.5,0,254,-0.008,-0.008,2102,0.0002,0,1073537,0.0013,0.0978,127,0.0367,0.0453,0.012,0.0037,-0.0005,0
202302,26015,barry, mi,332175,0.0302,0.1167,69,-0.121,0.725,63,-0.0233,0.2174,46,0.15,-0.1154,0,,,24,-0.3333,1,65,0.084,-0.2989,173,0.0434,0.1474,1792,-0.0495,-0.0381,445659,0.0871,0.3073,134,-0.029,0.0308,0.9348,0.1768,-1.3652,1
202302,26073,isabella, mi,226350,0.0073,0.2582,76,-0.0443,0.208,102,0.0226,0.2839,24,-0.0769,-0.0769,0,-1,,16,0,0.6,45,0.1688,-0.3284,119,-0.0057,0.08,1744,0.0033,0.1005,276013,0.0459,0.2144,120,0.0169,-0.0943,0.596,0.1087,-0.476,0
202302,26031,cheboygan, mi,259975,0.0001,-0.1988,56,0,0.098,71,-0.1955,-0.2828,16,-0.3846,-0.2,0,,,4,1,0,18,0.0909,-0.3455,166,0.0587,-0.0542,1680,-0.0059,-0.119,533323,0.0175,0.0172,74,0.0137,-0.0067,0.3214,0.0268,-0.2178,1
202302,26091,lenawee, mi,272325,0.009,0.0896,136,-0.0216,0.6386,72,0.0035,0.0106,62,-0.1622,-0.2791,6,,,52,0.1818,3.3333,77,0.0621,-0.2903,146,0.0302,0.0268,1759,0.0171,0.0344,305449,0.0252,0.0183,215,0.0094,0.1201,0.5662,0.0446,-0.7411,0
202302,26115,monroe, mi,265000,-0.0395,0.0537,169,-0.079,0.1986,60,-0.1119,0.0348,112,0.2174,-0.0345,6,2,0,56,0.3333,1.3333,115,0.355,-0.3657,163,0.0082,-0.0333,1653,-0.008,0.0557,306604,0.0019,0.0261,280,0.041,-0.1224,0.6775,0.217,-0.6026,0
