month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,27053,hennepin, mn,411950,0.0913,0.1001,1219,-0.1268,0.1173,47,-0.2734,0.5,1066,0.2032,-0.3922,34,0.8889,-0.6047,264,-0.237,0.3469,1328,0.2348,-0.281,224,0.031,0.0974,1850,0.0238,-0.0678,662670,0.0714,0.0992,2557,0.0346,-0.1304,1.0894,0.319,-0.6035,0
202302,27155,traverse, mn,172500,0.2778,0.4496,7,0.5556,1.3333,41,-0.0122,1.3143,4,0,0,0,,,2,,,2,0.3333,0.3333,62,0.2487,-0.2833,1779,0.4825,-0.3362,159619,0.1934,0.1868,9,0.5,1,0.2857,-0.0476,-0.2143,1
202302,27003,anoka, mn,449968,0.0561,0.1109,369,-0.1001,0.3091,43,-0.2478,0.4912,324,0.08,-0.2322,8,0.3333,-0.8571,94,-0.2419,3.7,424,0.2771,-0.1662,217,0.0443,0.2304,1951,-0.0041,-0.1099,493842,0.0355,0.1122,793,0.0602,-0.0038,1.1506,0.3399,-0.6558,0
202302,27117,pipestone, mn,166175,-0.04,0.1629,16,-0.0606,-0.2051,76,-0.0904,0.4313,4,-0.3333,-0.6667,0,,,4,1,-0.5,6,-0.1429,-0.3333,98,-0.0268,0.4644,1255,0.04,-0.4156,249783,0.1159,0.7402,18,-0.186,-0.3396,0.3871,-0.0371,-0.0744,0
202302,27137,st. louis, mn,280000,0.096,0.4181,180,-0.169,0.1506,113,0.1241,0.2411,92,0.2778,-0.2813,0,,-1,38,0.0556,0.9,144,0.0992,-0.269,176,0.024,0.1912,1592,0.0477,0.0264,392289,0.0461,-0.009,320,-0.0738,-0.0883,0.8022,0.1957,-0.4606,0
202302,27027,clay, mn,351058,0.1005,0.1693,83,-0.2315,0.4821,87,0.189,1.4196,36,0.125,-0.4194,2,0,,8,-0.6667,-0.3333,29,0.425,0,148,0.029,0.1756,2184,0.0087,-0.0972,357894,0.0583,0.0881,111,-0.1195,0.3077,0.3434,0.1582,-0.1656,1
202302,27121,pope, mn,277000,0.0615,-0.0278,13,0.3889,0.9231,94,-0.1194,1.186,6,,-0.25,0,,,0,-1,,2,-0.7692,-0.8966,150,0.111,-0.0668,1623,-0.1008,-0.2795,274286,-0.0338,-0.6161,14,-0.0968,-0.3171,0.12,-0.6022,-2.1108,1
202302,27083,lyon, mn,180000,0.3091,-0.0884,27,-0.0185,0.3947,98,0.108,0.4552,14,0.4,-0.3636,0,,,4,-0.5,0,23,0.1842,-0.2623,99,0.1797,0.2206,1886,0.075,-0.1562,211105,0.1481,0.159,49,0.0538,-0.0101,0.8491,0.1454,-0.7562,0
202302,27087,mahnomen, mn,125875,-0.1509,0.2,3,-0.5,-0.4444,165,0.7832,0.8329,0,,-1,0,,,2,-0.5,,4,0.6,3,84,-0.0956,-0.047,1880,-0.1392,0.6509,136288,-0.1596,-0.4771,6,-0.1429,0.0909,1.6,1.1,1.3778,1
202302,27001,aitkin, mn,357225,-0.0042,0.2816,26,-0.2273,0.02,105,0.2681,1.6313,4,-0.6667,-0.8182,0,,,10,0,1.5,17,0.65,-0.2826,212,-0.0271,0.1765,1715,0.0078,-0.0278,398517,-0.0091,-0.233,42,-0.0568,-0.0778,0.6471,0.344,-0.2729,1
