month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,28045,hancock, ms,362500,-0.0254,0.1155,181,0.0226,0.6306,64,-0.1774,0.226,66,0.0645,-0.0833,0,-1,,68,0.4167,1,87,0.0813,-0.2345,187,0.0372,0.1202,1698,0.0031,-0.1386,406963,-0.0048,0.0537,266,0.0371,0.1959,0.4779,0.0259,-0.5401,0
202302,28019,choctaw, ms,217450,0.1836,0.9226,8,0.1429,-0.1579,53,-0.2193,-0.6303,0,-1,-1,0,,,0,,-1,1,0,-0.7143,102,-0.0163,0.069,1536,0.0132,0.1088,212340,0.0226,0.1781,9,0.125,-0.3077,0.125,-0.0179,-0.2434,1
202302,28145,union, ms,275500,0.0027,0.0113,64,-0.0154,0.1963,88,-0.0979,0.0903,18,-0.1,-0.25,0,,-1,12,-0.4,0,26,0.4444,-0.2,148,0.0071,0.1054,1873,0.0003,-0.0801,305000,0.0067,0.1034,89,0.0994,0.0412,0.4063,0.1293,-0.2012,0
202302,28021,claiborne, ms,144250,-0.0383,-0.5788,18,0.0294,3.375,142,0.1098,-0.5052,2,0,,0,,,4,-0.5,,3,-0.2857,1.5,86,0,0.1367,1775,0,-0.6056,292642,-0.0221,-0.5141,21,0,3.1,0.1429,-0.063,-0.1071,1
202302,28027,coahoma, ms,54450,-0.0082,-0.4207,39,0.0548,2.08,124,0.2932,0,4,1,-0.3333,0,,,0,-1,,3,-0.25,-0.25,37,-0.0405,-0.3589,1478,0.0027,-0.0481,126974,0.2957,-0.0151,42,0.0247,1.5152,0.0779,-0.0317,-0.2421,1
202302,28061,jasper, ms,116525,-0.1617,-0.4872,14,0,0.0385,101,0.086,-0.017,6,0.5,0,0,,,4,,1,4,0.6,-0.4286,97,-0.0263,-0.0945,1340,0.0212,-0.3271,222718,0.3574,-0.0197,18,0.0606,-0.125,0.2963,0.1111,-0.2422,1
202302,28097,montgomery, ms,138125,-0.0714,0.0464,11,-0.1852,0.0476,86,0.3359,-0.2227,0,-1,-1,0,,,0,-1,,7,0.0833,0.3,85,0.0049,0.0897,1681,-0.0548,-0.0129,274731,0.0756,0.8626,18,-0.125,0.0938,0.5909,0.1465,0.1147,1
202302,28059,jackson, ms,249900,0.0548,0.2342,277,-0.0658,0.3512,84,0.1013,0.3926,146,0.2586,-0.2065,4,0,-0.6,92,-0.1481,0.5333,215,0.195,-0.2629,128,0.0196,0.1178,1972,0.0489,0.068,353428,0.0537,0.088,488,0.0295,-0.0081,0.7744,0.169,-0.6451,0
202302,28095,monroe, ms,161000,0.1838,0.0886,39,-0.0494,0.1324,46,-0.1402,-0.4177,14,-0.4167,-0.3,0,,,12,0.2,2,20,0.0263,-0.4507,94,0.0892,0.1748,1652,-0.0307,0.0116,217967,0.114,-0.0017,58,-0.0252,-0.1655,0.5065,0.0374,-0.5376,0
202302,28119,quitman, ms,79500,0.1158,-0.0237,4,0,1,43,-0.368,-0.0341,0,-1,-1,0,,,0,,,1,0,0,61,0.1116,0.0014,1340,0,-0.0265,76413,0.0543,-0.0616,5,0,1.25,0.25,0,-0.25,1
