month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,30061,mineral, mt,539500,-0.0186,-0.4794,16,0.0333,0.55,112,-0.0689,0.0619,8,1,0.3333,0,,,4,-0.3333,1,7,0.0833,-0.1875,304,0.0086,-0.2932,1783,-0.1078,-0.1315,745247,-0.0773,-0.2966,22,0.0238,0.1944,0.4194,0.0194,-0.3806,1
202302,30109,wibaux, mt,52500,0,-0.6719,1,0,0,33,1.8261,-0.8036,0,-1,,0,,,0,,,,,,62,0,,850,0,,52500,0,-0.6719,1,0,-0.6667,,,,1
202302,30063,missoula, mt,767000,0.0765,-0.0458,190,-0.0452,1.585,104,0.1456,0.5164,86,0.3438,-0.2182,2,-0.5,0,26,0.0833,5.5,132,0.0913,-0.1755,357,0,-0.0361,2262,0.0232,-0.0521,1042469,0.0037,-0.0968,317,-0.0109,0.3664,0.6921,0.0866,-1.478,1
202302,30057,madison, mt,1483500,0.3486,0.6627,69,-0.0213,0.5,193,0.1424,1.5246,14,0.1667,-0.3636,0,,,4,-0.3333,1,28,0.2791,-0.382,897,0.2323,0.6058,2184,0.03,0.069,2594793,0.1508,0.3291,96,0.038,0.0552,0.3986,0.0936,-0.5688,1
202302,30003,big horn, mt,249250,0.1986,-0.03,28,-0.0351,1.1154,93,0.2937,0.3121,4,0,,0,,,2,-0.5,0,6,0.2222,0.5714,115,0.0532,0.0046,1568,0.0265,-0.2294,469454,0.142,0.6395,33,0,1.0625,0.2,0.0421,-0.0692,0
202302,30111,yellowstone, mt,459925,0.0223,0.0545,248,-0.1524,1.4874,59,-0.0168,0.9664,138,0.0299,-0.1266,4,,1,82,-0.2407,3.5556,232,0.2314,0.0221,209,-0.0019,0.0682,2363,0.0284,0.0154,627289,0.1002,-0.0653,479,-0.001,0.4678,0.9354,0.2915,-1.341,1
202302,30077,powell, mt,385000,0,0.54,21,-0.0889,1.05,123,0.225,0.0294,4,-0.5,1,0,,,4,,,6,0,-0.4,234,0.0022,-0.0122,1863,0.052,0.1168,2418500,0.0388,1.0795,27,-0.0357,0.4211,0.2927,0.026,-0.7073,1
202302,30039,granite, mt,887000,0,0.2234,18,0,5,146,0.205,7.8182,4,0,,0,,,0,,,3,0.6667,-0.5833,425,-0.0082,-0.0337,2016,0.0955,0.3835,1678689,0.0064,1.9897,20,0.0256,1.2222,0.1389,0.0556,-1.8611,1
202302,30035,glacier, mt,299000,0.0034,-0.3138,28,0.0577,2.4375,142,0.1008,0.8684,4,1,0,0,,,6,2,,3,2,-0.6667,135,0.059,-0.1369,2088,0.065,-0.0712,499878,-0.0447,-0.6671,31,0.1296,0.8485,0.1091,0.0706,-1.0159,1
202302,30021,dawson, mt,185000,-0.0199,0.0433,35,-0.0141,-0.0278,180,0.1826,0.3907,0,-1,-1,0,,,4,1,0,6,-0.0769,-0.4,104,-0.022,0.2493,1896,0.0052,-0.0356,237099,0.0039,0.1503,41,-0.0238,-0.1087,0.1714,-0.0117,-0.1063,1
202302,30029,flathead, mt,762500,0.0932,0.6435,540,-0.1255,0.4063,133,-0.0093,0.1792,152,-0.013,-0.2165,4,0,-0.3333,70,-0.0541,3.375,184,0.122,-0.4875,412,0.0715,0.1205,2012,0.0264,0.4663,1407406,0.0652,0.35,719,-0.0829,-0.0204,0.3407,0.0752,-0.5942,1
202302,30027,fergus, mt,377000,0.0155,1.1574,20,0.0833,0.95,103,0.0099,4.0617,4,-0.3333,-0.5,0,,,6,,,1,0,-0.8889,251,0.0806,1.3087,1597,-0.1266,-0.2251,477238,-0.2008,0.6265,21,0.0789,0.0789,0.0513,-0.0043,-0.8487,1
202302,30059,meagher, mt,550000,-0.0626,0.6467,11,-0.1538,0.1,205,0.1295,4.5034,2,,-0.8,0,,,0,,,4,2.5,-0.2222,252,-0.0867,0.5822,2274,-0.0861,0.4938,578448,-0.0899,0.2785,14,0,0,0.3182,0.2413,-0.1318,1
202302,30107,wheatland, mt,226975,0.5142,0.5259,2,0.5,-0.4,28,-0.7905,-0.7215,0,,,0,,,0,,,1,0,-0.3333,107,0.1633,1.3312,2315,0.3951,-0.3176,226975,0.5142,0.5259,3,1.5,-0.1667,0.6667,-0.3333,0.0667,1
202302,30013,cascade, mt,411750,0.018,0.0398,68,-0.1282,0.7662,49,-0.3096,-0.049,68,0,-0.1053,2,,,16,-0.3846,1,104,0.2093,-0.0142,185,0.0085,0.1023,2282,0.0024,-0.0257,606095,0.0623,-0.011,173,0.0486,0.1856,1.5294,0.4268,-1.2108,1
202302,30093,silver bow, mt,337500,-0.0103,0.0465,78,-0.0824,0.6957,97,0.1763,0.8169,20,-0.1667,-0.5833,0,,,22,0.375,0.8333,46,0.2297,-0.272,189,0.0469,0.0288,1869,-0.0192,-0.1374,504029,-0.1715,-0.0622,121,-0.0123,0.1209,0.5833,0.148,-0.7754,0
202302,30091,sheridan, mt,157000,-0.2706,0.1018,8,-0.2381,-0.4074,119,0.1733,0.975,0,-1,-1,0,,,0,,,3,0,0.5,93,-0.105,0.3159,2394,0.1138,0.3871,193101,-0.0347,0.2714,11,-0.1538,-0.1852,0.375,0.0893,0.2269,1
202302,30037,golden valley, mt,285000,0.6464,-0.8538,4,0.1667,2.5,129,-0.0719,4.0588,0,,,0,,,0,,,1,,0,182,0.4036,-0.7666,1727,0.2147,-0.3103,1488300,0.0701,-0.2368,4,0.1667,0.4,0.2857,,-0.7143,1
202302,30041,hill, mt,252500,0.0565,0.153,40,0.039,0.25,109,0.014,0.2111,12,0.2,0.2,0,,,10,-0.2857,1.5,2,,-0.625,124,-0.0235,0.1179,2169,0.0174,0.0758,288635,-0.0543,-0.0503,42,0.0779,0.1528,0.0375,,-0.0875,0
202302,30083,richland, mt,242347,0.1445,0.1623,29,-0.0794,0.3488,101,-0.069,-0.1667,8,3,-0.3333,0,,,0,-1,,6,0,-0.3333,172,0.0165,0.082,1363,-0.0038,-0.1981,248522,0.0847,0.0466,35,-0.0789,0.1475,0.2069,0.0164,-0.2117,0
202302,30043,jefferson, mt,547425,0.0138,-0.2078,34,-0.0423,0.7436,75,0.1912,-0.0939,6,-0.25,-0.625,0,,,4,0,,8,-0.2381,-0.6596,290,0.0332,0.1485,1838,-0.0574,-0.4032,728992,-0.0302,-0.0495,41,-0.1087,-0.0465,0.2353,-0.0605,-0.9698,1
202302,30017,custer, mt,267000,0.5141,-0.2305,13,-0.359,0.1905,116,0.1928,-0.2189,6,0.5,0.5,0,,,0,-1,-1,20,0.7727,0.56,130,0.1986,0.14,2256,0.171,-0.0752,377988,0.3594,-0.0341,32,0.0492,0.3913,1.56,0.9959,0.3695,1
202302,30067,park, mt,780500,0.2124,0.0803,42,-0.0879,1.1282,117,-0.0147,0.3249,14,1.3333,-0.2222,0,,,6,0,2,25,0.1905,-0.5536,368,0.1772,0.0295,2200,0.0055,-0.0081,1709275,0.2083,0.1794,67,0.0075,-0.1126,0.6024,0.1409,-2.2694,1
202302,30085,roosevelt, mt,225000,-0.0315,0.1905,13,0.0833,0.2381,111,0.1946,-0.2379,0,-1,-1,0,,,0,,,2,-0.25,0.5,111,0.1881,0.1281,1568,-0.1098,-0.2045,275538,-0.0076,0.4758,14,0,0.2174,0.1154,-0.0513,0.0201,1
202302,30081,ravalli, mt,799000,0.023,-0.0858,159,0.0497,0.6597,130,0.0176,0.3359,60,0.5789,0.1111,0,,,28,0.1667,1.3333,55,0,-0.433,379,0.0497,-0.0069,2289,-0.0108,-0.0634,1209664,0.0059,-0.2234,212,0.0368,0.1102,0.347,-0.0172,-0.6687,0
202302,30087,rosebud, mt,250000,0.0309,2.2468,5,-0.4375,3.5,145,0.3047,-0.2864,2,,,0,,,0,,,4,-0.4615,-0.125,118,0.1989,0.2715,2181,0.1172,1.6208,292800,0.0478,2.8026,8,-0.4483,0.6,0.7778,-0.0347,-3.2222,1
202302,30053,lincoln, mt,599000,-0.0152,-0.0357,90,-0.0217,0.8367,155,0.0543,0.5722,18,0.5,-0.3571,0,,,12,0.5,1,20,0.2903,-0.6,320,0.0072,-0.118,1927,-0.0168,0.043,769180,-0.0339,-0.171,111,0.0231,0.0995,0.2222,0.0537,-0.7982,0
202302,30055,mccone, mt,420000,0,2.1134,1,0,0,99,0.3311,8.85,0,,,0,,,0,,,,,,1094,0,16.4319,384,0,-0.8214,420000,0,2.1134,1,-0.3333,0,,,,1
202302,30097,sweet grass, mt,498000,-0.1516,-0.3333,30,0.0714,1.6087,180,0.0113,0.4593,8,,0.3333,0,,,6,,2,1,0,-0.8571,231,-0.0094,-0.3492,2076,-0.0038,0.0212,1299145,-0.05,-0.433,31,0.069,0.6316,0.0333,-0.0024,-0.5754,1
202302,30069,petroleum, mt,380000,0,0.0849,3,0,0.5,163,0.2082,0.2405,0,,,0,,,0,,,,,,183,0,-0.4625,2080,0,0.577,380000,0,-0.0366,3,0,0,,,,0
202302,30031,gallatin, mt,1227250,0.1208,-0.1541,416,-0.0142,1.8203,102,-0.0814,1.3882,160,0.25,-0.1209,4,-0.3333,-0.6667,60,-0.0625,3.2857,273,0.1495,-0.2459,502,0.0663,-0.0454,2384,-0.0088,-0.0938,2176069,0.0468,-0.2706,694,0.0484,0.3652,0.6563,0.0935,-1.798,1
202302,30071,phillips, mt,174000,0.16,-0.0714,7,-0.2222,-0.65,196,-0.1292,-0.0556,2,,0,0,,,0,,,,,,127,0.0089,0.0019,1220,-0.095,-0.2807,239190,0.0149,-0.4833,7,-0.2222,-0.6957,,,,0
202302,30025,fallon, mt,154000,-0.0508,0.4681,11,-0.16,0.5,212,0.076,-0.0752,0,,,0,,,0,,,1,0,,86,-0.0699,0.0668,1810,-0.0232,-0.1248,208750,-0.153,0.2529,11,-0.12,0.5714,0.0952,0.0152,,0
202302,30051,liberty, mt,200000,-0.1304,1.8881,4,0.3333,1,160,-0.0912,-0.5857,0,,,0,,,0,,,,,,78,-0.008,-0.008,2476,0.243,1.4909,188238,-0.0704,1.7182,4,0.3333,1,,,,1
202302,30045,judith basin, mt,221250,-0.41,-0.8086,4,0.3333,1,44,1.8226,-0.2553,2,,0,0,,,0,,,,,,102,-0.2608,-0.5982,2078,-0.2383,-0.566,309125,-0.2067,-0.7326,4,0.1429,1,,,,1
202302,30095,stillwater, mt,575000,0.0023,-0.1071,25,-0.0577,0.2564,105,0.2404,0.0609,2,-0.75,-0.8,0,,,4,,,7,0.4,-0.3913,245,-0.019,-0.1581,2286,0.0075,-0.3398,725671,0.0328,-0.5738,31,0,0.0333,0.2857,0.0934,-0.304,1
202302,30099,teton, mt,571225,-0.0749,0.0467,13,-0.2424,0.5625,101,-0.1563,-0.3147,4,0,1,0,,,4,,1,9,0.5,-0.1429,278,0.0007,0.1484,2087,-0.1066,-0.1679,748798,-0.0578,0.1713,22,0,0.1892,0.72,0.3564,-0.5925,1
202302,30073,pondera, mt,329900,-0.0435,0.1356,15,0.0345,1.1429,139,-0.0481,0.4097,4,0,0,0,,,0,-1,-1,6,0.2,-0.4,119,-0.1084,-0.3428,2383,0,0.6386,377720,-0.1009,-0.1121,21,0.0769,0.2353,0.4,0.0552,-1.0286,1
202302,30005,blaine, mt,109500,-0.3364,-0.4456,6,-0.1538,-0.0833,71,-0.5662,-0.3054,4,,,0,,,0,,,,,,77,-0.2996,-0.2029,1291,-0.3014,-0.2984,120983,-0.7173,-0.8354,6,-0.1538,-0.0833,,,,1
202302,30079,prairie, mt,175000,0,1.1875,1,0,-0.7143,207,0.1569,0.3258,0,,-1,0,,,0,,,,,,,,,,,,175000,0,0.2483,1,-0.5,-0.7143,,,,1
202302,30103,treasure, mt,587450,0,-0.2219,2,0,1,152,0.2267,-0.4749,0,,,0,,,0,,,,,,312,0,-0.0208,1970,0,-0.1681,587450,0,-0.2219,2,0,0,,,,1
202302,30023,deer lodge, mt,395000,-0.0418,0.5524,20,0.0526,1.8571,69,-0.2282,-0.1104,12,1,-0.4545,0,,,0,-1,,11,0.0476,-0.5926,216,0.2389,0.3682,1808,-0.0574,0.0311,628893,0.0145,1.227,31,-0.0161,-0.0896,0.55,-0.0026,-3.3071,1
202302,30001,beaverhead, mt,462500,-0.0666,-0.3268,39,0.0685,1.2286,113,-0.0661,-0.2153,16,1.6667,1,0,,,4,0,1,14,0.75,-0.0968,223,-0.0345,0.0565,2179,0.0014,-0.2344,667238,-0.0386,-0.2453,53,0.1778,0.6563,0.359,0.1398,-0.5267,1
202302,30019,daniels, mt,160000,-0.1582,-0.1434,1,-0.6667,0,113,-0.1228,-0.4431,0,,,0,,,0,,,,,,68,-0.311,-0.3417,2368,0.1034,0.3011,166698,-0.1625,-0.1076,1,-0.6667,0,,,,1
202302,30033,garfield, mt,2750000,-0.1882,11.7907,3,0.2,2,154,0.1563,-0.0971,0,,,0,,,0,,,,,,307,0,-0.0231,700,0,0.0736,2755000,-0.1873,11.814,3,0.2,0.5,,,,1
202302,30089,sanders, mt,632000,-0.0753,-0.0968,48,0.1176,0.7925,108,0.1685,0.2181,14,6,0.4,0,,,8,3,1,8,-0.0588,-0.6735,303,-0.0471,0.0617,1843,-0.0134,-0.1126,825196,-0.0191,-0.1878,56,0.0673,0.099,0.1684,-0.0316,-0.7561,0
