month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,37197,yadkin, nc,282400,0.0324,-0.0459,26,-0.2676,0.5758,64,0.2929,0.0894,10,-0.4444,-0.1667,0,,,6,-0.4,2,30,0.1569,0.2826,617,1.5871,2.5422,2188,0.2289,0.3193,374903,0.2588,-0.1016,55,-0.1138,0.3293,1.1346,0.4163,-0.2593,0
202302,37139,pasquotank, nc,330973,-0.0542,0.1885,68,-0.0357,-0.0816,50,-0.3356,0.2532,54,0.5,-0.0357,0,,-1,14,-0.4167,0.75,86,0.1325,-0.0952,157,-0.0132,0.0671,1985,-0.0318,-0.0153,308192,-0.048,0.1084,149,0.0421,-0.1054,1.2667,0.1881,-0.019,0
202302,37127,nash, nc,309218,-0.0198,0.2128,173,0,2.1081,75,-0.0353,0.4683,100,0.5152,0.2195,8,0.3333,0,38,-0.0952,3.75,127,0.2095,-0.073,159,-0.0251,0.2337,2024,-0.0225,0.1045,347268,-0.0228,0.1982,296,0.0785,0.5311,0.7362,0.1275,-1.7322,1
202302,37185,warren, nc,268450,-0.1067,-0.4761,31,-0.1757,0.1731,143,0.1235,0.4845,12,0.5,0.5,0,,,4,-0.6667,-0.3333,24,0.4118,-0.0769,176,-0.0349,-0.0876,1683,-0.0862,-0.3092,648817,0.0667,0.1327,55,0.0093,0.0583,0.7869,0.3274,-0.2131,1
202302,37141,pender, nc,501450,0.0132,0.0338,238,-0.0987,1.4235,103,0.1326,0.5649,92,-0.1481,-0.2333,4,-0.7143,-0.7143,48,0.0435,1.4,218,0.2083,-0.3224,207,0.0185,0.0279,2458,0.007,0.1323,629552,0.0294,-0.0329,454,0.0202,0.0861,0.9158,0.2327,-2.3597,1
202302,37025,cabarrus, nc,374890,0.017,0.0946,376,-0.1237,2.0528,54,-0.123,1.1837,256,0.3913,0.0667,46,2.8333,6.6667,166,-0.1443,4.5333,381,0.5059,1.741,202,0.003,0.0782,1844,0.005,0.0614,429142,0.0199,0.0486,757,0.1084,1.8929,1.0146,0.4242,-0.1154,1
202302,37135,orange, nc,470450,0.0469,-0.1101,119,-0.1218,1.5319,81,-0.0182,1.5116,82,0.0513,-0.1458,0,-1,-1,28,0,6,146,0.2218,1.1955,241,0.0087,-0.0686,2267,0.0392,0.0105,801078,0.0694,-0.0073,265,0.0352,1.3043,1.2269,0.345,-0.188,1
202302,37053,currituck, nc,539423,-0.0198,0.0444,197,-0.0858,0.9799,97,-0.0718,0.6724,66,0.0645,-0.0833,6,-0.5714,,38,0,1.375,156,0.2235,-0.2081,241,0.0222,-0.0219,2477,-0.0312,-0.0023,767402,-0.043,-0.1446,345,0.0268,0.19,0.7919,0.2002,-1.188,1
202302,37113,macon, nc,662500,0.0193,-0.044,151,0.0067,0.3087,89,-0.0431,-0.0897,58,0.2083,-0.1212,2,,,32,0.6,1.6667,71,-0.0596,-0.2935,258,0.1058,0.1549,1870,0.0655,0.07,1028511,0.0079,-0.0487,223,-0.0022,0.0325,0.4718,-0.0333,-0.4022,0
202302,37035,catawba, nc,367770,0.0368,0.1441,224,-0.1354,1.0318,78,0.0298,1.8273,166,0.169,-0.0978,2,,-0.5,70,-0.1463,1.3333,249,0.0945,0.6768,191,0.0137,0.0887,1963,-0.0006,0.051,483027,0.0018,0.0581,475,-0.0237,0.825,1.1141,0.234,-0.2359,1
202302,37119,mecklenburg, nc,442225,0.0407,0.0369,1597,-0.1321,1.3747,51,-0.2348,1.2444,1298,0.057,-0.0512,110,0.8333,0.9643,556,-0.3186,3.4839,2210,0.2996,1.2784,230,0.0187,-0.024,1976,0.0055,0.0445,672844,0.0536,0.0689,3803,0.0754,1.3161,1.3838,0.4597,-0.0585,1
202302,37107,lenoir, nc,244388,0.0025,0.6163,111,-0.039,2.5238,91,0.3684,0.7089,36,0,0.2,12,-0.4545,,24,0.7143,5,52,-0.2313,-0.019,122,0.0091,0.325,1654,0.031,-0.0374,293450,0.0045,0.5322,159,-0.1167,0.8596,0.464,-0.1161,-1.2027,1
202302,37161,rutherford, nc,323750,0.0117,0.0071,115,-0.2203,0.3939,85,0.0242,0.5479,58,0.2083,-0.1944,0,-1,,30,-0.4231,0.875,82,-0.0575,-0.1323,187,0.0402,0.0123,1573,-0.0464,-0.1073,490478,0.0474,0.0822,198,-0.1338,0.1416,0.713,0.1232,-0.4324,0
202302,37115,madison, nc,428020,0.0709,-0.314,49,-0.2302,0.7018,108,0.0238,0.1257,12,-0.5385,-0.25,0,,,22,0.2222,2.6667,35,0.3462,-0.1566,254,0.0364,0.0045,2029,0.0922,-0.0518,615353,-0.0184,-0.1688,85,-0.0611,0.1901,0.7216,0.309,-0.7345,1
202302,37181,vance, nc,262500,-0.0748,0.6567,51,0.0968,1.0816,44,-0.4822,0.7157,24,0,-0.0769,0,,,14,0.4,2.5,34,0.1964,0.5581,159,0.0316,0.3172,1669,0.0069,0.2772,297342,-0.0552,0.2275,85,0.1333,0.8889,0.6569,0.0547,-0.2207,1
202302,37153,richmond, nc,194750,0.0093,0.2351,54,0.049,0.4861,67,0.1362,0.6084,22,-0.1538,-0.1538,0,,,22,0.2222,2.6667,35,0.3019,-0.08,130,0.018,0.1998,1599,0.0183,0.0082,246254,0.1505,0.3511,87,0.1154,0.1837,0.6449,0.1253,-0.3968,0
202302,37075,graham, nc,334250,-0.0074,0.023,42,0.012,1.7097,146,0.0355,0.3213,4,-0.6667,0,0,,,6,2,2,21,-0.1277,-0.1277,232,0.0346,-0.1217,1604,-0.0452,-0.0415,420766,-0.1024,0.0278,63,-0.0233,0.6154,0.4881,-0.0782,-1.028,1
202302,37111,mcdowell, nc,412225,0.0384,0.2371,58,-0.2333,0.4024,96,0.2261,0.0079,34,0.7,0.1333,0,,,14,-0.4167,0.75,51,0.2289,-0.0556,240,0.0097,0.1846,1812,0.0949,0.1085,574011,0.0588,0.2097,109,-0.0606,0.1244,0.887,0.3336,-0.4301,0
202302,37121,mitchell, nc,350000,0.2502,-0.0272,42,0.1857,0.4821,76,-0.2847,-0.0288,36,2.6,1.25,0,,,8,-0.3333,-0.3333,17,0.36,-0.2917,184,0.044,-0.1269,1855,0.0612,0.1242,404829,0.1351,-0.2848,59,0.2421,0.1346,0.4096,0.0525,-0.4475,1
202302,37067,forsyth, nc,353363,0.0098,0.1978,471,-0.0299,0.6538,50,-0.1903,0.1628,358,0.0468,-0.1435,46,4.75,1.875,150,0.0135,2.2609,497,0.1655,-0.3203,140,-0.0791,-0.0764,2181,-0.0427,0.4367,397243,0.0116,0.0652,967,0.0615,-0.0473,1.0553,0.1769,-1.5124,1
202302,37151,randolph, nc,262173,0.0086,0.0601,104,-0.1303,0.5564,60,-0.1393,0.4012,100,0.8519,0.0204,2,-0.8333,-0.6667,42,-0.16,0.75,143,0.0634,-0.2105,170,-0.012,0.0317,1529,0.0655,-0.1902,308835,-0.0141,-0.0449,240,-0.0343,-0.0343,1.3768,0.2508,-1.3375,1
202302,37069,franklin, nc,439975,0.0275,0.1843,294,-0.0265,4.6442,99,0.0939,2.7358,136,0.283,0.5455,22,1.75,4.5,80,-0.3103,9,250,0.3414,2.7803,199,0.0198,0.0066,2291,-0.0029,0.1643,481184,0.0147,0.0549,537,0.1189,3.5274,0.8501,0.2332,-0.4191,1
