month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,38075,renville, nd,113925,-0.2463,-0.0002,9,-0.1818,-0.1,149,0.2532,0.555,0,,,0,,,0,-1,-1,2,0.5,0.5,64,-0.2928,0.1677,1669,0.0759,-0.075,121608,-0.1335,-0.0805,10,-0.1667,-0.0909,0.1667,0.0758,0.0667,0
202302,38031,foster, nd,163350,-0.1398,0.3397,6,1,0.0909,36,1.88,-0.6571,2,-0.5,0,0,,,0,,,1,-0.5,-0.75,102,0.018,0.3083,1438,-0.2827,-0.2195,178218,-0.0177,0.306,6,0.5,0,0.0833,-0.25,-0.2803,1
202302,38097,traill, nd,215000,0.0426,0.4777,10,-0.2593,0.1765,106,0.0442,-0.2424,0,-1,-1,0,,,2,,,5,0.2857,-0.4375,86,0.0858,0.5419,2409,-0.0177,0.0473,201872,-0.0947,0.0528,14,-0.1765,-0.1515,0.45,0.1907,-0.4912,1
202302,38083,sheridan, nd,85975,-0.0258,0.566,2,-0.25,-0.25,149,-0.3326,0.5882,0,,,0,,,0,,,3,0,2,66,-0.1555,2.3229,1195,-0.2778,-0.5751,85975,-0.0258,0.566,5,-0.1,0.5,2,0.5,1.5,1
202302,38073,ransom, nd,92000,0.1646,-0.2637,9,-0.0526,0.2,101,0.3137,-0.2947,0,,-1,0,,,2,,,,,,58,-0.0395,0.1275,2326,0.1045,0.1275,134304,0.0577,-0.3397,9,-0.1,0.125,,,,1
202302,38101,ward, nd,239900,-0.0254,0.2226,117,-0.1993,0.3952,54,-0.2535,0,60,-0.0625,-0.1892,2,,-0.6667,26,-0.2353,0.4444,87,0.6635,-0.2412,114,0.0139,0.0597,2122,-0.0208,0.1478,276245,0.0298,0.2507,202,0.0228,0.0125,0.7425,0.3851,-0.6228,0
202302,38019,cavalier, nd,134900,-0.1569,0.3534,13,0.3889,0.7857,162,-0.0358,8.2286,2,0,-0.5,0,,,0,,,2,-0.3333,-0.3333,47,-0.1123,-0.0181,1824,-0.0772,-0.288,113938,-0.145,-0.3023,15,0.2083,0.381,0.16,-0.1733,-0.2686,1
202302,38069,pierce, nd,111500,0.3118,0.2528,7,0,-0.3636,129,0.2786,-0.2374,0,,,0,,,0,-1,,4,-0.2,3,90,0.1569,0.3582,967,-0.1145,-0.2784,119400,0.0384,0.008,11,-0.125,-0.125,0.5714,-0.1429,0.4805,0
202302,38047,logan, nd,92975,0.2667,,4,-0.3333,,130,0.0197,,0,,,0,,,0,,,4,0.1667,0.1667,79,0.7061,,1408,0.3763,,156233,0.3855,,9,-0.0556,1.8333,0.875,0.375,,0
202302,38011,bowman, nd,130250,0.0711,-0.0527,10,0.1176,-0.2692,129,-0.2367,-0.3798,2,0,0,0,,,0,-1,,3,0,-0.25,71,-0.0069,-0.0657,1640,0.0055,0.1353,149324,0.1145,-0.1378,13,0.087,-0.2647,0.3158,-0.0372,0.0081,0
