month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,31007,banner, ne,358250,0.338,,2,0,,28,-0.4043,,0,,,0,,,0,,,2,0.5,,237,0.1853,,1409,0.1423,,358250,0.338,,3,0.2,,1,0.3333,,0
202302,31109,lancaster, ne,443175,0.0026,0.1042,487,-0.0432,0.3699,46,-0.1598,0.0337,270,0.0976,-0.2663,8,0,-0.6923,80,0.1429,3,417,0.121,-0.4228,178,0.0047,0.0306,2467,0.012,0.0867,457573,-0.0005,0.0498,911,0.0277,-0.151,0.8563,0.1254,-1.1761,1
202302,31047,dawson, ne,271250,0.0277,0.2668,33,-0.2326,0.6098,100,0.3916,0.3772,16,1.6667,1,0,,,2,0,0,21,0.4483,-0.25,148,0.1039,0.4605,1751,0.0376,-0.1094,282211,0.0541,0.1152,54,-0.0609,0.1134,0.6364,0.2992,-0.7295,1
202302,31045,dawes, ne,345000,-0.08,-0.5548,14,0.12,13,114,0.0933,8.14,2,-0.5,,0,,,0,,,4,-0.3,0.75,214,-0.0327,1.0182,1928,-0.029,-0.736,525325,0.1815,-0.3222,18,0,6,0.25,-0.15,-1.75,1
202302,31157,scotts bluff, ne,225000,0.0626,0.0465,69,-0.0072,0.7792,74,0.0809,0.1179,22,-0.3125,-0.1538,0,,,14,-0.4615,0.75,39,0.5918,-0.1789,172,0.0678,0.0691,1362,-0.0266,-0.0339,301614,0.0653,-0.1754,108,0.1497,0.2428,0.5693,0.2143,-0.6644,0
202302,31141,platte, ne,285000,0,0.0605,61,-0.0472,0.4756,91,0.0643,0.1447,18,0,-0.5,0,,,10,-0.1667,0.6667,4,0.75,0.75,193,0.011,-0.0017,1427,0.0014,-0.0169,324487,0.0165,0.1179,64,-0.0303,0.4545,0.0579,0.0264,0.0091,0
202302,31169,thayer, ne,112250,-0.1448,0.5092,7,-0.2222,-0.125,96,0.0606,0.7991,0,-1,-1,0,,,2,,0,2,0.3333,-0.6364,81,-0.0202,0.1985,1481,0.1028,0.1548,117188,-0.152,0.0782,9,-0.1818,-0.3333,0.2857,0.119,-0.4018,1
202302,31073,gosper, ne,452000,-0.5316,0.9483,3,-0.25,-0.5,84,-0.1429,-0.3129,4,,,0,,,0,,,6,0.375,1.75,372,0.1422,2.3162,1386,-0.5969,-0.4076,452000,-0.5346,0.2936,8,0.0667,0,1.8333,0.8333,1.5,1
202302,31151,saline, ne,175000,-0.0604,-0.2735,8,-0.0588,0.0667,51,0.0622,0.5299,6,0.5,-0.5,0,,,0,-1,,5,-0.0909,-0.6429,125,-0.1055,-0.087,1548,-0.0184,-0.1318,214355,-0.1097,-0.1759,13,-0.0714,-0.3953,0.625,-0.0221,-1.2417,1
202302,31041,custer, ne,214950,0,0.2025,16,-0.0303,-0.1111,107,0.2159,0.597,2,,-0.5,0,,,0,,,4,0.3333,-0.3846,84,-0.0603,-0.129,2172,0.1037,0.0336,574395,-0.0091,0.2142,20,0.0256,-0.1489,0.25,0.0682,-0.1111,0
202302,31029,chase, ne,153750,0.2813,0.3851,11,0.1667,0.6154,114,-0.034,-0.3641,4,,0,0,,,0,,,1,-0.5,-0.75,88,0,-0.2191,1497,-0.0164,0.1138,393203,1.128,0.6526,12,0.0455,0.0952,0.0952,-0.127,-0.5201,0
202302,31033,cheyenne, ne,163625,-0.0068,0.1835,33,0,0.2264,110,0.0918,1.1782,6,-0.25,-0.4,0,,,0,-1,-1,7,-0.0714,0.0833,89,-0.0078,0.2019,1761,0.0179,-0.0401,197767,0.009,0.3494,39,-0.0127,0.2381,0.2,-0.0154,-0.0264,1
202302,31121,merrick, ne,215000,-0.0337,0.2286,8,-0.2857,0.0714,74,0.1045,-0.3378,0,-1,-1,0,,,0,-1,,4,1,-0.619,111,-0.185,0.168,1476,0.034,-0.171,216613,-0.043,0.0643,11,-0.12,-0.3529,0.5333,0.3429,-0.9667,1
202302,31071,garfield, ne,175000,0.0606,0.25,2,-0.3333,-0.7143,205,0.3621,0.8386,0,-1,,0,,,0,,,3,0.25,-0.5,93,0.2552,-0.273,1934,0.1735,0.4158,175000,0.3601,-0.1155,5,0,-0.5833,1.25,0.5833,0.5357,0
202302,31037,colfax, ne,185000,-0.0064,-0.435,7,0.4,2.5,35,0.7692,-0.6443,6,0,,0,,,0,,,2,0.5,0.5,157,0.0401,-0.2051,1199,0,-0.5004,219535,-0.017,-0.3296,9,0.4167,1.8333,0.2143,0.0143,-0.2857,1
202302,31049,deuel, ne,345000,0.1815,0.5682,5,1.5,0.6667,30,-0.8173,-0.1918,0,,,0,,,0,,,0,-1,-1,98,-0.0553,-0.0884,2836,2.4749,0.7396,322550,0.1046,0.576,5,0.6667,0.25,0,-0.5,-0.3333,1
202302,31147,richardson, ne,163000,0.154,0.517,15,0.0714,-0.3617,107,0.0438,-0.2242,6,2,-0.4,0,,,4,0,1,5,-0.1818,-0.3571,79,-0.0792,0.4498,1728,0.0126,-0.0567,227507,0.2205,0.4065,19,-0.0256,-0.3968,0.3,-0.0929,0.0021,1
202302,31057,dundy, ne,164250,0.1005,1.6071,7,0,12,78,0.0195,-0.3814,0,,,0,,,0,-1,,1,-0.5,-0.5,91,-0.0959,0.0548,1492,0.0421,1.0495,161033,0.0072,1.5561,7,-0.2222,3.6667,0.1538,-0.1538,-3.8462,1
202302,31119,madison, ne,264900,0.0604,-0.1349,57,0.1068,0.5616,56,-0.36,-0.2774,26,-0.1333,-0.1333,0,,,8,0.3333,0,2,-0.625,-0.5,150,0.0994,0.1364,2068,-0.0637,-0.1906,334133,0.0476,0.1211,59,0.0541,0.481,0.0263,-0.0514,-0.0559,1
202302,31149,rock, ne,114225,0.524,0.6365,3,-0.25,-0.4545,309,0.3673,2.8148,0,,,0,,,0,,,2,0,-0.6,45,-0.2179,-0.2705,2999,0.6658,0.6405,114238,0.3483,-0.0169,4,-0.3333,-0.6364,0.6667,0.1667,-0.2424,1
202302,31043,dakota, ne,267475,-0.0753,-0.2016,18,-0.122,0.5,84,0.1761,-0.3239,8,-0.3333,0.3333,0,,,4,0,,5,1,-0.2857,131,0.0319,-0.0259,2001,-0.1394,0.0631,285247,-0.0614,-0.1547,24,0.0217,0.2703,0.2778,0.1558,-0.3056,1
202302,31025,cass, ne,374625,-0.0537,0.3686,28,-0.1515,0.3659,23,-0.6364,-0.6,24,1,0,0,,-1,4,-0.6667,1,38,0.1905,-0.2925,175,0.0363,0.376,1935,-0.0651,-0.1145,397595,-0.0532,-0.0679,64,0,-0.1233,1.3393,0.3847,-1.2461,1
202302,31175,valley, ne,99900,0,-0.6419,5,-0.25,0.125,81,0.229,0.3879,0,-1,-1,0,,,0,,,3,0.25,1.5,58,0,-0.4261,2055,0.0034,-0.1646,199676,0.4383,-0.3634,8,0.0714,0.5,0.5556,0.2222,0.3056,1
202302,31123,morrill, ne,126250,-0.1293,0.427,2,-0.3333,0,78,-0.5141,-0.1066,4,,,0,,,0,,,3,0.6667,-0.1667,102,-0.325,0.1999,1157,-0.3816,0.1365,113750,-0.575,0.2857,5,0,-0.1,1.25,0.75,-0.25,0
202302,31051,dixon, ne,139000,-0.2034,0.0902,6,0,1.2,73,0.3821,1.1866,2,0,0,0,,,0,-1,,1,0,0,85,-0.0902,0.108,2171,0.0306,0.0716,146905,-0.158,-0.0469,6,-0.1538,0.375,0.1818,0,-0.2182,1
202302,31135,perkins, ne,175000,0.1667,-0.9795,6,0.0909,2,147,-0.0755,-0.7521,0,,,0,,,0,,,4,-0.3,-0.125,89,0.0353,-0.9794,2196,0.0186,0.2053,214083,0.2454,-0.981,10,-0.0476,0.6667,0.5833,-0.3258,-1.4167,1
202302,31101,keith, ne,282200,0.0107,0.2323,50,0.0309,1.0408,126,0.0567,0.215,12,0.2,0,0,,,4,,0,10,0.5385,-0.4118,140,0.031,0.0536,1872,0.0052,-0.1076,336756,0.0719,-0.0275,59,0.0631,0.4217,0.2,0.066,-0.4939,0
202302,31031,cherry, ne,360875,0.2465,2.3585,5,-0.2857,-0.375,210,0.548,0.0826,0,,-1,0,,,0,,,3,0.25,1.5,99,0.0517,0.0211,1728,-0.0588,0.3913,363125,0.042,1.5341,8,-0.1176,-0.1667,0.5,0.2143,0.375,1
202302,31095,jefferson, ne,162425,0.0076,0.605,10,0.0526,-0.0476,33,-0.25,-0.4962,4,-0.3333,1,0,,,0,-1,-1,7,0,-0.4348,97,-0.0044,0.2196,1876,0.1678,0.4388,413750,1.1273,2.46,17,0.0968,-0.2273,0.65,-0.0342,-0.4452,1
202302,31081,hamilton, ne,285000,-0.0169,-0.0806,16,-0.1622,0.9375,95,0.0026,1.6458,0,-1,-1,0,,,0,,-1,2,1,-0.7647,143,0.0701,-0.1693,2130,-0.1561,0.2888,293514,-0.0563,-0.0393,17,-0.1538,-0.0294,0.129,0.075,-0.9335,1
202302,31011,boone, ne,172500,0.1129,-0.1039,2,0,-0.5,95,-0.2974,0.2517,0,,-1,0,,,0,,-1,3,0,-0.6471,104,-0.2632,-0.0096,2018,0.6287,0.1479,172500,0.1129,-0.1244,5,0,-0.6,1.5,0,-0.625,1
202302,31019,buffalo, ne,339800,0.0509,0.1749,40,-0.1398,0.4286,111,0.2614,0.7831,20,-0.0909,-0.5238,0,,,4,-0.3333,-0.5,42,0.2923,-0.2,127,0.0093,0.1003,2576,0.0176,-0.0485,343840,0.0237,0.1236,82,0.038,0.0061,1.05,0.3511,-0.825,0
202302,31027,cedar, ne,217000,-0.0766,0.2859,13,-0.1071,0.7857,92,-0.0239,0.2267,8,1,1,0,,,4,,,6,5,1,122,-0.0669,0.3568,1478,-0.1226,-0.218,210632,-0.1014,0.0305,18,0.2,0.7143,0.48,0.4086,0.0514,1
202302,31079,hall, ne,307500,0.0167,0.2412,68,-0.1758,0.5455,87,0.1959,1.5036,30,-0.3182,-0.4231,0,,,26,0.625,0.8571,6,0.375,-0.0833,129,0.0386,-0.2481,2610,0.0136,0.8804,365229,0.0197,0.2038,74,-0.1445,0.48,0.0809,0.0324,-0.0555,1
202302,31087,hitchcock, ne,145675,0.1748,-0.1367,14,-0.1,1.25,120,0.3287,2.0833,0,-1,-1,0,,,0,-1,,3,2,0.5,62,0.0654,-0.319,1992,0.0572,0.1368,184859,0.1237,-0.0376,17,0.0625,1.2667,0.2222,0.1556,-0.1111,1
202302,31035,clay, ne,149500,-0.0156,0.3716,7,-0.3333,-0.6667,78,-0.019,-0.2092,2,0,-0.5,0,,,2,,0,8,0.2308,-0.2727,82,-0.1141,0.3667,1662,0,-0.1648,145843,-0.0393,-0.2867,15,-0.1176,-0.5238,1.1429,0.5238,0.619,0
202302,31017,brown, ne,135000,0,0.0757,5,0,-0.375,119,-0.2663,0.191,0,,,0,,,0,,,2,-0.3333,-0.6667,68,0,-0.0541,1717,-0.0915,0.2653,139100,-0.3622,-0.6702,7,-0.125,-0.5,0.4,-0.2,-0.35,0
