month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,33019,sullivan, nh,347425,-0.0314,0.0296,42,-0.1765,0.3125,91,-0.0573,0.4141,34,0.5455,0.1333,0,,,4,-0.5,0,25,0.4286,-0.2647,179,0.0456,-0.1671,1744,-0.1172,0.0271,456634,0.0096,-0.1837,67,-0.029,-0.0147,0.5952,0.2521,-0.4673,0
202302,33015,rockingham, nh,669225,-0.001,0.1156,348,-0.0595,0.5065,56,-0.2839,0.7903,216,0.0385,-0.2059,34,1.4286,0.4167,38,-0.5,0.7273,144,0.0996,-0.3017,346,0.0159,0.08,2018,-0.0108,0.0686,823745,0.0006,-0.0168,488,-0.025,0.1193,0.4124,0.0597,-0.4773,0
202302,33003,carroll, nh,578125,0.0342,0.2248,116,-0.1533,0.4591,101,0.116,0.9057,54,-0.0357,-0.1818,0,,,14,-0.2222,0,66,0.1092,-0.2414,294,0.0117,0.003,2048,0.0064,0.1752,971021,-0.0046,0.0873,182,-0.0594,0.0898,0.569,0.1347,-0.5254,0
202302,33011,hillsborough, nh,562200,0.0374,0.2634,226,-0.1105,0.4006,39,-0.1444,2.5,236,0.0631,-0.2387,8,0,-0.5556,40,-0.2857,2.3333,157,0.2038,-0.031,268,0.0473,0.0915,2020,-0.0329,0.0643,657536,0.0317,0.1631,386,0.0039,0.1768,0.694,0.1812,-0.3091,1
202302,33005,cheshire, nh,394125,-0.0003,0.3856,65,-0.0845,0.2621,82,-0.0706,1.886,44,0.375,-0.3125,2,,0,26,1.6,5.5,39,0.0694,-0.0723,202,0.0429,0.1253,1877,-0.0472,0.07,494699,-0.0167,-0.0014,105,-0.0369,0.1611,0.5923,0.0853,-0.2135,1
202302,33013,merrimack, nh,522475,0.046,0.106,87,-0.2851,0.2721,70,0.0294,1.5,78,0.0263,-0.2909,2,0,-0.6667,20,-0.1667,4,67,-0.05,-0.335,267,0.0973,0.091,2022,-0.0244,0.0363,561487,0.021,-0.0503,156,-0.1859,-0.0661,0.7688,0.1903,-0.7018,1
202302,33001,belknap, nh,599450,0.0131,0.2756,112,0.0182,0.6593,68,-0.2479,0.5,74,1.3125,0.0278,0,,-1,6,-0.5,-0.4,59,0.0351,-0.3257,330,0.0016,0.2585,1959,-0.0158,0.0206,1350117,0.0746,0.4268,169,0.009,0.0942,0.5268,0.0086,-0.7695,0
202302,33009,grafton, nh,481250,0.0926,0.1013,125,-0.0879,0.5759,66,-0.0997,0.9848,74,-0.1778,-0.2449,0,-1,,18,-0.3077,2,76,0.0486,-0.0679,262,0.0212,0.1393,1811,-0.0304,-0.1062,721966,0.1211,0.0886,197,-0.053,0.232,0.6064,0.079,-0.4189,0
202302,33007,coos, nh,259250,-0.001,0.4772,69,-0.1104,0.2124,126,0.2244,0.6141,26,0.3,0.1818,0,,,10,0.25,0.6667,35,0.0769,-0.125,154,-0.0336,0.3145,1491,0.0007,-0.1128,270397,-0.0145,-0.0525,104,-0.0505,0.0725,0.5109,0.0889,-0.197,0
202302,33017,strafford, nh,501975,-0.0195,0.2171,68,-0.2857,0.3918,67,0.0113,1.3596,48,-0.3333,-0.3333,4,1,1,6,-0.625,-0.25,61,0.3011,-0.0397,271,0.0201,0.1405,1791,-0.0013,-0.0331,546485,-0.1499,-0.2563,131,-0.0906,0.1652,0.8963,0.4042,-0.4027,1
202301,33001,belknap, nh,591725,0.1272,0.3715,110,-0.2715,0.4474,90,0.2295,0.3598,32,-0.2,-0.3846,0,,-1,12,-0.4,2,57,-0.2192,-0.2083,329,0.0562,0.2518,1990,0.0699,0.1056,1256400,0.1824,0.4389,167,-0.2545,0.1284,0.5182,0.0347,-0.4292,0
202301,33003,carroll, nh,559000,0.1202,0.2493,137,-0.1845,0.631,91,0.3507,0.3923,56,0.5556,0.2727,0,,,18,-0.1,0.5,60,-0.2468,-0.2654,291,0.0499,0.0777,2035,0.0595,0.1647,975535,0.1744,0.0741,194,-0.2198,0.1799,0.4343,-0.0359,-0.53,0
202301,33019,sullivan, nh,358700,-0.009,0.0873,51,-0.1639,0.3421,96,0.1034,0.2973,22,0.375,0.375,0,,,8,0,,18,-0.3269,-0.593,171,-0.0124,-0.1041,1975,-0.0184,0.1086,452273,0.0025,0.1457,69,-0.2247,-0.1481,0.3431,-0.0831,-0.7884,0
202301,33011,hillsborough, nh,541950,0.0861,0.2045,254,-0.1661,0.4738,45,0.0465,0.4063,222,-0.0431,-0.0089,8,1,-0.3333,56,0.0769,3.6667,130,-0.1558,-0.2216,256,0.0251,0.083,2088,0.0216,0.1499,637312,0.0249,0.153,385,-0.1549,0.0892,0.5128,0.0062,-0.4581,0
202301,33013,merrimack, nh,499500,-0.0008,0.1896,121,-0.2577,0.4756,68,0.193,0.36,76,0,0,2,,,24,-0.4,5,70,-0.2045,-0.3694,243,0.0039,0.0908,2073,0.0101,0.1008,549914,-0.0134,0.0385,191,-0.239,-0.0205,0.5785,0.0386,-0.7751,0
202301,33015,rockingham, nh,669900,0.0533,0.1304,370,-0.1591,0.4286,78,0.25,0.4762,208,0.0833,0,14,,-0.65,76,0.3571,3.75,131,-0.1741,-0.3696,341,0.0483,0.0674,2040,0.002,0.0834,823267,0.0243,-0.019,501,-0.1616,0.0717,0.3527,-0.0064,-0.4465,0
202301,33009,grafton, nh,440475,0.0035,0.1441,137,-0.0651,0.6646,73,-0.049,0.0319,90,1.0455,0.4063,2,,,26,2.25,2.25,72,-0.0526,0.0588,257,0.0318,0.2445,1868,-0.053,-0.0119,643953,0.0057,0.1433,208,-0.0653,0.402,0.5275,0.0069,-0.3018,0
202301,33005,cheshire, nh,394250,0.0112,0.3186,71,-0.2447,0.8205,89,0.1959,0.3828,32,0.6,-0.2,0,,,10,-0.5833,1.5,36,-0.2653,-0.3333,194,-0.067,-0.0188,1970,0.044,0.1074,503123,0.0256,-0.0446,109,-0.2413,0.1923,0.507,-0.0142,-0.8776,0
202301,33017,strafford, nh,511950,-0.0341,0.2047,95,-0.055,0.5,67,0.1466,0.0472,72,0.3846,0,2,-0.5,,16,1,0.3333,47,-0.1983,-0.2846,266,-0.0009,0.1059,1794,-0.0854,-0.0261,642811,-0.0237,-0.0623,144,-0.0918,0.1762,0.4921,-0.0879,-0.5397,0
202301,33007,coos, nh,259500,0.0815,0.5355,77,-0.2736,0.2833,103,0.1022,0.25,20,0,-0.2857,0,,,8,-0.6,1,33,-0.0441,-0.3085,159,0.0603,0.3494,1490,-0.011,-0.0415,274384,0.0153,0.0788,109,-0.2214,0.0381,0.4221,0.1013,-0.3613,1
202212,33019,sullivan, nh,361950,-0.0647,0.038,61,-0.1286,0.2708,87,0.2,0.1447,16,-0.5789,-0.2727,0,,-1,8,-0.6,0,26,-0.3247,-0.4951,173,-0.0138,-0.145,2012,0.0112,0.0977,451142,-0.0497,0.0394,89,-0.1835,-0.101,0.4262,-0.1238,-0.6467,0
202212,33017,strafford, nh,530000,0.0602,0.2773,100,-0.2366,0.1905,58,0.3647,-0.0413,52,-0.3953,-0.1613,4,,1,8,-0.8519,0,58,-0.284,-0.3483,266,-0.0038,0.0924,1961,0.0011,0.0653,658387,0.0132,0.0293,158,-0.253,-0.0841,0.58,-0.0383,-0.4795,0
202212,33015,rockingham, nh,636000,0.0021,0.0976,440,-0.1538,0.3968,62,0.2653,0.3626,192,-0.3094,-0.1504,0,-1,-1,56,-0.65,0.75,158,-0.2883,-0.4456,325,0.0192,0.0799,2036,-0.0057,0.0697,803728,-0.0019,0.0089,597,-0.1932,-0.0025,0.3591,-0.0678,-0.5457,0
202212,33009,grafton, nh,438950,0.0773,0.1099,146,-0.2087,0.5052,77,0.2857,0.0099,44,-0.3889,-0.1538,0,,-1,8,-0.7895,0.3333,76,-0.2475,-0.2165,249,0.0517,0.2002,1972,0.0168,0.0445,640311,0.0227,0.1067,222,-0.2251,0.1443,0.5205,-0.0269,-0.4795,0
202212,33005,cheshire, nh,389900,0.0984,0.2999,94,-0.1861,0.4351,74,0.4231,0.184,20,-0.6429,-0.6,0,,,24,-0.25,1,49,-0.3677,-0.3378,208,0.0537,0.12,1887,0.0159,0.0189,490560,0.0184,0.0175,143,-0.261,0.0178,0.5213,-0.1497,-0.6085,0
202212,33003,carroll, nh,499000,0.0294,0.1091,168,-0.1642,0.6471,67,0.1858,0.0229,36,-0.5263,-0.4,0,,,20,-0.5455,1.5,79,-0.1771,-0.2547,277,0.0289,0.1053,1921,0.0432,-0.0156,830675,0.0324,-0.0787,248,-0.1692,0.1952,0.4702,-0.0074,-0.569,0
202212,33011,hillsborough, nh,499000,0.0142,0.129,304,-0.2362,0.5751,43,0.303,0.1944,232,-0.2368,-0.1773,4,0,-0.5,52,-0.6389,1.3636,154,-0.2854,-0.3803,250,0.0266,0.0843,2044,-0.0147,0.0714,621820,0.0161,0.1878,455,-0.2608,0.0306,0.5066,-0.0349,-0.781,0
