month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,34027,morris, nj,627475,0.0286,0.0647,525,-0.0455,0.0096,38,-0.3896,0.3694,366,0.1227,-0.2824,6,0.5,-0.625,56,-0.3488,0.2727,448,0.2075,-0.1547,310,0.031,0.1166,2526,-0.0039,0.0589,901635,0.0235,0.0527,970,0.0584,-0.0709,0.8533,0.1788,-0.1659,0
202302,34003,bergen, nj,705000,0.0391,0.1059,1160,-0.0558,-0.1104,48,-0.3116,0.3014,654,0.2247,-0.2876,12,-0.25,-0.5385,126,-0.2921,0.0862,147,0.1951,0.0208,329,-0.0341,-0.0736,1937,0.0181,0.0823,1165718,0.0187,0.1028,1301,-0.0381,-0.0997,0.1267,0.0266,0.0163,0
202302,34041,warren, nj,340325,-0.0097,0.1161,170,-0.1827,-0.0449,68,0.042,0.0187,88,-0.0435,-0.2903,2,,,26,-0.0714,1.6,138,0.1174,-0.101,176,-0.0369,0.0025,1841,-0.028,0.0057,447795,0.018,-0.0527,307,-0.0613,-0.067,0.8118,0.218,-0.0506,0
202302,34011,cumberland, nj,240000,0.0065,0.2468,220,-0.129,-0.0518,74,0.0172,0.1654,96,-0.1724,-0.2941,4,-0.3333,-0.5,48,-0.25,0.6,173,0.1054,-0.1703,166,0.008,0.1759,1446,-0.0062,0.034,415939,0.0606,0.076,390,-0.0406,-0.1106,0.7882,0.1671,-0.1125,0
202302,34033,salem, nj,237450,-0.0093,0.247,140,-0.1026,-0.1195,97,-0.0396,-0.0127,62,-0.1143,-0.3261,6,-0.25,-0.5,40,-0.0909,0.4286,117,0.246,-0.137,152,0.0176,0.1041,1555,-0.0217,0.0539,302608,0.0222,0.0101,254,0.0242,-0.1316,0.8321,0.2328,-0.0169,0
202302,34019,hunterdon, nj,572450,0.0223,0.0966,170,-0.1768,-0.2494,68,-0.09,1.703,110,0.4865,-0.45,0,,,26,-0.2778,0.1818,152,0.0447,-0.2381,236,0.0079,0.0322,2426,-0.0195,-0.0408,800465,0.0232,-0.0022,321,-0.0749,-0.2375,0.8941,0.1895,0.0133,1
202302,34031,passaic, nj,429475,0.0008,0.0294,361,-0.0599,-0.173,46,-0.2591,0.2887,236,0.2826,-0.2671,4,,-0.7143,36,-0.3077,-0.25,216,0.0093,-0.1546,263,0.0305,0.0537,2029,0.0222,0.2312,486933,0.0111,0.1025,569,-0.0348,-0.1713,0.5983,0.041,0.013,0
202302,34021,mercer, nj,374850,0.0132,0.3155,339,-0.0738,0.003,62,-0.1854,0.4643,264,0.2571,-0.2584,12,0.2,-0.4,68,0.0625,0.2143,419,0.0913,-0.3466,211,-0.0086,0.1328,1687,-0.0021,0.1304,659532,0.0789,0.1237,750,0.0081,-0.22,1.2345,0.1867,-0.6605,0
202302,34037,sussex, nj,362000,0.0204,0.1142,321,-0.1359,-0.0736,77,-0.0224,0.5938,174,0.1918,-0.281,4,0,0,38,-0.3871,0.7273,219,0.1838,-0.1257,221,0.0312,0.0277,1988,-0.006,0.2253,461919,0.0152,0.075,536,-0.036,-0.0985,0.6822,0.1843,-0.0407,0
202302,34035,somerset, nj,599500,0.0001,0.1474,320,-0.0491,-0.1223,44,-0.3,0.5909,236,0.1683,-0.3622,8,-0.2,-0.3333,32,-0.36,0.4545,279,0.1628,-0.0943,303,0.0325,0.1254,2461,0.0363,0.1566,966932,0.002,0.0943,590,0.0252,-0.1101,0.8717,0.1589,0.0269,0
202302,34025,monmouth, nj,749500,0.052,0.0835,972,-0.0681,0.3575,58,-0.2,0.557,644,0.229,-0.08,12,-0.4,-0.625,174,0.0741,1.0233,1152,0.1566,-0.2134,350,0.0316,0.0598,1994,0.0109,-0.0688,1283892,0.0516,0.0675,2108,0.042,-0.0207,1.1852,0.2302,-0.8602,0
202302,34005,burlington, nj,339900,0.0026,0.0761,536,-0.1118,0.3121,50,-0.1694,0.3862,488,0.0609,-0.0929,22,0.8333,-0.2667,174,0.0875,2,769,0.1776,-0.1884,198,0.011,0.0716,1749,-0.021,0.0037,471182,0.0081,0.0116,1306,0.044,-0.034,1.4347,0.3527,-0.8848,0
202302,34013,essex, nj,469500,0.0433,0.1844,616,-0.0413,-0.0057,45,-0.2724,0.4435,398,0.1371,-0.2491,12,0.5,-0.25,70,-0.1667,0.0606,382,0.2549,-0.0774,286,0.0016,0.1085,1966,0.0805,0.1784,744099,0.0829,0.2289,976,0.0455,-0.0427,0.6198,0.1463,-0.0482,0
202302,34039,union, nj,499900,0.014,0.1172,418,-0.0199,-0.1191,38,-0.2857,0.2195,326,0.2835,-0.2591,14,2.5,-0.125,56,0.12,0.4,342,-0.0044,-0.1879,315,-0.027,0.0611,2434,0.0424,0.5577,673398,0.0448,0.1632,762,-0.0033,-0.1356,0.817,0.0128,-0.0692,0
202302,34023,middlesex, nj,449950,0.0021,0.0855,835,-0.0042,-0.0279,39,-0.3419,0.375,552,0.1646,-0.25,18,-0.1818,-0.25,120,-0.0769,0.7647,937,0.0845,1.3995,283,0.02,0.0665,1598,0.0009,0.0268,529701,0.0292,0.1404,1736,0.0398,0.4475,1.1222,0.0917,0.6676,0
202302,34017,hudson, nj,599000,0.0345,0.1457,759,-0.0477,-0.2187,38,-0.3517,0.1591,422,0.3106,-0.2943,4,-0.5,-0.7143,88,-0.0833,-0.0435,16,-0.3404,-0.5811,536,0.0673,0.0343,1168,0.0028,0.1242,760375,-0.2133,0.1021,773,-0.0562,-0.2347,0.0204,-0.0091,-0.0177,0
202302,34029,ocean, nj,499450,0.0214,0.0781,1589,-0.0542,0.4775,50,-0.1951,0.5469,834,-0.0414,-0.1871,12,-0.25,-0.6842,316,-0.0424,1.3582,1604,0.1699,-0.2601,272,0.0137,-0.0067,1728,-0.0017,0.0007,812808,0.0531,0.0254,3167,0.0449,-0.0152,1.0094,0.1934,-1.0064,1
202302,34009,cape may, nj,889500,0.0593,0.2053,754,-0.0182,0.3416,92,-0.0054,0.2267,274,0.2804,-0.2216,10,1.5,-0.5,114,0.2667,1.0357,395,0.1955,-0.4262,615,0.0491,0.147,1700,0.0229,0.0247,1456705,0.0235,0.1576,1135,0.0361,-0.0843,0.5232,0.0935,-0.7001,0
202302,34001,atlantic, nj,344450,0.0185,0.2002,819,-0.046,0.0595,72,-0.128,0.0142,354,0.1132,-0.169,14,-0.5625,-0.65,108,-0.25,-0.0526,567,0.2015,-0.3409,206,-0.0032,0.1613,1609,0.0069,0.062,630617,0.0593,0.3481,1386,0.048,-0.1484,0.6921,0.1426,-0.4205,0
202302,34015,gloucester, nj,323500,-0.0046,0.1766,347,-0.1464,0.3021,54,-0.0886,0.1739,298,0.1732,-0.0688,20,0,-0.5,100,-0.2308,2.3333,436,0.2511,-0.1227,189,0.013,0.1532,1725,-0.0027,0.0555,384666,0.0005,0.146,779,0.0284,0.0223,1.2565,0.3992,-0.6084,0
202302,34007,camden, nj,277700,-0.0082,0.1576,527,-0.0739,0.0734,41,-0.2768,0.1408,456,0.1176,-0.2111,28,0.1667,-0.125,178,0.0988,0.9348,641,0.1478,-0.2717,174,-0.0106,0.0871,1532,-0.0111,0.0531,329563,-0.0121,0.0178,1166,0.0332,-0.1502,1.2165,0.235,-0.5765,0
202301,34033,salem, nj,239675,-0.0011,0.2621,156,-0.1186,-0.1333,101,0.1477,0.0978,70,1.1875,0.1667,8,1,1,44,0.1,0.2222,94,0.0054,-0.3225,150,-0.0015,0.0845,1590,-0.0272,0.1166,296050,0.0107,0.0566,248,-0.0849,-0.1974,0.5994,0.0739,-0.1673,0
202301,34021,mercer, nj,369950,0.0305,0.3453,366,-0.1368,0.1402,76,0.1439,0.2906,210,0.1413,-0.1667,10,0.25,-0.5,64,0,0.7778,384,-0.1204,-0.3744,213,0.0081,0.2026,1690,0.0305,0.1289,611320,0.0111,0.1322,744,-0.1268,-0.2102,1.0478,0.0195,-0.8618,0
202301,34031,passaic, nj,429125,0.0003,0.0731,384,-0.156,-0.1132,62,0.0647,0.0833,184,-0.0213,-0.3699,0,-1,-1,52,-0.35,0.4444,214,-0.1301,-0.2595,255,0.0009,0.0537,1985,0.0889,0.1918,481571,0.0262,0.1146,589,-0.1451,-0.1797,0.5573,0.0166,-0.1101,0
202301,34037,sussex, nj,354750,-0.0007,0.0915,372,-0.144,0.0406,78,0.1099,0.0868,146,0.587,-0.1098,4,,-0.5,62,-0.0882,1.5833,185,-0.1814,-0.2992,214,0.0871,0.0039,2000,-0.0079,0.2285,455015,0.0072,0.0619,556,-0.1558,-0.1112,0.498,-0.0228,-0.2415,0
202301,34005,burlington, nj,339013,-0.0311,0.1304,604,-0.1476,0.3006,61,0.1524,0.1308,460,0.3529,0.0088,12,-0.25,-0.7,160,-0.0698,1.2222,653,-0.0751,-0.2933,196,0.0034,0.0988,1786,-0.0072,0.0253,467419,0.0062,0.0089,1251,-0.1119,-0.0965,1.082,0.0848,-0.9094,0
202301,34009,cape may, nj,839700,0.021,0.2179,768,-0.0802,0.2508,93,0.0882,0.0694,214,0.4861,-0.2015,4,0,-0.75,90,-0.0217,0.7308,330,-0.1473,0.4474,586,0.0364,0.1132,1662,0.0147,0.0266,1423221,0.0464,0.1957,1096,-0.0998,0.252,0.4297,-0.0338,0.0584,0
202301,34017,hudson, nj,579000,0.0043,0.0843,797,-0.1346,-0.1485,59,0.0172,0.0926,322,0.4123,-0.4037,8,,0,96,0.6,-0.0769,24,-0.3088,-0.3286,502,0.004,0.0147,1165,-0.0045,0.1093,966575,0.3183,0.3809,819,-0.1397,-0.1574,0.0295,-0.0074,-0.0079,0
202301,34035,somerset, nj,599450,0,0.2043,336,-0.1724,0.0213,63,0.1161,0.1468,202,0.5781,-0.1441,10,1.5,0.25,50,0.3889,1.0833,240,-0.2608,-0.2676,294,0.0283,0.1394,2375,0.0224,0.0962,965004,0.0132,0.1089,576,-0.2007,-0.1307,0.7128,-0.0852,-0.2811,0
202301,34025,monmouth, nj,712450,0.0178,0.0962,1043,-0.1032,0.4268,73,0.0985,0.2832,524,0.7467,-0.0903,20,1.5,-0.2857,162,0.3966,1.25,996,-0.1019,-0.2976,339,0.0173,0.0731,1973,-0.0142,-0.0517,1220901,0.0096,0.0325,2023,-0.1043,-0.0589,0.9549,0.0014,-0.9849,0
202301,34007,camden, nj,279998,0,0.1428,569,-0.1321,0.1485,56,0.037,0.1313,408,0.0851,-0.0893,24,0.2,-0.25,162,-0.0122,0.35,558,-0.0837,-0.363,176,0.0144,0.0996,1549,-0.0072,0.0412,333606,-0.0139,0.0118,1128,-0.1076,-0.1712,0.9815,0.0518,-0.7882,0
202301,34001,atlantic, nj,338194,0.0251,0.1466,858,-0.0784,-0.0092,82,0.0649,0.025,318,0.4455,-0.1452,32,1.6667,-0.3333,144,0.0909,0.3333,472,-0.0682,-0.3845,207,0.0355,0.1806,1598,-0.0012,0.0063,595339,0.0187,0.3105,1323,-0.064,-0.177,0.5495,0.006,-0.335,0
202301,34003,bergen, nj,678500,0.0052,0.1033,1229,-0.158,-0.0387,69,0.1405,0.15,534,0.3763,-0.2899,16,0.3333,-0.2,178,0.1125,0.5345,123,-0.2313,-0.2545,341,0.0077,-0.0259,1903,-0.0416,0.0878,1144332,0.0272,0.0968,1352,-0.1634,-0.0676,0.1001,-0.0095,-0.029,0
202301,34011,cumberland, nj,238450,-0.0065,0.1982,252,-0.1189,0.0862,73,0.094,0.0246,116,0.6111,0.1154,6,,-0.5,64,0.3333,1,157,0.0097,-0.2919,164,0.0339,0.2022,1455,-0.0162,0.0393,392171,0.025,0.0288,407,-0.0761,-0.0947,0.621,0.0791,-0.3316,0
202301,34015,gloucester, nj,325000,0,0.1611,407,-0.0252,0.3874,59,0.058,0.0042,254,0.1339,-0.0231,20,0.6667,-0.2857,130,0.5476,1.9545,349,-0.0731,-0.3044,187,0.0016,0.1414,1730,0.0174,0.0295,384481,-0.0038,0.1108,757,-0.0454,-0.0332,0.8573,-0.0444,-0.8526,0
202301,34029,ocean, nj,489000,-0.02,0.0869,1680,-0.0713,0.496,62,0.0603,0.0789,870,0.4309,-0.0068,16,1,-0.5556,330,0.1957,1.5,1371,-0.0805,-0.3418,269,-0.0104,0.0179,1731,-0.0007,0.0033,771818,-0.0115,0.042,3031,-0.0761,-0.0533,0.8161,-0.0081,-1.0388,1
202301,34013,essex, nj,450000,-0.0215,0.1364,642,-0.1145,0.0422,62,0.025,-0.0238,350,0.7157,-0.0789,8,0,0,84,0.05,0.9091,304,-0.1936,-0.2225,285,0.0472,0.1105,1819,0,0.0951,687153,-0.0193,0.2293,934,-0.138,-0.0628,0.4735,-0.0465,-0.1612,0
202301,34019,hunterdon, nj,559950,0.0181,0.1201,207,-0.1996,0.0024,75,0.1719,-0.0854,74,-0.0263,-0.3393,0,,,36,0.2857,0.8,146,-0.1733,-0.2725,234,-0.0293,0.0585,2474,0.0106,-0.0918,782327,0.1511,-0.0418,347,-0.193,-0.1368,0.7046,0.0224,-0.2663,0
