month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,35017,grant, nm,284750,0.0098,0.09,69,-0.1266,0.3529,114,-0.0258,0.1378,16,-0.1111,-0.4667,0,,,10,-0.1667,-0.2857,24,1.087,-0.4483,173,0.0697,0.1088,1823,-0.0353,0.0342,470999,0.0219,0.0428,92,0.0337,-0.0054,0.3478,0.2023,-0.5051,0
202302,35011,de baca, nm,200000,0.1111,2.6364,4,0.1667,2.5,186,-0.4075,7.2556,2,,,0,,,0,,,,,,119,-0.0034,1.6532,1515,-0.1014,0.2317,198125,-0.1062,2.6023,4,0.1667,2.5,,,,1
202302,35028,los alamos, nm,706250,0.062,0.6143,10,0.0526,1,41,-0.0122,-0.4355,12,-0.1429,-0.1429,0,,,0,,-1,16,0.5238,-0.5077,315,0.0511,0.403,2229,-0.0281,0.2585,669238,0.001,0.4399,25,0.25,-0.3421,1.6,0.4947,-4.9,1
202302,35055,taos, nm,569500,-0.0018,0.1266,139,-0.0608,0.6747,164,0.1139,0.0266,24,0.3333,-0.4783,0,,-1,16,-0.2727,1,49,-0.0392,-0.7513,332,-0.0206,0.1233,1925,0.0008,0.0196,739264,-0.0192,-0.095,189,-0.048,-0.3268,0.3525,0.0079,-2.021,1
202302,35037,quay, nm,174950,-0.3103,-0.2224,17,0.32,0.0645,87,0.0807,-0.3661,4,0,-0.5,0,,,0,-1,,1,0,-0.8333,118,0,0.1066,2325,-0.0413,0.3099,283487,-0.2254,-0.0254,18,0.2963,-0.2045,0.0606,-0.0194,-0.3265,1
202302,35059,union, nm,154750,0.4078,0.3848,7,-0.0714,-0.5,124,-0.0198,0.2073,2,,,0,,,0,,,1,,0,80,-0.031,0.3646,1917,0.2312,-0.0107,173333,0.3546,0.0982,7,0,-0.4615,0.1538,,0.0769,0
202302,35033,mora, nm,343000,0.0994,-0.0439,14,-0.0345,1.8,123,0.3977,-0.4191,0,-1,,0,,,0,,,1,,-0.6667,322,0.0774,0.7947,741,-0.1409,-0.62,484207,0.023,-0.0537,15,0.0345,0.875,0.0714,,-0.5286,0
202302,35013,dona ana, nm,359925,-0.0278,0.0387,674,0.0197,0.1367,97,0.331,0.8738,162,0.125,-0.2768,12,0,-0.8824,72,-0.4,1.4,7,0.0833,-0.8116,174,-0.0066,0.0922,1985,-0.0189,-0.0712,383212,-0.0192,0.0563,677,0.0203,0.0849,0.0097,0.0006,-0.0486,0
202302,35027,lincoln, nm,470000,0.0207,-0.0505,174,0,0.392,100,-0.0269,0.2595,62,0.3478,-0.225,0,,,24,-0.0769,0.7143,24,0.3824,-0.4835,241,-0.0113,0.0926,2002,-0.0067,-0.1695,594814,-0.0182,-0.1861,199,0.0392,0.1916,0.1351,0.0374,-0.2289,0
202302,35025,lea, nm,237500,-0.0404,0.1359,96,-0.1467,-0.183,98,0.1329,0.1951,34,-0.15,-0.4138,0,,-1,20,0.4286,1,1,0,0,121,-0.0315,-0.0011,1803,-0.0202,0.0017,255828,-0.0283,-0.0034,96,-0.1542,-0.183,0.0104,0.0015,0.0019,0
