month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,32003,clark, nv,445500,0.0125,-0.0621,7636,-0.0917,1.0589,67,-0.1529,1.3333,2832,0.0313,-0.3038,120,0.0345,-0.4495,2318,-0.1996,3.2454,854,0.1836,6.9442,249,0.0032,-0.0212,1836,0.008,-0.0283,678318,0.0404,-0.1212,7779,-0.0818,1.0373,0.1118,0.026,0.0829,1
202302,32031,washoe, nv,630000,0.0286,-0.0306,779,-0.174,1.2697,89,-0.038,1.6818,422,0.3613,-0.3105,18,0.2857,-0.1,216,-0.3494,1.8421,604,0.4162,-0.2749,315,-0.0009,-0.0786,2023,0.0015,0.0016,1261644,0.062,-0.1173,1380,0.0088,0.1805,0.7759,0.3233,-1.6527,1
202302,32510,carson city, nv,467500,-0.0176,-0.03,79,-0.3305,0.8161,99,-0.0149,2.5044,32,-0.2381,-0.5676,0,,-1,26,-0.4348,0.8571,60,0.4337,-0.3704,302,0.0067,-0.0394,1676,0.0003,0.0413,924432,0.125,0.5287,141,-0.1191,0.0293,0.7532,0.4015,-1.4192,1
202302,32027,pershing, nv,247450,-0.0011,-0.1717,3,-0.5,-0.1429,181,0.3383,2.4808,0,,-1,0,,,0,-1,,5,-0.1,-0.1,191,-0.0135,-0.0884,1376,0.121,-0.0604,243088,0.032,-0.3124,7,-0.3913,-0.1765,1.5,0.6667,0.0714,1
202302,32021,mineral, nv,165000,0.0321,-0.0447,16,0.069,0.7222,93,-0.2324,-0.0657,6,2,2,0,,,0,,,6,0.8333,0.1,126,-0.0087,0.074,1227,0.0062,-0.1216,181368,-0.0388,-0.0673,21,0.2059,0.4643,0.3548,0.1479,-0.2007,1
202302,32033,white pine, nv,235000,0.0129,0.2601,26,-0.0893,0.1333,96,-0.0962,0.75,6,0,-0.5,0,,,2,,,0,-1,,163,-0.0223,0.2911,1620,0.0665,0.2385,358308,0.0457,0.7145,26,-0.1207,0.1333,0,-0.0357,,0
202302,32011,eureka, nv,62500,-0.2188,-0.712,2,-0.5,0,797,4.0732,0.114,0,,,0,,,0,,,2,-0.25,,57,-0.162,-0.6338,1070,-0.1991,-0.1186,62500,-0.5523,-0.712,4,-0.125,0.75,0.75,0.25,,1
202302,32019,lyon, nv,422213,0.0555,-0.0158,188,-0.1256,1.1006,100,0.0153,1.5677,64,0,-0.3846,2,,-0.9,50,-0.375,3.1667,113,0.4771,-0.296,238,0,-0.0442,1797,0.0248,0.0457,496028,0.0238,-0.0727,300,0.0222,0.2028,0.6011,0.2452,-1.1922,1
202302,32009,esmeralda, nv,162500,0,-0.0972,2,0,1,340,0.0897,0.6076,0,,,0,,,0,,,,,,259,0,,560,0,,162500,0,-0.0972,2,0,1,,,,0
202302,32017,lincoln, nv,340000,0.0543,0.193,15,-0.0625,-0.2105,150,0.4515,-0.0261,0,-1,-1,0,,,0,,-1,,,,195,0.0786,0.5996,2392,0.1008,0.1868,979263,0.1259,1.7929,15,-0.0625,-0.2105,,,,1
202302,32013,humboldt, nv,429900,-0.0447,0.037,43,0.0494,0.371,130,-0.1218,2.9618,20,0.4286,0.6667,0,,,8,0,3,16,0.4762,0.0333,223,0.0672,-0.0163,1919,-0.0075,0.0349,431477,-0.0231,-0.2019,57,0.0962,0.2391,0.3647,0.1054,-0.1192,1
202302,32001,churchill, nv,361473,0.0183,-0.0419,47,-0.1754,0.88,84,0.1049,1.6535,18,0.2857,-0.3077,0,,,6,-0.6667,0,36,0.029,-0.3039,224,0.0136,-0.0273,1611,-0.0062,0.0008,402309,0.0346,0.0151,85,-0.0503,0.1184,0.7553,0.1501,-1.2847,1
202302,32007,elko, nv,489625,0.024,0.0582,105,-0.1176,0.05,155,0.1996,0.4809,26,-0.2778,-0.5357,0,-1,-1,18,-0.4706,0.5,65,0.2264,-0.4694,224,0.0015,0.0476,2204,0.0064,0,477246,0.0043,0.0368,171,-0.0087,-0.2315,0.619,0.1737,-0.606,0
202302,32023,nye, nv,395675,-0.004,0.0019,244,0.0725,0.6599,76,-0.0982,0.7022,74,0.1563,-0.0513,2,,0,76,0.027,1.375,14,0.5882,5.75,204,-0.0118,-0.0146,2008,-0.0057,0.0113,415690,-0.0056,-0.013,246,0.0768,0.6477,0.0553,0.018,0.0417,0
202302,32015,lander, nv,357000,0.0721,0.1048,21,-0.1429,-0.1765,112,0.3333,0.0874,2,-0.5,0,0,,,2,-0.5,,3,-0.25,-0.4,178,0.0532,-0.0322,1906,0.0238,0.0467,367359,0.074,0.1731,24,-0.1429,-0.2131,0.1429,-0.0204,-0.0532,0
202302,32029,storey, nv,704875,-0.075,0.3927,11,-0.2143,1.4444,124,-0.1157,3.8252,6,2,-0.4,0,,,0,-1,-1,6,0.1,-0.3529,289,-0.0065,-0.0242,2716,-0.0655,0.623,795913,-0.0933,0.6394,16,-0.1351,0.2308,0.5,0.1429,-1.3889,1
202302,32005,douglas, nv,799000,-0.0003,-0.1362,177,-0.0587,1.2774,120,0.046,1.2336,66,1.5385,-0.2979,2,0,0,44,0.0476,0.8333,74,0.5914,-0.4676,429,0.0352,-0.1256,2132,-0.0192,-0.0724,2224690,0.1214,-0.1462,250,0.064,0.1367,0.4193,0.1713,-1.3743,1
202301,32003,clark, nv,440000,-0.0055,-0.0538,8406,-0.1154,1.1693,79,0.0753,0.9625,2746,0.333,-0.2497,116,0.2609,-0.1212,2896,0.2209,4.0986,722,0.1544,6.9286,248,-0.0032,0.0156,1821,0.0028,-0.0525,651955,0.0009,-0.1219,8472,-0.1165,1.1393,0.0858,0.0201,0.0623,0
202301,32023,nye, nv,397250,0.0019,0.0454,228,-0.1182,0.625,84,0,0.5273,64,0.1429,0,0,,-1,74,0.1563,2.0833,9,0.0625,7.5,206,-0.0028,0.0204,2019,0.005,0.0148,418034,-0.0209,-0.0075,228,-0.1163,0.6286,0.0374,0.0064,0.0302,0
202301,32001,churchill, nv,354993,-0.0084,-0.0334,57,-0.24,1.375,76,0.2708,1.1181,14,-0.3,-0.5625,0,,,18,-0.25,0.5,35,0.0781,-0.266,221,-0.0179,-0.0195,1621,-0.0092,0.0519,388849,-0.0051,-0.0012,90,-0.1636,0.2971,0.6053,0.1786,-1.3531,1
202301,32005,douglas, nv,799250,0.0016,-0.0969,188,-0.174,0.8382,114,0.1425,0.5233,26,-0.1875,-0.4091,2,,-0.5,42,-0.3,1.1,47,-0.1226,-0.5957,414,0.0029,-0.0953,2174,0.0215,0.0177,1983818,0.0752,-0.1851,235,-0.1625,0.122,0.248,0.0145,-0.8795,0
202301,32015,lander, nv,333000,-0.0348,-0.1214,25,0.0652,0.1667,84,-0.2696,-0.0508,4,0,0,0,,,4,,,4,0,-0.5,169,-0.0227,-0.0907,1862,-0.0178,-0.0232,342044,-0.0725,0.0244,28,0.037,-0.0667,0.1633,-0.0106,-0.2177,1
202301,32009,esmeralda, nv,162500,0,-0.0972,2,0,1,312,0.1123,0.7333,0,,,0,,,0,,,,,,259,0,0.4914,560,0,-0.8444,162500,0,-0.0972,2,0,1,,,,0
202301,32027,pershing, nv,247725,0.0657,-0.2319,6,-0.25,1,135,0.2581,3.1615,0,,,0,,,2,,,5,0.25,0.25,194,0.0137,-0.1207,1228,0.0901,-0.193,235561,0.021,-0.3334,12,-0.0417,0.6429,0.8333,0.3333,-0.5,1
202301,32007,elko, nv,478150,-0.0224,0.083,119,-0.125,0.0348,129,-0.0373,0.6125,36,0.5,-0.3571,2,,-0.9,34,0.7,1.125,53,-0.0364,-0.5182,224,-0.0123,0.0646,2190,0.036,0.036,475223,-0.0182,0.0922,173,-0.0921,-0.2367,0.4454,0.041,-0.5111,0
202301,32029,storey, nv,762000,0.1128,0.7517,14,0,2.5,141,0.1151,0.8487,2,-0.5,,0,,,2,,,5,0,0,291,-0.0054,0.0365,2906,0.131,0.7506,877856,0.0167,0.7976,19,-0.0263,1.3125,0.3571,0,-0.8929,1
202301,32011,eureka, nv,80000,0.0323,-0.627,4,0,1,157,-0.0427,-0.7703,0,,,0,,,0,,,2,,,68,0.1934,-0.5557,1336,-0.0618,0.1005,139600,0.2691,-0.3492,4,0,1,0.5,,,1
202301,32510,carson city, nv,475880,0,-0.0435,118,-0.2185,1.95,101,0.1552,1.3929,42,0.5,-0.125,0,,-1,46,0.6429,2.8333,42,-0.0568,-0.5337,300,-0.0051,-0.0011,1675,-0.0062,-0.0526,821731,0.0614,0.2763,160,-0.1821,0.2659,0.3517,0.0603,-1.8733,1
202301,32033,white pine, nv,232000,0.0545,0.3257,28,-0.0968,0.5556,107,0.2988,0.6641,6,0.5,0.5,0,,,0,-1,-1,1,0,,166,0.0334,0.4884,1519,0.075,0.229,342641,0.092,0.5593,29,-0.0938,0.6111,0.0357,0.0035,,0
202301,32021,mineral, nv,159875,-0.0237,0.142,15,-0.1471,0.2083,121,0.0711,0.1756,2,-0.5,,0,,,0,-1,-1,3,0,-0.5,127,-0.0297,0.1684,1219,-0.0112,-0.2249,188694,-0.0667,0.0762,17,-0.1905,-0.0556,0.2069,0.0304,-0.2931,0
202301,32019,lyon, nv,399999,-0.0361,-0.0474,215,-0.1296,0.9907,98,0.0652,0.5077,64,0.4545,-0.1579,0,-1,-1,80,0.6667,3,77,-0.0783,-0.4457,238,-0.0019,-0.0268,1753,-0.0011,0.0017,484482,0.0444,-0.0811,293,-0.1121,0.1767,0.3558,0.0198,-0.922,0
202301,32013,humboldt, nv,450000,0.0405,0.3196,41,-0.1,1.3824,148,0.2313,1.711,14,,0.1667,0,,,8,0,0,11,0.3125,-0.3438,209,0.0589,-0.0256,1933,0,0.0878,441671,0.0106,-0.2199,52,-0.0189,0.5758,0.2593,0.0815,-0.6819,1
202301,32017,lincoln, nv,322500,-0.0515,0.1159,16,-0.0588,-0.0588,103,0.1196,-0.2921,2,-0.5,-0.5,0,,,0,,,,,,180,0.013,0.2795,2173,-0.0916,0.0781,869792,0.0305,1.3262,16,-0.0588,-0.0588,,,,0
202301,32031,washoe, nv,612500,0.021,-0.0562,943,-0.1889,1.5,92,0.122,0.7692,310,0.0197,-0.3018,14,0.75,-0.3,332,0.1216,3.15,427,-0.0788,-0.3933,315,0.003,-0.0706,2020,0.0062,-0.0054,1187939,0.024,-0.1064,1368,-0.1566,0.2678,0.4525,0.0541,-1.4122,1
202212,32027,pershing, nv,232450,0.1101,-0.215,8,0.2308,3,108,0.0023,4.6579,0,,,0,,,0,,,4,-0.1111,0.3333,191,0.0867,-0.0826,1126,-0.0717,-0.1946,230713,0.0166,-0.1934,12,0.0909,1.1818,0.5,-0.1923,-1,1
202212,32021,mineral, nv,163750,-0.0382,0.1696,17,-0.1282,0.2143,113,0.1222,0.461,4,,1,0,,,4,,0,3,-0.1429,-0.5,131,-0.0102,0.2042,1233,-0.0084,-0.1595,202176,-0.0088,0.2068,21,-0.0667,0.05,0.1765,-0.003,-0.2521,1
202212,32031,washoe, nv,599900,0.0002,-0.0485,1162,-0.1843,1.4803,82,0.1884,0.64,304,-0.1264,-0.2549,8,-0.2,-0.6364,296,-0.5418,1.5085,463,-0.0975,-0.4604,314,-0.0003,-0.0403,2008,-0.0017,-0.0127,1160080,0.031,-0.0469,1622,-0.1628,0.2232,0.3985,0.0383,-1.4329,1
202212,32029,storey, nv,684750,-0.0218,0.2859,14,-0.2222,3,126,0.2792,0.7439,4,0,0,0,,,0,-1,,5,-0.1667,-0.6,292,0.0038,0.0657,2570,-0.0273,0.4774,863450,0.0341,0.3728,19,-0.1915,0.2667,0.3571,0.0238,-3.2143,1
202212,32009,esmeralda, nv,162500,0,0,2,0,1,281,0.1265,0.9245,0,,,0,,,0,,,,,,259,0,0.8125,560,0,-0.2727,162500,0,0,2,0,0,,,,0
