month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,36119,westchester, ny,549950,0.0055,0.1578,1448,0.0462,-0.148,65,-0.2412,0.3163,746,0.173,-0.2799,10,-0.375,-0.2857,238,-0.0165,0.0171,41,-0.0989,0.1081,333,0.0153,0.055,1503,-0.0096,0.1766,1133928,0.0155,0.2182,1490,0.0434,-0.1432,0.0283,-0.0046,0.0065,0
202302,36033,franklin, ny,182700,0.0222,0.1657,106,-0.0275,0.0547,138,0.1109,0.0515,14,0,-0.5,0,,,10,0.25,4,47,-0.06,-0.3775,120,-0.003,0.2364,1566,0.0299,0.0395,411187,0.013,0.3866,153,-0.0287,-0.1311,0.4434,-0.0153,-0.3078,0
202302,36085,richmond, ny,637750,0.0139,-0.0179,854,-0.0317,0.4611,79,-0.076,0.264,288,-0.1,-0.28,4,0,-0.5,216,-0.1429,0.8305,263,0.306,-0.3438,431,-0.0019,-0.0102,1434,0.0149,0.0239,730023,-0.0026,-0.1161,1084,0.0178,0.1274,0.3074,0.0795,-0.377,0
202302,36021,columbia, ny,656225,0.108,0.2164,190,-0.05,0.0765,111,0.0398,-0.0306,48,0.0435,0.0909,0,,-1,32,0,0.1429,98,0.0209,-0.4348,300,0.0196,0.0254,2147,0.0218,-0.0057,1063482,0.0612,0.067,283,-0.0259,-0.18,0.5132,0.0357,-0.4642,0
202302,36043,herkimer, ny,149975,-0.0625,-0.0382,100,-0.1189,0.1628,96,0.0852,0.0582,36,-0.0526,0.125,0,,,18,0,1.25,105,0.129,-0.1026,94,-0.0462,-0.0071,1605,0.0017,0.0071,269687,0.0189,-0.0228,207,0,0.0274,1.05,0.2306,-0.3105,0
202302,36075,oswego, ny,197100,0.095,0.2042,94,-0.0874,-0.1048,96,0.1095,0.2664,40,-0.2857,-0.4118,0,,,18,-0.4,0.125,145,-0.0461,-0.0966,115,0.0436,0.2381,1649,-0.0219,0.0201,256766,0.0695,0.2266,240,-0.068,-0.096,1.5426,0.0668,0.014,0
202302,36061,new york, ny,1653750,0.0023,0.0525,5763,0.0352,0.1386,121,0.0342,0.0804,1488,0.1273,-0.0826,32,0.0667,-0.1579,608,-0.0788,0.2112,2146,0.0108,-0.2761,1629,-0.0075,0.0124,1408,0.0041,0.0557,3569983,-0.0089,0.0244,7867,0.0262,-0.0282,0.3723,-0.009,-0.2133,0
202302,36055,monroe, ny,197425,0.0396,-0.0188,410,0.0099,0.321,19,-0.3821,0.7273,476,0.1553,-0.0165,12,5,1,60,0,0.7647,33,0.2453,-0.25,131,0.032,0.0029,1656,0.005,-0.0002,291247,0.0514,0.0055,440,0.0268,0.2553,0.0806,0.0152,-0.0613,0
202302,36093,schenectady, ny,239000,0.0395,-0.043,155,-0.0858,0.2262,62,-0.0746,-0.0236,112,0.1915,-0.1765,4,1,,38,-0.4571,0.2667,255,0.0119,-0.2331,168,0.0652,0.2352,1551,-0.0219,-0.1505,324752,0.063,-0.3846,407,-0.039,-0.1134,1.6505,0.1594,-0.9884,0
202302,36025,delaware, ny,290750,-0.006,0.4385,183,-0.0806,0.1851,110,-0.0351,-0.0517,34,0.0625,-0.15,0,,,14,0.75,-0.2222,98,-0.0299,-0.2804,191,-0.0098,0.3519,1750,0.0234,0.1051,427379,0.0257,0.2184,279,-0.0654,-0.0279,0.5342,0.0279,-0.3456,0
202302,36037,genesee, ny,132800,-0.2103,-0.2299,22,-0.2037,-0.1887,60,0.1321,1.1818,20,0,-0.3333,0,,,4,-0.5,0,28,-0.082,-0.3636,93,-0.1048,-0.129,1374,-0.0932,-0.1282,180060,-0.0825,-0.2166,51,-0.1441,-0.2786,1.3023,0.1727,-0.3581,1
202302,36117,wayne, ny,173650,-0.0672,-0.0545,57,0.14,0.0755,32,-0.241,-0.1656,46,0.0455,-0.1786,0,,-1,20,1.5,4,7,-0.3333,0,105,0.1755,-0.0111,1743,0.025,0.1166,245451,0.0644,0.0468,62,0.042,0.0508,0.1228,-0.0872,-0.0093,0
