month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,40023,choctaw, ok,180000,0.0901,-0.0203,41,-0.0238,0.9524,84,-0.0147,0.0214,12,-0.1429,0.5,0,,,10,0.6667,,13,0.1364,0,107,-0.0172,0.0588,1631,-0.0141,-0.1325,445402,0.0263,-0.3905,53,0,0.5362,0.3049,0.043,-0.2904,0
202302,40117,pawnee, ok,184500,0.0137,0.6623,30,-0.2,0.4634,82,0.0154,0.0613,10,0.25,0,0,,,6,-0.4,0.5,13,0.1818,-0.3158,101,-0.0677,0.396,1653,-0.0898,-0.1543,284625,0.0737,-0.0189,43,-0.1237,0.0897,0.4333,0.14,-0.4935,1
202302,40039,custer, ok,157500,-0.1764,0.0022,61,-0.062,0.1204,112,0.2948,0.0616,22,0,-0.2667,0,,,8,-0.3333,1,27,0.2273,4.4,103,-0.0385,0.1905,1692,-0.0261,-0.0174,233295,-0.036,0.1047,88,-0.0057,0.4463,0.4463,0.1052,0.3537,0
202302,40125,pottawatomie, ok,250506,0.0893,0.2883,141,-0.1269,0.6988,60,-0.1781,0.0959,88,0.5172,0.4194,0,,-1,30,-0.5161,0.25,124,0.4114,0.6918,141,0.0582,0.2564,1744,0.0238,0.0856,285757,0.0792,0.0466,267,0.0618,0.7083,0.8759,0.3341,-0.0036,0
202302,40123,pontotoc, ok,254500,0.1545,0.3402,70,-0.1813,0.4286,70,0.0728,0.2389,30,-0.375,-0.0625,2,,,24,-0.25,3,63,0.3404,-0.1711,124,0.0131,0.1146,1917,0.0585,0.1891,303427,-0.155,-0.1592,131,-0.026,0.0522,0.9,0.3503,-0.651,0
202302,40151,woods, ok,99250,0.0089,0.0063,34,-0.0423,-0.3131,181,0.1508,-0.1016,2,-0.75,-0.8,0,,,4,-0.3333,1,3,0.2,-0.4545,73,-0.0308,0.0176,1585,0.0766,0.1456,132200,0.0818,-0.0973,37,-0.0395,-0.3482,0.0882,0.0178,-0.0229,1
202302,40153,woodward, ok,159625,0.0971,0.347,49,-0.1327,-0.1967,100,0.1145,-0.0678,16,7,-0.3846,0,,-1,8,-0.4286,-0.5,21,0.1667,-0.0667,100,0.021,0.2316,1719,0.0079,0.0835,209946,0.0419,0.2354,71,-0.014,-0.1455,0.4286,0.11,0.0597,0
202302,40135,sequoyah, ok,243750,0.0167,0.1011,105,0.066,0.5217,61,-0.1259,-0.1873,30,-0.2857,-0.2857,0,,,16,-0.3333,0.6,8,0.2308,-0.5152,131,0.0281,0.1352,1713,0.0374,-0.0703,304069,-0.0064,-0.0961,114,0.081,0.3353,0.0762,0.0102,-0.1629,0
202302,40137,stephens, ok,187375,0.0468,0.4413,84,-0.1347,0.0705,74,0.1128,0.3578,34,0.2143,-0.3462,0,,,10,-0.4444,0.25,56,0,-0.25,95,0.0038,0.2328,2042,0.0303,0.2218,285753,0.0287,0.2986,137,-0.0957,-0.0836,0.6647,0.0895,-0.284,0
202302,40139,texas, ok,215000,0.0723,-0.2,22,0.1,5.2857,45,-0.1909,-0.6188,10,-0.1667,1.5,0,,,6,2,,17,0.1724,16,115,0.0178,-0.0278,1843,0.0247,-0.3954,266648,0.0422,-0.1558,39,0.1159,10,0.7727,0.0477,0.487,1
