month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,41045,malheur, or,384450,0.0192,-0.0663,51,-0.0098,0.8364,87,-0.0643,0.1711,10,-0.4444,-0.5455,0,,,24,0.5,1.4,15,0.1111,-0.2857,216,-0.0156,0.2306,1941,-0.0005,0.0283,551601,-0.0339,0.2949,66,0,0.3646,0.297,0.0323,-0.4666,0
202302,41019,douglas, or,419750,0.0066,0.0546,237,-0.0652,0.7263,90,-0.0451,0.5319,86,0.1316,-0.3065,0,-1,-1,72,0.2857,0.0286,128,-0.0267,-0.32,244,0.017,0.018,1713,-0.0383,-0.0303,583010,-0.0062,-0.0347,362,-0.0573,0.1277,0.5391,0.0213,-0.8295,0
202302,41047,marion, or,484950,0.0052,-0.0068,432,-0.0828,1.0621,61,-0.2033,1.43,276,0.1405,-0.2333,24,2,-0.7447,124,-0.2706,0.7714,369,0.2773,-0.3507,276,-0.0005,0.025,1871,0.0016,0.0099,581065,0.0118,-0.1992,795,0.0454,0.0265,0.853,0.2405,-1.8558,1
202302,41007,clatsop, or,614225,0.014,0.0464,115,-0.0984,0.5903,95,-0.0306,1.1591,56,0.5556,-0.1515,0,,-1,24,-0.2,-0.1429,69,0.1513,-0.1438,341,-0.0039,0.0082,1765,0.0084,-0.0095,678515,0.0181,-0.1172,182,-0.0027,0.206,0.5983,0.1297,-0.5129,1
202302,41051,multnomah, or,520975,0.0368,-0.0077,1206,-0.0984,0.4874,44,-0.3973,0.5172,760,0.1515,-0.3298,30,0.875,-0.9306,326,-0.185,-0.2275,950,0.2743,-0.2397,325,0.0062,-0.0509,1733,0.0145,0.0772,719327,0.0317,0.028,2161,0.0377,0.047,0.7881,0.2305,-0.7536,0
202302,41021,gilliam, or,325000,0,0.4541,5,-0.3571,3.5,87,0.0117,0.6476,0,,,0,,,0,,-1,1,0,-0.75,168,-0.0473,0.7143,1929,0,0.1895,454036,-0.0549,1.0315,6,-0.3125,0.1,0.2222,0.0794,-3.7778,1
202302,41015,curry, or,643000,0.0094,0.1105,82,-0.052,0.9524,114,0.1582,0.6042,16,0,-0.4286,0,-1,-1,18,0.2857,-0.3571,19,0.0278,-0.6696,359,0.0097,0.0107,1895,-0.0092,0.118,1086356,-0.0018,0.0199,101,-0.0429,-0.005,0.2256,0.0175,-1.1077,1
202302,41063,wallowa, or,521000,-0.1811,0.0441,21,0.0789,0.8636,126,-0.0138,0.1383,6,2,,0,,,2,,-0.5,3,-0.3333,-0.6842,277,0.008,0.038,1848,-0.1655,-0.0917,1368774,-0.0711,0.9397,24,0.0213,0.1429,0.1463,-0.0905,-0.7173,0
202302,41025,harney, or,272500,0.0792,-0.0969,26,-0.0192,0.3784,122,-0.0563,-0.1115,4,-0.3333,-0.5,0,,,4,1,,7,-0.1875,-0.5357,155,0.1013,-0.0617,1703,-0.0724,-0.0479,1105900,0.0676,0.852,33,-0.0441,0,0.2549,-0.0528,-0.5019,0
202302,41059,umatilla, or,331975,0.0121,-0.0889,137,-0.099,0.7613,96,0.07,0.458,44,0.1579,-0.12,2,,-0.9,22,-0.3889,-0.3889,85,0.1644,-0.2202,199,-0.0034,0.0422,1643,0.0052,-0.1305,433560,0.0246,-0.3461,222,-0.0045,0.1751,0.6227,0.1409,-0.7837,0
202302,41053,polk, or,505000,-0.0063,-0.0356,217,-0.1507,0.8627,131,0.1851,1.5485,72,0.125,-0.4627,2,-0.75,-0.8571,54,-0.3415,0.35,120,0.2448,-0.2646,276,-0.0003,0.0011,1847,0.0029,-0.0774,630337,0.0105,-0.253,333,-0.0499,0.222,0.5507,0.175,-0.8442,1
202302,41069,wheeler, or,229500,0,-0.2668,5,0,0.1111,228,0.1017,1.2469,0,-1,-1,0,,,0,,,1,0,-0.5,179,0,-0.1906,1633,0,-0.0258,217800,-0.0091,-0.4537,6,0,-0.0769,0.2,0,-0.2444,1
202302,41061,union, or,371000,0.081,0.2211,39,-0.0375,1.2647,112,0.0743,1.1854,18,0.5,0.125,0,,-1,6,2,-0.5,23,0.1795,-0.3699,177,0.0942,-0.0862,1912,0.0403,0.2759,553850,0.0645,0.6347,63,0.0504,0.1905,0.5974,0.1099,-1.5497,1
202302,41029,jackson, or,548000,0.0595,-0.051,501,-0.06,0.4692,96,-0.0103,0.6872,238,0.5256,-0.3,2,-0.75,-0.9,144,-0.0886,0.4694,278,0.4112,-0.4565,291,0.016,-0.0265,1858,0.0198,-0.0358,753862,0.0417,-0.0194,777,0.0579,-0.0805,0.5549,0.1853,-0.9451,0
