month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,42049,erie, pa,182450,-0.0329,0.3152,182,-0.1613,-0.0345,90,0.1043,0.0682,96,-0.04,-0.3043,0,-1,,54,0.08,0.2273,194,0.2087,-0.2495,118,0.0109,0.171,1655,0.0059,0.045,275806,-0.0093,-0.0383,369,-0.0041,-0.1635,1.0659,0.3263,-0.3054,0
202302,42059,greene, pa,170900,-0.0116,-0.1176,42,-0.0769,-0.0667,109,-0.1638,-0.0545,8,-0.2,-0.6,0,,,4,-0.5,-0.6,21,0.2813,-0.3492,114,0.0104,-0.0449,1526,-0.0702,-0.236,232552,0.0157,-0.1071,64,0.0496,-0.1645,0.4881,0.1364,-0.2119,1
202302,42133,york, pa,358650,0.0288,0.1298,479,-0.0876,0.1337,64,-0.0448,0.5059,408,0.1591,-0.2154,94,-0.2034,-0.254,140,-0.3069,0.4,595,0.312,-0.191,166,-0.0103,0.0707,2068,0.033,0.0882,373575,0.0297,0.0914,1073,0.0966,-0.071,1.2422,0.3784,-0.4987,0
202302,42087,mifflin, pa,169950,-0.006,-0.0056,31,-0.3579,0.1296,65,0.0531,0.2286,22,0,0,2,,,2,-0.6667,-0.6667,36,0.127,0.0597,105,-0.0451,-0.1558,1370,-0.0071,-0.1765,188862,-0.0502,-0.1236,69,-0.1097,0.15,1.1639,0.5008,-0.0768,0
202302,42113,sullivan, pa,260000,0.0474,0.8578,16,-0.2791,-0.4259,141,0.2831,0.6627,0,-1,-1,0,,,0,-1,-1,6,1,-0.2,149,0.1639,0.4784,2268,0.0831,0.1568,334887,0.1397,0.3008,22,-0.1224,-0.3582,0.3871,0.2476,0.1093,1
202302,42107,schuylkill, pa,124975,-0.0002,0.1737,192,-0.0495,0.1395,69,-0.0317,0.4474,134,0.1552,0.0806,2,0,-0.5,46,0,-0.08,130,0.1111,-0.1613,83,0.0461,0.274,1675,-0.0052,0.071,195395,0.0128,0.1914,317,-0.0063,-0.0276,0.6771,0.0979,-0.2428,0
202302,42013,blair, pa,139950,-0.0664,-0.0176,136,0.015,0.1991,72,-0.1254,0.1128,90,0.6071,0.1842,0,,,42,-0.16,0.2353,12,-0.1111,-0.3143,82,0.0152,-0.0247,1720,-0.0084,-0.027,185104,-0.0495,-0.0956,146,-0.0068,0.1231,0.0886,-0.0126,-0.0663,0
202302,42019,butler, pa,329995,0.0002,-0.0435,190,-0.1227,0.2847,79,-0.0278,0.1496,118,0.0351,0.0727,4,,0,54,-0.129,1.25,213,0.1671,-0.2513,180,0.047,-0.1091,1816,-0.0397,-0.1212,427824,0.0021,-0.1441,407,0.0226,-0.0686,1.124,0.2791,-0.8048,0
202302,42127,wayne, pa,332000,0.0099,0.0556,181,-0.1381,0.5021,113,0.0535,0.3896,48,0.0435,-0.2941,0,-1,-1,22,-0.5217,0.2222,94,0.0275,-0.3484,150,0.0476,0.0435,2284,-0.0117,0.0361,442817,0.0064,-0.0107,273,-0.0917,0.0381,0.5166,0.0832,-0.6743,0
202302,42045,delaware, pa,266500,0.0451,-0.0084,488,-0.1046,0.2402,45,-0.1628,0.25,420,0,-0.3182,50,0.5625,-0.2647,134,-0.3366,0.2407,641,0.2198,-0.3166,187,0.0158,0.1157,1531,0.0186,-0.0192,542175,0.0329,0.222,1123,0.0355,-0.1551,1.3135,0.3493,-1.0702,1
