month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,44001,bristol, ri,749450,-0.0085,0.3939,47,-0.0412,0.24,58,-0.0213,0.8852,40,1,-0.1667,0,,,4,-0.5,-0.3333,50,0.4085,-0.2701,391,0.1187,0.2111,2044,-0.1446,0.1496,1301734,0.0892,0.4162,96,0.1506,-0.0948,1.0753,0.3433,-0.7514,0
202302,44003,kent, ri,419900,0.0187,0.0606,174,-0.1237,0.4163,38,-0.2844,0.0786,150,0.2097,-0.1573,6,,-0.25,26,-0.4583,0.0833,256,0.2167,-0.2496,279,0.0272,0.0309,1584,-0.0198,0.0236,539341,0.0056,-0.0264,427,0.0441,-0.0768,1.4726,0.412,-1.307,1
202302,44005,newport, ri,905750,0.0508,0.135,146,-0.0762,0.2331,79,0.0903,-0.0188,56,-0.1515,-0.125,0,,-1,28,-0.0667,1.8,126,0.162,-0.1605,514,0.0768,0.0794,1959,0.0338,0.0923,1759390,0.0806,0.209,269,0.0113,0.0019,0.8625,0.1768,-0.4044,0
202302,44007,providence, ri,381175,0.0099,0.1382,383,-0.1584,0.2666,41,-0.1,0.08,324,0.0658,-0.1735,4,-0.3333,-0.6667,84,-0.2222,0.75,585,0.1101,-0.3356,279,0.0088,0.0864,1452,0.0089,0.0537,461178,0.0025,0.0413,959,-0.0154,-0.1863,1.5294,0.3699,-1.3862,1
202302,44009,washington, ri,659500,0.0529,-0.2158,170,-0.0478,0.2283,71,0.0923,0.0758,116,0.45,-0.1212,0,-1,-1,22,0,2.6667,210,0.1448,-0.1958,403,0.0158,-0.0013,1711,0.0026,-0.0923,1387640,0.0885,-0.0126,374,0.0432,-0.0603,1.236,0.2079,-0.6517,1
202301,44007,providence, ri,377450,-0.0064,0.1134,455,-0.1392,0.2088,45,0.0714,0.2162,304,0.1014,-0.2549,6,0.5,0.5,108,-0.129,0.6875,527,-0.1403,-0.4018,277,0.0319,0.0909,1439,-0.0363,0.0118,460050,-0.0408,0.0143,974,-0.1434,-0.2214,1.1595,-0.0015,-1.1836,1
202301,44001,bristol, ri,755895,0.0513,0.5121,49,-0.1182,0.5645,59,-0.1607,0.8651,20,-0.1667,-0.375,0,,,8,0,1,36,-0.3173,-0.4621,349,-0.0032,0.0539,2389,0.1844,0.4053,1195078,0.125,0.1716,83,-0.2019,-0.1354,0.732,-0.2135,-1.3971,1
202301,44003,kent, ri,412175,0.0319,0.0307,198,-0.1239,0.4453,53,0.2267,0.2267,124,0.1923,0,0,-1,,48,-0.0769,1,210,-0.1797,-0.3878,271,-0.0013,-0.0537,1616,-0.0062,0.0189,536311,0.0059,-0.0655,409,-0.156,-0.1177,1.0606,-0.0721,-1.443,1
202301,44009,washington, ri,626345,-0.0362,-0.2623,178,-0.1524,0.2535,65,0.2745,-0.1875,80,0.25,-0.2593,4,,,22,-0.2143,0.8333,183,-0.1029,-0.2962,397,-0.0033,-0.0194,1707,-0.0296,-0.0942,1274852,0.0172,-0.0839,359,-0.1403,-0.1082,1.0281,0.0567,-0.8029,1
202301,44005,newport, ri,862000,0.0141,0.1509,158,-0.0278,0.2209,72,0.1077,0.0141,66,0.65,-0.175,0,,-1,30,0.875,2.75,108,-0.2059,-0.2703,478,0.016,0.0621,1895,0.0447,0.159,1628227,0.0656,0.1349,266,-0.115,-0.0345,0.6857,-0.1538,-0.4616,0
202212,44003,kent, ri,399450,-0.0011,0.0595,226,-0.163,0.2118,43,0.4333,-0.0444,104,-0.35,-0.2676,8,1,,52,-0.4583,0.625,256,-0.1172,-0.4149,272,-0.0036,0.0471,1626,0.0243,0.1057,533175,0.0166,0.0168,484,-0.1271,-0.2231,1.1327,0.0587,-1.2131,1
