month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,45021,cherokee, sc,253750,-0.0313,-0.0356,103,-0.0889,1.0098,78,-0.0373,2.6471,48,0.1429,-0.3333,10,4,0.6667,36,0,2.6,76,0.0942,-0.0503,144,-0.0176,0.0381,1768,0.0099,0.0174,265026,0.0046,-0.0352,179,-0.0165,0.3523,0.7366,0.1233,-0.8222,1
202302,45007,anderson, sc,300805,-0.0072,0.0128,528,0.0404,1.4332,62,-0.0919,0.0335,268,0.2182,-0.1879,62,4.1667,0.0333,178,-0.2645,3.0455,355,0.1758,-0.3966,158,-0.0062,0.0904,1895,-0.0029,0.0016,361187,-0.0123,-0.0499,875,0.0769,0.0951,0.6714,0.0773,-2.036,1
202302,45025,chesterfield, sc,240500,0.0012,0.0977,61,0,0.1731,83,0.0248,0.32,28,0.5556,-0.0667,0,,-1,12,0,1,17,0.36,-0.3704,150,0.0409,0.3365,1536,-0.0306,-0.0365,257413,-0.0036,0.1659,78,0.0544,-0.0064,0.2787,0.0738,-0.2405,0
202302,45029,colleton, sc,318725,-0.0687,0.2096,85,-0.0659,0.828,88,0.1429,1.0114,28,0.2727,-0.3,0,,,26,0.0833,0.4444,40,0.2154,-0.233,174,0.006,0.3637,1794,0.0334,-0.0076,458445,-0.001,0.0849,123,-0.0081,0.2615,0.4647,0.1076,-0.6428,1
202302,45079,richland, sc,287050,-0.0006,0.0161,703,-0.027,0.8165,38,-0.267,1.0405,524,-0.0187,-0.2317,94,2.1333,-0.5841,250,0.0417,2.0488,12,0.0909,-0.04,142,0.0008,0.038,2082,0.0236,0.0646,336716,0.0018,0.0044,714,-0.0259,0.7895,0.0171,0.0018,-0.0152,1
202302,45067,marion, sc,194000,-0.0617,0.2306,55,0,0.1458,88,-0.0085,-0.0276,10,-0.5,-0.5833,0,,,8,1,1,18,0.1613,-0.28,103,-0.0009,0.0754,1957,-0.0004,0.3935,231980,0.0341,0.3656,70,0.037,0.0938,0.3273,0.0455,-0.1936,0
202302,45089,williamsburg, sc,189450,-0.0575,0.2244,28,0.037,-0.1515,62,-0.4129,-0.016,12,-0.1429,0,0,,,6,0,0.5,8,0,-0.5429,88,-0.2042,-0.0033,2108,-0.0683,0.0574,214198,-0.2297,0.0606,36,0.0141,-0.2577,0.2857,-0.0106,-0.2446,0
202302,45049,hampton, sc,262500,-0.087,0.4119,22,-0.0652,0.1026,87,0.2118,-0.1361,6,2,-0.5,0,,,4,1,,9,0.2857,-0.617,127,0.0196,0.1029,2068,0.051,0.267,397392,0.1393,0.385,31,0.0167,-0.3146,0.4186,0.1143,-0.7865,0
202302,45073,oconee, sc,366650,0.0128,0.2377,254,-0.0488,0.7013,84,-0.0973,0.2509,116,0.2609,-0.0794,0,-1,-1,70,-0.1463,4.8333,128,0.2549,-0.3519,200,0.0308,0.2112,2123,0.0111,0.1609,630841,0.0461,0.2556,386,0.0447,0.1355,0.5049,0.1222,-0.8206,0
202302,45045,greenville, sc,372500,0.007,-0.099,1112,-0.0471,1.366,73,-0.0818,0.8025,664,0.0779,-0.1782,80,-0.0909,-0.4937,388,-0.195,1.9846,993,0.2306,-0.3732,173,0.0072,0.0247,2231,0.0027,0.0576,514593,0.0354,-0.1248,2086,0.0583,0.0168,0.8925,0.2014,-2.4766,1
202302,45009,bamberg, sc,206450,0.4044,0.081,16,0.1071,0.6316,117,0.2767,-0.109,4,0,-0.5,0,,,4,1,,7,0.1818,0,101,0.0406,-0.027,1800,0.0249,0.0941,218334,0.1533,-0.4545,22,0.1282,0.2941,0.4194,0.0265,-0.2649,0
202302,45083,spartanburg, sc,300972,-0.0049,0.0614,911,-0.035,1.7194,62,-0.1232,0.8309,526,0.1239,-0.0739,110,1.3913,-0.0351,328,-0.0734,1.9286,670,0.2582,-0.4788,160,0.0077,0.0505,1925,-0.0081,0.0458,357270,-0.0063,0.0352,1575,0.07,-0.0275,0.7355,0.1714,-3.1019,1
202302,45015,berkeley, sc,418220,0.0286,0.0349,542,-0.1398,1.4614,66,-0.099,1.6939,364,0.1304,-0.2602,38,0.2667,-0.678,256,-0.1847,2.5556,449,0.251,-0.3019,203,0.0337,0.0213,2200,0.0087,0.0252,602804,0.0711,0.053,989,-0.0035,0.1454,0.8283,0.2588,-2.0922,1
202302,45053,jasper, sc,477000,0.0471,0.1225,94,-0.0553,2.9167,68,-0.097,0.1739,62,0.4762,0.1481,4,-0.6,1,46,0.5333,22,136,0.0709,0.0924,239,0.0778,0.2184,1960,-0.0675,-0.0834,499342,0.0096,0.1097,228,-0.0022,0.5424,1.4468,0.1704,-3.7407,1
202302,45041,florence, sc,269998,-0.0307,0.0735,405,0.0345,0.0931,77,-0.0994,0.232,100,0.0417,-0.3243,32,-0.1579,-0.1111,66,0.1,1.75,50,0.1,-0.2979,133,0.0003,0.0747,2008,-0.0216,0.0039,274678,-0.029,-0.0115,452,0.0427,0.0261,0.1222,0.0073,-0.0681,0
202302,45035,dorchester, sc,393450,0.019,0.0226,434,-0.0483,2.7051,55,-0.12,3.4,294,-0.0516,0,44,0.0476,-0.3125,228,0.0459,7.1429,341,0.1989,-0.1654,187,0.0106,0.0485,2178,-0.0093,0.0825,439299,0.0294,0.1026,771,0.0433,0.4728,0.7855,0.162,-2.7017,1
