month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,46043,douglas, sd,420000,0.0435,0.3125,3,0.25,1.5,84,0.2748,19.875,2,,-0.5,0,,,0,,,2,0,,275,0.9761,1.8328,1839,-0.3647,-0.4429,423333,0.0518,0.3229,5,0.125,3.5,0.8,-0.2,,1
202302,46087,mccook, sd,269875,-0.0204,0.3327,12,0.2105,0.4375,74,-0.02,1.6486,4,,0,0,,,0,,,,,,123,-0.0454,0.1453,1555,-0.1469,0.0935,278236,-0.059,0.3581,12,0.2105,0.4375,,,,1
202302,46135,yankton, sd,229900,-0.0612,-0.0316,13,-0.1333,-0.2353,59,-0.3622,0.6164,4,-0.3333,-0.8,0,,,6,2,0.5,11,-0.2759,-0.2759,136,0.0247,-0.0734,1791,-0.0435,0.0639,360165,-0.0202,0.0332,24,-0.1724,-0.2258,0.8077,-0.159,-0.0452,1
202302,46091,marshall, sd,370000,0,0.4712,4,0,0.3333,147,0.1667,0.4774,0,,,0,,,2,,,1,0,0,164,-0.0566,0.0611,2660,0,-0.1677,414350,-0.0336,0.0795,5,-0.1,0.2857,0.25,0,-0.0833,0
202302,46009,bon homme, sd,114825,-0.1794,-0.0994,6,-0.2941,-0.2,128,0.2897,0.1907,2,0,0,0,,,0,,,7,1.8,1.3333,65,-0.316,-0.1087,1501,0.0416,-0.098,338308,0.1884,1.8488,13,0.1304,0.2381,1.1667,0.8725,0.7667,0
202302,46109,roberts, sd,305000,-0.1159,0.1731,6,-0.0769,1,112,0.2764,2.2464,0,,,0,,,0,,,2,0.3333,1,102,-0.2115,3.386,2815,0.0226,-0.0424,459817,0,-0.0773,8,0,1,0.3333,0.1026,0,1
202302,46019,butte, sd,394500,0.0057,-0.3884,15,-0.0323,-0.3617,123,0.2955,4.1146,2,-0.5,-0.6667,0,,,0,-1,-1,8,-0.2381,-0.4074,147,-0.0285,-0.3245,2508,0,0.0736,422975,-0.0129,-0.3355,23,-0.1321,-0.3867,0.5333,-0.1441,-0.0411,1
202302,46039,deuel, sd,329450,0.4982,2.2001,8,-0.3333,0.1429,166,0.1655,2.8713,0,,-1,0,,,0,-1,,2,0,-0.3333,170,0.1896,0.5764,3054,0.6845,0.9883,411005,0.4008,1.1829,9,-0.25,0,0.25,0.0833,-0.1786,1
202302,46115,spink, sd,162900,0.5125,1.0362,7,-0.125,-0.2632,140,0.1872,0.7222,0,,-1,0,,,0,,,1,0,-0.7143,76,0.3689,0.0451,2692,0.117,1.1484,286800,0.181,0.4931,8,0,-0.3846,0.1429,0.0179,-0.2256,1
202302,46027,clay, sd,274950,0.0137,0.0682,10,-0.3448,0,113,0.2363,2.2609,8,0,-0.2,0,,,4,1,,3,1.5,0,131,0.003,0.351,2262,-0.0007,-0.0223,269630,0.0477,-0.0319,11,-0.2903,-0.0833,0.2632,0.1942,0,1
202302,46015,brule, sd,213500,0.0491,-0.4229,4,0.1429,0.1429,17,-0.8184,-0.3738,0,-1,-1,0,,,0,,,5,4,0.6667,118,-0.2859,-0.2666,1232,-0.1419,-0.6141,210500,-0.0147,-0.3716,9,0.5,0.2857,1.25,0.9643,0.3929,1
202302,46129,walworth, sd,147475,0.0541,0.7609,10,-0.2692,0.3571,161,-0.0257,10.9444,2,,-0.75,0,,,0,,,1,,-0.6667,119,-0.029,0.965,1321,0.0162,-0.0213,257936,0.0985,1.5047,10,-0.2692,0.2667,0.0526,,-0.1617,1
202302,46053,gregory, sd,499900,0.1902,-0.0371,3,-0.25,0.5,69,-0.0648,-0.2992,0,-1,,0,,,0,,,2,1,0,122,-0.0553,-0.3314,2078,0,-0.2847,596633,0.0112,-0.0731,5,-0.0909,0.25,0.6667,0.4167,-0.3333,0
202302,46065,hughes, sd,355000,0.0064,-0.1113,12,-0.0769,0.2,83,0.2029,0.537,8,0.3333,0.3333,0,,,2,0,0,8,-0.1111,-0.2381,251,0.0527,0.1237,1540,0.0291,-0.125,366225,0.0639,-0.0352,20,-0.1304,0.0256,0.6667,-0.0256,-0.3833,1
202302,46051,grant, sd,279000,0.484,1.0713,2,-0.5,-0.7857,99,0.2222,0.4043,0,,-1,0,,,0,,,2,1,1,166,1.2662,0.239,1968,0.0165,0.0277,272417,0.3945,0.1186,2,-0.4286,-0.75,1.3333,1,1.1905,1
202302,46011,brookings, sd,375550,0.0067,0.1694,32,-0.0735,0.05,155,0.1765,0.1632,10,-0.2857,-0.6154,0,-1,,2,-0.5,0,31,-0.0159,-0.1842,246,0.0124,0.0878,1586,-0.0261,0.0573,390265,-0.0156,0.199,62,-0.0465,-0.0956,0.9841,0.0577,-0.2825,0
202302,46057,hamlin, sd,562250,0.0115,0.3641,8,0,0.0667,72,0.4158,-0.1921,2,-0.5,-0.5,0,,,2,,,4,0.1667,-0.125,135,0.1523,-0.0513,2273,-0.0501,0.1551,524510,0.031,-0.0558,12,0.0455,0,0.4375,0.0625,-0.0958,0
202302,46077,kingsbury, sd,192250,-0.403,-0.3131,5,-0.1667,0.25,86,0.3571,-0.1576,0,,,0,,,0,,,6,0.1,0.8333,129,-0.2546,-0.2826,2225,-0.0408,0.3328,332030,-0.1848,0.1979,11,0,0.4,1.1,0.2667,0.35,1
202302,46099,minnehaha, sd,352450,0.0344,0.1521,619,0.0654,0.4412,56,-0.0261,0.5448,160,0.0256,-0.2308,4,-0.3333,-0.6667,34,-0.2609,2.4,2,1,1,195,0.0228,0.095,1710,0.0162,-0.0041,417455,0.0394,0.1111,621,0.067,0.4425,0.0032,0.0015,0.0009,0
202302,46093,meade, sd,519950,0.0447,0.1824,60,0,2.1579,100,0.2158,2.6036,12,-0.5714,-0.7391,0,,,10,-0.2857,4,26,0.0833,-0.5702,262,-0.0018,0.3458,1946,-0.0033,-0.1001,559705,0.0063,-0.2631,87,0.0357,0.1013,0.4333,0.0333,-2.7509,1
202302,46049,faulk, sd,46014,-0.7733,-0.7698,1,-0.5,1,164,0.1044,-0.3776,0,,,0,,,0,,,,,,80,0,0.8838,4513,0,-0.0443,46014,-0.7733,-0.7698,1,-0.5,1,,,,1
202302,46031,corson, sd,159900,0,1.0013,1,0,0,155,0.2213,3.4783,0,,,0,,,0,,,,,,,,,,,,159900,0,1.0013,1,0,0,,,,1
