month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,47149,rutherford, tn,450000,-0.0153,0.0171,923,-0.1176,3.8836,38,-0.2245,3.4706,492,-0.0752,0.038,66,1.5385,1.5385,326,-0.2819,6.4091,305,0.3118,0.3147,213,-0.0065,-0.0245,2242,-0.009,0.0399,524550,0.0151,-0.1271,1223,-0.0263,1.9434,0.3304,0.1082,-0.8971,1
202302,47131,obion, tn,165000,0.0313,0.1583,57,0.0089,1.4565,91,-0.0993,0.7794,14,0.4,-0.125,0,,,10,-0.2857,1.5,18,0.0286,-0.3455,112,-0.0059,0.1048,1476,-0.0384,-0.0027,220762,0.0104,0.4296,74,0.0137,0.4653,0.3186,0.0061,-0.8771,0
202302,47137,pickett, tn,380000,-0.0843,-0.0193,19,0.0882,0.6818,78,-0.0431,-0.2264,6,-0.25,0.5,0,,,2,-0.5,-0.6667,11,0.1667,0.5,221,-0.0768,0.0251,1893,-0.0432,0.083,1130394,-0.0921,0.7129,29,0.16,0.6571,0.5676,0.0382,-0.0688,0
202302,47073,hawkins, tn,289989,-0.0369,0.0881,93,-0.0657,1.1264,93,0.1879,1.2744,34,-0.3462,-0.4333,0,,,28,-0.2222,0.4,49,0.0211,-0.2971,171,-0.0008,0.1239,1702,0.0195,0.1335,358816,-0.043,-0.0027,141,-0.0377,0.2545,0.5243,0.0445,-1.0619,1
202302,47049,fentress, tn,329572,0.0546,0.0657,113,-0.0044,0.4487,101,0.0691,0.8108,26,-0.1333,-0.2778,0,,-1,16,-0.3333,0,31,-0.0313,-0.2051,203,0.0296,0.0809,1664,-0.0027,0.0788,426373,0.0072,0.1199,143,-0.0069,0.2711,0.2743,-0.0076,-0.2257,0
202302,47009,blount, tn,474450,-0.0509,0.1516,166,-0.1312,0.715,58,-0.16,0.4808,130,0.1404,-0.3158,0,-1,,70,-0.2857,1.9167,188,0.3101,-0.2495,223,-0.0104,0.076,2192,-0.0066,0.1293,655133,-0.0207,-0.0572,356,0.0691,0.0304,1.136,0.3827,-1.4599,1
202302,47023,chester, tn,224900,-0.0863,0.2578,26,-0.0714,0.7931,93,-0.0971,0.3381,8,0.3333,-0.4286,0,,,8,1,1,9,-0.0526,-0.6842,144,-0.0127,0.2061,1488,-0.0199,-0.158,382381,-0.0586,0.7115,36,-0.0405,-0.1647,0.3462,0.0069,-1.6194,1
202302,47147,robertson, tn,467425,0.0081,0.1473,263,-0.0591,2.777,48,-0.1239,0.7364,112,-0.0667,0.12,12,,5,92,-0.0417,5.5714,81,0.4123,0.0592,224,0.008,0.0341,2118,-0.0174,0.0828,528393,0.0009,0.0606,336,0.0121,1.2901,0.3067,0.1024,-0.7869,1
202302,47085,humphreys, tn,304900,0.0652,-0.1494,61,-0.1295,1.0167,98,0.1395,0.2524,10,-0.2857,-0.5,0,,,10,-0.5833,-0.1667,17,0.3077,-0.4426,189,0.0874,0.1912,1819,0.0527,-0.1283,521877,0.0853,-0.1454,77,-0.0552,0.2833,0.281,0.0939,-0.7357,1
202302,47019,carter, tn,376175,0.1066,0.0544,60,-0.1241,0.7647,67,-0.1192,-0.0859,40,0.0526,0.0526,0,,,20,0,0.6667,44,0.1429,-0.1698,165,-0.0029,-0.0943,2085,0.0746,0.3138,446331,-0.0358,-0.2316,106,0,0.1989,0.7333,0.1713,-0.8255,0
