month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,48335,mitchell, tx,110000,0.1579,0.3018,28,0.0566,-0.2,104,0.1629,-0.2787,4,-0.6,-0.6667,0,,,8,,3,3,-0.25,-0.5385,61,-0.037,0.1018,1679,0.0481,0.0497,139307,0.1427,0.4745,31,0.0333,-0.2346,0.1071,-0.0438,-0.0786,0
202302,48435,sutton, tx,163750,0.0565,-0.3515,13,-0.037,-0.2353,182,-0.0242,0.226,4,-0.3333,,0,,,2,,,5,-0.2857,0,91,0.0085,-0.1135,1792,0.0375,-0.2651,307769,0.2067,-0.0823,18,-0.125,-0.2045,0.3846,-0.1339,0.0905,1
202302,48217,hill, tx,294725,0.0298,0.3435,169,0.012,2.1589,78,-0.0251,0.7278,58,0.2083,1.0714,4,,,34,-0.4688,0.8889,58,0.3218,-0.1154,180,0.0063,0.3562,1823,-0.0133,0.0356,383904,-0.0141,0.2507,226,0.066,0.9153,0.3402,0.0798,-0.8747,1
202302,48499,wood, tx,327000,-0.0029,0.1744,176,-0.1111,0.9448,88,0.0836,0.6509,48,-0.2941,-0.1429,0,,-1,50,-0.1071,1.5,79,0.3058,-0.2752,179,0.0048,0.0329,1904,0.0113,0.1125,436246,-0.0041,0.1918,256,-0.0058,0.2962,0.4489,0.1433,-0.7556,0
202302,48127,dimmit, tx,181175,-0.1051,-0.3144,17,0.1333,1.125,79,-0.1366,-0.4944,4,-0.3333,,0,,,0,-1,,5,0.4286,0.6667,105,-0.0159,-0.0589,1808,-0.0442,-0.214,208430,-0.0692,-0.1499,22,0.1282,1.0952,0.2941,0.0608,-0.0809,1
202302,48123,dewitt, tx,189975,0.0001,-0.2964,44,0.0476,1.0465,93,0.063,-0.1412,14,0.1667,2.5,0,,,14,-0.2222,6,11,0.2353,-0.3636,123,0.0232,-0.0695,1843,0.088,-0.0521,278706,0.0421,-0.1341,55,0.0686,0.4342,0.2386,0.0363,-0.5288,1
202302,48299,llano, tx,749500,0.0149,0.0033,268,0.0636,1.2199,95,-0.0452,1.2754,86,0.4333,0.1316,0,-1,-1,44,0.0476,1,49,-0.0101,-0.4132,348,0.0071,-0.0092,1975,-0.0181,-0.1209,1083279,0.0498,-0.0575,314,0.0467,0.5506,0.1832,-0.0136,-0.5098,1
202302,48067,cass, tx,279900,0.0089,0.4085,89,0.0471,0.5614,116,0.1133,0.9412,22,0.1,-0.2667,0,,,14,-0.6316,0.75,27,-0.069,0.08,143,0.0421,0.3743,2124,0.0346,0.0956,400223,0.0085,0.3773,116,0.0132,0.4,0.3034,-0.0378,-0.1352,0
202302,48507,zavala, tx,129575,0.0431,0.4559,7,0.5556,0.4,45,-0.5866,-0.5818,2,,-0.6667,0,,,0,,,1,,0,71,-0.1468,-0.0985,1325,0.0194,0.0435,136640,0.0486,0.3542,8,0.7778,0.4545,0.1429,,-0.0571,0
202302,48341,moore, tx,178750,0.0775,0.0423,46,-0.0215,1.6765,46,-0.3724,0.5424,22,0.8333,0.8333,0,,,12,1,5,19,0,-0.1591,106,0,0.0127,1614,-0.0536,-0.0643,225039,0.0289,0.1102,64,0,0.6,0.4066,0.0087,-0.8875,1
202302,48043,brewster, tx,321000,0.0215,0.0448,59,0.0263,0.1939,160,0.2102,0.8576,10,0,-0.375,0,,,6,0,-0.5714,6,-0.3333,-0.5556,219,0.0185,0.0824,1477,-0.0081,-0.1156,491527,-0.0074,0.1248,65,-0.0226,0.04,0.1026,-0.0553,-0.1729,0
202302,48195,hansford, tx,148000,-0.2952,0.0128,7,0.0833,0.1818,42,0.4397,-0.6801,4,,,0,,,0,-1,,1,0,-0.6,73,-0.1821,-0.0522,1912,-0.1555,-0.0482,177423,-0.3679,-0.2383,7,0,-0.2222,0.1538,-0.0128,-0.3007,1
