month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,49051,wasatch, ut,1486250,-0.0087,-0.0092,377,0.0176,2.6377,126,-0.0157,1.6702,112,0.4359,-0.0508,2,0,-0.9091,76,0.9,4.4286,298,0.0276,-0.4383,549,-0.0156,-0.0153,3219,-0.0101,0.0189,2128741,-0.0326,-0.0872,676,0.0258,0.0697,0.7915,0.0077,-4.3341,1
202302,49031,piute, ut,334500,-0.4053,0.115,0,-1,-1,55,0.6418,-0.4118,0,,,0,,,0,,,1,-0.6667,,199,-0.3781,-0.3038,1674,-0.0585,0.2648,334500,-0.4053,0.115,1,-0.6667,-0.5,,,,1
202302,49015,emery, ut,275000,0,-0.2466,13,0,0.3889,76,-0.3629,-0.0503,6,,0,0,,,2,-0.5,-0.5,5,0,-0.1667,131,0.1717,0.1022,2195,0.0072,-0.1959,277100,0.014,-0.2085,18,-0.0278,0.1667,0.4,0,-0.2667,1
202302,49029,morgan, ut,782450,-0.0678,0.0108,18,-0.027,2.6,97,0.2012,3,6,2,-0.4,0,,,4,-0.5,,6,0,-0.3889,242,-0.0086,0.1099,3356,-0.0411,-0.0593,1631114,-0.0481,-0.3296,23,-0.0625,0.6071,0.3056,0.0083,-1.4944,1
202302,49049,utah, ut,563042,-0.0091,-0.0457,1465,-0.1206,2.4552,93,-0.0053,2,726,0.2872,-0.2696,108,0.2,-0.4066,524,-0.1889,3.3667,1450,0.0662,-0.4824,215,0.0126,-0.0118,2817,-0.0049,-0.0456,792235,0.0267,-0.2216,2927,-0.0321,-0.086,0.9894,0.1734,-5.6155,1
202302,49003,box elder, ut,540000,-0.0037,-0.0881,158,-0.0337,4.431,96,0.067,2.7822,42,-0.087,-0.2759,4,1,0,64,-0.0857,7,42,0.2206,-0.3306,193,-0.0059,0.0401,2835,-0.0002,-0.0473,569620,0.0215,-0.0197,201,0.0178,1.2528,0.2635,0.0549,-1.8744,1
202302,49025,kane, ut,480000,-0.0302,-0.3133,94,-0.0359,1.8485,184,0.0888,1.1149,14,0.4,-0.4167,0,,-1,4,0,-0.3333,13,0.4444,-0.3953,266,-0.0229,-0.1303,1664,-0.0497,-0.256,695397,0.0076,-0.1621,107,0,1,0.1383,0.046,-0.5132,1
202302,49011,davis, ut,554248,0.0089,0.0106,513,-0.0952,3.366,54,-0.25,2.8571,294,0.1484,-0.1453,16,-0.2,-0.4286,250,-0.183,7.3333,368,0.199,-0.1333,220,-0.0023,-0.0285,2535,0.0101,0.0304,627177,0.0201,-0.0335,874,0.0006,0.614,0.7164,0.1758,-2.8921,1
202302,49013,duchesne, ut,352500,0.0101,-0.0587,46,0.0964,0.6852,99,0.0206,-0.1502,24,0.2,0.3333,0,,,4,-0.3333,1,15,0.25,-0.434,192,-0.0208,0.2548,1860,0.0385,-0.2005,483873,0.0199,-0.0319,61,0.1296,0.1296,0.3297,0.0405,-0.6518,0
202302,49035,salt lake, ut,581175,0.0201,0.0243,1395,-0.1722,2.3888,62,-0.1565,1.5306,904,0.1864,-0.1957,74,0.2333,-0.4559,590,-0.3171,5.2766,1295,0.2697,-0.2782,253,-0.0006,-0.0223,2347,0.0095,0.0364,772285,0.0221,0.0012,2681,-0.0081,0.2167,0.9283,0.3231,-3.4302,1
202302,49001,beaver, ut,349000,0.0095,0.0433,40,0.039,0.8182,144,0.0286,1.351,6,-0.5,-0.25,0,,,8,1,0,3,-0.375,0,203,0.1427,0.2328,1741,-0.0182,-0.178,500099,0.1101,0.2414,43,-0.0115,0.7551,0.0625,-0.0414,-0.0511,1
202302,49033,rich, ut,644900,-0.0078,-0.2116,53,-0.125,1.1429,114,0.0507,0.5889,4,-0.6,-0.9,0,,,10,1.5,,27,0,-0.4045,288,-0.0232,-0.0251,2448,0.013,-0.0354,741280,-0.0181,-0.4078,79,-0.0814,0.1449,0.5048,0.0631,-1.3116,1
202302,49053,washington, ut,658613,0.0455,-0.1447,1269,0.0317,2.439,69,-0.1122,1.8854,520,0.1927,-0.037,20,1,-0.375,366,0.0398,3.8158,161,0.3487,-0.0983,297,0.0143,-0.0157,2221,0.0316,-0.1356,824017,0.0693,-0.3546,1422,0.0565,1.6333,0.1265,0.0297,-0.3559,1
202302,49021,iron, ut,434925,-0.0002,-0.0911,311,0.0098,1.2021,101,-0.0648,2.4237,98,0.1136,-0.3288,4,,-0.6,94,0.3056,2.3571,19,0.5417,-0.6783,229,0.0123,0.0017,1827,-0.0079,-0.0406,521626,0.0028,-0.0795,329,0.0313,0.6786,0.0596,0.0206,-0.3482,1
202302,49019,grand, ut,695000,0.0187,-0.2789,51,-0.0472,2.7407,114,-0.1907,-0.1907,4,-0.5,0,0,,-1,6,2,,26,-0.1613,-0.5094,536,0.0703,0.2923,1567,0.0496,-0.4264,991971,0.0903,-0.2194,77,-0.0893,0.1418,0.5149,-0.0701,-3.4111,1
202302,49043,summit, ut,2075000,-0.0166,0.0573,486,0.001,1.3707,103,-0.0283,0.7458,118,0.0536,-0.3587,2,-0.5,-0.9412,66,-0.1316,5.6,316,0.1431,-0.36,903,0.0039,-0.0418,2603,-0.0082,0.0361,3843966,0.0291,0.148,795,0.0426,0.1245,0.6492,0.0807,-1.7557,1
202302,49037,san juan, ut,467000,-0.0498,0.2537,18,0.1613,1,121,-0.0472,0.4711,4,0,0,0,,,0,,,1,-0.6,-0.8667,231,0,0.1287,2106,-0.1263,0.2857,540190,-0.1073,0.2832,19,0.027,0.1176,0.0556,-0.1057,-0.7778,0
202302,49005,cache, ut,508950,-0.0193,-0.0282,227,0.0022,2.2662,95,0.03,2.375,106,0.5588,-0.1017,2,,-0.6667,72,0.44,3.5,95,0.2583,-0.2549,205,0.015,-0.0461,2588,0.0171,0.0227,636221,0.0038,-0.2275,319,0.0493,0.599,0.4185,0.0852,-1.416,1
202302,49017,garfield, ut,469900,-0.0355,0.0346,20,0.0526,0.3793,141,0.0053,0.0053,4,,1,0,,,0,,,3,2,0.2,271,0,0.174,1741,0.0265,-0.2128,681670,-0.025,-0.0332,23,0.0952,0.3529,0.15,0.0974,-0.0224,1
202302,49039,sanpete, ut,458125,0.0181,-0.0034,68,-0.1509,0.9286,118,0.0558,0.5458,14,0.4,-0.125,0,,,12,-0.3333,2,19,0.7273,-0.2549,179,0.0617,-0.0711,2622,-0.0081,-0.0162,643035,0.0442,-0.0115,87,-0.0333,0.4146,0.2815,0.1431,-0.4471,0
202302,49027,millard, ut,349000,0.078,-0.25,30,0.0345,1.069,98,-0.0735,0.0801,4,1,-0.3333,0,,,2,-0.6667,,7,0.8571,0,164,0.0058,0.0633,2355,0.0615,-0.132,441351,0.0101,-0.2613,36,0.1077,0.6744,0.2167,0.096,-0.2316,1
202302,49057,weber, ut,547450,0.0329,0.1268,507,-0.1451,3.0198,60,-0.204,1.3107,244,-0.0687,-0.2824,6,-0.5,-0.625,214,-0.0531,6.1333,316,0.1772,-0.2576,221,0.0125,0.0047,2399,0.0274,0.0372,696802,0.0685,0.0511,822,-0.0442,0.4918,0.6229,0.1706,-2.7501,1
202302,49023,juab, ut,442400,-0.0249,-0.2185,54,-0.0357,5,164,0.1173,2.8421,12,1,0.5,0,-1,,8,0.3333,,14,-0.2222,-0.3171,160,0.0216,-0.1127,3027,-0.0126,0.0254,482381,-0.0338,-0.2821,68,-0.0878,1.25,0.2593,-0.0622,-2.0185,1
202302,49041,sevier, ut,344450,-0.0159,-0.2748,42,0,1.5938,86,-0.1224,1.2933,12,0,-0.1429,0,,,16,0.6,3,17,-0.1316,-0.0833,167,-0.0435,0.2462,2055,-0.0225,-0.2662,420033,0.0099,-0.1975,58,-0.0417,0.7424,0.3976,-0.0602,-0.7274,1
202302,49055,wayne, ut,657500,-0.0978,-0.6611,4,-0.2,0,142,0.3271,-0.1851,0,,,0,,,0,,,2,1,,275,-0.1145,-0.445,2276,-0.0498,-0.4563,807500,-0.2095,-0.6491,6,-0.0769,0.5,0.5,0.3,,1
202302,49047,uintah, ut,376875,-0.0059,0.2463,50,-0.0385,0.7241,85,-0.0117,0.6095,20,-0.2857,-0.4444,0,,,16,0,0.6,38,0.0556,-0.0843,170,0.0372,0.0885,2450,-0.0509,0.1289,467226,0.0222,0.1237,88,-0.0223,0.25,0.76,0.0677,-0.671,0
202302,49045,tooele, ut,549950,0.0353,0.0525,239,-0.0966,3.0424,80,-0.0588,2.2,106,-0.0185,-0.2429,12,0.2,-0.4545,90,-0.2742,4,150,0.1199,-0.3611,181,-0.0012,-0.0584,3039,0.0138,0.0503,585403,0.0357,-0.0223,389,-0.0238,0.3254,0.6268,0.1212,-3.3393,1
202302,49007,carbon, ut,380750,0.1199,0.0752,46,-0.1636,3.1818,124,0.1253,2.4069,18,0.8,0.5,2,,,6,-0.4,,22,0.1622,-0.0227,159,0.0744,0.16,1658,-0.0132,-0.2138,348731,-0.0015,0.0311,67,-0.0822,1,0.4674,0.131,-1.5326,1
202302,49009,daggett, ut,1747500,0,8.5662,4,0,0.6,133,0.1897,16.1935,0,,,0,,,0,,,1,,-0.6667,383,0,0.8168,2600,0,1.9954,4692500,0,21.2192,4,0,0.3333,0.25,,-0.95,1
202301,49043,summit, ut,2110000,0.0603,-0.0622,486,-0.0329,1.4897,106,-0.0275,0.359,112,-0.0345,-0.1515,4,,-0.8571,76,0.7273,5.3333,276,-0.0612,-0.487,899,0.0437,0.0544,2624,0.0019,-0.0346,3735201,0.0248,0.0695,763,-0.0409,0.0417,0.5685,-0.0172,-2.1905,1
202301,49055,wayne, ut,728750,-0.3704,-0.6329,5,-0.2857,0.25,107,-0.1157,-0.4965,0,,,0,,,0,,,1,,0,311,-0.1402,-0.3732,2395,-0.1485,-0.5103,1021500,-0.4134,-0.5646,7,-0.0714,0.625,0.2,,-0.05,1
202301,49007,carbon, ut,340000,0.0627,0.7778,55,-0.1791,2.6667,110,0.1373,0.6885,10,-0.5,-0.1667,0,,,10,-0.375,,19,0.4231,-0.26,148,0.0407,0.2924,1680,0.0013,-0.0895,349272,0.0385,0.5008,73,-0.0875,0.973,0.3364,0.1423,-1.3303,1
202301,49021,iron, ut,435000,-0.0225,0,308,-0.1289,1.3837,108,0.0854,0.8305,88,0.5714,-0.0435,0,,-1,72,-0.1818,2,12,0.5,-0.7778,226,-0.0258,-0.0212,1842,-0.0205,-0.0005,520187,-0.0353,-0.0434,319,-0.1089,0.7527,0.039,0.0164,-0.3796,0
202301,49001,beaver, ut,345700,0.1562,0.0479,39,-0.23,0.6042,140,0.2281,0.3208,12,2,0.5,0,,,4,0,-0.5,4,0.3333,0.3333,178,0.1189,0.0493,1773,-0.0311,-0.1135,450505,0.1177,0.1334,44,-0.1635,0.6111,0.1039,0.0439,-0.0211,0
202301,49033,rich, ut,650000,-0.0714,-0.1869,60,-0.0909,3,109,0.0046,-0.2862,10,-0.1667,,0,,,4,0,,27,-0.2206,-0.2639,295,0.0023,0.1589,2417,-0.0392,-0.2893,754940,0.018,-0.5206,86,-0.1313,0.6538,0.4417,-0.0735,-1.9583,1
202301,49005,cache, ut,518950,0.0117,0.1282,227,-0.1118,2.5391,92,0.2568,1.2938,68,0.4167,-0.1053,0,-1,,50,0.1364,2.125,76,-0.0321,-0.3602,202,-0.0006,-0.0761,2544,-0.0078,0.1595,633835,-0.0186,-0.2106,304,-0.0617,0.7079,0.3333,0.0275,-1.5104,1
202301,49027,millard, ut,323750,-0.0189,-0.2861,29,-0.0333,0.9333,106,0.2267,0.3613,2,-0.5,-0.75,0,,,6,0.5,,4,-0.3,-0.3,163,-0.0017,0.0571,2218,0,-0.0702,436949,0.0089,-0.2194,33,-0.0714,0.625,0.1207,-0.046,-0.2126,1
202301,49011,davis, ut,549348,0.008,0.0175,567,-0.2081,4.9063,72,0.1803,1.1818,256,0.4884,-0.0857,20,-0.1667,-0.5455,306,0.1769,8.5625,307,0.0642,-0.158,221,0.0071,0.0052,2510,0.0076,0.015,614837,-0.0004,-0.0408,874,-0.1317,0.8745,0.5406,0.1383,-3.2511,1
202301,49053,washington, ut,629963,-0.0301,-0.1311,1230,-0.0668,2.0147,78,0.0685,0.7333,436,0.5352,0.2824,10,-0.375,-0.1667,352,0.4194,3.6316,119,-0.125,-0.2468,293,-0.0114,0.0032,2153,-0.0087,-0.1616,770595,-0.0113,-0.3596,1346,-0.0627,1.4079,0.0967,-0.0064,-0.2905,1
202301,49039,sanpete, ut,450000,-0.0099,-0.0405,80,-0.0536,1.1486,112,0.1144,0.3659,10,-0.1667,-0.1667,0,,,18,3.5,3.5,11,-0.3125,-0.56,168,-0.0169,-0.0965,2643,-0.0011,0.0292,615799,0.0075,-0.0188,90,-0.1,0.4516,0.1384,-0.0521,-0.5373,0
202301,49023,juab, ut,453700,-0.0833,-0.0636,56,-0.1642,3.6667,147,0.0138,1.2273,6,0.5,-0.25,2,,,6,-0.5,0.5,18,0.0588,0.125,157,-0.057,-0.0635,3066,0.0121,0.3392,499245,-0.0509,-0.2143,74,-0.1294,1.6429,0.3214,0.0677,-1.0119,1
202301,49037,san juan, ut,491475,0.0385,0.4215,16,-0.0882,0.9375,127,0.1705,0.9538,4,0,0,0,,,0,,,3,-0.1667,-0.6429,231,0.0186,0.2383,2411,0.1889,0.4047,605089,0.1275,0.4725,19,-0.075,0.1563,0.1613,-0.0152,-0.7137,0
202301,49057,weber, ut,530000,0.1042,0.2326,593,-0.185,3.3248,75,0.024,0.8232,262,0.2843,-0.0368,12,0.5,0,226,0.314,7.0714,268,0.1552,-0.2947,218,0.0192,0.007,2335,0.0549,0.1119,652116,0.0709,0.0645,860,-0.0976,0.6797,0.4523,0.1332,-2.3214,1
202301,49031,piute, ut,562500,0.8892,0.6074,1,-0.6,-0.5,34,-0.1779,-0.7721,0,,,0,,,0,,,3,0,2,321,0.6208,1.1677,1778,0.1814,-0.1194,562500,0.5118,0.1364,3,0,0,3,1.8,2.5,1
202301,49045,tooele, ut,531200,0.0118,0.0436,264,-0.1565,2.52,85,0.0366,1.3288,108,0.35,-0.2059,10,1.5,-0.375,124,0.3478,14.5,134,-0.0037,-0.3358,181,-0.0067,0.0016,2997,0.0377,0.0278,565243,0.0164,-0.0234,399,-0.1261,0.4438,0.5057,0.0776,-2.1743,1
202301,49047,uintah, ut,379125,-0.052,0.2432,52,-0.2121,1.08,86,0.0892,0.125,28,0.75,0.4,0,,,16,0.3333,3,36,-0.027,-0.2174,164,-0.0176,0.0849,2581,0.0051,0.2944,457088,-0.0342,0.1929,90,-0.1394,0.2606,0.6923,0.1317,-1.1477,1
202301,49051,wasatch, ut,1499225,-0.0038,0.0008,370,-0.0439,1.8906,128,0.1486,1.3182,78,0.625,-0.3276,2,-0.5,-0.9375,40,0.25,4,290,0.0175,-0.4466,557,0.0067,0.1096,3252,-0.0125,-0.0585,2200392,0.0111,0.0191,659,-0.0142,0.0069,0.7838,0.0473,-3.31,1
202301,49017,garfield, ut,487200,-0.0147,0.0056,19,0.0556,0.4615,140,0.1496,0.1043,0,,-1,0,,,0,,,1,0,-0.6667,271,-0.0186,0.1107,1696,-0.136,-0.2148,699149,-0.06,-0.1323,21,0.1053,0.3125,0.0526,-0.0029,-0.1781,1
202301,49025,kane, ut,494950,0.0205,0.0762,98,-0.0802,1.8676,169,0.1986,0.4825,10,1.5,-0.1667,0,,,4,-0.6667,-0.5,9,-0.1818,-0.64,272,-0.0028,-0.0175,1751,-0.0818,-0.0434,690125,0.0061,0.0937,107,-0.0696,0.8136,0.0923,-0.0115,-0.643,0
202301,49003,box elder, ut,542000,0.0226,0.0423,163,-0.0686,4.8214,90,0.226,0.8646,46,0.4375,0.6429,2,,-0.75,70,0.9444,16.5,34,0.0303,-0.4516,194,0.0021,0.0247,2835,0.0132,0.0098,557642,0.0189,-0.0622,197,-0.0529,1.2644,0.2086,0.02,-2.0057,1
202301,49041,sevier, ut,350000,0,-0.0411,42,-0.2455,1.3056,98,0.1264,0.1011,12,0.5,-0.25,0,,,10,0.25,1.5,19,0.2667,0.1176,174,0.0525,0.2553,2102,-0.1555,-0.1187,415914,0.0348,-0.0893,60,-0.1304,0.7647,0.4578,0.1851,-0.4866,0
202301,49009,daggett, ut,1747500,0,1.9619,4,0.3333,3,112,0.2874,21.4,0,,-1,0,,,0,,,,,,383,0,0.4166,2600,0,0.1905,4692500,0,6.9534,4,0.3333,1,,,,1
202301,49035,salt lake, ut,569700,0.0266,-0.0251,1685,-0.1475,3.0787,74,0.1136,0.8375,762,0.5363,-0.1496,60,0.5,-0.4444,864,0.3935,10.3684,1020,-0.0832,-0.3691,253,-0.0023,0.0199,2325,0.004,-0.0086,755567,0.0202,-0.0007,2703,-0.1247,0.3322,0.6052,0.0425,-3.3076,1
202301,49013,duchesne, ut,348975,-0.0029,-0.0682,42,-0.117,0.1528,97,0.1687,-0.2177,20,4,0.25,0,,,6,-0.25,,12,0,-0.5385,196,-0.0023,0.2123,1791,-0.0603,-0.2227,474429,0.0438,0.0317,54,-0.069,-0.1429,0.2892,0.0338,-0.4331,0
202301,49019,grand, ut,682250,-0.0686,-0.2893,53,-0.0364,2.3125,140,0.2039,0.1543,8,0,0,0,,,2,-0.5,,31,-0.4561,-0.4561,501,-0.018,0.3023,1493,-0.0626,-0.425,909808,-0.048,-0.2643,84,-0.2566,0.1831,0.5849,-0.4515,-2.9776,1
202301,49015,emery, ut,275000,0,-0.3038,13,-0.4048,0.3889,119,0.3315,0.5695,0,-1,-1,0,,,4,0,,5,1.5,0.25,111,-0.1315,-0.076,2180,-0.0095,-0.1038,273278,-0.0863,-0.2357,18,-0.2174,0.5,0.4,0.3048,-0.0444,1
202301,49049,utah, ut,568194,0.0164,0.0075,1666,-0.1682,2.6139,94,0.0625,0.87,564,0.3178,-0.2419,90,0.7308,-0.6371,646,0.0767,6.6905,1360,-0.0631,-0.4793,213,0.0041,0.014,2831,0.0231,-0.0576,771657,0.021,-0.192,3024,-0.124,-0.0182,0.816,0.0916,-4.8477,1
202301,49029,morgan, ut,839375,-0.0169,0.0187,19,-0.2292,3.625,81,0.5381,0.7181,2,,-0.5,0,,,8,1,1,6,0.1,-0.3889,244,0.0058,0.1335,3500,0.0309,0.1995,1713543,0.1531,0.1312,24,-0.1429,0.8462,0.2973,0.089,-1.9527,1
