month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,50015,lamoille, vt,474500,-0.0553,0.6652,77,-0.0723,0.1241,114,0.041,-0.1279,28,0.2727,-0.0667,0,,,8,-0.3333,0,14,-0.0968,-0.5942,267,-0.1517,0.6171,2188,-0.0254,0.0548,1431611,-0.0564,0.957,90,-0.096,-0.1225,0.1818,-0.0049,-0.3218,1
202302,50001,addison, vt,387075,0.0026,-0.0865,23,-0.2203,0,119,0.1505,0.5695,16,0.1429,-0.2727,0,,,6,0,,12,0.5333,-0.439,241,0.142,0.1817,2049,-0.0065,-0.0126,503620,0.0597,0.0325,34,-0.0685,-0.2093,0.5,0.2458,-0.3913,0
202302,50011,franklin, vt,380500,0.1109,0.1798,57,-0.0259,0.2841,93,-0.0657,0.1821,30,0.3636,-0.25,0,,-1,8,-0.2,0.3333,17,0.375,-0.1538,194,0.1297,0.0616,1755,-0.0562,0.0425,403618,0.0599,0.08,73,0.0284,0.124,0.292,0.0851,-0.1511,0
202302,50025,windham, vt,455375,-0.0511,0.1767,110,0.0139,0.1649,107,-0.0296,0.2493,62,0.3478,-0.1622,2,,0,10,-0.1667,0,62,0.3778,-0.4095,248,-0.006,0.1962,1953,-0.068,0.0482,812206,-0.0381,0.0216,172,0.1246,-0.1425,0.5662,0.1495,-0.5508,0
202302,50027,windsor, vt,508250,0.0854,0.1001,142,-0.0627,0.4416,101,0.1129,0.448,64,0.28,-0.3846,2,,,16,-0.2727,0.3333,78,0.2581,-0.0127,270,0.1014,0.3005,1810,-0.0245,-0.144,953674,0.0584,0.1404,220,0.028,0.2394,0.5493,0.1401,-0.2527,0
202302,50007,chittenden, vt,520925,-0.0149,-0.0298,95,0.0161,0.277,27,-0.7116,0.6212,82,0.2813,-0.2679,2,0,-0.5,10,-0.5455,0.6667,26,0.02,0.1333,277,0.0347,0.0573,2081,-0.0352,0.032,744899,-0.0168,0.3307,119,0.0042,0.2408,0.2698,0.001,-0.0342,0
202302,50019,orleans, vt,344000,0.0133,0.2199,43,-0.15,-0.1584,121,0.1579,0.105,14,0.4,-0.5,0,,,4,0,0,22,-0.0227,-0.1224,182,-0.0115,0.0657,2252,0.1371,0.0872,401581,0.0265,-0.208,64,-0.1181,-0.1477,0.5059,0.0659,0.0207,0
202302,50013,grand isle, vt,450000,-0.257,0.0746,17,0.1,0.4348,106,0.0707,-0.3837,4,1,-0.3333,0,,,0,,,2,0.5,-0.625,268,-0.1226,-0.0722,1787,-0.023,0.085,620126,-0.2232,0.2191,17,0.0625,0.0968,0.0909,0.0242,-0.2569,0
202302,50023,washington, vt,344000,-0.053,0.1812,42,-0.087,-0.0345,74,-0.2164,-0.0945,28,0,-0.0667,0,,,6,0.5,2,22,-0.1042,-0.5326,206,-0.0153,0.0731,1510,-0.1039,0.0293,477575,-0.0523,0.1351,65,-0.0786,-0.2793,0.5119,-0.0098,-0.5456,0
202302,50021,rutland, vt,264450,-0.0382,-0.1813,112,0.0136,0.067,124,0.0711,0.6349,46,0.0455,-0.3429,0,,,20,0,0.6667,53,0.1538,-0.4134,202,0.0012,-0.104,1605,-0.1072,-0.199,429884,0.0306,-0.2841,162,0.0418,-0.154,0.4709,0.0572,-0.3856,1
202302,50003,bennington, vt,566000,0.1622,0.2579,63,-0.1379,0.1364,116,0.0941,0.3401,30,-0.0625,-0.2105,0,-1,,12,0.2,1,39,0.0263,-0.22,213,-0.0006,0.0549,2665,0.0842,0.1534,886082,0.0581,0.2375,102,-0.0645,-0.024,0.624,0.0999,-0.2851,0
202302,50017,orange, vt,252250,-0.1338,0.007,21,-0.2115,-0.18,140,0.3955,1.1914,20,1.5,0,0,,,4,-0.3333,1,20,0.2188,-0.025,153,-0.0305,0.2105,2020,-0.0563,0.062,493989,-0.318,0.2818,39,-0.0714,-0.1522,0.9512,0.3358,0.1512,1
202302,50005,caledonia, vt,403250,-0.0387,0.5541,50,0,0.3378,106,-0.1017,-0.1503,20,0.4286,0.25,0,,,10,4,4,19,-0.1556,-0.519,180,-0.0407,0.2095,2104,-0.0478,0.1551,472096,0.0091,0.2729,69,-0.042,-0.1218,0.3838,-0.0707,-0.6837,1
202302,50009,essex, vt,257000,-0.0629,0.1422,22,-0.0227,0.1622,167,0.1932,1.6364,4,1,-0.3333,0,,,2,,,4,0,-0.5294,159,-0.1043,0.1052,1761,0.0386,-0.0764,322129,-0.0284,0.2901,25,-0.0385,-0.0909,0.186,0.0042,-0.2734,1
202301,50013,grand isle, vt,605654,-0.031,0.4251,15,-0.1667,-0.0625,99,0.0761,-0.3926,2,,-0.75,0,,,0,,,1,0,-0.75,306,0.0291,0.1222,1829,-0.0103,0.1431,798352,0.0775,0.658,16,-0.1111,-0.2,0.0667,0.0111,-0.1833,1
202301,50001,addison, vt,386075,-0.0207,0.0161,30,-0.0781,0.0172,103,0.1075,0.1977,14,0.75,-0.3,0,,,6,-0.25,,8,0.0714,-0.4231,211,-0.0219,0.1422,2063,0.0464,0.0165,475247,-0.0079,0.0314,37,-0.0641,-0.1512,0.2542,0.0355,-0.194,0
202301,50021,rutland, vt,274950,-0.0804,-0.2308,110,-0.0984,0.0185,116,0.1717,0.7059,44,0.5714,-0.1538,0,,,20,0.6667,0.25,46,0.0341,-0.4518,202,0.079,0.0612,1797,-0.0755,-0.1808,417124,-0.0312,-0.3303,156,-0.0576,-0.1816,0.4136,0.053,-0.3549,1
202301,50005,caledonia, vt,419500,-0.0129,0.5144,50,-0.161,0.1,118,0.3184,0.18,14,0.1667,-0.3,0,,,2,-0.75,,23,-0.1,-0.2742,188,0.039,0.3437,2209,0.004,0.0851,467829,-0.0035,0.2564,72,-0.1386,-0.0833,0.4545,0.0308,-0.2343,1
202301,50015,lamoille, vt,502250,0.0065,0.6885,83,-0.1075,0.0122,110,0.0354,-0.062,22,0.375,-0.3125,0,,,12,0.5,2,16,-0.3261,-0.38,315,-0.0066,0.5985,2245,0.0297,0.0823,1517130,0.059,1.277,99,-0.1466,-0.0833,0.1867,-0.0606,-0.1181,1
202301,50027,windsor, vt,468250,-0.0424,0.1096,152,-0.0928,0.5947,91,0.1067,0.0676,50,0.25,0.25,0,,,22,0.1,0.8333,62,-0.0746,-0.1507,245,0.0332,0.3391,1855,-0.0431,-0.1052,901065,0.046,0.2154,214,-0.097,0.2738,0.4092,0.008,-0.3592,0
202301,50025,windham, vt,479875,-0.0391,0.2797,108,-0.069,-0.027,110,0.1929,0.0452,46,0.6429,-0.0417,0,,,12,0.5,0.5,45,-0.2373,-0.5408,250,0.01,0.3467,2095,-0.0024,-0.0052,844353,-0.0104,0.219,153,-0.1134,-0.2703,0.4167,-0.092,-0.4662,0
