month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,53001,adams, wa,349650,0.032,0.0013,43,0.0494,1.125,184,0.1323,0.6176,12,2,2,0,,-1,2,-0.5,0,20,0.3333,-0.4366,237,0.0546,0.205,1817,0.0964,0.0022,388064,0.0602,0.0267,63,0.1261,0.1062,0.4706,0.1002,-1.3044,1
202302,53005,benton, wa,565975,0.0009,0.0162,424,-0.014,0.6673,80,-0.0245,0.5143,208,0.284,-0.2464,4,-0.3333,-0.8333,98,-0.2687,1.5789,135,0.3186,-0.4009,263,0.0087,-0.0183,2185,0.0003,-0.0031,589445,0.0003,0.0251,559,0.041,0.177,0.3176,0.0801,-0.5663,0
202302,53049,pacific, wa,432000,-0.0171,0.1993,83,-0.0674,0.9762,124,0.0576,1.8343,42,1.625,0,2,,-0.5,4,-0.8182,0,35,-0.0548,-0.4103,261,-0.0608,-0.0077,1608,0.0025,0.1276,455475,-0.0267,0.0995,118,-0.0637,0.175,0.4157,0.0056,-0.9772,1
202302,53021,franklin, wa,534175,0.0224,0.0688,106,-0.1486,1.1633,98,0.3232,2.5405,50,0.0417,-0.2857,4,,,30,-0.25,4,56,0.3023,0.3494,256,-0.0041,0.0773,2096,0.017,-0.0214,546514,0.0292,-0.0027,162,-0.0328,0.8101,0.5283,0.1829,-0.3186,1
202302,53027,grays harbor, wa,399962,0.0002,0.023,219,-0.0661,0.6782,82,-0.1303,0.6108,86,0.1026,-0.2456,4,1,0,52,-0.1613,0.625,110,0.4379,-0.2466,277,-0.0167,-0.1166,1461,0.0171,0.0706,421462,-0.0023,0.0048,330,0.0543,0.1892,0.5023,0.1761,-0.6165,0
202302,53031,jefferson, wa,712473,-0.0087,0.0963,58,-0.0496,0.9167,92,0.1987,0.6429,26,0.3,-0.2353,0,,,16,1,0.6,32,0.2353,-0.2317,363,-0.0097,-0.0227,2130,-0.0081,0.2478,771830,-0.011,-0.1385,91,0.0523,0.223,0.5478,0.1263,-0.8188,0
202302,53059,skamania, wa,677500,-0.0511,0.0529,18,-0.1667,0.75,90,-0.172,0.5042,8,1,-0.4286,0,,,0,-1,-1,11,-0.1538,0.4667,331,0.0172,0.0536,2264,0.0209,0.2207,807155,-0.0472,0.0361,29,-0.1471,0.5676,0.6286,0.0095,-0.1214,0
202302,53053,pierce, wa,599000,0.009,0.0284,865,-0.1766,1.201,61,-0.1586,1.8372,684,0.1712,-0.3105,20,-0.0909,-0.6296,298,-0.3522,3.5152,856,0.3357,-0.3309,293,-0.0044,-0.0423,2106,0.0208,0.075,707760,0.0106,-0.0278,1711,0.0118,0.031,0.989,0.3793,-2.2642,1
202302,53067,thurston, wa,537485,-0.0201,0.0602,298,-0.213,1.3152,70,0,2.4146,186,-0.1143,-0.4294,6,2,-0.25,94,-0.3562,3.2727,297,0.4109,-0.2335,278,0.0125,0.0015,2034,-0.0139,0.0666,684838,0.003,0.1026,594,0.0085,0.148,0.9983,0.4414,-2.0172,1
202302,53065,stevens, wa,439500,0.0571,-0.1374,89,0.0114,1,83,-0.1942,0.1216,34,0.4167,0.4167,0,,,12,0,0.2,44,0.2083,-0.0645,239,0.0513,0.0912,2088,-0.0093,0.0349,561690,0.0129,-0.0711,132,0.0562,0.4693,0.4888,0.0797,-0.5562,1
202302,53055,san juan, wa,933750,-0.0467,-0.3866,58,-0.1212,0.381,157,0.2171,0.2975,8,0,-0.5,0,,,6,-0.5,0.5,21,0.1389,0.2424,555,-0.0365,-0.2024,1750,-0.1151,-0.229,1682686,-0.0324,-0.2116,78,-0.0824,0.3333,0.3534,0.0807,-0.0394,1
202302,53015,cowlitz, wa,569588,0.109,0.4425,207,-0.0697,1.6038,72,-0.017,1.0069,80,-0.1304,-0.3846,2,0,-0.9524,52,-0.2353,0.2381,132,0.3069,-0.2303,273,0.0243,0.0152,2126,0.034,0.2887,617444,0.0601,0.1263,338,0.0385,0.3366,0.6377,0.1837,-1.5196,1
202302,53061,snohomish, wa,776238,0.0619,0.0858,520,-0.2163,0.9403,50,-0.2209,3.5682,468,0.1527,-0.4208,8,0,-0.75,136,-0.3929,3.25,716,0.3201,-0.2758,382,-0.002,-0.0175,2105,0.0386,0.0672,896559,0.0309,0.0167,1232,0.0258,-0.0257,1.376,0.5591,-2.3106,1
202302,53007,chelan, wa,699990,0.0007,0.007,142,-0.066,1.0657,114,0.1092,0.4281,42,0.3125,-0.125,0,,-1,24,0.0909,11,45,0.2361,-0.2393,343,0.0298,0.0726,2268,0.0337,0.058,1001211,0.0308,-0.0131,179,-0.0325,0.3945,0.3145,0.0769,-0.5395,0
202302,53045,mason, wa,473875,-0.0024,-0.0398,102,-0.2162,1.0928,93,-0.0106,4.4706,46,0.2105,-0.4651,2,,,24,-0.4286,1.4,69,0.1417,-0.1543,291,0.0389,0.0036,1737,-0.0091,-0.0361,701078,0.0938,-0.0603,171,-0.0952,0.3205,0.6749,0.2116,-0.9952,1
202302,53047,okanogan, wa,462425,-0.0093,0.0785,79,-0.0872,0.8046,141,0.1423,0.3445,14,-0.3,-0.3,0,,,8,-0.5,3,25,0.2821,-0.3671,237,0.0199,-0.0449,1681,-0.0115,0.0381,772176,0.0391,0.2379,104,-0.0142,0.2381,0.3185,0.0917,-0.5896,0
202302,53033,king, wa,844487,0.0277,0.059,1730,-0.1183,0.9576,38,-0.4109,1.303,1408,0.0618,-0.3737,10,-0.1667,-0.8,470,-0.1952,3.5192,1749,0.3712,-0.2661,529,0.0304,0.0174,1868,0.0121,0.099,1366402,0.0634,0.0962,3459,0.0712,0.0601,1.0113,0.361,-1.686,1
202302,53003,asotin, wa,409675,0.0256,-0.1039,42,-0.1531,1.3714,94,0.1333,0.3357,12,-0.25,-0.5714,0,,,6,-0.5714,0.5,20,-0.1522,-0.4,202,0.0168,-0.0494,2125,-0.0201,-0.0473,466032,0.0218,-0.4938,61,-0.1538,0.21,0.4699,0.0005,-1.3873,1
202302,53023,garfield, wa,184900,-0.0978,-0.1746,0,-1,-1,180,0.0827,9.4348,2,0,,0,,,0,,,5,0.8,1.25,98,-0.2628,-0.2822,2320,0.4027,0.4146,184900,-0.3211,-0.1746,5,-0.0909,0.6667,,,,1
202302,53063,spokane, wa,484734,0.0773,0.0088,590,-0.1228,1.2457,39,-0.1927,0.2917,460,0.0798,-0.1786,22,0,-0.3529,174,-0.1471,2.9545,694,0.2318,-0.1271,232,0.0421,-0.0018,2127,0.0139,0.0455,581551,0.0607,-0.0802,1281,0.0381,0.2108,1.1764,0.3386,-1.8502,1
202302,53035,kitsap, wa,553750,0.0068,-0.0763,279,-0.1866,0.696,70,-0.0669,2.0326,178,-0.0918,-0.511,6,-0.7,-0.7857,78,-0.4429,1.4375,289,0.2403,-0.3295,288,-0.0049,-0.04,2070,0.0166,0.0464,727652,0.034,-0.0795,568,-0.0215,-0.0549,1.0358,0.3565,-1.5842,1
202302,53043,lincoln, wa,385000,0.0732,-0.0128,34,-0.0933,0.619,117,0.0833,0.3929,6,0.5,0,0,,,8,1,3,17,0.1724,-0.0286,178,-0.0572,-0.0916,1932,-0.001,0.0405,415835,0.0314,-0.2928,51,-0.0286,0.3247,0.5,0.1133,-0.3333,0
202302,53039,klickitat, wa,631000,-0.0094,0.0989,43,-0.1224,1.2051,122,0.1267,-0.0826,12,0,0.5,2,,-0.5,8,0,-0.2,24,0.175,0.3824,299,0.073,0.3037,2001,-0.0394,-0.065,678167,0.0008,0.0529,67,-0.0074,0.8356,0.5465,0.1383,-0.3253,0
202302,53009,clallam, wa,597675,0.0278,-0.032,128,-0.1327,0.6776,86,-0.0851,1.9913,64,0.3913,-0.2727,0,,-1,32,-0.1579,1.2857,83,0.4103,-0.0625,308,0.0147,0.0059,1997,0.0057,0.0133,714432,0.0153,-0.0344,211,0.0293,0.2905,0.6471,0.2491,-0.5108,1
202302,53073,whatcom, wa,599000,-0.018,-0.0958,366,0,1.9163,78,-0.028,1.5574,210,0.5,-0.0708,4,1,,60,-0.3478,2.75,209,0.1713,-0.142,341,-0.004,-0.0269,1823,-0.0255,-0.0603,799626,-0.0303,-0.1666,576,0.053,0.5695,0.5697,0.0833,-1.3666,1
202302,53019,ferry, wa,378450,0.0167,0.954,16,0.0323,0.6,138,0.1748,0.1384,6,,,0,,,2,0,,4,-0.4167,-0.65,239,-0.0426,0.3012,1818,0.1572,0.3304,429847,0.0094,0.3778,19,-0.1163,-0.05,0.2188,-0.1683,-0.7813,1
202302,53037,kittitas, wa,689000,-0.0622,-0.0993,91,-0.1333,1.8889,89,-0.0658,0.4431,48,0.5,0.6,0,-1,,14,-0.125,2.5,57,0.6377,-0.0887,377,0.0462,0.1376,2157,-0.0361,-0.1231,1028447,-0.0156,-0.4455,148,0.0534,0.6,0.6209,0.2923,-1.3474,1
202302,53029,island, wa,658000,0.031,-0.0038,133,-0.1419,2.1667,73,-0.1633,2.5181,92,0.15,0.0455,0,,,54,0.2273,3.5,104,0.3101,-0.0633,345,-0.0154,0.013,1955,0.0515,-0.0094,833904,-0.0084,0.0222,237,0.0128,0.5541,0.7782,0.2685,-1.8528,1
202302,53025,grant, wa,354986,-0.07,-0.0025,163,0.0656,0.5931,73,-0.1541,0.3349,58,0,-0.1714,2,-0.5,-0.6667,24,-0.0769,0.2,106,0.2197,-0.3683,238,0.0094,0.0647,1544,-0.0376,-0.1046,466841,-0.0875,0.1482,266,0.0969,0,0.6492,0.082,-0.988,0
202302,53071,walla walla, wa,499000,-0.006,0.0628,71,-0.1188,0.88,80,0.0808,0.3375,32,0.0667,0.2308,0,,,22,0,0.8333,45,0.2535,-0.1442,245,-0.0254,-0.014,2061,0.0158,-0.0916,618690,-0.0117,-0.2034,115,-0.0043,0.2793,0.6312,0.1875,-0.7555,0
202302,53075,whitman, wa,415000,0.0012,0.0864,63,-0.0942,0.4881,88,0.1387,0.9396,34,0.1333,-0.2273,2,0,-0.6667,22,0.1,1.75,32,0.0161,0.0678,217,0.0043,0.2097,2034,-0.0087,-0.1171,495411,0.0304,0.1041,96,-0.0545,0.3546,0.504,0.0547,-0.1984,0
202302,53041,lewis, wa,485000,0.079,0.1287,156,-0.1012,1.2214,91,-0.0267,1.6642,76,0.2667,-0.0732,0,,-1,48,-0.2258,0.8462,105,0.6077,-0.1364,267,-0.0006,-0.0046,1836,0.0441,0.077,577568,0.0323,0.0948,258,0.0639,0.3403,0.672,0.2963,-1.0565,1
202302,53017,douglas, wa,592750,0.0413,0.3949,64,-0.073,1.5918,105,0.1088,1.9028,14,-0.2222,-0.4615,0,,,14,-0.2222,,21,0.2,-0.3913,275,-0.0077,-0.0346,2278,0.0174,0.2781,587198,0.0198,0.0981,82,-0.0355,0.3583,0.3307,0.0752,-1.0775,1
202302,53051,pend oreille, wa,352500,0.1711,-0.4049,27,-0.0702,0.2326,72,-0.3492,0.5944,12,2,-0.4,0,,,4,1,1,15,0.381,-0.3556,215,0.0616,-0.2384,1740,-0.0304,-0.245,435019,0.0167,-0.7108,40,0,-0.0805,0.5472,0.1787,-0.4993,1
202302,53077,yakima, wa,379725,0.0263,-0.0553,235,-0.0105,0.4984,63,-0.1792,0.037,132,0.5,-0.0704,6,,0.5,56,0.037,1,145,0.3018,-0.1743,213,0.0082,-0.0645,1900,-0.0229,0.0603,433252,0.0094,-0.0633,377,0.0849,0.1407,0.6162,0.1479,-0.502,0
202302,53013,columbia, wa,403499,-0.0347,-0.2029,12,-0.1111,1,117,0.3174,0.3516,4,0,1,0,,,2,,0,6,0.8333,4.5,172,-0.1326,0.1747,2233,0.0147,-0.1125,494676,-0.0213,-0.123,17,0,1.8333,0.4583,0.2361,0.2917,1
202302,53057,skagit, wa,606913,0.0128,0.0514,160,-0.1493,0.7059,76,0.0519,1.219,76,0,-0.4571,4,,1,38,-0.3214,1.375,123,0.4138,-0.1338,333,0.0031,-0.012,1980,0.0193,0.1099,757370,0.038,-0.0719,286,0.0382,0.2072,0.7712,0.3072,-0.7476,1
202302,53069,wahkiakum, wa,467450,0.0565,0.0469,8,-0.4667,0.1429,167,0.5957,0.7015,2,,,0,,,0,-1,-1,10,0.1765,0.1111,268,0.0778,0.1274,2011,0.1962,-0.1079,640456,0.2397,0.3036,18,-0.2857,0.0938,1.25,0.6833,-0.0357,0
