month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,55009,brown, wi,452400,0.0169,0.2432,257,-0.1944,0.7663,110,0.0896,0.7878,164,0.2615,-0.1717,2,,-0.8889,42,-0.125,1.625,235,0.2176,-0.1711,240,-0.0068,0.1795,1702,0.0315,-0.0368,532051,0.0341,0.0857,495,-0.0416,0.1445,0.9144,0.3094,-1.0341,1
202302,55017,chippewa, wi,349900,-0.0142,0.3095,62,-0.1507,0.4253,82,-0.038,0.4955,30,0.0714,-0.375,4,,1,10,-0.4444,0.6667,49,0.2436,-0.2707,187,0.0276,0.1409,1825,0,0.1004,396553,0.0457,0.1998,110,-0.009,0,0.7823,0.248,-0.7465,0
202302,55035,eau claire, wi,320000,-0.1222,-0.0256,73,-0.0458,0.0896,64,-0.0919,-0.1229,42,-0.2759,-0.3824,4,,0,18,-0.3571,1.25,94,0.1059,-0.2101,187,0.0146,-0.0171,1800,-0.1383,0.1594,420965,-0.055,0.0386,165,0.0217,-0.1008,1.2877,0.1766,-0.4884,0
202302,55107,rusk, wi,212450,-0.082,-0.1183,21,0.4138,-0.0889,34,-0.6226,-0.7405,8,0,0.3333,0,,,2,0,0,7,0,-0.3,146,-0.1,0.4904,1508,0.1111,-0.0174,250866,-0.0536,-0.1073,28,0.3659,-0.1385,0.3415,-0.1413,-0.103,1
202302,55089,ozaukee, wi,557445,-0.0666,0.0095,115,0.036,0.9828,53,-0.2789,0.2771,96,0.7143,0.2632,4,,0,16,-0.1111,0.3333,66,0.065,-0.3762,253,-0.0352,0.026,2122,-0.0084,0.0584,628250,-0.0092,0.0678,181,0.068,0.1176,0.5696,0.0155,-1.2408,1
202302,55111,sauk, wi,386000,0.0435,0.1877,65,-0.1623,0.7432,86,-0.0171,0.4957,30,-0.1176,-0.2857,0,,-1,10,-0.375,0.25,62,0.1604,-0.1517,192,0.0281,0.1615,1669,0.0042,-0.1106,428914,0.0478,-0.0652,126,-0.0346,0.1514,0.9535,0.2652,-1.006,1
202302,55023,crawford, wi,210000,-0.0397,-0.0024,28,0.1429,0.6471,78,-0.4376,-0.2767,10,-0.1667,0.25,0,,,4,1,1,10,0.4615,-0.4865,145,0.07,0.0324,1472,-0.1301,-0.0798,306239,-0.1489,0.1297,37,0.1935,0,0.3393,0.074,-0.7489,0
202302,55105,rock, wi,312714,0.0296,0.1271,128,-0.1873,0.0579,61,-0.1729,0.0655,116,0.1154,-0.0645,4,,-0.5,40,0,0.4286,160,0.1815,-0.2238,171,0.0538,0.1169,1833,0.0144,0.0275,359417,0.0147,0.1151,285,-0.0138,-0.1258,1.2461,0.389,-0.4523,0
202302,55095,polk, wi,299950,0.0042,0.0239,66,-0.0576,0.5412,99,-0.1416,0.4812,26,0.3,-0.48,0,,-1,10,-0.2857,,36,0.6512,-0.4496,219,0.0222,0.2743,1377,-0.0337,-0.2453,370485,0.0002,-0.1328,100,0.105,-0.0654,0.542,0.2326,-0.9757,0
202302,55141,wood, wi,219925,0.0352,0.2965,45,-0.2583,0.0349,70,-0.0759,-0.1111,46,0.2105,-0.0417,0,,,8,-0.5556,3,77,0.3661,0.0929,126,0.1039,0.2411,1805,-0.0006,0.0834,297925,0.1024,0.5575,121,0.0431,0.095,1.7191,0.7858,0.0912,0
202302,55051,iron, wi,215700,0.205,-0.1623,18,-0.2174,0.3333,125,0.2835,-0.207,4,0,0,0,,,2,0,,12,0.4118,0.0909,152,-0.0033,-0.1996,1733,0.1749,0.0251,269315,-0.0402,-0.017,29,-0.0645,0.2083,0.6667,0.2971,-0.1481,1
202302,55071,manitowoc, wi,299000,0.0241,0.6171,44,-0.0842,0.2254,55,-0.2029,-0.1373,42,0.3125,-0.2222,0,,,8,-0.2,0.3333,43,-0.0115,-0.4379,155,0.0702,0.3087,1710,0.0117,0.0693,332391,0.093,0.2525,89,-0.0328,-0.1991,0.9885,0.0727,-1.1664,1
202302,55005,barron, wi,329525,0.0099,-0.0011,63,-0.1379,0.6026,106,0.0291,0.3503,18,-0.1818,-0.4,0,,,10,-0.2857,,33,0.2037,-0.3367,200,-0.0365,-0.0614,1764,0.004,0.1474,378107,-0.0187,-0.1861,95,-0.0404,0.0734,0.52,0.1476,-0.7364,0
