month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,54019,fayette, wv,121250,-0.1476,0.2875,60,-0.0625,0.6216,99,0.0259,-0.027,14,-0.3636,-0.3636,0,,,10,1.5,1.5,16,0.0323,-0.0857,79,-0.1109,0.1042,1276,-0.0832,-0.0569,213171,0.0127,0.163,76,-0.0321,0.4112,0.2667,0.0245,-0.2063,0
202302,54015,clay, wv,126500,-0.0265,0.1895,12,0.15,1.875,59,-0.2688,0.2717,0,-1,,0,,,0,,,2,0.5,-0.75,91,0.0131,0.0663,1286,-0.0814,-0.1131,144217,-0.0523,0.4185,13,0.1818,0.3684,0.1304,0.0304,-1.3696,1
202302,54069,ohio, wv,164500,-0.0436,-0.0856,73,0.1508,0.1508,65,-0.1503,-0.3434,38,0.1875,0.5833,0,,,14,0,-0.2222,42,0.1053,-0.1765,103,-0.0272,0.0083,1743,0.0853,-0.0335,227060,0.0423,-0.1401,115,0.15,0.0177,0.5793,-0.0239,-0.2302,0
202302,54045,logan, wv,129975,-0.0546,-0.0906,30,-0.0484,-0.1571,67,-0.3991,-0.4451,10,0.25,-0.5,0,,,8,1,0.3333,12,-0.0417,-0.3235,82,0.0205,-0.0803,1900,-0.0046,0.0863,140915,-0.0609,-0.9544,42,-0.0235,-0.2095,0.3898,0.0027,-0.0959,0
202302,54105,wirt, wv,419250,1.251,2.4938,3,-0.25,-0.1429,88,-0.3191,-0.4027,0,,,0,,,0,,,1,-0.6,-0.6,170,0.5973,0.4419,2444,0.3015,1.2063,746583,0.4133,3.9104,4,-0.3333,-0.3333,0.3333,-0.2917,-0.381,1
202302,54097,upshur, wv,249450,0.0133,0.426,33,-0.0149,0.2941,89,-0.1767,0.1494,16,0.3333,1.6667,0,,,4,-0.6667,-0.5,20,1.0526,-0.0488,116,0.0611,0.1366,1883,-0.0262,0.038,223518,-0.0988,-0.1104,52,0.1954,0.1183,0.5909,0.3073,-0.213,1
202302,54065,morgan, wv,318995,-0.0596,0.0461,47,-0.051,0.6909,80,-0.1736,0.4837,40,1.5,0.6667,0,,-1,16,0,,35,0.0769,0.0448,176,-0.0494,-0.0561,1785,0.0148,0.1516,303948,-0.0423,-0.1684,80,-0.0245,0.3033,0.7527,0.0894,-0.4655,0
202302,54059,mingo, wv,57450,-0.1162,-0.4893,6,-0.2941,-0.625,157,0.1465,0.3096,0,,-1,0,,,0,,,3,0,-0.5,39,-0.0309,-0.2169,1379,-0.0545,-0.1828,62235,-0.3531,-0.495,9,-0.2174,-0.5814,0.5,0.1471,0.125,1
202302,54005,boone, wv,203750,-0.0965,0.4374,17,-0.1282,-0.0556,90,-0.1179,0.7343,12,5,2,0,,,4,0,,10,1.2222,-0.2593,99,0.0753,0.2424,2055,-0.0124,0.1972,230737,-0.0668,0.2798,27,0.125,-0.1429,0.5882,0.3575,-0.1618,1
202302,54035,jackson, wv,178225,0.0259,-0.0206,27,-0.1311,0.4324,58,-0.0169,-0.0757,10,-0.2857,-0.2857,0,,,8,1,1,21,-0.0889,-0.3167,114,0.0415,0.0671,1749,-0.0109,0.0059,268822,0.1327,0.2696,47,-0.1143,-0.0313,0.7736,0.0359,-0.848,0
202302,54001,barbour, wv,164950,0.0664,0.7642,33,-0.1447,0.9118,95,-0.0821,-0.0909,10,0.6667,0,0,-1,,8,-0.4286,3,20,0.8182,0.7391,98,-0.0523,0.2732,1566,-0.0033,0.1722,183960,-0.0715,0.4064,52,0.0505,0.8246,0.6154,0.3259,-0.0611,1
202302,54003,berkeley, wv,314990,0.0304,-0.0278,308,-0.0391,0.9649,50,-0.2196,-0.0744,248,0.2525,0.2525,4,-0.7778,-0.9375,64,0.28,2.5556,325,0.1036,-0.0122,169,0.0179,0.0025,1785,-0.0097,-0.0639,367120,0.0566,0.0457,633,0.0335,0.3028,1.0569,0.1366,-1.0453,1
202302,54061,monongalia, wv,315000,0,0.0769,130,-0.0972,0.3613,87,0.1122,0.071,60,-0.1667,-0.1176,0,,-1,20,-0.4118,0.25,135,0.1903,-0.259,165,0.0088,0.0539,1940,0,0.0078,490356,0.0434,0.2413,264,0.0353,-0.0486,1.0346,0.2499,-0.8659,0
202302,54039,kanawha, wv,139225,0.0203,-0.0684,251,-0.1332,-0.0924,80,0.0456,-0.0273,112,0.1915,-0.082,0,,,62,-0.0606,0.1923,186,0.1141,-0.2893,96,0.062,0.0597,1594,-0.0011,-0.0755,207739,0.1025,-0.1038,433,-0.0484,-0.1953,0.7405,0.1644,-0.2051,0
202302,54085,ritchie, wv,171332,0.1576,-0.3713,15,0,0.6111,92,0.0636,0.1152,6,0.5,,0,,,4,,1,7,0.75,0.5556,92,0.1016,-0.3455,1584,0.0455,-0.0897,246427,0.0727,-0.6037,21,0.2,0.5556,0.4828,0.2069,-0.0172,1
202302,54089,summers, wv,169500,0.0136,-0.0838,36,0.125,0.8,100,0.1019,0.194,10,0.25,0.6667,0,,,4,0,,3,0,-0.5,263,0.5495,0.144,1611,0,-0.0897,277730,0.0723,0.076,39,0.1159,0.5098,0.0694,-0.0087,-0.1806,0
202302,54095,tyler, wv,131225,-0.3267,0.3122,12,0.9167,0.2105,45,-0.5909,-0.7035,8,,,0,,,4,,,5,-0.3077,-0.1,85,-0.178,-0.0315,1700,-0.0596,0.0118,136783,-0.2872,0.0813,16,0.1923,0.069,0.3913,-0.692,-0.135,1
202302,54037,jefferson, wv,406995,0.0049,0.002,112,-0.0861,0.9735,82,-0.021,0.6891,76,0.0556,-0.1163,18,0.2857,2,36,0.0588,0.8,143,0.1721,0.0515,181,0.0035,0.0258,2172,0.0262,-0.0585,461894,0.027,-0.0919,255,0.0262,0.3456,1.2825,0.2825,-1.1246,1
202302,54057,mineral, wv,233675,0.2469,0.475,26,-0.2353,0.2683,97,0.3786,-0.1609,8,-0.2,0,0,,,6,-0.25,2,20,0.0811,-0.0244,122,0.0797,0.3874,2053,0.0955,0.2302,279687,0.0836,0.1255,46,-0.1068,0.122,0.7692,0.2251,-0.2308,0
202302,54083,randolph, wv,209950,0.0699,0.2782,28,0.0185,-0.0678,100,0.1086,-0.0316,20,2.3333,1.5,0,,,4,-0.3333,-0.3333,18,0.3462,-0.2391,124,-0.0569,0.3248,1709,0.0252,0.052,245162,-0.0394,0.2294,46,0.1667,-0.1495,0.6364,0.1549,-0.1433,1
202302,54071,pendleton, wv,154800,-0.2428,-0.435,20,0,0.9048,177,0.1866,0.5216,2,0,-0.5,0,,,0,,,3,0.5,-0.5,154,0.1132,-0.1464,2090,0.0008,0.2519,278695,-0.0577,-0.2546,23,0.0222,0.3939,0.15,0.05,-0.4214,1
202302,54007,braxton, wv,156975,0.0127,0.336,13,-0.0741,-0.2424,72,-0.0137,-0.4037,8,3,1,0,,,0,,-1,5,-0.3571,0.125,97,-0.0184,0.3235,1890,0.0723,0.3139,152008,-0.0144,0.0937,18,-0.122,-0.122,0.36,-0.1585,0.1176,1
202302,54055,mercer, wv,184450,0.1214,0.421,59,-0.1918,0.0727,92,0.0367,0.4008,16,-0.3846,-0.6364,0,,,16,1,0.3333,40,0.1594,-0.4074,102,0.002,0.253,1867,0.0384,0.0685,242253,0.11,0.2157,99,-0.0794,-0.1893,0.678,0.2054,-0.5493,0
202302,54043,lincoln, wv,105000,-0.0345,1.1289,11,0.2222,0.1,72,-0.0369,1.899,0,-1,-1,0,,,6,2,,7,0.8571,-0.4583,109,-0.0122,0.8357,1608,-0.1523,0.5476,266891,-0.0438,2.1789,18,0.44,-0.122,0.5909,0.202,-0.6091,1
