month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,56013,fremont, wy,326000,0.0584,-0.0686,102,-0.0856,0.3624,107,0.0288,0,12,-0.4,-0.4,0,,,6,-0.5714,0.5,2,0.5,-0.625,173,0.0223,-0.0267,1925,-0.0146,0.0547,514953,0.0146,0.104,103,-0.0804,0.3038,0.0148,0.0058,-0.0389,0
202302,56027,niobrara, wy,98050,0.1795,-0.47,4,0.1429,-0.2,151,0.1185,1.7706,0,,,0,,,0,,,2,0,-0.25,53,-0.0463,-0.0725,1912,0.0391,-0.3247,116490,0.0526,-0.546,5,0,-0.2857,0.375,-0.0536,-0.025,1
202302,56019,johnson, wy,503900,-0.0355,0.3294,42,0.1831,0.2353,100,0.0638,0.3072,10,0,0.25,0,,-1,0,-1,,2,0,0,209,-0.0445,0.0533,2280,0.0551,0.0724,595185,-0.0045,0.1359,43,0.2113,0.2464,0.0476,-0.0087,-0.0112,0
202302,56045,weston, wy,251000,-0.0099,-0.0009,17,-0.1951,-0.3889,179,0.0818,0.2396,0,-1,-1,0,,,2,-0.5,0,3,-0.5455,-0.6154,111,-0.0357,-0.0346,2065,0.1266,-0.0225,461471,0.0802,0.0955,19,-0.2692,-0.4328,0.1515,-0.1168,-0.0892,1
202302,56031,platte, wy,241750,0.0287,0.185,36,0.0141,0.2,104,0.0375,0.095,6,0,-0.4,0,,,4,0,,6,0,-0.52,131,0.0108,0.0943,2108,0.0025,0.1891,568291,0.041,0.9138,42,0.012,-0.0118,0.1667,-0.0023,-0.25,0
202302,56029,park, wy,570250,-0.0039,-0.0403,73,-0.0759,0.2696,119,0.0485,-0.0461,30,0.3636,0,0,,,12,0.2,0.2,36,0.2203,-0.3271,271,-0.0062,-0.0413,2098,-0.0246,-0.1661,1122621,0.0069,0.1207,110,0.0185,-0.009,0.4932,0.1197,-0.4373,0
202302,56033,sheridan, wy,582725,0.1605,0.0064,84,-0.1164,1.0617,104,0.3248,0.3595,32,0.0667,0.6,0,,,10,-0.5455,0.6667,44,0.4194,0.0233,268,-0.0109,-0.0709,2013,0.074,-0.0622,751375,0.0865,-0.2372,119,0.0085,0.4512,0.5269,0.1989,-0.5348,0
202302,56015,goshen, wy,222500,-0.1232,0.2378,34,0.0625,-0.0423,113,-0.0044,1.2727,14,0.4,-0.3,0,,,2,-0.6667,-0.5,2,-0.3333,0,105,-0.0583,0.0814,1960,-0.0763,0.0459,341564,-0.1579,0.324,36,0.0286,-0.04,0.0588,-0.0349,0.0025,1
202302,56011,crook, wy,709750,0.0073,0.0836,12,-0.2069,-0.425,107,0.6174,0.1207,2,,-0.75,0,,,0,-1,,6,0.1,-0.3125,240,0.006,-0.0708,2970,0,0.1178,735473,0.0413,-0.1832,18,-0.0789,-0.3519,0.4783,0.1334,0.0783,1
202302,56021,laramie, wy,498625,0.0616,0.0335,321,-0.0573,2.1471,68,-0.0182,1.0769,122,0.0702,-0.1974,2,-0.5,-0.75,78,0.0541,2.5455,161,0.3644,-0.439,186,0.0069,0.048,2820,0.0368,0.0142,522333,0.0306,0.0452,476,0.0348,0.219,0.5016,0.155,-2.3122,1
202302,56023,lincoln, wy,653250,-0.047,-0.0634,93,0.1078,0.85,130,-0.0848,1.8619,30,1.5,0,0,,,6,-0.5714,2,16,0,-0.6279,312,-0.0533,-0.1496,2204,0,-0.0041,1075211,-0.0356,-0.5453,108,0.075,0.1376,0.173,-0.0186,-0.687,1
202302,56039,teton, wy,4053850,0.0682,-0.0405,117,-0.0717,1.1182,135,0.0506,0.5698,24,0.5,-0.0769,0,,-1,8,-0.2,0.3333,35,0.25,-0.3966,1596,0.0751,0.0537,2564,-0.044,-0.1702,5970871,0.0108,0.1629,151,-0.0099,0.3498,0.3004,0.0773,-0.7541,0
202302,56041,uinta, wy,349975,-0.0132,0.0633,39,-0.0253,0.7111,94,0.0387,2.9167,16,0.1429,-0.3333,0,,,2,-0.75,0,1,,,161,-0.0434,0.0315,2112,0,0.0067,379063,-0.0065,-0.1714,39,-0.0253,0.7111,0.026,,,1
202302,56025,natrona, wy,351500,-0.0233,0.1717,148,0.0137,0.9667,58,-0.0794,0.6,76,-0.1163,-0.1163,0,,,20,0.25,9,,,,153,-0.0358,0.0913,2248,-0.0392,-0.0113,423154,-0.0374,-0.0526,148,0.0137,0.9667,,,,0
202302,56037,sweetwater, wy,282925,0.1095,0.2733,62,-0.0236,0.0877,52,0.0619,0.0198,38,-0.05,0.4615,0,,,10,0,-0.1667,,,,131,-0.0071,0.1818,2120,0.0781,0.0036,355007,0.0593,0.3473,62,-0.0236,0.0877,,,,0
202302,56035,sublette, wy,467000,-0.1178,0.2005,33,0,0.9412,137,0.0205,-0.0284,12,1,2,0,,,2,-0.5,-0.6667,15,0.3043,-0.1892,273,0.0001,0.1749,1802,0.0625,-0.1787,814175,0.0152,0.4145,47,0.0682,0.2877,0.4545,0.1061,-0.6337,1
