month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,30780,Little Rock-North Little Rock-Conway, AR,73,304245,0.0142,0.255,1134,-0.0788,0.6951,50,-0.066,0.2941,778,-0.0694,-0.0953,38,0.9,0.9,288,-0.2653,0.8701,1080,0.2493,-0.1734,144,0.0066,0.159,2009,-0.0074,0.0415,350781,0.0074,0.0474,2214,0.0505,0.119,0.9524,0.2501,-1.0005,1
202302,22220,Fayetteville-Springdale-Rogers, AR,107,403000,0.0089,0.0075,1581,-0.0542,2.3592,73,-0.0701,0.46,816,0.0681,0.0851,66,0.2222,-0.1951,418,-0.0991,4.6486,1394,0.1955,-0.2634,195,0.003,0.0755,2066,0.0068,-0.0588,568557,0.019,-0.1116,2976,0.0484,0.2589,0.882,0.1842,-3.1403,1
202302,22900,Fort Smith, AR-OK,195,236975,0.0385,0.0774,498,-0.0778,0.5168,72,0.0035,0.784,212,-0.1167,-0.2886,4,,,100,-0.2063,0.9231,37,0,-0.3814,128,0.0146,0.1191,1827,0.0137,-0.0003,319591,0.0097,-0.0435,532,-0.0756,0.3747,0.0734,0.0057,-0.1065,0
202302,27860,Jonesboro, AR,317,227450,0.0213,0.1155,370,-0.0622,0.8852,66,-0.0671,0.6098,164,0.038,0.025,0,-1,-1,90,0.1538,0.875,100,0.1988,-0.2257,131,-0.0056,0.1451,1778,-0.0027,-0.0738,267294,0.0008,0.004,467,-0.0148,0.4391,0.2693,0.0586,-0.3863,0
202302,26300,Hot Springs, AR,373,310725,-0.0136,-0.0275,416,0.0246,0.3227,86,-0.0086,0.4576,172,0.303,0.0361,6,2,0,88,-0.1698,0.4667,152,0.2072,-0.227,168,0.0063,0.053,1720,-0.0032,-0.147,453432,0.0241,-0.0275,515,0.0321,0.1705,0.3642,0.0551,-0.259,0
202302,40780,Russellville, AR,441,212450,0.0117,0.0372,144,-0.1329,0.4495,74,0.0278,0.2982,72,0.2,0,0,,,28,-0.3913,0.5556,103,0.1389,-0.2491,120,0.0252,0.0666,1729,-0.015,-0.0019,267907,0.0333,0.1021,246,-0.0391,0.0605,0.7143,0.1705,-0.6645,0
202302,38220,Pine Bluff, AR,459,139750,0.024,0.2913,123,0.0124,0.25,71,-0.1069,-0.1097,56,-0.1515,0.037,0,,,38,0.2667,1.7143,66,-0.0435,-0.1852,77,0.0063,0.174,1694,-0.0378,0.0735,152701,-0.0322,0.0879,189,-0.0079,0.0531,0.5388,-0.0315,-0.2878,0
202302,42620,Searcy, AR,461,245500,0.0043,0.544,92,-0.0417,0.2603,65,-0.0719,0.2,56,0,-0.125,0,-1,-1,10,-0.5,-0.375,88,0.2941,-0.0785,123,-0.0235,0.3161,1999,0.0531,0.1352,328358,0.1036,0.1943,179,0.0721,0.0562,0.9565,0.2482,-0.3517,1
202302,12900,Batesville, AR,555,199725,0.0269,0.1516,155,-0.0749,0.2822,105,0.1932,0.5108,46,-0.2069,-0.1481,0,,,22,-0.2667,0.2222,39,0.3509,-0.3529,115,0.0344,0.224,1666,-0.0061,0.0035,268172,0.0319,0.2531,193,-0.0351,0.0754,0.2492,0.0785,-0.2446,0
202302,34260,Mountain Home, AR,605,279975,-0.0083,0.2045,123,-0.0889,0.1604,109,0.0792,0.3841,42,-0.3,-0.3438,0,,,22,-0.2143,0.5714,80,0.1679,-0.2233,152,0.044,0.2292,1750,-0.0329,-0.0967,393357,0.0044,-0.0059,201,-0.0123,-0.0267,0.6504,0.143,-0.3213,0
