month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,25540,Hartford-East Hartford-Middletown, CT,48,396400,0.0642,0.0937,794,-0.067,-0.0879,40,-0.373,-0.0482,796,0.1056,-0.1894,34,0.8889,-0.1905,152,-0.1461,0.2258,1371,0.0518,-0.2801,211,0.0317,0.0313,1974,0.0399,0.1137,558024,0.0609,0.1651,2158,-0.0005,-0.221,1.7278,0.1952,-0.4613,0
202302,14860,Bridgeport-Stamford-Norwalk, CT,62,963450,0.1894,0.0914,1181,-0.0457,0.0146,72,-0.1118,0.2544,770,0.129,-0.251,26,0.625,-0.5806,152,-0.2963,0.1014,1211,0.1862,-0.3184,383,0.1184,0.007,2529,0.0566,0.0881,2267314,0.1588,-0.0039,2371,0.0538,-0.19,1.0254,0.2004,-0.501,0
202302,35300,New Haven-Milford, CT,64,387000,0.0391,0.1235,712,-0.1094,0.1392,44,-0.3308,0.2254,626,0.1593,-0.1563,20,-0.1667,0.1111,144,-0.28,0.3585,1076,0.1076,-0.2495,218,0.0193,0.0128,1758,-0.0014,0.1072,515822,0.0454,0.0135,1786,0.0085,-0.1324,1.5105,0.296,-0.7823,0
202302,35980,Norwich-New London, CT,183,481725,0.0955,0.3023,261,-0.0939,-0.0493,71,-0.0596,0.5435,184,-0.0213,-0.2459,8,3,-0.5,36,-0.3793,0,349,0.0706,-0.2551,233,0.0483,0.061,1960,0.059,0.221,858192,0.0944,0.3196,608,-0.0154,-0.1833,1.3397,0.2058,-0.3701,0
202302,45860,Torrington, CT,229,598500,0.0574,0.0697,293,-0.1,-0.1096,111,0.0968,0.0425,170,0.4407,-0.0659,6,2,-0.4,42,-0.3636,0.05,266,0.0057,-0.3571,253,0.0212,0.0246,2466,0.0636,0.0834,1255107,0.0138,-0.0202,558,-0.0535,-0.2425,0.9077,0.0954,-0.3495,0
202301,25540,Hartford-East Hartford-Middletown, CT,48,372500,0.0205,0.0646,851,-0.1969,-0.1426,63,0.0678,-0.0667,720,0.295,-0.1509,18,-0.55,-0.25,178,-0.2458,0.0854,1304,-0.135,-0.3211,205,0.0163,0.0378,1899,-0.0099,0.0705,525972,0.0199,0.1232,2159,-0.1582,-0.2549,1.5326,0.1096,-0.4029,0
202301,14860,Bridgeport-Stamford-Norwalk, CT,62,810000,0.0129,0.026,1237,-0.1208,-0.0088,81,0.0733,-0.0242,682,0.7398,-0.1301,16,1,-0.7143,216,0.1739,0.5882,1021,-0.127,-0.4087,343,0.0085,-0.0576,2393,-0.0196,0.1257,1956560,0.001,-0.0107,2250,-0.1235,-0.2394,0.825,-0.0059,-0.558,0
202301,35300,New Haven-Milford, CT,64,372450,0.0644,0.129,800,-0.1817,0.0922,65,0.1712,0.0156,540,0.1441,-0.1176,24,2,-0.25,200,-0.1071,0.5152,971,-0.1236,-0.3308,214,0.0427,0.0096,1761,-0.0087,0.1058,493418,0.0082,0.0142,1771,-0.1508,-0.1833,1.2145,0.0804,-0.7677,0
202301,35980,Norwich-New London, CT,183,439725,0.0109,0.2764,288,-0.1418,0.0123,76,0.1797,0.1615,188,0.8077,0,2,-0.5,-0.5,58,0.6111,-0.0938,326,-0.0994,-0.357,223,-0.0069,0.0625,1851,-0.0219,0.0873,784151,-0.0462,0.2816,618,-0.1141,-0.2073,1.1339,0.0533,-0.6513,0
202301,45860,Torrington, CT,229,566000,0.0291,0.069,325,-0.1602,-0.1645,101,0.132,-0.0218,118,0.0926,-0.3723,2,-0.5,-0.5,66,0.1,0.1,264,-0.1827,-0.3529,248,0.0276,0.0436,2319,-0.0015,0.0309,1237991,0.0505,0.0163,589,-0.1704,-0.2582,0.8123,-0.0223,-0.2365,0
