month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,20100,Dover, DE,246,398200,-0.0043,0.0018,328,-0.0194,0.3443,71,-0.0784,-0.1607,202,0.1609,-0.2463,24,0.3333,-0.7818,108,-0.0182,1.7,260,0.1113,-0.2958,186,0.0039,0.0578,1994,-0.0333,-0.0931,406985,-0.0076,-0.0708,598,0.0473,-0.0253,0.7912,0.0931,-0.7191,0
202301,20100,Dover, DE,246,399900,0.0387,0.0764,335,-0.076,0.3118,77,0.1591,-0.0613,174,0.2083,-0.1122,18,0.125,-0.7353,110,0.25,2.0556,234,-0.0391,-0.268,186,0.0038,0.0824,2063,0.0208,-0.0422,410088,0.0127,-0.0202,571,-0.0739,-0.0248,0.6981,0.0268,-0.5529,0
202212,20100,Dover, DE,246,385000,0.004,0.0465,362,-0.087,0.314,66,0.1892,-0.0469,144,-0.2088,-0.2,16,-0.3846,-0.6923,88,-0.3016,0.4667,243,-0.0545,-0.3801,185,-0.0065,0.0872,2021,0.0139,-0.0321,404944,0.0073,-0.0041,616,-0.0559,-0.0874,0.6713,0.0231,-0.7516,0
202211,20100,Dover, DE,246,383450,-0.0279,0.0846,397,0.1296,0.3261,56,-0.2183,-0.0513,182,-0.0714,-0.2891,26,0.3,-0.4091,126,0.05,0.4,257,-0.2188,-0.4595,186,-0.0009,0.0994,1993,-0.0113,-0.0354,402020,-0.0314,0.0179,653,-0.0333,-0.1575,0.6482,-0.2892,-0.9421,0
202210,20100,Dover, DE,246,394450,0.0115,0.0722,351,-0.0057,0.1471,71,0.2137,0.4343,196,-0.125,-0.3099,20,-0.2308,-0.7059,120,-0.0909,0.5789,329,-0.1035,-0.3673,186,0.0226,0.1167,2016,-0.04,-0.0477,415042,0.0015,0.0589,675,-0.0625,-0.1828,0.9373,-0.1023,-0.762,0
202209,20100,Dover, DE,246,389950,-0.0127,0.0606,353,-0.0472,0.1612,59,0.2787,0.5,224,-0.1704,-0.3212,26,0.1818,-0.4091,132,-0.175,0.375,367,-0.0566,-0.3595,182,-0.0088,0.1019,2100,-0.0126,-0.0143,414403,-0.0024,0.0429,720,-0.0564,-0.179,1.0397,-0.0103,-0.8452,0
202208,20100,Dover, DE,246,394975,-0.0126,0.0611,371,0.077,0.2167,46,-0.0161,0.1024,270,-0.0493,-0.2781,22,-0.0833,-0.6333,160,0.1429,0.8182,389,-0.0077,-0.2743,184,0.0103,0.1188,2127,-0.0244,-0.0307,415382,-0.0095,0.0337,763,0.0214,-0.0938,1.0499,-0.0896,-0.7103,0
202207,20100,Dover, DE,246,400000,0.0002,0.1111,344,0.1223,0.2601,47,-0.07,-0.0412,284,-0.034,-0.0139,24,-0.1429,-0.6,140,0.1864,0.8421,392,-0.0611,-0.2659,182,-0.002,0.1229,2180,0.0231,0.0168,419358,-0.0189,0.1233,747,0.0289,-0.0732,1.1395,-0.2226,-0.8165,0
202206,20100,Dover, DE,246,399925,0.0006,0.1053,307,0.0337,0.2091,50,0.25,0.0101,294,-0.125,-0.1145,28,-0.5882,-0.5882,118,0.2041,1.8095,418,0,-0.2225,182,-0.0202,0.1314,2131,0.0254,-0.0245,427447,-0.0129,0.1526,726,0.0225,-0.0763,1.3622,-0.0459,-0.7562,0
202205,20100,Dover, DE,246,399675,-0.0058,0.1671,297,0.3237,0.5205,40,-0.1304,0.039,336,0.1053,0.0909,68,0.4167,-0.4333,98,1.0417,1.2273,418,0.036,-0.2123,186,0.0315,0.16,2078,-0.0555,0.0432,433035,-0.0285,0.2256,710,0.1342,-0.0111,1.4081,-0.391,-1.3099,1
202204,20100,Dover, DE,246,401990,-0.0194,0.1488,224,0.009,0.0182,46,-0.0316,-0.3285,304,0.2667,-0.0952,48,-0.5102,-0.6522,48,0,0.5,403,-0.0098,-0.194,180,-0.0129,0.1492,2200,-0.0097,0.0101,445745,-0.015,0.2366,626,-0.0056,-0.1293,1.7991,-0.0342,-0.4736,0
