month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,12060,Atlanta-Sandy Springs-Alpharetta, GA,9,399945,0.0001,0.0216,14034,-0.0711,0.8055,52,-0.2197,0.411,7356,0.0878,-0.2036,738,0.1752,-0.253,4608,-0.1628,1.7626,9641,0.2796,-0.4264,190,0.0074,0.0153,2183,-0.0018,0.0331,560562,0.0187,-0.0278,23379,0.0264,-0.0333,0.6869,0.1882,-1.4753,1
202302,12260,Augusta-Richmond County, GA-SC,95,328900,0.0143,0.1554,1400,-0.1089,1.2374,84,0.0503,0.9195,702,0.0969,-0.2548,28,-0.1765,-0.7544,364,0.1519,2.5686,1077,0.2732,-0.3167,152,0.0038,0.1168,2160,-0.0027,0.0292,385784,0.0168,0.0854,2466,0.0284,0.1154,0.7692,0.2308,-1.7496,1
202302,42340,Savannah, GA,139,399048,-0.0017,0.072,757,-0.159,0.7927,64,-0.073,1.032,528,0.0645,-0.2414,66,0.32,0.0313,206,-0.2536,2.0294,489,0.1985,-0.2407,188,0.0066,0.0415,2113,-0.0044,0.0165,613068,0.0301,-0.0069,1243,-0.0405,0.19,0.6464,0.1928,-0.8797,1
202302,17980,Columbus, GA-AL,159,213750,-0.0707,0.1641,420,-0.0389,0.279,39,-0.4254,0.1159,378,0.2115,-0.087,12,-0.4,-0.6842,110,-0.0678,0.7188,401,0.2173,-0.2429,119,-0.0074,0.0569,1865,-0.0452,0.0387,341581,-0.0196,0.0793,817,0.0793,-0.0422,0.9547,0.201,-0.6581,0
202302,31420,Macon-Bibb County, GA,207,209945,-0.1142,0.2527,532,-0.0327,0.3503,55,-0.0943,0.4733,254,0,-0.2485,28,1,-0.7586,184,0.122,0.9167,331,0.2378,-0.4496,115,-0.0659,0.2163,1873,-0.0268,0.1314,312490,-0.2299,-0.2979,844,0.0485,-0.1358,0.6212,0.1358,-0.9029,0
202302,12020,Athens-Clarke County, GA,219,399925,-0.0327,0.0665,360,0.0056,0.9619,71,-0.0932,1.0143,166,0.5091,-0.2243,2,0,-0.6667,66,-0.2826,0.4348,204,0.2077,-0.1744,195,0.0021,0.1096,2250,0,0.069,541381,-0.0179,0.0841,539,0.0706,0.2761,0.5653,0.0946,-0.778,1
202302,47580,Warner Robins, GA,232,307500,-0.009,0.0649,499,-0.0129,0.7326,53,-0.2015,0.2069,296,0.0496,-0.2251,28,-0.4167,-0.8353,96,-0.0943,1.8235,452,0.0852,-0.5364,149,0.0147,0.0899,2180,-0.0027,0.0173,328117,-0.0014,0.0741,940,0.0375,-0.251,0.9058,0.0819,-2.4796,1
202302,23580,Gainesville, GA,241,477450,-0.0057,0.038,500,-0.0672,0.635,61,-0.3009,0.8074,268,0.3267,-0.2164,28,0.2727,-0.6585,186,-0.1058,1.9063,307,0.4018,-0.367,194,0.0002,0.0146,2484,-0.0325,0.0137,607704,0.0287,-0.0114,798,0.0577,0.025,0.6146,0.2057,-0.9729,0
202302,46660,Valdosta, GA,303,279900,0.0208,0.0089,239,-0.0225,0.2546,60,-0.23,0.1872,130,-0.0299,-0.3011,8,1,-0.6364,50,0.0417,1.5,213,0.0216,-0.3462,145,0.0098,0.1119,2000,0.0083,0,336622,0.0045,-0.0061,452,0.0044,-0.1284,0.8891,0.0384,-0.8169,0
202302,10500,Albany, GA,306,172350,-0.0924,0.334,240,0.0191,0.4458,69,-0.0987,0.3838,138,0.3019,-0.1977,2,,-0.5,40,-0.2857,0.8182,16,0.4091,-0.225,102,-0.0138,0.2236,1736,-0.0519,0.0803,233269,0.0338,0.193,254,0.0389,0.374,0.0646,0.0179,-0.0559,0
202302,19140,Dalton, GA,328,279925,0.037,0.1199,188,-0.0554,0.3158,74,-0.1006,0.439,90,0.1842,-0.3284,0,,-1,44,-0.1538,0.2941,141,0.0108,-0.345,161,0.015,0.1235,1760,0.0234,-0.003,364843,0.0552,-0.0489,318,-0.0408,-0.0954,0.7493,0.0491,-0.7559,0
202302,15260,Brunswick, GA,339,394950,-0.0035,-0.0921,393,-0.0187,0.0826,72,-0.1242,0.6901,158,0.1286,-0.2255,6,0.5,-0.7692,76,0.0857,1.2353,58,0.1616,0.5541,207,0.0108,-0.0139,2000,0.022,-0.0166,876667,-0.0094,0.1988,448,-0.0011,0.1487,0.1463,0.0227,0.0444,0
202302,29300,LaGrange, GA-AL,388,289973,0.0176,0.6119,207,0.0351,0.9573,81,0.0487,0.7181,112,0.4,-0.0345,4,1,-0.6,32,-0.2381,1.2857,106,0.2927,-0.416,143,-0.0089,0.3144,2054,0.0083,0.1889,314282,0.0214,-0.0144,313,0.1199,0.108,0.5133,0.1023,-1.2071,1
202302,40660,Rome, GA,409,245750,0.0136,0.0044,199,0.0258,0.7412,56,-0.0782,0.6,108,0.0189,-0.069,2,0,-0.5,80,0.8182,2.0769,95,0.3287,-0.249,145,0.0105,0.0641,1635,0.016,-0.046,320297,-0.0292,-0.1609,290,0.0822,0.2372,0.4786,0.1091,-0.6311,0
202302,25980,Hinesville, GA,462,271500,0.0094,-0.0164,254,0.014,2.0419,40,-0.4052,0.2698,166,0.0779,0.0247,14,,-0.7407,46,0.15,4.75,219,0.153,1.1527,147,-0.0049,0.1309,1894,0.005,-0.1124,296524,0.0183,-0.0202,477,0.0915,1.5854,0.8602,0.1037,-0.3553,1
202302,44340,Statesboro, GA,465,351975,0.0136,0.3307,97,-0.1454,0.3197,50,-0.3631,0.6393,62,-0.1143,-0.2955,0,,-1,8,-0.6364,0,86,0.4454,-0.3745,158,0.0212,0.1973,2433,-0.0051,0.1891,428281,0.0658,0.2721,182,0.0552,-0.1168,0.8866,0.3624,-0.9842,0
202302,27600,Jefferson, GA,480,443450,0.0198,-0.0325,366,-0.0591,1.4158,69,-0.1302,0.8514,176,0.3538,-0.102,26,2.25,-0.6389,102,-0.2817,2,260,0.1899,-0.242,184,0.005,0.0415,2472,0.0096,-0.0425,527844,-0.0049,-0.0088,614,0.0276,0.2556,0.7104,0.1487,-1.5536,1
202302,20140,Dublin, GA,521,259700,0.0392,0.2291,98,-0.02,0.4848,95,0.0383,0.5966,28,-0.0667,-0.2632,2,,-0.5,12,0.2,-0.25,48,0.0435,-0.36,127,0.0193,0.3284,1906,-0.0168,0.0434,288328,-0.0025,0.2745,139,-0.0177,0.0109,0.4898,0.0298,-0.6466,0
202302,15660,Calhoun, GA,570,297000,0.0069,0.0245,128,-0.0623,1.1695,82,0.0186,1.0759,46,-0.2069,-0.1786,2,,,28,-0.2222,0.4,88,0.2324,-0.1505,164,0.0071,0.0448,1869,-0.0331,-0.0442,424454,0.0183,-0.2161,213,0.052,0.3281,0.6836,0.1634,-1.0622,1
202302,48180,Waycross, GA,577,189900,-0.0457,-0.013,93,-0.1063,0.142,57,-0.1812,0.4771,62,0.1481,-0.0313,0,,,20,-0.4118,0.4286,52,0.5846,24.75,111,0.0546,0.0946,1861,-0.0713,0.0034,233875,-0.032,-0.0828,143,0.0554,0.7126,0.5568,0.2427,0.5321,0
202302,41220,St. Marys, GA,579,369900,0,-0.0423,125,-0.1582,0.5152,56,-0.2168,-0.0175,98,0.0652,0,2,0,-0.8889,22,-0.3529,1.75,152,0.3467,-0.3296,180,0.0008,0.0483,2028,0.0068,-0.0576,425228,0.0049,-0.1304,273,0.0561,-0.1049,1.212,0.4544,-1.5274,1
202302,33300,Milledgeville, GA,604,334675,-0.0423,0.2824,102,-0.1325,0.1093,86,-0.1134,1.1235,34,-0.0556,-0.4848,0,,,24,0.3333,5,37,0.1746,-0.5,159,0.0344,0.2687,1853,-0.0512,0.0545,406708,-0.0233,0.3328,139,-0.028,-0.1472,0.3645,0.0953,-0.4442,1
202302,20060,Douglas, GA,629,229950,-0.0474,0.0468,101,0.2407,1.0303,100,-0.131,0.2595,18,-0.4,-0.25,0,,,8,-0.2,-0.2,5,0.125,1.25,115,-0.013,0.1015,1869,-0.0167,-0.1173,256832,-0.0324,0.0017,105,0.2367,1.0291,0.0448,-0.0046,0.0044,0
202302,45620,Thomasville, GA,634,314475,0.0544,0.2545,106,0.0341,0.5252,57,-0.3764,-0.2253,68,0.4167,0.8889,2,,0,24,0.7143,1,44,0.2941,-0.4731,170,0.0679,0.0696,1827,-0.0843,-0.1009,375738,-0.0436,-0.0994,150,0.1157,-0.0261,0.4151,0.0834,-0.7863,1
202302,18460,Cornelia, GA,667,399900,0.0018,0.1962,122,-0.083,0.5283,68,0.1624,0.2593,38,0.0556,-0.3448,2,0,-0.9091,34,-0.1905,1.4286,61,-0.024,-0.2375,187,-0.0173,0.0212,2189,-0.0035,0.1599,749116,0.0343,0.566,180,-0.0602,0.1325,0.5021,0.0304,-0.5042,0
202302,34220,Moultrie, GA,684,270250,-0.0028,0.5581,44,0.16,0.061,51,-0.3344,0.2654,30,1.1429,0.25,0,,,4,-0.5,,35,0.1111,4.8333,127,-0.0351,0.3177,1873,-0.1254,-0.0737,278293,-0.065,0.0194,79,0.1295,0.6882,0.8046,-0.0354,0.6583,1
202302,16340,Cedartown, GA,698,259688,-0.0555,-0.0009,71,-0.1792,0.4792,55,-0.2633,0.3234,38,-0.1364,-0.1739,0,,,22,-0.3125,0.8333,50,0.5873,-0.3377,164,0.0893,0.1564,1741,-0.0547,-0.0326,360339,-0.0287,-0.0259,122,0.0252,-0.0041,0.7042,0.3401,-0.8687,0
202302,45700,Tifton, GA,705,259900,-0.06,0.0888,55,-0.1406,0.5493,87,0,3.8472,24,0.3333,-0.3333,0,,,4,-0.6667,-0.3333,6,-0.1429,-0.4286,134,-0.0062,0.0239,2086,0,0.0996,339100,-0.027,0.1935,59,-0.1571,0.2688,0.1091,-0.0003,-0.1867,1
202302,47080,Vidalia, GA,767,294704,0.0351,-0.0144,36,-0.2421,0.3585,132,0.2699,0.436,14,1.3333,0.1667,0,,,10,1.5,0.6667,20,0.25,-0.2308,129,0.0164,0.2025,2483,0.0169,0.0392,555086,0.0507,0.6606,56,-0.1111,0.0467,0.5556,0.2187,-0.4256,0
