month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,14260,Boise City, ID,75,554894,0.0571,-0.0554,2045,-0.1785,1.2659,66,-0.2,1.2,1184,0.1677,-0.2381,98,0.1667,-0.5882,834,-0.1524,3.0485,1815,0.2309,-0.3143,268,0.0201,-0.0883,2170,0.0217,0.0242,698513,0.0562,-0.0559,3859,-0.028,0.0881,0.8875,0.2952,-2.0454,1
202302,17660,Coeur d'Alene, ID,239,717925,0.0265,-0.2089,520,-0.0494,2.3301,58,-0.3155,1.4468,286,0.3,-0.0467,10,0.6667,-0.7059,94,-0.2419,1.6111,374,0.2029,-0.2762,335,0.0295,-0.1978,2187,0.017,-0.067,1101154,0.0352,-0.3849,883,0.0196,0.3152,0.719,0.1508,-2.5887,1
202302,26820,Idaho Falls, ID,302,457500,0.0184,-0.1339,374,-0.0778,2.6087,63,-0.1656,3.2712,134,-0.2299,-0.2118,4,-0.5,1,102,-0.2817,2.6429,16,0.1923,-0.5,170,0.012,-0.0709,2945,0.0198,-0.0154,527184,0.0175,-0.1754,389,-0.0717,1.8778,0.0415,0.0094,-0.258,1
202302,46300,Twin Falls, ID,376,421500,0.0097,-0.1161,356,-0.0813,1.7813,88,0.1069,1.411,114,0.0179,-0.0172,4,0,-0.3333,110,-0.2143,2.2353,133,0.3184,-0.2251,230,0.0133,-0.0084,1912,0.001,-0.0504,495561,0.0209,-0.1341,494,0.0154,0.6533,0.3722,0.1128,-0.9637,1
202302,38540,Pocatello, ID,410,406975,0.064,-0.0223,210,-0.081,2.9252,89,0.1494,1.8548,66,-0.175,-0.2326,4,1,0,52,-0.1875,2.25,91,0.2746,-0.2672,170,0.0163,-0.0264,2506,0.0936,-0.0809,457570,0.0518,-0.2141,298,-0.0067,0.6856,0.431,0.1202,-1.8775,1
202302,30300,Lewiston, ID-WA,482,419500,0.0054,0.0398,131,-0.0224,2.275,71,-0.0777,0.3902,62,0.0333,0.0333,0,,,46,0.0952,4.75,59,0.1919,-0.3481,202,-0.0174,-0.0483,2123,0.0082,0.0398,473268,-0.014,-0.309,187,0.0191,0.4514,0.4504,0.081,-1.8121,1
202302,41760,Sandpoint, ID,574,849000,0.0093,-0.0482,265,-0.0149,1.9775,112,0.0113,0.4689,64,0,-0.2,4,,1,32,0,1.2857,85,0.1486,-0.3385,431,0.0108,-0.0264,1875,0.0111,-0.0465,1250017,0.0156,-0.0565,351,0.0309,0.6115,0.3208,0.0457,-1.1231,1
202302,34140,Moscow, ID,652,499750,0.0599,-0.0855,41,0,0.9524,105,0.0881,3.4211,22,0.8333,-0.2667,0,,,8,-0.2,1,23,0.4516,-0.0816,251,0.016,-0.0374,2376,0.1184,-0.0898,707309,-0.009,-0.214,64,0.1339,0.3956,0.5488,0.1707,-0.6179,1
202302,39940,Rexburg, ID,669,504475,0.0207,-0.091,112,-0.0708,1.6548,95,-0.167,2.0079,40,0.4286,-0.2308,0,,,18,-0.4375,3.5,3,-0.25,-0.4,223,-0.003,-0.1165,2115,-0.0473,-0.0338,770673,0.1394,-0.0294,115,-0.0766,1.4105,0.0269,-0.0064,-0.0921,1
202302,15420,Burley, ID,677,391175,-0.0135,0.1272,95,0.0161,1.625,81,-0.098,0.5481,36,0.2857,0,0,,-1,20,0,2.3333,27,-0.069,-0.46,203,0.0183,-0.0649,1908,-0.0454,0.0643,411054,-0.0279,-0.1035,120,-0.0244,0.3873,0.2857,-0.0261,-1.1032,1
202302,13940,Blackfoot, ID,681,423725,0.009,-0.0912,84,-0.0175,1.8,56,-0.3497,1.6471,40,0.0526,0.1111,0,,-1,24,0.5,1,13,0.04,0.04,174,0.0253,-0.0362,2702,0.0345,0.1713,483585,0.0108,-0.052,95,-0.0155,1.1348,0.1548,0.0086,-0.2619,1
202302,34300,Mountain Home, ID,833,374450,0.0191,-0.0048,57,-0.042,1.7805,56,-0.3182,0.7442,34,0.4167,-0.1053,0,,-1,20,-0.1667,2.3333,31,0.1273,-0.479,211,0.014,0.0169,1847,-0.0198,-0.0262,404121,-0.0824,0.007,88,0.0115,0.1,0.5439,0.0817,-2.3586,1
202302,25200,Hailey, ID,839,1862500,-0.0053,-0.1327,142,-0.047,0.8089,107,-0.1013,0.0785,38,0.7273,-0.1739,0,,-1,10,0.25,0.6667,41,-0.0122,-0.2895,869,-0.0308,-0.0363,2719,-0.0147,0.0097,3373573,-0.034,0.0157,182,-0.0346,0.3395,0.2852,0.01,-0.4409,1
202301,14260,Boise City, ID,75,524900,0.0192,-0.0625,2490,-0.1975,1.2924,83,0.0577,0.5566,1014,0.4162,-0.1823,84,0.75,-0.4167,984,-0.1854,2.7846,1475,0.0106,-0.3685,262,-0.0044,-0.0724,2124,0.0082,0.0188,661321,-0.0011,-0.0522,3970,-0.1296,0.1656,0.5923,0.1219,-1.5578,1
202301,17660,Coeur d'Alene, ID,239,699364,0.0063,-0.1787,547,-0.1975,2.3323,84,0.1126,0.6471,220,0.5714,0.1224,6,0.5,-0.625,124,-0.2051,2.1,311,0.0561,-0.3206,326,-0.0102,-0.1392,2150,0.0056,-0.0847,1063698,-0.001,-0.3174,866,-0.1114,0.3982,0.5682,0.1364,-2.2184,1
202301,26820,Idaho Falls, ID,302,449225,0.021,-0.0925,405,-0.1309,2.7156,76,0.1797,2.02,174,0.3182,0.061,8,,,142,0.0143,4.0714,13,0.4444,-0.5357,168,0.0195,-0.0618,2888,0.0018,0.0013,518141,0.0053,-0.1353,419,-0.1208,2.0772,0.0321,0.0128,-0.2248,1
202301,46300,Twin Falls, ID,376,417463,0.0059,-0.0399,388,-0.0796,2.2292,80,0.1357,0.59,112,0,0.037,4,0,0,140,0.2963,2.8889,101,-0.0694,-0.3982,227,0.0034,-0.018,1910,0.0063,-0.0835,485432,-0.0005,-0.1352,486,-0.0847,0.6934,0.2594,0.0028,-1.1323,1
202301,38540,Pocatello, ID,410,382500,0.0092,0.0482,229,-0.086,2.0467,77,0.0694,0.1667,80,0.8182,0.1765,2,,-0.5,64,0.7778,3,71,-0.1013,-0.4365,168,0.0025,0.0078,2292,0.0044,0.0416,435045,0.0038,-0.0587,300,-0.0699,0.5203,0.3107,-0.0053,-1.3693,1
202301,30300,Lewiston, ID-WA,482,417250,-0.0042,0.0583,134,-0.0147,1.5769,77,0.088,0.207,60,0.875,0.6667,0,,,42,0.75,2.5,50,-0.0481,-0.34,206,0.0016,0.0242,2106,0.0081,0.0405,479987,-0.0173,-0.232,183,-0.0214,0.4409,0.3694,-0.0129,-1.0729,1
202301,41760,Sandpoint, ID,574,841200,0.0515,0.0528,269,-0.1698,2.2024,111,0.0255,0.0302,64,0.7778,0.6,0,,-1,32,0.1429,1,74,-0.039,-0.3934,427,0.0341,0.0544,1855,-0.0067,-0.0681,1230806,0.0207,-0.0985,340,-0.1479,0.6667,0.2751,0.0374,-1.1773,1
