month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,35380,New Orleans-Metairie, LA,45,324619,-0.001,-0.0699,3363,-0.0102,1.1506,71,-0.118,0.0253,1164,-0.0991,-0.1814,18,-0.1,-0.4,910,-0.1415,1.1667,1404,0.2777,-0.352,180,0.0037,-0.0286,1821,0.0064,-0.0025,454203,0.0182,-0.0663,4756,0.0587,0.2761,0.4174,0.094,-0.968,0
202302,12940,Baton Rouge, LA,69,324400,0.0023,-0.038,1901,0.0082,0.8789,92,-0.0108,0.3731,816,0.0653,-0.2817,26,0.1818,-0.7111,546,0.0341,1.3333,1008,0.1944,-0.4886,165,0.0095,0.0348,2007,0.0021,-0.0343,417515,0.0032,-0.0845,2895,0.0624,-0.0332,0.5301,0.0826,-1.4175,1
202302,29180,Lafayette, LA,114,279925,-0.0262,0.0253,939,-0.0048,0.4369,97,-0.0127,0.3614,446,0.267,-0.0346,8,0,-0.8621,284,0.1639,1,525,0.2669,-0.4473,148,-0.0152,0.1035,1936,-0.0125,-0.0133,363750,-0.0087,-0.0585,1462,0.0676,-0.0914,0.5586,0.1198,-0.8936,0
202302,43340,Shreveport-Bossier City, LA,136,229000,0,0.3717,747,-0.0686,0.3585,68,-0.1234,-0.069,338,-0.0714,-0.1333,14,0.1667,-0.6111,200,-0.1071,0.1765,484,0.2674,-0.3224,114,-0.0269,0.1592,1834,0.0025,0.0851,283320,0.0033,0.1382,1229,0.0473,-0.018,0.6477,0.1717,-0.6508,0
202302,29340,Lake Charles, LA,217,228750,-0.0291,0.0497,815,-0.024,0.6742,102,0.0099,0.5573,192,-0.1111,-0.2131,2,0,-0.8571,262,0.1696,0.4719,283,0.3102,-0.3047,123,-0.0076,0.0413,1851,-0.0162,0.0227,271398,-0.0175,0.0205,1090,0.0416,0.2275,0.3475,0.0886,-0.4891,0
202302,33740,Monroe, LA,225,243500,0.021,-0.0661,251,-0.0157,0.4509,87,0.0576,0.7897,130,0.25,-0.0441,2,,0,82,0.3667,0.7826,132,0.2453,-0.4067,122,-0.0036,0.081,1964,0.018,-0.0414,312704,0.0451,-0.011,383,0.061,-0.0402,0.5259,0.1102,-0.7602,0
202302,26380,Houma-Thibodaux, LA,227,249450,0.01,0.0415,441,-0.0134,1.52,56,0.6818,-0.2792,148,-0.1084,0.2131,6,0,-0.25,106,-0.1719,1.3043,182,0.0868,-0.2453,134,-0.0112,0.625,1835,0.0196,-0.4075,311984,-0.0134,-0.175,623,0.0247,0.491,0.4116,0.038,-0.9627,0
202302,10780,Alexandria, LA,295,205234,0.02,0.0931,270,0.0306,0.5853,80,-0.0476,0.2851,104,-0.1475,-0.0189,2,-0.5,-0.8,92,0.2432,1.0909,134,0.1911,-0.3093,115,0.0037,0.1278,1832,0.0129,0.0096,250451,0.0143,0.0718,404,0.0846,0.1145,0.4972,0.067,-0.644,0
202302,25220,Hammond, LA,314,259700,-0.0009,0.0235,281,-0.0088,2.2865,84,-0.0792,-0.0399,108,-0.1148,-0.1818,0,,-1,60,-0.3617,1.7273,158,0.1088,-0.3981,144,0.0039,0.0316,1871,0.0009,-0.0035,302720,0.0136,-0.1987,438,0.0258,0.2532,0.5623,0.0596,-2.5079,1
202302,36660,Opelousas, LA,450,225000,-0.0155,0.2162,162,0.0623,0.6701,95,-0.0382,0.0862,44,-0.0833,0.0476,0,,,30,-0.25,0.1538,63,0.4157,-0.0597,106,-0.0222,0.0588,1872,-0.0015,0.0227,335943,-0.0205,0.1908,222,0.1215,0.3547,0.3889,0.0971,-0.3018,0
202302,34020,Morgan City, LA,628,170000,0.0625,-0.1276,91,0.0056,0.0343,56,0.6818,-0.5,22,0.2222,-0.2667,2,,,16,-0.4286,0,19,0.2667,-0.1364,100,0.0792,0.0283,1676,-0.0034,-0.1586,257398,0.054,-0.0939,110,0.0282,0,0.2099,0.0433,-0.0415,1
202302,40820,Ruston, LA,632,293750,-0.0478,0.0696,54,-0.0696,1.0577,98,0.0622,0.0288,22,0.1,0.375,0,,,10,-0.375,0.25,27,0.2857,-0.0847,163,0,0.3396,1916,-0.0065,0.0764,398458,-0.0473,0.3933,81,0.0255,0.4375,0.5047,0.1395,-0.6299,0
202302,14220,Bogalusa, LA,637,216876,0.0851,0.2573,61,-0.0547,0.7536,90,0.1254,-0.1452,12,-0.3333,-0.4,0,,,14,-0.4167,1.3333,22,0,-0.3857,120,0.0097,0.1207,1773,0.0539,0.11,257851,0.0102,0.1536,83,-0.0119,0.2206,0.3554,0.0194,-0.6591,0
202302,22860,Fort Polk South, LA,656,204450,0.217,0.4609,70,0.1966,0.3592,74,-0.0577,0.3934,38,0.5833,-0.2692,0,,,8,-0.5,-0.2,35,-0.0141,-0.4891,107,-0.0084,0.1349,1870,0.0528,0.2201,216988,0.0066,0.1084,104,0.1243,-0.1297,0.5,-0.1068,-0.8301,0
202302,33380,Minden, LA,708,126750,0.007,-0.1476,50,-0.0476,0.1628,89,-0.043,0.6636,18,0.2857,-0.4706,0,,-1,10,0.25,0,20,-0.1111,-0.5294,85,-0.0073,-0.0604,1602,-0.0507,-0.0846,183443,0.0067,-0.215,71,-0.06,-0.1754,0.4,-0.0286,-0.5884,1
202302,35060,Natchitoches, LA,720,245875,0.0446,0.3032,50,-0.0566,0.25,96,0.3392,0.1265,16,-0.2727,-0.1111,0,,,14,6,1.3333,30,0.5946,-0.3587,117,-0.0068,0.0735,2095,0.0348,0.1238,268895,0.0251,0.0386,79,0.1135,-0.0872,0.59,0.2409,-0.56,0
