month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,14460,Boston-Cambridge-Newton, MA-NH,10,799000,0.0521,0.0668,3433,-0.071,0.3021,38,-0.392,0.52,2852,0.0363,-0.2395,102,0.7,-0.0727,726,-0.0189,1.0055,914,0.2252,-0.139,430,0.0535,-0.0348,1862,0.0114,0.1203,1345591,0.0868,0.0869,4352,-0.0178,0.1796,0.2662,0.0644,-0.1364,0
202302,49340,Worcester, MA-CT,59,493950,0.0625,0.167,609,-0.1635,0.2454,44,-0.1927,0.4667,542,-0.0655,-0.2168,24,3,-0.1429,126,-0.3226,0.8529,281,0.0977,-0.1587,264,0.0249,0.0654,1889,0.0088,0.0682,638117,0.053,0.0243,893,-0.0892,0.0831,0.4614,0.1098,-0.2216,0
202302,44140,Springfield, MA,81,322450,-0.0153,0.0237,455,-0.1527,0.2745,40,-0.2857,0.6667,354,-0.0781,-0.3004,0,-1,-1,148,-0.1084,1.1143,128,0.1963,-0.1322,213,0.0216,0.0241,1623,-0.0388,-0.0081,446635,0.0444,0.0956,582,-0.0806,0.1513,0.2813,0.0821,-0.1318,0
202302,12700,Barnstable Town, MA,192,874975,0.0619,0.03,505,-0.0561,0.4033,90,0.0719,0.0655,420,0.8261,0.2426,4,0,-0.5,90,-0.1,0.7308,524,0.2449,-0.1059,530,0.0413,0.0664,1926,0.0561,0.017,1590661,0.0757,-0.0833,1034,0.0907,0.0896,1.0377,0.2509,-0.591,0
202302,38340,Pittsfield, MA,304,476675,0.0126,0.0853,205,-0.0353,0.0224,105,0.017,-0.0256,96,0.6552,0.0909,2,,0,22,-0.4211,0.1,130,0.0747,-0.3,251,0.0199,0.0422,1875,-0.0173,0.0055,1159235,0.0947,0.1856,336,0.0136,-0.1229,0.6317,0.0646,-0.291,0
202302,47240,Vineyard Haven, MA,885,2481000,-0.0061,-0.2238,105,-0.0667,0.2727,156,0.0081,0.0196,30,0.6667,0.25,0,,,2,-0.875,-0.5,40,0.1286,-0.0366,1128,0.0197,-0.019,2400,-0.0141,-0.1082,3796455,-0.0569,-0.1612,146,0.0034,0.1918,0.3762,0.0651,-0.1208,1
202301,14460,Boston-Cambridge-Newton, MA-NH,10,759450,0.014,0.0599,3696,-0.1613,0.3815,63,0.0776,0.0965,2752,0.6188,-0.0444,60,1.1429,-0.4444,740,-0.0464,1.2289,746,-0.114,-0.2047,408,-0.001,-0.0456,1841,0.0027,0.1158,1238122,0.0315,0.0147,4431,-0.1545,0.2491,0.2019,0.0108,-0.1488,0
202301,49340,Worcester, MA-CT,59,464905,0.0447,0.1652,728,-0.1122,0.3382,55,0.0481,0.0686,580,0.2832,0.0741,6,-0.25,-0.8125,186,0.1923,0.7885,256,-0.1293,-0.2312,258,0.0422,0.092,1872,0.0124,0.0973,605979,0.0274,0.1468,981,-0.1238,0.118,0.3516,-0.0069,-0.2605,0
202301,44140,Springfield, MA,81,327450,-0.0369,0.0075,537,-0.0975,0.3629,56,0.12,0.098,384,0.1566,-0.0495,6,0.5,,166,0.1857,1.1842,107,0,-0.3052,208,-0.0177,0.0283,1688,-0.0059,0.0308,427648,0.028,0.0307,633,-0.097,0.1989,0.1993,0.0194,-0.1916,0
202301,12700,Barnstable Town, MA,192,824000,0.0632,-0.0294,535,-0.1889,0.3811,84,0.1517,-0.1814,230,0.1979,-0.2434,4,0,-0.8333,100,0.1364,1.2727,421,-0.1258,-0.3095,509,0.0429,0.0695,1824,-0.0033,-0.0079,1478748,0.0303,-0.0833,948,-0.1603,-0.0196,0.7867,0.0568,-0.7869,0
