month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,12580,Baltimore-Columbia-Towson, MD,21,322500,0.008,0.0752,3225,-0.1032,0.2307,52,-0.1043,0.3377,2678,0.1623,-0.2291,292,0.292,-0.3734,1056,-0.1429,0.4194,3455,0.191,-0.2559,202,0.0229,0.0415,1760,0.0124,0.0564,459460,0.0319,0.0694,6679,0.0271,-0.0801,1.0713,0.2646,-0.7007,0
202302,41540,Salisbury, MD-DE,120,505995,0.0173,0.0365,1363,-0.0212,0.4332,101,0.0254,0.3836,714,0.194,-0.1271,58,-0.1212,-0.3556,320,0.0191,1.1053,1251,0.1758,-0.1953,247,0.0025,0.0661,2017,0.012,0.03,653434,0.0221,0.0644,2625,0.0693,0.04,0.9175,0.1537,-0.7166,0
202302,25180,Hagerstown-Martinsburg, MD-WV,172,327450,0.0092,0.0542,528,-0.0777,0.6842,56,-0.1579,0.1546,404,0.2866,0.0359,18,-0.4706,-0.8269,126,0.0328,1.3333,536,0.0985,-0.1023,173,0.0143,0.0528,1860,-0.0003,0.0278,376444,0.0358,0.0955,1064,0.0028,0.1661,1.0142,0.1627,-0.8885,0
202302,15680,California-Lexington Park, MD,369,451500,0.122,0.1678,150,-0.0854,0.5385,51,-0.2708,0.2785,134,0.1754,-0.1067,8,0,-0.6667,44,0.0476,1.2,170,0.3386,-0.3359,186,0.0157,0.0057,2238,0.0181,0.0607,532326,0.0919,-0.042,322,0.1222,-0.0853,1.1333,0.3589,-1.4923,1
202302,19060,Cumberland, MD-WV,395,137425,-0.1199,0.1311,149,-0.0481,-0.0571,93,0.0136,0.1553,66,0.1,-0.0294,2,-0.5,0,30,0,0.0714,74,-0.1302,-0.3797,89,-0.0389,0.0723,1615,-0.0533,0.054,197551,-0.1214,0.1047,222,-0.0771,-0.2018,0.4949,-0.0467,-0.2574,0
202302,20660,Easton, MD,680,499500,0.006,0.0274,78,-0.1136,0.0909,80,-0.1543,-0.1359,42,0.05,-0.25,2,-0.6667,-0.75,14,-0.3636,-0.125,60,0.2245,-0.3407,261,0.0083,0.0499,2127,0.0009,0.0624,1431962,0.0562,0.1961,140,0.022,-0.1389,0.7692,0.2124,-0.5035,0
202302,15700,Cambridge, MD,768,269743,-0.0008,-0.0825,121,0.0212,0.5063,71,-0.0629,-0.2553,42,-0.2222,-0.16,2,,,34,0.2143,3.25,54,0.2414,-0.223,174,0.005,0.0421,1567,-0.0892,0.0016,355320,-0.0208,0.0574,174,0.0741,0.1717,0.4481,0.0795,-0.4206,0
202301,12580,Baltimore-Columbia-Towson, MD,21,319950,-0.0302,0.0846,3596,-0.1117,0.2551,58,0.1058,0.0455,2304,0.1294,-0.2258,226,0.314,-0.4461,1232,0.0732,0.5172,2901,-0.0917,-0.3058,198,-0.0114,0.0346,1739,-0.0043,0.0527,445265,-0.0098,0.0517,6503,-0.102,-0.0719,0.8067,0.0177,-0.6519,0
202301,41540,Salisbury, MD-DE,120,497400,0.0049,0.086,1393,-0.0899,0.4798,99,0.216,0.1453,598,0.4657,-0.1694,66,0.8333,-0.0294,314,0.0753,1.2429,1064,-0.0646,-0.2976,246,0.0072,0.1134,1993,-0.0038,0.052,639294,0.0104,0.0757,2455,-0.0776,0.001,0.7637,0.0206,-0.8452,0
202301,25180,Hagerstown-Martinsburg, MD-WV,172,324473,0.0319,0.0637,573,-0.1556,0.5728,67,0.0556,0.1667,314,0.1544,-0.0427,34,0.4167,-0.5952,122,-0.2179,1.3462,488,0.0328,-0.1624,171,0.0269,0.052,1860,0.0007,-0.0012,363450,0.0275,0.0746,1061,-0.0778,0.121,0.8515,0.1554,-0.7474,0
202301,15680,California-Lexington Park, MD,369,402400,0.0063,0.0358,164,-0.0734,0.4909,69,0.0184,0.2706,114,0.5833,0.0556,8,,0,42,-0.0455,0.5,127,0,-0.3744,183,-0.012,-0.0055,2198,0.0234,0.065,487527,-0.0159,-0.1025,287,-0.0576,-0.0847,0.7744,0.0569,-1.0711,1
202301,19060,Cumberland, MD-WV,395,156150,0.0417,0.3023,156,-0.1789,-0.1034,92,0.3297,0.1763,60,0.25,-0.0625,4,-0.5,-0.5,30,-0.0625,0.25,85,-0.0174,-0.3074,93,-0.0143,0.1724,1706,0.0137,0.0884,224841,0.0486,0.0594,240,-0.1304,-0.1864,0.5417,0.089,-0.1595,0
202301,20660,Easton, MD,680,496500,-0.005,0.0432,88,-0.0737,0.0115,94,0.1605,-0.0505,40,0.4286,0.4286,6,0.5,,22,1.75,0.8333,49,-0.1091,-0.4368,259,-0.0071,0.0365,2125,-0.0341,0.0366,1355721,-0.0103,0.0932,137,-0.09,-0.2244,0.5568,-0.0221,-0.4432,0
202301,15700,Cambridge, MD,768,269950,0.0073,-0.0972,118,-0.0709,0.3111,76,-0.1221,-0.1221,54,0.6875,0.9286,0,,-1,28,1.3333,0.75,44,-0.0938,-0.3095,173,0.0543,0.0283,1720,0.0287,0.0361,362851,0.0702,0.0097,162,-0.0795,0.0519,0.3686,-0.0093,-0.3314,1
202212,12580,Baltimore-Columbia-Towson, MD,21,329900,-0.0256,0.0645,4048,-0.12,0.1567,52,0.1556,0.0505,2040,-0.2635,-0.2439,172,-0.2037,-0.5114,1148,-0.4237,0.1189,3194,-0.1291,-0.3673,200,-0.0001,0.0428,1746,-0.0133,0.0362,449681,-0.0258,0.0587,7241,-0.1218,-0.1528,0.789,-0.0083,-0.6535,0
202212,41540,Salisbury, MD-DE,120,494990,-0.01,0.1075,1530,-0.0691,0.4017,81,0.2656,0.1912,408,-0.3061,-0.3085,36,0.2,-0.4,292,-0.3942,0.6591,1137,-0.1438,-0.3316,245,-0.0203,0.0918,2000,-0.0058,0.0658,632703,-0.0258,0.1068,2661,-0.103,-0.0466,0.7431,-0.0649,-0.8153,0
202212,25180,Hagerstown-Martinsburg, MD-WV,172,314445,-0.0018,0.0705,678,-0.041,0.564,63,0.1887,0.3696,272,-0.1282,-0.236,24,0.5,-0.52,156,-0.3097,0.625,472,-0.1791,-0.2596,166,0.0026,0.046,1859,-0.0027,0.0112,353724,0.0026,0.08,1150,-0.1023,0.0723,0.6962,-0.1171,-0.7744,0
202212,15680,California-Lexington Park, MD,369,399900,-0.0123,0.0388,177,-0.2063,0.2,68,0.3014,0.4241,72,-0.1818,-0.3793,0,-1,-1,44,-0.4211,0.5714,127,-0.1505,-0.4526,185,-0.0023,0.0279,2148,-0.0083,0.0502,495402,0.0093,-0.0166,304,-0.1762,-0.1989,0.7175,0.0471,-0.8554,0
202212,19060,Cumberland, MD-WV,395,149900,-0.0133,0.2703,190,-0.0663,0.0053,69,0.1646,0.0185,48,-0.4419,-0.3333,8,-0.4286,0.3333,32,-0.3043,-0.0588,86,-0.2773,-0.3307,94,0.0293,0.189,1683,0.0093,0.0572,214417,0.0619,0.0025,276,-0.1442,-0.1388,0.4526,-0.1321,-0.2273,0
202212,20660,Easton, MD,680,499000,-0.0063,0.0697,95,-0.2245,-0.1121,81,0.1134,0.0125,28,-0.125,-0.3636,4,,,8,-0.7778,-0.5,55,-0.3168,-0.3956,260,-0.0279,0.0443,2200,-0.0165,0.0974,1369824,-0.0031,0.1385,150,-0.2574,-0.2593,0.5789,-0.0782,-0.2715,0
202212,15700,Cambridge, MD,768,267990,-0.0429,-0.085,127,0.012,0.1598,86,-0.0753,0.1242,32,0,-0.2,0,,-1,12,-0.4545,-0.4,48,-0.1193,-0.3379,164,-0.0885,-0.0128,1672,-0.0009,0.0178,339043,-0.0717,-0.0591,176,-0.014,-0.0356,0.378,-0.0563,-0.2841,0
202211,12580,Baltimore-Columbia-Towson, MD,21,338550,-0.0043,0.075,4600,-0.0207,0.0917,45,0.0465,0.0345,2770,-0.1167,-0.2501,216,-0.0182,-0.4833,1992,-0.0709,0.1501,3668,-0.0464,-0.3918,200,-0.007,0.0476,1770,-0.0092,0.0444,461577,-0.0124,0.089,8245,-0.0418,-0.1985,0.7973,-0.0215,-0.6338,0
202211,41540,Salisbury, MD-DE,120,499990,-0.0099,0.1346,1644,-0.0021,0.3164,64,0.0159,0.1963,588,-0.2462,-0.2983,30,-0.0625,-0.625,482,-0.1454,0.9754,1328,-0.0561,-0.3202,250,0.007,0.1116,2012,-0.0179,0.0741,649427,-0.0071,0.1408,2967,-0.0309,-0.0731,0.808,-0.0462,-0.7566,0
202211,25180,Hagerstown-Martinsburg, MD-WV,172,315000,-0.0063,0.0609,707,-0.0275,0.4869,53,0.0392,0.2927,312,-0.339,-0.3735,16,-0.2,-0.75,226,-0.226,0.6618,575,0.0213,-0.2272,166,-0.0174,0.0471,1864,-0.0132,0.0027,352812,-0.0211,0.0405,1281,-0.007,0.0535,0.8133,0.0389,-0.7514,0
202211,15680,California-Lexington Park, MD,369,404900,-0.0357,0.0558,223,-0.0176,0.5433,52,0.0663,0.1359,88,-0.3125,-0.3623,4,-0.75,-0.7143,76,-0.1739,0.5833,150,-0.1786,-0.488,186,-0.0269,0.0079,2166,0.0121,0.0579,490854,-0.0252,-0.0619,369,-0.0956,-0.1614,0.6704,-0.1314,-1.3504,1
