month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,38860,Portland-South Portland, ME,97,590000,0.0089,0.109,589,-0.1029,0.3467,68,-0.0286,1.2295,370,0.0393,-0.185,18,1.25,-0.55,74,-0.3934,1.4667,140,0.0687,-0.1111,353,0.0198,0.1206,1668,-0.0094,0.02,769548,0.0459,0.0551,728,-0.0738,0.2215,0.2379,0.0382,-0.1225,1
202302,12620,Bangor, ME,268,243350,0.0585,0.2169,199,-0.1079,0.1343,119,0.1148,0.0769,78,0.1471,-0.2909,0,,-1,34,-0.1053,0.5455,45,0.0465,-0.1667,159,0.0098,0.1118,1583,0.0211,0.0504,316042,0.0445,0.1188,244,-0.0794,0.0587,0.2267,0.0334,-0.0819,0
202302,12300,Augusta-Waterville, ME,316,339725,0.0616,0.0785,126,-0.2253,0.4181,90,0.0559,0.5408,66,-0.1081,-0.0833,0,,,20,-0.5833,1,47,-0.1696,-0.1842,190,-0.0049,0.0352,1735,0.0185,0.055,417754,0.0097,0.0238,172,-0.2182,0.1821,0.3705,0.0248,-0.2735,0
202302,30340,Lewiston-Auburn, ME,356,313725,0.0459,0.0738,58,-0.2069,0.15,52,-0.189,0.7167,42,-0.2222,-0.3636,0,,,20,0.25,4,23,-0.0816,-0.1818,181,0.0051,0.0389,1731,-0.0165,-0.0346,359633,-0.0045,-0.0494,81,-0.1786,0.0321,0.3913,0.0534,-0.1587,0
202301,38860,Portland-South Portland, ME,97,584775,0.0565,0.172,656,-0.1881,0.3253,70,0.1765,0.4583,356,0.0854,-0.0918,8,-0.3333,-0.6667,122,-0.2738,2.3889,131,-0.0775,-0.3141,347,0.0279,0.1439,1684,0.0024,0.0447,735776,-0.0225,-0.0095,786,-0.1726,0.1458,0.1997,0.024,-0.1862,0
202301,12620,Bangor, ME,268,229900,-0.011,0.1524,223,-0.1376,0.2027,107,0.227,0.0264,68,-0.15,-0.1905,0,,,38,-0.1364,0.3571,43,-0.3385,-0.3768,158,0.008,0.1687,1550,0.0213,-0.0066,302589,0.0074,0.0867,265,-0.1811,0.0496,0.1933,-0.0587,-0.1797,0
202301,12300,Augusta-Waterville, ME,316,320000,-0.0588,0.0702,162,-0.2286,0.4336,85,0.0494,-0.1981,74,0.4231,-0.0263,0,,-1,48,1,3,56,-0.1515,-0.3333,191,-0.0289,0.0492,1704,-0.0084,0.0687,413728,-0.0596,0.0147,220,-0.2029,0.1111,0.3457,0.0314,-0.3977,0
202301,30340,Lewiston-Auburn, ME,356,299950,-0.0166,0,73,-0.1854,0.2083,64,0.114,0.2451,54,0.35,-0.0357,0,,,16,0,0,25,0.0652,-0.4432,180,-0.0067,0.058,1760,0.0156,0.0615,361274,-0.0126,0.029,98,-0.125,-0.0577,0.3379,0.0795,-0.3954,0
202212,38860,Portland-South Portland, ME,97,553500,0.0212,0.1221,808,-0.1468,0.3534,60,0.2396,0.0085,328,-0.3569,-0.159,12,0,-0.6,168,-0.3869,1.3333,142,-0.2507,-0.3945,337,0.0323,0.1441,1680,-0.0065,-0.0103,752688,0.0218,0.0088,950,-0.1619,0.1425,0.1757,-0.0244,-0.2171,0
202212,12620,Bangor, ME,268,232450,-0.0405,0.1624,258,-0.1541,-0.0039,87,0.3385,0.0841,80,-0.2857,-0.2157,0,,-1,44,-0.45,0.1,65,-0.1772,-0.3367,157,0.0124,0.1351,1518,-0.043,-0.0247,300355,-0.0117,0.1316,323,-0.1589,-0.0927,0.2519,-0.0071,-0.1264,0
202212,12300,Augusta-Waterville, ME,316,340000,0.0029,0.1644,210,-0.1304,0.2651,81,0.5429,-0.0182,52,-0.5094,-0.4583,0,-1,-1,24,-0.6842,-0.2941,66,-0.0435,-0.3125,196,0.0378,0.1166,1718,-0.0049,0.0744,439965,0.0119,0.1329,276,-0.1154,0.0534,0.3143,0.0286,-0.264,0
202212,30340,Lewiston-Auburn, ME,356,305000,-0.0687,0.134,89,-0.11,0.0114,57,0.2955,0.5302,40,-0.4286,-0.5122,0,,,16,-0.6364,-0.1111,23,-0.439,-0.5306,181,0.0048,0.05,1733,-0.0253,0.0937,365902,-0.0353,0.1155,112,-0.2355,-0.1825,0.2584,-0.1516,-0.2984,0
202211,38860,Portland-South Portland, ME,97,542000,-0.0128,0.1242,947,-0.0596,0.2307,48,0.1163,0.1034,510,-0.2544,-0.1556,12,0.5,-0.5385,274,-0.0867,0.7792,190,-0.2655,-0.3565,327,0.0544,0.1648,1691,-0.0479,-0.0297,736634,-0.001,0.0196,1134,-0.104,0.0673,0.2001,-0.0561,-0.1826,0
202211,12620,Bangor, ME,268,242250,-0.0271,0.1062,305,-0.0701,-0.0129,65,0.1207,-0.0972,112,-0.2432,-0.2329,0,,-1,80,-0.1667,0.2121,79,-0.092,-0.3852,155,-0.006,0.1475,1586,-0.06,-0.0523,303926,-0.0344,0.1403,384,-0.0565,-0.1203,0.259,-0.0062,-0.1568,0
