month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,27140,Jackson, MS,104,324850,0.0171,0.0836,1054,0.0081,0.9637,76,-0.0411,0.7216,506,0.0675,-0.1028,40,1.8571,0.6667,308,-0.0833,1.2985,619,0.2245,-0.2465,142,-0.0084,0.1284,2108,-0.0035,-0.0394,360270,0.0214,-0.0657,1679,0.0836,0.2373,0.5876,0.1038,-0.9437,0
202302,25060,Gulfport-Biloxi, MS,129,299178,0.0209,0.1103,983,-0.0282,0.5872,88,0.0234,0.6667,470,0.2051,-0.1725,44,0.8333,0.2222,256,-0.1523,0.28,668,0.1709,-0.2631,148,0.0157,0.0886,1913,0.0279,-0.0057,381595,0.0457,0.0488,1645,0.0451,0.0812,0.6799,0.1156,-0.7846,0
202302,25620,Hattiesburg, MS,262,298550,0.0583,0.251,270,-0.0577,0.8651,68,0.0304,0.0754,128,0,-0.2099,2,-0.75,-0.8,60,-0.2857,1.1429,185,0.391,-0.3451,140,0.0043,0.2209,2200,0.0129,0.0849,368073,0.0806,-0.064,452,0.0789,0.0537,0.6865,0.2214,-1.2686,1
202302,46180,Tupelo, MS,269,259950,0.0115,0.0959,268,-0.0446,0.4944,80,-0.096,0.0667,116,0.0943,-0.0645,0,-1,-1,44,-0.5319,0.2941,143,0.0476,-0.3515,125,0.0231,0.1436,2098,0.0007,-0.0178,306204,0.0318,0.0478,411,-0.0156,0.0301,0.5346,0.0471,-0.6973,0
202302,32940,Meridian, MS,401,147350,-0.0674,-0.039,116,-0.0333,0.3488,83,-0.0294,0.0963,42,-0.0455,-0.0455,0,,,24,0.5,0.5,64,0.3656,20.1667,80,-0.0046,0.0248,1945,0.0812,0.0252,272307,0.0621,0.1286,177,0.0633,0.9831,0.5474,0.1599,0.5125,0
202302,29860,Laurel, MS,447,179700,-0.0015,-0.0479,98,-0.1256,0.625,93,0.0538,0.1772,32,-0.2381,-0.0588,0,,-1,20,-0.3333,1,59,0.3448,-0.1583,99,-0.0537,0.0107,1927,0.0193,0.0172,248246,-0.0457,0.0237,155,0.0131,0.1839,0.6,0.2099,-0.5583,0
202302,44260,Starkville, MS,526,411375,0.0826,0.2034,89,-0.0684,0.1494,94,0.1605,2.008,42,-0.087,-0.3226,0,,,16,3,0.3333,28,0.2444,-0.4455,180,-0.0292,0.04,2130,0.0094,0.2602,406337,0.0091,0.0565,118,0.0261,-0.0745,0.3164,0.0795,-0.3395,1
202302,18060,Columbus, MS,538,204450,-0.0218,0.0431,122,0.0209,0.4878,95,0.1053,0.331,56,0.4,0.0769,0,,,34,0.4167,0.8889,12,0,-0.3333,108,-0.0128,0.089,1979,0.0042,-0.0571,286256,-0.002,-0.0852,134,0.0152,0.3535,0.0984,-0.0021,-0.1212,0
202302,37060,Oxford, MS,552,487250,0.0258,-0.0068,126,-0.0599,0.5399,63,-0.2205,0.2067,94,-0.06,-0.1132,6,-0.4,-0.5714,30,0.875,2.75,275,0.1224,-0.0161,221,0.0247,0.0914,2087,-0.0121,-0.0346,569393,0.029,-0.1463,401,0.0457,0.1094,2.1912,0.356,-1.2382,1
202302,38100,Picayune, MS,571,259923,-0.0054,0.14,125,-0.1384,0.4068,83,-0.0432,-0.0148,44,0.1579,-0.1538,0,,-1,28,-0.3,0.2727,90,0.1321,-0.1743,143,-0.004,0.1861,1892,-0.0053,-0.1048,317154,-0.0521,-0.2601,213,-0.0341,0.0814,0.7229,0.1727,-0.5087,0
