month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,13740,Billings, MT,221,509200,0.0226,-0.0395,328,-0.1278,1.2128,68,-0.0252,0.7947,144,-0.0769,-0.2,4,,1,88,-0.2667,3.4,258,0.2315,-0.0802,225,0.0205,-0.0226,2305,0.0224,-0.0705,686536,0.0954,-0.2849,585,0.0009,0.3769,0.7878,0.2299,-1.1075,1
202302,33540,Missoula, MT,313,774250,0.0486,-0.0435,193,-0.0446,1.5906,105,0.1475,0.4384,86,0.3438,-0.2182,2,-0.5,0,26,0.0833,5.5,132,0.0913,-0.1755,360,-0.0002,-0.0358,2250,0.0204,-0.0684,1042161,0.0029,-0.1158,320,-0.0108,0.3734,0.6813,0.0848,-1.4596,1
202302,14580,Bozeman, MT,322,1227250,0.1208,-0.1267,471,-0.0167,1.7953,107,-0.0467,1.2819,164,0.2424,-0.1277,4,-0.3333,-0.6667,70,0,4,288,0.1474,-0.2539,538,0.1204,-0.0921,2374,-0.0117,-0.0754,2206227,0.049,-0.2578,764,0.0459,0.3791,0.6115,0.0875,-1.6793,1
202302,28060,Kalispell, MT,352,786950,0.1029,0.6659,556,-0.1223,0.4094,135,0.0037,0.1496,158,-0.0125,-0.1939,4,0,-0.3333,72,-0.027,3.5,186,0.1239,-0.4897,413,0.0607,0.1179,2038,0.0139,0.4293,1488518,0.0728,0.2635,738,-0.0804,-0.0153,0.3345,0.0733,-0.5894,1
202302,25740,Helena, MT,413,579450,0.0069,0.0301,130,-0.1395,0.9328,77,0.0099,0.1123,66,-0.0833,-0.1538,0,,,32,0.3333,7,102,0.3077,-0.2243,278,0.0085,0.1204,2112,0,-0.0755,838234,0.0474,0.1535,232,0.0087,0.1751,0.7876,0.2694,-1.175,1
202302,24500,Great Falls, MT,420,411750,0.008,0.0398,68,-0.1447,0.7662,47,-0.3051,-0.0735,68,-0.0286,-0.1053,2,,,16,-0.3846,1,105,0.2209,-0.0047,185,-0.0034,0.104,2282,-0.0168,-0.0257,606095,0.0583,-0.011,174,0.0452,0.1924,1.5441,0.4624,-1.1961,1
202302,15580,Butte-Silver Bow, MT,685,340000,-0.0073,0.0543,79,-0.092,0.7174,97,0.1548,0.8216,20,-0.1667,-0.5833,0,,,22,0.375,0.8333,50,0.2375,-0.2205,190,0.0529,0.0351,1877,-0.0438,-0.1335,530847,-0.1525,-0.0123,125,-0.0157,0.1521,0.6266,0.1668,-0.7539,0
202301,13740,Billings, MT,221,497950,0.0595,-0.0945,376,-0.1505,1.5033,70,0.1983,0.2193,156,0.2188,0.0541,0,,-1,120,0.3043,5,210,0.1639,-0.2751,221,0.0197,-0.0307,2254,-0.0113,-0.0568,626755,-0.0045,-0.3125,584,-0.055,0.3364,0.5579,0.1507,-1.3687,1
202301,33540,Missoula, MT,313,738360,0.0701,-0.0759,202,-0.0605,1.7297,92,0.2534,-0.0054,64,0.3333,0.0667,4,,0,24,0.2,2,121,-0.0282,-0.1967,360,0.0373,0.0345,2205,0.0038,-0.1075,1039164,0.0539,-0.1,324,-0.0343,0.4705,0.5965,0.0198,-1.4305,1
202301,14580,Bozeman, MT,322,1095000,0.1005,-0.4081,479,-0.0841,2.1513,113,0.1084,0.3889,132,0.8333,-0.175,6,,0.5,70,0.1667,7.75,251,0,-0.3161,481,0.1107,-0.2794,2402,0.0055,-0.2219,2103091,0.0901,-0.3652,731,-0.0562,0.4021,0.524,0.0441,-1.8905,1
