month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,16740,Charlotte-Concord-Gastonia, NC-SC,22,397425,0.0064,0.0192,4367,-0.1139,1.3657,57,-0.163,1.0179,3058,0.0844,-0.0408,300,1.1127,-0.2386,1686,-0.2252,2.8848,5050,0.3075,1.0806,207,0.0085,0.0292,1951,0.0054,-0.0071,541566,0.0252,-0.0059,9383,0.0683,1.1959,1.1563,0.3727,-0.1584,1
202302,39580,Raleigh-Cary, NC,42,449450,0.0078,0.0364,2831,-0.1162,3.2984,68,-0.1118,3.0909,1842,0.0395,0.1484,160,0,1.1622,1076,-0.2314,11.5116,3447,0.2557,1.9462,207,0.0032,-0.024,2286,0.0007,0.07,583572,0.0177,-0.0089,6253,0.0487,2.4207,1.2178,0.3607,-0.559,1
202302,24660,Greensboro-High Point, NC,72,324325,0.0088,0.1794,828,-0.0836,0.7294,53,-0.1985,0.0396,638,0.0925,-0.0807,20,-0.3333,-0.4118,276,-0.0483,1.3793,975,0.1391,-0.3014,161,-0.0061,0.1284,1789,0.0006,-0.0507,400632,0.0311,0.0509,1799,0.0222,-0.0331,1.1776,0.2302,-1.7377,1
202302,49180,Winston-Salem, NC,86,329950,0.0137,0.129,960,-0.0108,0.8172,51,-0.2031,0.0303,654,0.0062,-0.0576,62,0.4762,0.24,256,-0.1899,2.3684,939,0.1774,-0.2586,148,-0.0588,-0.0138,2233,0.0633,0.3708,383553,0.0071,0.0281,1913,0.0836,0.0675,0.9786,0.1565,-1.42,1
202302,20500,Durham-Chapel Hill, NC,89,489000,0.0461,0.0307,903,-0.0662,1.4048,67,-0.141,0.5402,646,0.2817,0.1413,30,1.1429,-0.1176,262,-0.1963,2.359,1043,0.1983,1.491,243,0.016,0.0077,2135,0.0297,0.1225,700614,0.0513,0.0778,1938,0.057,1.4255,1.1545,0.2548,0.04,0
202302,11700,Asheville, NC,111,579500,0.0909,0.079,820,-0.1445,0.5213,88,0.0292,0.0445,480,0.0811,-0.0977,0,-1,-1,256,-0.2335,0.8824,809,0.1599,-0.0311,288,0.0216,0.0482,2033,0.0294,0.0528,834441,0.0443,-0.0828,1629,-0.0163,0.1792,0.9866,0.2589,-0.5626,0
202302,22180,Fayetteville, NC,112,339975,0.0008,0.3468,1021,-0.0542,1.3816,71,-0.0408,1.0288,744,0.1481,-0.1206,84,1.4706,0.1351,264,-0.0294,3,1252,0.168,-0.2275,155,0.0047,0.1764,2197,-0.027,0.1337,352457,0.0079,0.2082,2267,0.0512,0.1069,1.2264,0.2333,-2.5543,1
202302,25860,Hickory-Lenoir-Morganton, NC,146,349900,0.0315,0.1887,438,-0.0942,0.8817,70,-0.021,0.9444,304,0.1783,-0.1602,6,0.5,0,142,-0.1013,0.9722,444,0.1445,0.5507,191,0.0386,0.191,1888,-0.0133,0.0065,481202,0.0114,0.1246,877,0.0098,0.6727,1.0137,0.2114,-0.2164,0
202302,48900,Wilmington, NC,162,531026,0.0116,0.1307,704,-0.0613,1.0984,75,-0.0475,0.6096,432,0.1192,-0.2448,40,0.6667,0.0526,190,0.0674,1.8788,765,0.1496,-0.3314,252,0.0121,0.065,2217,0.0082,0.0774,738902,0.0024,0.0314,1468,0.0353,-0.0064,1.0859,0.1993,-2.3224,1
202302,24780,Greenville, NC,230,337000,-0.0247,0.2902,227,-0.0922,1.8313,65,-0.1688,0.1864,152,-0.0617,-0.0952,0,-1,-1,44,-0.3889,2.1429,273,0.1617,-0.2881,158,0.0053,0.2192,2162,0.001,0.1263,355715,-0.0931,0.1549,495,0.0196,0.0589,1.2053,0.2634,-3.5885,1
