month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,22020,Fargo, ND-MN,175,377225,0.0336,0.0779,542,-0.0914,0.5449,89,0.0172,0.5435,168,0.05,-0.3,26,-0.0714,-0.6286,74,-0.0513,0.1935,82,0.0867,-0.0468,161,0.0143,0.1413,2190,0.0025,-0.0914,425879,0.0334,0.1051,623,-0.0639,0.4376,0.1505,0.0247,-0.0934,0
202302,13900,Bismarck, ND,297,404450,0.0114,0.1934,242,-0.1089,0.3492,82,-0.0209,0.3443,104,0.0196,-0.3659,0,,,38,-0.05,0.0556,163,0.0383,-0.1975,184,0.0575,0.1802,2094,0.0043,0.0392,446267,0.0191,0.1628,403,-0.054,0.0591,0.6729,0.0954,-0.4584,0
202302,24220,Grand Forks, ND-MN,364,284450,0.094,-0.056,166,-0.1641,0.107,111,0.2451,0.0091,58,0.2609,-0.2927,0,-1,-1,16,-0.3846,1,102,0.3904,-0.3366,136,0.0622,0.0276,2098,0.0116,0.0274,311668,0.0341,0.0201,267,-0.0019,-0.1144,0.6133,0.2446,-0.4101,0
202302,33500,Minot, ND,437,224950,-0.0215,0.2161,135,-0.1898,0.3251,56,-0.283,-0.1949,64,-0.0588,-0.2,2,,-0.6667,30,-0.25,0.1538,93,0.646,-0.2051,108,0.0066,0.0467,2100,-0.0197,0.1446,262062,0.0287,0.2682,226,0.0157,0.0296,0.6914,0.3511,-0.4613,0
202302,48780,Williston, ND,642,366100,-0.0395,0.3075,102,-0.1707,-0.1535,109,0.3478,0.1923,28,-0.0667,-0.3636,2,,,6,-0.7273,-0.4,71,0.2368,46,176,0.0172,0.271,1741,-0.0438,-0.2047,421709,-0.0053,0.3277,169,-0.0506,0.352,0.6912,0.2278,0.6787,0
202302,19860,Dickinson, ND,711,252000,-0.0156,0.1523,97,-0.2332,-0.0537,115,0.0748,-0.0192,28,0,-0.3913,0,,,14,-0.2222,-0.125,52,0.5373,-0.1953,133,0.0457,0.3374,2078,-0.0397,-0.0192,306859,0.0192,0.3135,149,-0.0658,-0.097,0.5309,0.2661,-0.0935,0
202302,47420,Wahpeton, ND-MN,853,286519,0.0563,0.1239,41,-0.0795,0.1571,103,0.0098,0.7792,14,0.4,0,0,,,4,1,,5,1,0.25,120,0.0224,0.0693,2360,0.0216,-0.0025,280520,0.0638,0.0704,47,-0.0106,0.2237,0.1235,0.0666,0.0092,0
202302,27420,Jamestown, ND,865,164225,0,-0.2198,31,-0.2469,0.2449,118,0.0679,-0.0268,12,0.5,1,0,,,2,0,0,28,0.5556,0.5135,101,0.0081,-0.1201,1591,-0.0238,-0.1162,212842,0.0171,-0.1212,56,-0.0431,0.2907,0.918,0.4736,0.1629,1
202301,22020,Fargo, ND-MN,175,364978,0.0284,0.0579,596,-0.1235,0.6374,87,0.2118,0.1044,160,0.2121,-0.1489,28,,0.75,78,-0.025,0.625,75,-0.0132,0.1364,159,0.0163,0.1514,2185,0.0007,-0.0962,412112,0.035,0.1447,665,-0.1192,0.5501,0.1258,0.0141,-0.0555,0
202301,13900,Bismarck, ND,297,399900,0.019,0.3354,271,-0.0145,0.4263,84,0.2689,0.205,102,1.8333,-0.0192,0,,-1,40,0.1111,0.6667,157,0.2724,-0.0848,174,0.0143,0.1903,2085,0.0024,0.0533,437901,0.0167,0.1795,426,0.0519,0.1801,0.5775,0.1302,-0.3225,0
