month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,10740,Albuquerque, NM,58,387950,0.0278,0.0432,908,-0.1491,0.6048,72,-0.0801,0.9392,762,0.0106,-0.2395,46,0.2105,-0.6618,320,-0.2488,1.3529,1161,0.1933,-0.2076,200,0.0035,0.0493,2032,0.0136,0.0302,514206,0.0349,0.0772,2048,0.0111,0.0086,1.2788,0.3669,-1.311,1
202302,29740,Las Cruces, NM,216,359925,-0.0278,0.0387,674,0.0197,0.1367,97,0.331,0.8738,162,0.125,-0.2768,12,0,-0.8824,72,-0.4,1.4,7,0.0833,-0.8116,174,-0.0066,0.0922,1985,-0.0189,-0.0712,383212,-0.0192,0.0563,677,0.0203,0.0849,0.0097,0.0006,-0.0486,0
202302,42140,Santa Fe, NM,257,737500,-0.0147,-0.1501,342,-0.0393,1.2065,88,-0.0141,-0.1972,148,0.2131,-0.2371,4,,-0.3333,76,-0.24,1.5333,223,0.0471,-0.2657,344,-0.0284,-0.0928,2339,-0.0073,-0.1614,1449248,0.007,-0.169,568,0.0018,0.2364,0.6506,0.0537,-1.3043,1
202302,22140,Farmington, NM,370,349500,0.0922,0.2781,66,-0.2235,-0.4054,69,0.1597,0.2661,52,0.0833,-0.4468,0,,-1,10,-0.375,0,106,0.1164,0.0096,167,0.0679,0.1428,2031,0.0154,0.0457,486999,0.1328,0.297,173,-0.039,-0.2087,1.5985,0.4867,0.657,0
202302,10460,Alamogordo, NM,491,316635,0.039,0.1842,114,-0.1231,0.3103,82,0.0348,-0.155,60,0.0714,-0.1892,0,,-1,18,-0.3077,0.8,77,0.2143,-0.3139,155,0.0254,0.106,2019,0.0166,0.1212,415975,0.0386,0.121,190,-0.013,-0.0381,0.6711,0.1864,-0.6106,0
202302,26020,Hobbs, NM,513,237500,-0.0404,0.1359,96,-0.1467,-0.183,98,0.1329,0.1951,34,-0.15,-0.4138,0,,-1,20,0.4286,1,1,0,0,121,-0.0315,-0.0011,1803,-0.0202,0.0017,255828,-0.0283,-0.0034,96,-0.1542,-0.183,0.0104,0.0015,0.0019,0
202302,40740,Roswell, NM,537,232319,-0.0198,-0.0161,152,-0.0873,0.2317,99,0.0051,0.3447,68,0.36,0.2143,0,,,26,-0.1333,0.625,1,,,126,-0.0134,0.0529,1923,-0.0107,0.0114,280303,-0.0275,0.0148,152,-0.0843,0.2358,0.0066,,,0
202302,16100,Carlsbad-Artesia, NM,541,300500,0.0027,0.1984,137,-0.0519,-0.3598,80,-0.1277,-0.0031,48,-0.2,-0.3514,0,,,28,0.5556,0.4,6,0,,152,0.0238,0.0605,2004,-0.0022,0.1499,340102,0.0136,0.1284,143,-0.0435,-0.3318,0.0401,0.0021,,0
202302,23700,Gallup, NM,557,216250,0.2171,0.0072,16,-0.0588,-0.6923,69,-0.2238,-0.0743,8,0.3333,-0.2,0,,,4,0,-0.3333,,,,103,-0.0382,-0.0908,1618,0.0306,-0.0939,210284,0.0591,-0.1885,16,-0.0588,-0.7091,,,,0
202302,17580,Clovis, NM,630,240500,-0.006,0.1549,94,-0.1897,0.4351,57,-0.1745,1.3646,46,-0.0417,-0.3947,0,,,24,-0.0769,5,1,-0.5,,128,-0.0033,0.1031,1851,-0.0026,0.0256,266339,0.0113,0.0026,95,-0.1949,0.4504,0.0106,-0.0066,,1
202302,21580,Espanola, NM,702,449750,-0.0072,-0.181,66,-0.1027,0.3789,144,0.2213,-0.0772,10,1.5,-0.4444,0,-1,,8,-0.4286,1,17,-0.0294,-0.3125,214,-0.0268,-0.0608,1980,-0.0367,-0.2469,801317,-0.1784,-0.4415,83,-0.0778,0.1608,0.2519,0.019,-0.2534,1
202302,45340,Taos, NM,716,569500,-0.0018,0.1266,139,-0.0608,0.6747,164,0.1139,0.0266,24,0.3333,-0.4783,0,,-1,16,-0.2727,1,49,-0.0392,-0.7513,332,-0.0206,0.1233,1925,0.0008,0.0196,739264,-0.0192,-0.095,189,-0.048,-0.3268,0.3525,0.0079,-2.021,1
202302,29780,Las Vegas, NM,774,265000,0.0376,0.1522,69,-0.0616,0.5747,113,0.0762,0.4967,14,0,-0.2222,0,,,14,0.75,2.5,10,0.5833,-0.4242,174,0.1281,0.3205,1637,0.0214,-0.064,453876,0.0023,0.3137,77,-0.0253,0.3628,0.1387,0.0565,-0.2406,0
202302,43500,Silver City, NM,809,284750,0.0098,0.09,69,-0.1266,0.3529,114,-0.0258,0.1378,16,-0.1111,-0.4667,0,,,10,-0.1667,-0.2857,24,1.087,-0.4483,173,0.0697,0.1088,1823,-0.0353,0.0342,470999,0.0219,0.0428,92,0.0337,-0.0054,0.3478,0.2023,-0.5051,0
202302,19700,Deming, NM,857,222000,0.2542,0.3101,34,0.0308,-0.2209,70,-0.0244,-0.0071,12,0.5,-0.1429,0,,,2,-0.6667,,1,-0.5,,117,0.006,0.1858,1919,0.0125,0.1246,261632,0.0302,0.3665,34,0,-0.2209,0.0299,-0.0317,,0
202302,40760,Ruidoso, NM,859,470000,0.0207,-0.0505,174,0,0.392,100,-0.0269,0.2595,62,0.3478,-0.225,0,,,24,-0.0769,0.7143,24,0.3824,-0.4835,241,-0.0113,0.0926,2002,-0.0067,-0.1695,594814,-0.0182,-0.1861,199,0.0392,0.1916,0.1351,0.0374,-0.2289,0
202302,31060,Los Alamos, NM,873,706250,0.062,0.6143,10,0.0526,1,41,-0.0122,-0.4355,12,-0.1429,-0.1429,0,,,0,,-1,16,0.5238,-0.5077,315,0.0511,0.403,2229,-0.0281,0.2585,669238,0.001,0.4399,25,0.25,-0.3421,1.6,0.4947,-4.9,1
202302,24380,Grants, NM,874,195000,0,0.3732,24,-0.1273,-0.1111,140,0.122,0.4686,6,-0.25,0,0,,,6,2,,7,0.625,0.625,114,0.0196,0.1757,1726,-0.016,0.0956,265864,0.0318,0.2102,31,-0.0161,-0.0161,0.2708,0.1254,0.1227,0
202302,38780,Portales, NM,908,179000,-0.0284,0.1973,44,0.1282,0.2571,74,0.265,0.1298,18,0.5,-0.1,0,,,10,0.25,0.6667,,,,105,-0.0304,0.2645,1801,0.0047,0.0873,223765,0.0171,0.3038,44,0.1,0.2571,,,,0
202301,10740,Albuquerque, NM,58,377450,0.0065,0.0217,1067,-0.1308,0.7985,78,0.1471,0.0986,754,0.2401,-0.1066,38,0.3571,-0.5,426,0.0441,1.8026,973,0.0248,-0.2938,199,0.0251,0.0827,2005,0.0009,0.0011,496877,0.0208,0.0663,2026,-0.0679,0.0303,0.9119,0.1384,-1.4102,1
