month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,29820,Las Vegas-Henderson-Paradise, NV,33,445500,0.0125,-0.0621,7636,-0.0917,1.0589,67,-0.1529,1.3333,2832,0.0313,-0.3038,120,0.0345,-0.4495,2318,-0.1996,3.2454,854,0.1836,6.9442,249,0.0032,-0.0212,1836,0.008,-0.0283,678318,0.0404,-0.1212,7779,-0.0818,1.0373,0.1118,0.026,0.0829,1
202302,39900,Reno, NV,117,631500,0.0243,-0.0282,789,-0.1747,1.2672,89,-0.043,1.697,426,0.3567,-0.3151,18,0.2857,-0.1,216,-0.3533,1.7692,610,0.4109,-0.2757,314,-0.001,-0.0768,2030,0.0027,0.0063,1254834,0.0604,-0.1154,1396,0.0065,0.1801,0.7725,0.3206,-1.6456,1
202302,22280,Fernley, NV,546,422213,0.0555,-0.0158,188,-0.1256,1.1006,100,0.0153,1.5677,64,0,-0.3846,2,,-0.9,50,-0.375,3.1667,113,0.4771,-0.296,238,0,-0.0442,1797,0.0248,0.0457,496028,0.0238,-0.0727,300,0.0222,0.2028,0.6011,0.2452,-1.1922,1
202302,16180,Carson City, NV,553,467500,-0.0176,-0.03,79,-0.3305,0.8161,99,-0.0149,2.5044,32,-0.2381,-0.5676,0,,-1,26,-0.4348,0.8571,60,0.4337,-0.3704,302,0.0067,-0.0394,1676,0.0003,0.0413,924432,0.125,0.5287,141,-0.1191,0.0293,0.7532,0.4015,-1.4192,1
202302,23820,Gardnerville Ranchos, NV,572,799000,-0.0003,-0.1362,177,-0.0587,1.2774,120,0.046,1.2336,66,1.5385,-0.2979,2,0,0,44,0.0476,0.8333,74,0.5914,-0.4676,429,0.0352,-0.1256,2132,-0.0192,-0.0724,2224690,0.1214,-0.1462,250,0.064,0.1367,0.4193,0.1713,-1.3743,1
202302,21220,Elko, NV,590,483775,0.0157,0.046,107,-0.123,0.049,156,0.2259,0.4928,26,-0.2778,-0.5357,0,-1,-1,18,-0.5,0.5,67,0.2315,-0.4571,223,0.0002,0.0415,2190,0.036,-0.0064,468228,0.0105,0.0278,175,-0.0113,-0.2227,0.6215,0.1789,-0.5795,0
202302,37220,Pahrump, NV,596,395675,-0.004,0.0019,244,0.0725,0.6599,76,-0.0982,0.7022,74,0.1563,-0.0513,2,,0,76,0.027,1.375,14,0.5882,5.75,204,-0.0118,-0.0146,2008,-0.0057,0.0113,415690,-0.0056,-0.013,246,0.0768,0.6477,0.0553,0.018,0.0417,0
202302,21980,Fallon, NV,847,361473,0.0183,-0.0419,47,-0.1754,0.88,84,0.1049,1.6535,18,0.2857,-0.3077,0,,,6,-0.6667,0,36,0.029,-0.3039,224,0.0136,-0.0273,1611,-0.0062,0.0008,402309,0.0346,0.0151,85,-0.0503,0.1184,0.7553,0.1501,-1.2847,1
202302,49080,Winnemucca, NV,912,429900,-0.0447,0.037,43,0.0494,0.371,130,-0.1218,2.9618,20,0.4286,0.6667,0,,,8,0,3,16,0.4762,0.0333,223,0.0672,-0.0163,1919,-0.0075,0.0349,431477,-0.0231,-0.2019,57,0.0962,0.2391,0.3647,0.1054,-0.1192,1
202301,29820,Las Vegas-Henderson-Paradise, NV,33,440000,-0.0055,-0.0538,8406,-0.1154,1.1693,79,0.0753,0.9625,2746,0.333,-0.2497,116,0.2609,-0.1212,2896,0.2209,4.0986,722,0.1544,6.9286,248,-0.0032,0.0156,1821,0.0028,-0.0525,651955,0.0009,-0.1219,8472,-0.1165,1.1393,0.0858,0.0201,0.0623,0
