month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,38900,Portland-Vancouver-Hillsboro, OR-WA,24,607050,0.0161,0.0807,3395,-0.1098,0.7629,54,-0.25,0.8621,2164,0.065,-0.3525,206,1.06,-0.869,862,-0.3643,-0.0983,2994,0.2998,-0.3567,310,0.0093,-0.008,2038,0.0089,0.1152,812739,0.0241,0.1034,6338,0.0371,-0.0371,0.8819,0.2779,-1.5349,1
202302,21660,Eugene-Springfield, OR,127,511200,-0.0192,0.0878,367,-0.0961,0.5991,59,-0.1475,0.8231,256,0.0667,-0.3503,6,2,-0.9634,100,-0.0909,-0.0741,320,0.2075,-0.4134,291,-0.0153,-0.0036,1759,-0.0322,0.0305,626571,-0.0119,-0.0337,683,0.0179,-0.1187,0.8719,0.2192,-1.505,1
202302,41420,Salem, OR,131,497338,0.0109,-0.0033,646,-0.1108,0.9816,86,0.0179,2,354,0.1722,-0.2656,26,0.625,-0.7636,202,-0.1984,0.8704,491,0.277,-0.3283,276,-0.0004,0.0154,1865,0.0084,-0.0149,597784,0.0125,-0.2187,1129,0.018,0.0788,0.7601,0.2308,-1.4823,1
202302,32780,Medford, OR,200,548000,0.0595,-0.051,501,-0.06,0.4692,96,-0.0103,0.6872,238,0.5256,-0.3,2,-0.75,-0.9,144,-0.0886,0.4694,278,0.4112,-0.4565,291,0.016,-0.0265,1858,0.0198,-0.0358,753862,0.0417,-0.0194,777,0.0579,-0.0805,0.5549,0.1853,-0.9451,0
202302,13460,Bend, OR,212,659450,0.0153,-0.1107,608,-0.0746,1.2212,93,-0.0653,1.2822,316,0.596,-0.304,28,1.8,0.75,144,-0.3271,1.7692,441,0.2618,-0.4324,366,0.0275,0.0084,1932,-0.0005,-0.0371,983520,0.0458,-0.0145,1054,0.0415,0.0014,0.7259,0.1936,-2.115,1
202302,10540,Albany-Lebanon, OR,321,425950,0.0144,0.0155,219,-0.1045,1.0909,61,-0.1223,1.1786,114,0.2667,-0.24,0,-1,-1,48,0,0.6,116,0.2678,-0.3626,270,-0.0031,0.0044,1660,0.0088,-0.0066,535354,0.002,-0.041,333,0.003,0.1875,0.5309,0.1559,-1.2107,1
202302,40700,Roseburg, OR,342,419750,0.0066,0.0546,237,-0.0652,0.7263,90,-0.0451,0.5319,86,0.1316,-0.3065,0,-1,-1,72,0.2857,0.0286,128,-0.0267,-0.32,244,0.017,0.018,1713,-0.0383,-0.0303,583010,-0.0062,-0.0347,362,-0.0573,0.1277,0.5391,0.0213,-0.8295,0
202302,18700,Corvallis, OR,397,564486,-0.0196,0.0573,88,0.0736,0.5625,59,-0.169,0.3721,46,0.15,-0.3429,0,,-1,16,0,0,57,0.2418,-0.5586,299,0.0015,0.1078,1797,-0.0882,-0.1511,666495,-0.0461,-0.135,141,0.0849,-0.2259,0.6457,0.0874,-1.64,1
202302,24420,Grants Pass, OR,402,467000,0.0208,-0.0168,234,-0.0824,0.3258,102,0,0.9519,92,0.4839,-0.2459,0,-1,-1,62,0.0333,0.3478,110,0.3114,-0.3707,267,0.021,-0.0259,1802,0.0252,0.02,632854,0.0434,0.0623,342,0.0044,-0.0229,0.4679,0.1405,-0.5179,0
202302,25840,Hermiston-Pendleton, OR,439,331975,0.0076,-0.0574,161,-0.0776,0.7166,96,0.0912,0.5444,50,0.0417,-0.3056,2,,-0.9091,26,-0.2778,-0.2778,92,0.1806,-0.2738,200,0.006,0.0255,1643,0.0015,-0.1079,422963,0.0225,-0.3145,252,0.01,0.125,0.5701,0.1247,-0.7775,0
