month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,24860,Greenville-Anderson, SC,60,335900,-0.0033,-0.0264,1986,-0.031,1.2933,69,-0.1122,0.6488,1152,0.1034,-0.1664,156,0.3929,-0.4135,678,-0.2153,1.9478,1593,0.2296,-0.3886,165,0.0092,0.0584,1973,-0.0221,0.0196,465727,0.0046,-0.0865,3552,0.0641,0.0254,0.8021,0.17,-2.2065,1
202302,16700,Charleston-North Charleston, SC,67,498323,0.0275,-0.0269,1950,-0.0947,1.3862,63,-0.1039,1.5,1320,0.162,-0.1528,96,0.1429,-0.619,774,-0.1677,2.7212,1568,0.2712,-0.2592,241,0.0206,-0.0867,2208,0.0103,0.0236,989710,0.079,-0.0964,3515,0.038,0.2013,0.8043,0.2315,-1.7863,1
202302,17900,Columbia, SC,68,301696,0.0059,0.0057,1479,-0.0387,0.8208,41,-0.199,0.875,1082,0.0608,-0.156,122,0.6486,-0.7437,532,0.0598,3.1563,41,0.1739,0.5,145,0.0045,0.022,2179,0.0087,0.0587,359322,0.0019,-0.0232,1518,-0.0353,0.8141,0.0274,0.005,-0.0059,0
202302,34820,Myrtle Beach-Conway-North Myrtle Beach, SC-NC,102,364195,0.0047,-0.0712,4042,-0.0571,1.9885,81,0.0321,0.6429,1750,0.0081,-0.0682,324,-0.0526,-0.194,1250,-0.1883,4.0403,3258,0.2221,-0.3406,219,-0.0011,0.0078,1714,0.0076,-0.0549,458511,0.0006,-0.1043,7292,0.0477,0.1578,0.806,0.1842,-2.8468,1
202302,43900,Spartanburg, SC,163,300972,-0.0049,0.0614,911,-0.035,1.7154,62,-0.1232,0.8309,526,0.1239,-0.0739,110,1.3913,-0.0351,328,-0.0734,1.9286,671,0.2601,-0.478,160,0.0077,0.0505,1925,-0.0081,0.0479,357270,-0.0063,0.0361,1576,0.0707,-0.0269,0.7366,0.1725,-3.095,1
202302,25940,Hilton Head Island-Bluffton, SC,203,636451,0.0196,0.1572,920,-0.0427,1.4211,73,-0.0458,0.4898,618,0.3553,-0.0521,26,-0.2353,-0.1875,282,-0.0844,2.525,918,0.183,-0.2035,334,0.0012,0.1756,2163,0.02,0.0708,1003380,0.0063,0.0923,1841,0.0608,0.208,0.9978,0.1903,-2.0351,1
202302,22500,Florence, SC,224,255000,-0.0173,0.0669,534,0.0152,0.1079,78,-0.0769,0.322,142,0.0597,-0.3364,34,-0.1053,-0.1053,92,0,1.4211,55,0.1848,-0.2635,130,0.0127,0.0533,1944,-0.0061,0.0221,272791,-0.0184,0.0025,585,0.0272,0.0579,0.1021,0.0146,-0.0515,0
202302,44940,Sumter, SC,319,292995,0.015,0.1502,393,-0.0272,1.5941,80,0.1268,0.6162,134,-0.3093,-0.1184,4,0,-0.8947,50,-0.3243,1.0833,180,0.3102,-0.2891,133,0.0069,0.1315,2086,0.0131,0.0251,300486,0.0364,0.1674,568,0.0529,0.403,0.4567,0.1176,-1.2099,1
202302,42860,Seneca, SC,435,366650,0.0128,0.2377,254,-0.0488,0.7013,84,-0.0973,0.2509,116,0.2609,-0.0794,0,-1,-1,70,-0.1463,4.8333,128,0.2549,-0.3519,200,0.0308,0.2112,2123,0.0111,0.1609,630841,0.0461,0.2556,386,0.0447,0.1355,0.5049,0.1222,-0.8206,0
202302,36700,Orangeburg, SC,438,267450,-0.0956,0.1503,133,0.0556,0.4457,89,-0.1038,0.0114,54,0.2857,0.125,0,,-1,44,0.8333,3.4,79,0.2764,0.869,137,-0.0072,0.2554,1931,-0.022,-0.0393,297701,-0.0794,0.0951,206,0.1168,0.5336,0.5902,0.1021,0.1337,0
202302,24940,Greenwood, SC,475,302195,0.0633,0.0205,127,-0.0929,0.2038,72,-0.0774,-0.1006,54,-0.1818,-0.3415,2,0,-0.9375,26,-0.2353,1.6,64,0.1852,-0.3081,159,0.0842,0.1239,1767,0.0391,-0.1596,399497,0.0832,0.279,189,-0.0182,-0.0333,0.5039,0.1182,-0.3728,0
