month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,43620,Sioux Falls, SD,173,359900,0.0283,0.18,948,0.047,0.3604,55,-0.009,0.4932,240,0.0619,-0.2258,6,0,-0.7857,58,-0.1212,2.625,3,0.5,0,199,0.0155,0.0922,1669,0.0012,0.0045,415018,0.0259,0.0935,951,0.048,0.3588,0.0032,0.001,-0.0011,0
202302,39660,Rapid City, SD,280,388499,-0.0163,0.0795,206,-0.0907,0.7792,51,-0.1774,0.5338,98,-0.1967,-0.4302,0,,-1,30,-0.5,0.5,163,0.2734,-0.3292,221,0.0224,-0.0862,1940,-0.0147,0.0322,507711,0.0025,-0.1335,369,0.0308,0.038,0.7932,0.2268,-1.3107,1
202302,10100,Aberdeen, SD,626,209950,0.0123,-0.215,33,0,0.1404,65,-0.0153,1.1864,16,-0.2,-0.4286,0,,,6,2,0,,,,94,-0.0397,-0.1474,2283,0.0253,-0.1417,266073,0.0004,-0.1349,33,0,0.1404,,,,1
202302,47980,Watertown, SD,744,347400,0.0221,0.0221,48,-0.1429,-0.1429,121,0.1395,-0.4479,10,-0.2857,-0.5833,0,,,6,0.5,2,12,0.7692,-0.3429,148,0.0612,-0.3273,1795,-0.0971,0.037,381324,0.0103,0.0529,58,-0.0873,-0.2123,0.2396,0.1235,-0.0729,0
202302,15100,Brookings, SD,760,375550,0.0067,0.1694,32,-0.0735,0.05,155,0.1765,0.1632,10,-0.2857,-0.6154,0,-1,,2,-0.5,0,31,-0.0159,-0.1842,246,0.0124,0.0878,1586,-0.0261,0.0573,390265,-0.0156,0.199,62,-0.0465,-0.0956,0.9841,0.0577,-0.2825,0
202302,43940,Spearfish, SD,805,659500,0.1001,0.0103,114,-0.0044,0.7813,128,0.1106,2.2,30,0.25,-0.4231,0,,-1,18,0.5,0.8,32,0.3125,-0.5468,293,0.0753,0.112,2371,0.0291,-0.1027,850391,0.0702,0.1347,147,0.0616,0.1098,0.2763,0.0667,-0.8096,1
202302,33580,Mitchell, SD,851,325999,0.0648,1.1433,30,0.0345,0.1321,94,0.033,2.2137,18,1.25,-0.1,0,,,0,,-1,,,,189,0.0313,0.6944,1953,0.0629,0.2836,504214,0.0431,0.8512,30,0.0345,0.1321,,,,1
202302,49460,Yankton, SD,866,229900,-0.0612,-0.0316,13,-0.1333,-0.2353,59,-0.3622,0.6164,4,-0.3333,-0.8,0,,,6,2,0.5,11,-0.2759,-0.2759,136,0.0247,-0.0734,1791,-0.0435,0.0639,360165,-0.0202,0.0332,24,-0.1724,-0.2258,0.8077,-0.159,-0.0452,1
202302,38180,Pierre, SD,877,375000,0.0417,-0.013,14,-0.2059,0.125,90,0.2287,0.791,8,0.3333,0.3333,0,,,2,0,-0.5,11,0,-0.125,251,0.0527,0.1237,1578,0.0344,-0.1034,412477,0.0207,0.1133,24,-0.1579,0.0213,0.7778,0.1601,-0.2222,0
202302,26700,Huron, SD,878,199950,0.1345,0.162,35,-0.0909,-0.0141,77,0,0.7303,10,0,-0.5455,0,,,4,-0.5,,,,,90,0.0663,0.0116,2016,0,0.0205,254323,0.0653,0.0304,35,-0.0909,-0.0141,,,,0
