month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,41620,Salt Lake City, UT,51,569950,0.0191,0.0269,1633,-0.1613,2.4634,65,-0.1429,1.5545,986,0.1359,-0.215,86,0.1944,-0.4416,700,-0.2929,5.25,1444,0.2524,-0.288,240,-0.0059,-0.0266,2464,0.022,0.054,746457,0.0227,-0.0038,3070,-0.0095,0.2293,0.8843,0.2921,-3.4169,1
202302,36260,Ogden-Clearfield, UT,100,550000,0.0101,0.0227,1195,-0.1092,3.3595,65,-0.1513,2,596,0.0347,-0.1924,24,-0.25,-0.5385,530,-0.1196,6.7941,728,0.1858,-0.2054,218,0.0037,-0.0117,2568,0.0286,0.0465,664451,0.0373,-0.0202,1925,-0.0148,0.6183,0.609,0.1515,-2.7322,1
202302,39340,Provo-Orem, UT,115,554950,-0.0132,-0.0573,1519,-0.1176,2.5081,96,0.0213,2.0968,734,0.2923,-0.2675,110,0.1458,-0.3956,536,-0.1779,3.3934,1465,0.0631,-0.4803,214,0.0151,-0.0135,2824,-0.0071,-0.0441,781173,0.0237,-0.2271,2994,-0.0336,-0.0738,0.9645,0.164,-5.5459,1
202302,41100,St. George, UT,263,658613,0.0455,-0.1447,1269,0.0309,2.439,69,-0.1122,1.8854,520,0.1927,-0.037,20,1,-0.375,366,0.0398,3.8158,161,0.3487,-0.0983,297,0.0146,-0.0157,2221,0.0315,-0.1356,824017,0.0691,-0.3546,1422,0.0557,1.6333,0.1265,0.0298,-0.3559,1
202302,30860,Logan, UT-ID,345,499900,-0.0211,-0.0559,255,-0.0116,2.0723,94,0.0358,2.1333,114,0.5405,-0.1094,2,,-0.6667,82,0.4643,4.125,111,0.3476,-0.2163,206,0.0162,-0.041,2593,0.019,-0.0077,624248,0.0112,-0.2685,363,0.0583,0.6205,0.4333,0.1155,-1.2655,1
202302,25720,Heber, UT,490,1697225,-0.0513,-0.03,864,0.0047,1.7765,112,-0.0261,1.1132,230,0.2778,-0.2069,10,0.6667,-0.8387,140,0.1864,4.8333,615,0.0857,-0.4002,704,-0.012,0.013,2820,-0.0339,0.0368,3076686,-0.0016,0.018,1471,0.0363,0.0986,0.7116,0.0531,-2.5826,1
202302,16260,Cedar City, UT,598,434925,-0.0002,-0.0911,311,0.0098,1.2021,101,-0.0648,2.4237,98,0.1136,-0.3288,4,,-0.6,94,0.3056,2.3571,19,0.5417,-0.6783,229,0.0123,0.0017,1827,-0.0079,-0.0406,521626,0.0028,-0.0795,329,0.0313,0.6786,0.0596,0.0206,-0.3482,1
202302,46860,Vernal, UT,803,376875,-0.0059,0.2463,50,-0.0385,0.7241,85,-0.0117,0.6095,20,-0.2857,-0.4444,0,,,16,0,0.6,38,0.0556,-0.0843,170,0.0372,0.0885,2450,-0.0509,0.1289,467226,0.0222,0.1237,88,-0.0223,0.25,0.76,0.0677,-0.671,0
202302,39220,Price, UT,887,380750,0.1199,0.0752,46,-0.1636,3.1818,124,0.1253,2.4069,18,0.8,0.5,2,,,6,-0.4,,22,0.1622,-0.0227,159,0.0744,0.16,1658,-0.0132,-0.2138,348731,-0.0015,0.0311,67,-0.0822,1,0.4674,0.131,-1.5326,1
202301,41620,Salt Lake City, UT,51,559250,0.0169,-0.0102,1947,-0.1494,2.9816,75,0.1066,0.9051,868,0.5069,-0.1457,72,0.8,-0.4545,990,0.4306,9.7609,1153,-0.0813,-0.3699,242,-0.0059,0.0236,2411,0.0062,-0.026,729910,0.0184,-0.0036,3099,-0.1256,0.3404,0.5922,0.0439,-3.1501,1
202301,36260,Ogden-Clearfield, UT,100,544500,0.0339,0.0892,1341,-0.1833,4.0795,76,0.1515,1.0541,576,0.2973,0.0141,32,0,-0.3846,602,0.3438,8.4063,614,0.1054,-0.2369,217,0.0137,0.0042,2497,0.035,0.0507,640530,0.0373,0.0151,1954,-0.1098,0.8109,0.4575,0.1195,-2.588,1
202301,39340,Provo-Orem, UT,115,562400,0.0225,0.0061,1722,-0.1684,2.6319,94,0.0682,0.88,568,0.3028,-0.2526,96,0.7143,-0.6129,652,0.0654,6.7619,1378,-0.0626,-0.4754,211,0.004,0.0097,2844,0.0252,-0.0491,763064,0.0202,-0.1885,3098,-0.1244,-0.0032,0.8005,0.0903,-4.7417,1
202301,41100,St. George, UT,263,629975,-0.0301,-0.1311,1231,-0.0667,2.0172,78,0.0685,0.7333,436,0.5352,0.2824,10,-0.375,-0.1667,352,0.4194,3.6316,119,-0.125,-0.2468,293,-0.0113,0.003,2153,-0.0091,-0.1615,770741,-0.0113,-0.3594,1347,-0.0626,1.4054,0.0967,-0.0064,-0.2906,1
202301,30860,Logan, UT-ID,345,510700,0.0214,0.0317,258,-0.1134,2.2658,91,0.2604,1.0625,74,0.4231,-0.1591,0,-1,,56,0,2.5,82,-0.0465,-0.344,202,-0.0032,-0.0557,2545,0.0106,0.0634,617319,-0.0201,-0.2399,343,-0.0628,0.7065,0.3178,0.0223,-1.2644,1
202301,25720,Heber, UT,490,1789000,0.107,0.0107,860,-0.0321,1.6284,115,0.0502,0.8254,180,0.125,-0.2241,6,-0.25,-0.9167,118,0.4048,4.9,566,-0.0208,-0.467,713,0.0392,0.111,2919,-0.008,-0.0607,3081623,0.0242,0.0411,1419,-0.0301,0.0231,0.6585,0.0076,-2.5892,1
202301,16260,Cedar City, UT,598,435000,-0.0225,0,308,-0.1289,1.3837,108,0.0854,0.8305,88,0.5714,-0.0435,0,,-1,72,-0.1818,2,12,0.5,-0.7778,226,-0.0258,-0.0212,1842,-0.0205,-0.0005,520187,-0.0353,-0.0434,319,-0.1089,0.7527,0.039,0.0164,-0.3796,0
202301,46860,Vernal, UT,803,379125,-0.052,0.2432,52,-0.2121,1.08,86,0.0892,0.125,28,0.75,0.4,0,,,16,0.3333,3,36,-0.027,-0.2174,164,-0.0176,0.0849,2581,0.0051,0.2944,457088,-0.0342,0.1929,90,-0.1394,0.2606,0.6923,0.1317,-1.1477,1
202301,39220,Price, UT,887,340000,0.0627,0.7778,55,-0.1791,2.6667,110,0.1373,0.6885,10,-0.5,-0.1667,0,,,10,-0.375,,19,0.4231,-0.26,148,0.0407,0.2924,1680,0.0013,-0.0895,349272,0.0385,0.5008,73,-0.0875,0.973,0.3364,0.1423,-1.3303,1
202212,41620,Salt Lake City, UT,51,549945,-0.0001,-0.0249,2289,-0.1762,2.3392,68,0.283,0.9429,576,-0.3975,-0.3224,40,-0.3548,-0.4872,692,-0.5713,2.5306,1255,-0.0731,-0.4306,243,-0.004,0.0166,2396,0.0088,-0.0317,716732,0.0021,-0.0344,3544,-0.1398,0.228,0.5483,0.061,-2.6669,1
202212,36260,Ogden-Clearfield, UT,100,526643,0.0128,0.043,1642,-0.1282,3.0294,66,0.1579,0.7838,444,-0.2975,-0.1048,32,-0.2381,0,448,-0.6151,2.2464,555,-0.0339,-0.4368,214,-0.0022,0.0078,2412,0.0105,0.0012,617475,0.0128,-0.0374,2195,-0.1065,0.5769,0.338,0.033,-2.0804,1
